GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDKAI,G18USSRSTE,G18USSLWAT,G18USSOWRI
51051000303,51,051,000303,112.87,347.53,3.96,0
51051000401,51,051,000401,387.87,444.25,4.93,1.28
51051000501,51,051,000501,74.32,97.72,0.02,0.69
51051000502,51,051,000502,246.19,486.6,0.99,1.02
51053000101,51,053,000101,118,329,2,1
51053000102,51,053,000102,190.52,456.65,0.98,0
51053000103,51,053,000103,222.8,840.4,5.1,2.01
51053000201,51,053,000201,378,209,10,0
51053000202,51,053,000202,656.09,870.35,4.96,0.99
51053000301,51,053,000301,169,295,5,0
51053000302,51,053,000302,296.87,463.43,8.08,2
51053000303,51,053,000303,557,498,11,0
51053000401,51,053,000401,462,635,6,1
51053000402,51,053,000402,281.48,341.35,6.02,0
51053000403,51,053,000403,261,187,4,0
51053000501,51,053,000501,166.16,56.94,1.03,0.01
51053000502,51,053,000502,1115,453,14,0
51057000101,51,057,000101,545.59,419.76,11.8,0
51057000201,51,057,000201,686.88,349.07,4.03,0
51057000301,51,057,000301,482.8,733.42,11.92,0.98
51057000401,51,057,000401,554.64,619.95,8.42,0.04
51059000104,51,059,000104,1213.2,557.45,35.75,5.05
51059000105,51,059,000105,2360.28,964.88,68.19,9.13
51059000106,51,059,000106,1686.8,492.55,32.25,1.95
51059000108,51,059,000108,1183,542,31,5
51059000109,51,059,000109,725,303,20,1
51059000110,51,059,000110,1840.71,801.23,56.63,0.97
51059000113,51,059,000113,1989,820,58,13
51059000114,51,059,000114,911.75,425.42,35.95,2
51059000115,51,059,000115,959.68,471.5,34.5,4.06
51059000116,51,059,000116,1224,470,38,5
51059000117,51,059,000117,1278.25,626.58,39.05,7
51059000118,51,059,000118,2096,660,71,5
51059000119,51,059,000119,1943,836,59,7
51059000120,51,059,000120,1317.9,760.75,28.69,4.63
51059000121,51,059,000121,924.47,418.17,40.17,4.02
51059000123,51,059,000123,1956,824,69,4
51059000125,51,059,000125,1514,638,41,8
51059000126,51,059,000126,1242,420,58,4
51059000127,51,059,000127,2243,807,84,2
51059000128,51,059,000128,1181.25,426.78,35.48,0.03
51059000129,51,059,000129,876.25,349.94,27.59,0.08
51059000130,51,059,000130,1207,514,50,4
51059000131,51,059,000131,1617,662,40,6
51059000132,51,059,000132,1929,588,57,5
51059000133,51,059,000133,401,117,12,0
51059000134,51,059,000134,1713.82,197.98,59.1,1.97
51059000201,51,059,000201,2058.41,678.02,69.06,2.03
51059000202,51,059,000202,1604.16,808.65,42.99,8.87
51059000203,51,059,000203,2157.79,895.51,42.12,4.68
51059000204,51,059,000204,476,131,9,0
51059000208,51,059,000208,1934.61,487.38,55.7,4.97
51059000209,51,059,000209,1921.26,448.08,48.3,0.09
51059000213,51,059,000213,1991.34,817.73,60.98,5
51059000214,51,059,000214,1583,628,42,11
51059000216,51,059,000216,827.82,293.87,25.9,0
51059000218,51,059,000218,1220,369,23,1
51059000219,51,059,000219,1759.16,753.47,43.26,4
51059000220,51,059,000220,2486.1,671.51,53.19,4.62
51059000221,51,059,000221,1327.27,443.47,29.25,3.78
51059000222,51,059,000222,1343,256,27,4
51059000223,51,059,000223,2122.73,572.31,56.83,9.97
51059000224,51,059,000224,2659.97,627.81,79.69,6.97
51059000225,51,059,000225,2176.89,455.35,64.91,1
51059000226,51,059,000226,1579.71,711.28,41.95,7.17
51059000227,51,059,000227,896.99,418.41,36.56,1.02
51059000229,51,059,000229,2549.66,1158.38,66.08,4.33
51059000233,51,059,000233,1660.45,749.15,29.02,5
51059000234,51,059,000234,1467.23,485.87,29.83,0.96
51059000235,51,059,000235,1581,406,31,0
51059000236,51,059,000236,742.92,272.96,26.1,1
51059000237,51,059,000237,1558.14,353.2,43.16,3.52
51059000238,51,059,000238,1619.23,665.55,51.29,6.03
51059000240,51,059,000240,981.17,560.79,22.13,0.85
51059000301,51,059,000301,1416.42,687.41,50.31,7.08
51059000302,51,059,000302,1230,584,35,9
51059000303,51,059,000303,614.97,249.83,16.01,2.4
51059000304,51,059,000304,1000.31,538.41,23.7,8.46
51059000305,51,059,000305,1164.89,420.61,33.12,5.33
51059000306,51,059,000306,885.42,646.25,16.43,7.17
