GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMUR,G18USSRCOR,G18USSLLIO,G18USSGRUS,G18USSOWRI,G18GOVDLAM,G18GOVRSTE,G18GOVLHAN,G18GOVOGRI,G18GOVOGRE,G18GOVOWRI,G18ATGDTON,G18ATGRHAT,G18ATGGGOS,G18SOSDMER,G18SOSRCHA,G18SOSLGWY,G18SOSGDER,G18TREDWOO,G18TRERGRA,G18TRELBRO,G18TREOWRI,G18COMDLEM,G18COMRMIL,G18COMLPAS,G18COMGHEF
0900505-034,09,005,05-034,527.79,824.85,14.08,6.08,0,405.25,890.9,5.04,77.9,1,0,427.51,923.09,12.15,496.6,831.81,12.19,14.08,465.34,866.08,23.23,0,499.68,829.78,13.19,13.08
0900505-035,09,005,05-035,121,85,2,0,0,104,91,4,13,1,0,105,94,7,113,88,1,5,110,93,5,0,117,83,2,5
0900505-036,09,005,05-036,140,143,3,4,0,110,168,0,18,0,0,122,166,6,143,147,0,3,139,153,0,0,131,151,3,4
0900505-037,09,005,05-037,741.74,742.65,16.36,7.27,0,594.48,873.54,13.63,58.18,0,0,616.3,864.45,18.18,698.11,754.46,14.54,23.63,676.29,791.73,22.72,0,695.38,751.74,22.72,15.45
0900505-038,09,005,05-038,167.29,292.06,1.85,1.85,0,129.39,317.94,0.92,22.18,0,0,135.86,322.56,3.7,162.67,291.14,4.62,1.85,156.2,297.61,5.55,0,164.52,290.21,4.62,1.85
0900505-039,09,005,05-039,6.92,12.09,0.08,0.08,0,5.36,13.16,0.04,0.92,0,0,5.62,13.35,0.15,6.73,12.05,0.19,0.08,6.47,12.32,0.23,0,6.81,12.01,0.19,0.08
0900505-042,09,005,05-042,3.2,3.54,0.05,0.05,0,2.41,4.15,0.04,0.39,0.01,0,2.63,4.07,0.09,3.12,3.49,0.05,0.09,2.94,3.67,0.1,0,3.08,3.51,0.09,0.07
0900505-043,09,005,05-043,188,192,5,3,0,164,215,1,16,0,0,171,211,1,192,175,3,7,186,188,3,0,174,198,4,1
0900505-044,09,005,05-044,367,388,6,4,0,298,431,5,32,1,0,310,439,4,346,393,8,4,309,435,10,0,327,410,8,4
0900505-045,09,005,05-045,1222,678,18,8,0,1057,795,8,75,2,0,1114,762,17,1166,706,15,15,1120,752,25,0,1120,730,20,15
0900505-046,09,005,05-046,1048.43,1748.7,27.54,7.87,0,790.75,1956.23,11.8,114.09,1.97,0,859.6,1944.42,14.75,1018.93,1750.67,23.6,15.74,942.21,1817.55,25.57,0,1019.91,1743.78,23.6,8.85
0900505-047,09,005,05-047,966,1691,21,11,0,780,1857,15,70,3,0,788,1851,25,962,1673,16,14,876,1753,25,0,941,1676,27,11
0900505-048,09,005,05-048,777,1370,14,4,0,577,1525,8,98,1,0,651,1490,16,738,1362,16,16,710,1390,22,0,753,1354,11,6
0900505-049,09,005,05-049,838.38,1399.25,14.03,9.02,0,623.16,1587.5,3.01,92.09,1,0,660.17,1569.43,18.02,799.3,1412.26,18.02,19.02,752.27,1449.3,24.03,0,800.27,1400.26,23.02,8.02
0900505-050,09,005,05-050,1818,2244,30,35,0,1441,2535,15,210,4,0,1491,2525,71,1731,2256,30,51,1676,2309,49,0,1703,2267,34,48
0900505-051,09,005,05-051,2235,2407,33,24,0,1876,2707,19,153,7,0,1999,2616,38,2136,2457,34,33,2063,2541,40,0,2099,2473,36,29
0900505-052,09,005,05-052,231,286,2,2,0,197,313,1,11,1,0,199,321,2,220,293,1,2,217,293,2,0,221,284,4,4
0900505-053,09,005,05-053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0900505-054,09,005,05-054,2284.08,2521.19,36.61,34.69,0,1721.86,2955.87,32.33,278.57,4,0,1875.9,2902.03,63.76,2227.71,2485.45,38.42,62.31,2095.68,2617.03,74.21,0,2197.5,2501.14,61.21,51.5
0900707-001,09,007,07-001,1440,674,16,9,0,1171,884,5,109,1,0,1250,851,27,1366,734,12,22,1312,770,32,0,1296,776,26,19
0900707-002,09,007,07-002,3539.09,2792.33,30.92,33.88,0,2809.17,3407.4,18.96,248.48,5,0,2908.43,3326.2,77.77,3187.65,2983.18,39.9,55.84,3168.52,2994.33,60.86,0,3105.75,3022.1,49.87,48.87
0900707-003,09,007,07-003,3930.39,3005.93,49.4,21.9,0,3086.34,3553.26,42.6,408.93,5.6,0,3332.06,3518.46,79.31,3610.68,3170.93,50.8,64.5,3542.67,3205.14,87.31,0,3568.08,3138.43,66.8,59.5
0900707-004,09,007,07-004,1431.2,876.39,14.89,12.9,0,1141.39,1089.78,11.91,118.11,0,0.99,1216.82,1056.03,27.79,1342.87,921.05,14.89,24.81,1299.2,940.9,23.82,0,1298.2,949.83,15.88,15.88
0900707-005,09,007,07-005,1235,1233,19,12,0,971,1427,14,125,2,0,1059,1394,30,1153,1266,28,29,1114,1312,26,0,1115,1313,33,17
0900707-006,09,007,07-006,132,126,2,2,0,114,141,0,13,0,0,108,149,4,120,132,2,3,117,129,4,0,116,131,3,3
0900707-007,09,007,07-007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0900707-008,09,007,07-008,480,605,7,8,0,381,682,4,55,1,0,402,676,13,452,614,9,14,428,645,11,0,423,640,9,8
0900707-009,09,007,07-009,2389.62,2163.66,23,39.99,0,1934.7,2466.61,27,241.96,3,0,2012.68,2482.61,70.99,2303.64,2174.66,39.99,41.99,2206.65,2252.65,57.99,0,2195.65,2238.65,52.99,40.99
0900707-010,09,007,07-010,3239.84,2965.25,60.21,31.25,0,2560.92,3391.78,38.04,383.48,7,0,2675.41,3472.6,96.34,3019.31,3056.52,71.21,78.25,2952.21,3110.58,122.42,0,2986.13,3075.44,85.32,63.21
0900707-011,09,007,07-011,2384,1518,22,17,0,1916,1843,14,207,2,0,2015,1829,46,2210,1618,25,32,2140,1677,34,0,2134,1662,28,34
0900707-012,09,007,07-012,1145.57,1019.24,14.59,10.82,0,914.06,1156.6,7.78,127.51,0.97,0,960.88,1176.63,25.47,1089.82,1035.9,13.68,16.65,1044.32,1079.51,17.63,0,1042.15,1069.83,14.71,13.68
0900707-013,09,007,07-013,1001.65,1096.13,15.41,13.3,0,752.25,1250.93,8.22,132.51,2.03,0,816.54,1259.48,34.7,947.11,1116.58,13.38,20.46,903.84,1157.8,26.48,0,911.79,1136.53,21.4,22.38
0900707-014,09,007,07-014,120.16,105.97,0,1.89,0,104.99,108.85,0,17.01,0,0,106.89,118.28,2.84,115.43,107.86,0.95,1.89,119.18,105.04,1.9,0,115.41,105.98,1.89,0.95
0900707-015,09,007,07-015,1894.61,1680.57,18.08,17.05,0.01,1498.07,1991.65,13.03,149.69,1,0,1579.79,1969.96,27.18,1737.32,1776.34,24.08,30.14,1699.94,1810.71,37.13,0,1685.13,1805.34,32.11,22.14
0900707-016,09,007,07-016,1187,1085,16,14,0,940,1281,10,118,0,1,996,1258,27,1132,1105,22,24,1078,1136,39,0,1098,1123,30,28
0900707-017,09,007,07-017,763.16,210.07,8.63,10.83,0,695.37,259.47,4.58,43.41,1.94,0,691.75,253.65,26.51,714.81,228.56,16.38,22.46,727.15,223.63,18.58,0,705.83,229.01,15.5,18.93
0900707-018,09,007,07-018,224,60,5,0,0,210,76,1,10,0,0,210,74,0,218,60,3,0,221,58,4,0,214,61,4,0
0900707-019,09,007,07-019,314.45,136.51,5.08,2.08,0,264.12,168.74,1.32,27.21,1.26,0,281.72,164.95,7.32,301.76,143.03,4.03,3.57,295.95,145.36,7.13,0,300.33,140,4.01,3.48
0900707-020,09,007,07-020,829.11,629.05,10.58,6.73,0,695.41,717.53,6.73,69.25,0.96,0,709.84,731.96,13.47,788.71,641.55,11.54,11.54,750.24,664.63,21.16,0,767.55,653.09,17.31,9.62
0900707-021,09,007,07-021,1667,807,25,8,0,1425,960,18,137,1,0,1450,985,31,1574,842,31,23,1542,864,39,0,1547,846,43,20
0900707-022,09,007,07-022,857,538,10,1,0,711,626,9,79,1,0,727,651,17,811,562,9,11,809,568,13,0,800,562,12,7
0900707-023,09,007,07-023,744,326,10,3,0,646,401,4,47,2,0,664,387,19,711,332,11,18,718,330,15,0,699,341,10,11
0900707-024,09,007,07-024,218.88,47.76,1.67,3.38,0.01,201.27,56.23,0.85,13.36,0.02,0,195.22,62.9,6.86,213.48,45.45,1.7,5.99,209.5,50.34,1.75,0,205.25,44.57,3.36,5.13
0900707-025,09,007,07-025,1157,616,12,12,0,968,730,10,95,0,0,1019,732,19,1091,647,12,18,1071,664,17,0,1070,665,9,16
0900707-026,09,007,07-026,689.16,475.75,9.79,11.75,0,600.08,547.22,1.96,68.52,0,0,622.59,538.4,15.66,664.69,488.48,9.79,11.75,659.79,491.42,19.58,0,655.87,484.56,14.68,9.79
0900707-027,09,007,07-027,1257,705,16,14,0,1087,840,10,83,3,0,1095,846,24,1192,740,11,22,1194,744,17,0,1164,747,22,16
0900707-028,09,007,07-028,1453,710.49,10.89,20.19,1,1270.17,843.54,13.5,97.46,6.2,0,1278.47,848.94,36.87,1367.75,722.47,25.78,35.48,1366.24,733.87,38.98,0,1367.76,723.57,35.68,23.08
0900707-029,09,007,07-029,590,302,4,2,0,509,358,4,41,0,0,503,366,18,548,314,11,11,543,310,17,0,532,320,17,8
0900707-030,09,007,07-030,981.12,98.24,3.33,10.62,0.99,942.73,125.77,3.15,21.64,1.98,0,907.78,136.1,33.14,924.52,118.55,6.3,27.01,942.5,111.66,12.25,0,925.75,111.43,7.64,22.87
0900707-031,09,007,07-031,1338,1081,14,8,0,1071,1257,4,129,1,0,1145,1265,12,1237,1168,11,10,1206,1186,20,0,1190,1192,14,10
0900707-032,09,007,07-032,1928,1423,21,11,0,1528,1698,8,182,2,0,1613,1701,34,1800,1499,17,27,1737,1530,28,0,1697,1568,26,20
0900707-033,09,007,07-033,2528,2103,31,20,2,1990,2381,17,345,4,0,2160,2424,58,2397,2135,34,54,2329,2184,68,0,2394,2123,35,40
0900707-034,09,007,07-034,1058.04,900.8,17.05,14.26,0,806.02,1107.87,12.02,103.71,1,0,861,1077.56,29.29,963.59,958.75,17.14,19.36,998.52,970.61,28.4,0,921.76,993.06,18.24,13.29
0900707-035,09,007,07-035,699.96,690.2,1.95,10.74,0,534.98,816.13,0.98,70.29,0,0,575,803.44,11.71,640.41,729.25,5.86,14.64,637.48,723.39,16.6,0,606.24,741.94,9.76,11.71
0900909-001,09,009,09-001,496.04,286.36,5.82,9.71,0,423.23,349.46,3.88,38.83,1.94,0,445.56,332.96,10.68,474.68,297.04,4.85,5.82,470.8,297.04,13.59,0,451.39,610.58,8.74,8.74
0900909-002,09,009,09-002,479,327,9,1,0,374,428,8,16,0,0,404,387,8,434,359,9,3,438,342,15,0,406,369,14,9
0900909-003,09,009,09-003,461.05,321.62,1.01,1.04,0,383.56,393.08,3.03,21.06,1.01,0,380.66,376.95,8.07,419.87,335.66,11.05,6.08,425.83,327.76,12.06,0,396.73,350.85,16.05,4.04
0900909-004,09,009,09-004,332.95,176.38,0.99,3.96,0,279.44,226.92,2.97,6.94,0.99,0,290.34,212.05,7.93,313.13,181.34,5.95,8.92,308.17,192.24,6.94,0,297.27,201.15,5.95,3.96
0900909-005,09,009,09-005,510.96,346.64,4.18,5.29,0,411.77,436.54,2.12,30.17,1.06,0,433.44,418.04,11.32,465.32,372.96,6.15,12.18,465.2,365.96,15.41,0,423.61,418.42,5.26,8.26
0900909-006,09,009,09-006,527,581,9,4,0,395,719,8,39,0,0,416,670,14,477,599,10,12,465,594,22,0,436,636,17,11
0900909-007,09,009,09-007,577,614,10,6,0,436,747,7,49,1,0,482,702,11,560,633,8,10,526,629,20,0,510,667,16,5
0900909-008,09,009,09-008,1208.38,1601.47,28,8.01,1,901.35,1873.5,19.01,109.02,4,1,969.33,1822.52,27.01,1082.35,1670.49,31.01,17.01,1042.36,1702.44,32.01,3,1049.38,1703.45,26.01,12.01
0900909-009,09,009,09-009,1551,1471,16,14,0,1285,1722,6,83,0,1,1350,1654,35,1441,1538,21,27,1399,1577,28,0,1391,1579,25,18
0900909-010,09,009,09-010,1536.59,1031.7,15.75,7.9,0,1236.47,1327.69,8.89,67.23,0.03,0,1299.54,1243.01,13.89,1385.6,1127.46,17.7,22.7,1362.81,1150.1,28.54,0,1349.18,1141.21,26.59,18.72
0900909-011,09,009,09-011,915,498,4,3,0,753,641,2,35,1,0,788,610,8,819,569,2,12,818,560,8,0,821,557,9,4
0900909-012,09,009,09-012,1038.79,462.01,7.98,6.98,0,891.23,590.67,5.98,42.87,6.96,0,925.12,560.72,17.94,978.97,498.88,8.97,12.98,958.06,518.82,12.96,0,961.06,515.8,8.99,11.95
0900909-013,09,009,09-013,1480.55,895.64,15.94,13.13,0,1262.77,1107.7,8.45,61.96,1.91,0,1307.84,1042.07,23.48,1393.24,941.67,14.08,28.13,1375.36,969.83,19.71,0,1385.66,950.18,20.62,11.29
0900909-014,09,009,09-014,1490.08,930.47,14.21,8.1,9,1250.16,1148.34,17.12,49.88,0,0,1295.98,1119.23,17.18,1386.1,1016.73,16.23,14.3,1347.81,1051.02,25.37,0,1354.63,1030.91,22.35,12.24
0900909-015,09,009,09-015,1240.09,871.55,8.07,7.83,0,991.09,1096.52,8.5,68.61,4.06,0,1029.98,1052.15,20.38,1122.94,950.11,6.97,18.78,1094.02,962,13.33,0,1106.44,952.74,14.37,10.73
0900909-016,09,009,09-016,840,664,6,4,0,671,833,4,21,0,0,718,773,9,766,710,8,12,743,742,6,0,744,726,11,12
0900909-017,09,009,09-017,1837,1444,16,7,0,1439,1739,6,137,2,0,1553,1687,23,1668,1552,15,17,1623,1578,30,0,1644,1541,26,18
0900909-018,09,009,09-018,786,756,4,5,0,621,876,4,65,0,0,673,866,15,732,794,7,10,720,800,16,0,720,795,11,10
0900909-019,09,009,09-019,1102,1005,11,12,0,879,1163,8,91,1,0,961,1139,19,1043,1030,12,19,996,1067,30,0,995,1066,20,14
0900909-020,09,009,09-020,1666,1177,20,3,0,1309,1453,13,119,5,0,1434,1386,26,1539,1257,21,13,1490,1278,40,0,1504,1262,36,19
0900909-021,09,009,09-021,707,518,7,6,0,549,624,5,63,4,0,602,601,19,649,540,8,13,635,557,14,0,637,549,7,15
0900909-022,09,009,09-022,984.46,867.23,11.42,8.28,0.02,746.75,1056.89,7.54,76.25,0.06,0,812.91,1026.15,11.76,899.91,908.57,18.48,12.8,866.04,940.3,20.95,0,880.41,915.66,16.64,8.51
0900909-023,09,009,09-023,531,436,5,7,0,409,509,4,56,1,0,439,517,11,501,438,12,12,479,466,18,0,487,450,14,6
0900909-024,09,009,09-024,742.23,476.14,6.37,3.36,0,617.94,588.21,7.22,36,0.01,0,659.34,548.48,12.45,684.03,509.69,8.52,8.24,684.16,501.29,17.54,0,666.75,528.59,11.9,6.07
0900909-025,09,009,09-025,268.86,235.82,2.75,3.67,0,205.54,295.47,1.84,15.6,0,0,222.06,277.12,4.59,249.59,250.51,4.59,0.92,253.26,244.08,5.51,0,229.4,267.02,8.26,0
0900909-026,09,009,09-026,1178.06,1241.26,16.79,5.92,0,911.44,1502.94,12.84,87.89,0.99,0,952.92,1450.61,17.77,1074.38,1298.54,17.77,21.72,1058.58,1302.49,23.7,0,1019.08,1351.86,25.67,12.84
0900909-027,09,009,09-027,1161.21,909.21,9.55,9.22,0,937.19,1195.96,2.5,37.62,0.03,0,931.88,1120.29,15.36,1044.43,970.91,13.38,19.9,1059.24,958.36,20.64,0,1040.71,973.25,20.59,9.63
0900909-028,09,009,09-028,1188.36,1023.59,5.99,13.98,0,940.7,1275.24,8.99,65.91,1,0,994.63,1191.36,23.97,1070.53,1082.51,14.98,24.97,1081.51,1067.53,22.97,0,1106.48,1045.56,19.97,10.98
0900909-029,09,009,09-029,776.28,915.46,5.01,6,0,615.23,1104.51,4.01,35.02,1,0,635.25,1031.48,13.99,692.35,959.38,6,25.99,702.28,938.43,15.99,0,676.34,961.4,19,8
0900909-030,09,009,09-030,51.01,70.14,0.64,0,0,40.81,80.98,0.64,3.19,0,0,43.36,75.88,0,52.92,65.68,0,0,48.46,68.87,0,0,51.65,66.95,0.64,0
0900909-031,09,009,09-031,28.31,38.92,0.35,0,0,22.65,44.94,0.35,1.77,0,0,24.06,42.11,0,29.37,36.45,0,0,26.89,38.22,0,0,28.66,37.15,0.35,0
0900909-032,09,009,09-032,962.64,844.41,13.01,16.02,0,774.3,1097.76,6.01,43.09,3,0,800.37,997.64,20.03,882.47,883.49,10.02,26.03,875.49,882.47,20.03,0,890.52,861.44,19.03,19.02
0900909-033,09,009,09-033,994.4,950.47,13,8,0,788.32,1180.57,10,57.02,2,0,822.33,1103.53,22.01,906.36,1005.5,9,28.01,906.36,995.48,23.01,0,910.35,990.5,14.01,14
0900909-034,09,009,09-034,1638.65,664.27,8.22,7.17,0,1406.98,883.14,7.17,55.64,1.09,3,1462.99,814.13,20.43,1523.8,737.12,8.26,23.43,1503.13,759.28,15.41,0,1521.36,736,12.48,18.35
0900909-035,09,009,09-035,1614.83,897.62,13.16,7.13,0,1351.11,1138.74,8.13,55.22,5.06,0,1407.61,1065.24,24.32,1497.97,955.74,19.19,24.32,1485.47,966.86,25.31,0,1503.38,944.91,17.35,16.26
0900909-036,09,009,09-036,1721.52,992.11,9.62,7.7,0,1379.91,1298.11,7.7,73.13,3.85,0,1469.4,1208.62,19.25,1550.23,1119.13,11.55,19.25,1520.4,1125.87,18.28,0,1575.25,1069.09,21.17,15.4
0900909-037,09,009,09-037,1343,1032,16,15,0,1135,1221,12,61,1,0,1171,1179,29,1253,1068,18,32,1224,1112,28,0,1248,1069,21,26
0900909-038,09,009,09-038,1619,726,7,3,0,1401,906,5,59,2,0,1451,849,20,1499,775,12,21,1463,818,18,0,1524,768,13,19
0900909-039,09,009,09-039,1344.14,544.03,15.1,11.23,0,1178.2,703.41,5.12,56.33,1.04,0.02,1216.82,649.02,31.33,1266.44,577.9,21.21,30.33,1254.96,595.04,29.54,0,1251.09,585.92,25.35,23.33
0900909-040,09,009,09-040,1541,390,16,6,0,1417,502,17,40,2,0,1412,483,24,1472,413,20,20,1496,400,22,0,1461,414,16,16
0900909-041,09,009,09-041,1612,162,7,2,0,1574,221,6,22,0,0,1540,219,6,1568,179,7,11,1585,181,7,0,1553,193,6,11
0900909-042,09,009,09-042,2282,672,14,15,0,2026,878,10,84,0,9,2069,829,37,2149,735,16,28,2129,741,34,0,2123,744,24,21
0900909-043,09,009,09-043,2175.31,330.12,13.9,15.96,0,2028.14,434.7,7.93,69.67,1.03,0,2030.6,427.02,37.78,2072.65,371.08,16.9,31.75,2084.4,369.25,19.91,0,2045.75,380.03,16,35.64
0900909-044,09,009,09-044,36.58,4.74,0.2,0.23,0,34.45,6.25,0.12,1.01,0.01,0,34.48,6.14,0.55,35.09,5.34,0.25,0.46,35.26,5.31,0.29,0,34.7,5.47,0.23,0.52
0900909-045,09,009,09-045,1561.11,468.14,6.9,12.81,0,1404.41,610.05,2.96,46.32,2.96,0,1437.92,556.83,22.67,1482.27,505.59,9.86,14.78,1477.34,515.44,13.8,0,1462.55,511.5,15.77,10.84
0900909-046,09,009,09-046,1895,699,14,17,0,1667,902,7,69,6,3,1704,872,30,1773,775,21,28,1786,765,30,0,1774,779,33,21
0900909-047,09,009,09-047,2064,960,13,9,0,1828,1175,16,62,1,2,1841,1156,21,1924,1034,16,29,1923,1051,29,0,1921,1033,27,19
0900909-048,09,009,09-048,118,85,2,0,0,94,106,0,7,0,0,108,93,3,104,90,2,4,110,90,3,0,106,87,4,4
0900909-049,09,009,09-049,1378.86,966.97,4.9,11.77,0,1178.8,1138.59,5.88,67.67,1.96,0.98,1210.18,1118.98,16.67,1292.56,1011.1,10.79,16.67,1268.04,1017.96,27.46,0,1274.91,1012.08,17.65,16.67
0900909-050,09,009,09-050,1299,483,12,7,0,1124,642,9,46,0,0,1162,602,23,1215,538,11,17,1205,562,11,0,1190,542,26,18
0900909-051,09,009,09-051,424,147,2,0,0,370,198,0,13,0,0,373,186,6,390,169,4,4,387,173,2,0,383,173,5,5
0900909-052,09,009,09-052,3058.91,2086.67,19.08,10.12,1,2382.83,2649.6,15.04,181.52,7,0,2605.57,2470.8,34.23,2746.35,2307.82,22.1,25.16,2677.48,2369.67,41.14,0,2662.25,2335.9,29.13,26.13
0900909-053,09,009,09-053,2812.39,2007.43,20.92,13.95,1.99,2138.93,2557.35,8.97,183.31,0,0,2329.21,2374.04,48.82,2470.68,2211.66,19.92,36.86,2370.06,2308.29,33.87,0,2419.87,2211.66,28.89,35.86
0900909-054,09,009,09-054,885.08,472.8,12.02,15.01,0,761.84,612.99,10.02,48.09,4,0,760.89,576.96,18.03,827.98,495.85,15.02,17.03,807.98,499.85,27.04,0,798.95,503.86,11.03,18.02
0900909-055,09,009,09-055,464,133,8,3,0,431,178,6,13,2,0,418,173,10,426,152,9,16,433,148,9,0,417,154,7,6
0900909-056,09,009,09-056,991.77,358.7,15.51,14.54,0,921.97,447.9,9.69,26.18,3.88,0,919.06,419.78,21.33,968.5,363.55,12.6,24.24,949.11,385.85,19.39,0,943.3,378.09,14.54,16.48
0900909-057,09,009,09-057,505,113,2,4,0,454,157,1,22,1,0,454,138,9,463,124,9,9,466,121,11,0,454,130,7,6
0900909-058,09,009,09-058,493,108,7,3,0,428,160,4,24,2,0,440,144,8,453,124,4,9,448,126,6,0,443,128,3,5
0900909-059,09,009,09-059,758,480,5,8,0,641,582,4,52,2,0,654,571,15,709,502,10,18,708,498,14,0,706,503,8,11
0900909-060,09,009,09-060,779.23,378.3,5.49,10.46,0,652.03,498.1,5.31,35.82,2.12,0,679.94,454.22,16.67,729.5,397.45,12.4,12.76,720.89,397.15,22.61,0,695.7,413.91,17.46,5.52
0900909-061,09,009,09-061,1052.89,736.93,18,8,0,807.92,931.91,9,83.99,4,0,865.91,906.91,13,975.9,779.92,17,18,953.9,795.92,23,0,947.9,801.92,18,6
0900909-062,09,009,09-062,786,427,16,7,0,647,551,6,53,2,0,658,544,20,730,451,17,18,711,461,31,0,708,461,20,12
0900909-063,09,009,09-063,944.78,717.89,11.34,6.22,0,748.65,870.05,18.26,87.48,0.05,0,748.09,886.82,24.48,873.87,755.99,9.34,27.33,843.02,767.22,25.47,0,841.37,744.65,22.48,19.4
0900909-064,09,009,09-064,1612,1015,15,16,0,1299,1269,17,124,6,0,1361,1231,32,1476,1101,18,29,1464,1099,37,0,1468,1087,24,27
0900909-065,09,009,09-065,1338.44,993.71,20.57,13.73,0.98,1046.5,1231.83,25.45,112.63,2.94,0,1108.14,1193.48,36.25,1211.12,1060.35,24.49,38.19,1212.08,1052.51,46.03,0,1185.65,1065.2,31.35,24.5
0900909-066,09,009,09-066,867.86,708.53,6.03,5.02,0,708.17,828.08,4.02,68.22,0,0,725.36,819.99,17.03,809.61,729.65,10.05,17.04,792.51,736.75,15.06,0,776.56,745.67,17.05,12.02
0900909-067,09,009,09-067,1047,1354,13,10,0,822,1563,10,80,0,0,856,1527,24,971,1384,20,19,902,1450,22,0,945,1390,27,18
0900909-068,09,009,09-068,570,858,3,4,0,451,953,4,42,1,0,469,945,12,543,863,6,10,517,890,7,0,516,883,10,9
0900909-069,09,009,09-069,2565.6,1965.07,23.94,15.96,0,2040.91,2482.77,11.97,106.74,2.99,0,2188.54,2291.27,40.89,2320.21,2120.69,38.9,40.9,2283.3,2154.61,53.86,0,2248.39,2170.56,51.87,25.94
0900909-070,09,009,09-070,974.45,803.7,12.76,5.89,0,789.96,975.43,11.78,41.22,0.98,0,838.04,926.36,11.78,882.2,852.76,19.63,9.81,864.54,871.41,25.51,0,860.62,859.63,22.57,9.81
0900909-071,09,009,09-071,1601,1041,21,24,0,1332,1313,13,73,1,0,1371,1241,41,1453,1132,30,30,1445,1142,38,0,1412,1144,40,27
0900909-072,09,009,09-072,1575,1140,17,10,0,1290,1406,12,64,1,0,1377,1309,31,1443,1223,19,32,1444,1231,28,0,1421,1221,29,25
0900909-073,09,009,09-073,1055.1,809.91,9.01,10.01,0,842.89,998.1,12.01,54.05,1,0,909.95,931.05,15.01,977,838.96,13.02,22.01,952.98,861.99,20.03,0,943.97,857.97,23.03,18.01
0900909-074,09,009,09-074,719.2,442.27,5.79,6.51,0,595.21,547.93,4.66,38.01,2.06,0,635.76,515.8,11.98,650.36,489.05,8.98,13.45,647.74,491.76,18.45,0,639.21,497.9,14.39,8.11
0900909-075,09,009,09-075,1634.38,1684.12,14.26,19.15,0,1280.38,2036.74,11.22,72.17,1.02,1,1383.71,1904.49,22.3,1437.8,1804.73,21.34,33.39,1421.32,1828.23,40.49,0,1412.18,1822.97,28.46,19.31
0900909-076,09,009,09-076,920.43,772.51,3.11,4.01,0,738.83,943.11,5.07,34,0.01,0,797.56,869.58,8.03,849.35,807.59,10.09,12.93,820.55,834.43,13.12,0,818.53,836.26,12.1,7.02
0900909-077,09,009,09-077,2599.89,1900.54,24.09,15.42,0,2081.41,2378.63,20.21,122.34,1.93,0,2220.21,2252.21,29.9,2330.13,2076.83,29.9,44.32,2281.01,2128.82,44.36,0,2264.58,2102.92,42.43,33.71
0900909-078,09,009,09-078,125.62,155.53,1,1.99,0,114.65,165.5,1.99,6.98,1,0,108.67,171.48,2.99,115.65,159.51,3.99,1.99,117.64,145.56,3.99,0,123.62,148.55,2.99,1.99
0900909-079,09,009,09-079,789,964,10,12,0,606,1155,7,48,0,0,643,1082,15,750,959,15,14,732,950,23,0,741,951,17,11
0900909-080,09,009,09-080,424,483,5,1,0,337,573,0,31,0,0,349,528,18,396,854,7,9,376,500,11,0,386,480,9,10
0900909-081,09,009,09-081,767,923,12,17,0,583,1093,9,77,5,0,637,1031,17,712,938,13,17,704,927,28,0,703,915,20,13
0900909-082,09,009,09-082,129,195,1,1,0,87,243,0,4,0,0,98,221,5,126,191,2,2,129,181,5,0,120,192,5,2
0900909-083,09,009,09-083,754,824,15,7,0,584,990,8,51,0,1,619,944,20,692,861,13,13,694,847,21,0,698,849,16,12
0900909-084,09,009,09-084,644,688,5,6,0,508,803,7,54,2,0,511,779,24,613,673,9,17,582,693,17,0,605,671,17,10
0900909-085,09,009,09-085,1069,1112,14,19,0,806,1349,7,81,0,0,846,1294,34,980,1142,17,23,974,1143,24,0,917,1152,23,19
0900909-086,09,009,09-086,149,130.04,2.71,7.45,0,121.91,161.2,2.71,11.51,0.68,2.03,129.36,152.39,6.77,138.17,135.46,6.77,8.13,144.94,133.43,4.74,0,137.49,136.14,3.39,8.8
0900909-087,09,009,09-087,71,61.96,1.29,3.55,0,58.09,76.8,1.29,5.49,0.32,0.97,61.64,72.61,3.23,65.83,64.54,3.23,3.87,69.06,63.57,2.26,0,65.51,64.86,1.61,4.2
0900909-088,09,009,09-088,445.37,31.38,0,1.35,0,428.5,41.36,0,7.17,0,0,419.9,38.74,2.23,422.7,34.48,4.85,1.35,409.43,44.75,5.82,0,411.27,40.98,2.91,3.39
0900909-089,09,009,09-089,733.36,38.79,4.62,0.92,0,714.88,48.95,3.69,16.63,0,0,678.86,47.1,8.31,684.4,36.94,3.69,11.08,688.1,39.72,3.69,0,676.09,40.64,2.77,8.31
0900909-090,09,009,09-090,456.22,36.42,0,2.88,0,450.47,51.76,0.96,2.88,0,0,436.09,41.21,2.88,449.51,35.46,0,1.92,440.88,37.38,0.96,0,441.84,34.5,0.96,3.83
0900909-091,09,009,09-091,144,14,3,1,0,139,21,1,1,0,0,138,19,2,136,16,0,4,140,17,3,0,140,15,0,2
0900909-092,09,009,09-092,439.46,40.68,2.02,3.02,0,446.26,53.91,2.02,1.12,2,0,427.12,51.88,3.03,456.35,38.78,1,5.02,438.2,41.75,4.01,0,425.17,40.78,3.03,3.02
