GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDBLU,G16USSRCAR,G16USSLLIO,G16USSGRUS,G16USSOWRI
0900909-139,09,009,09-139,783,893,43,21,1,1030,648,12,15,0
0900909-140,09,009,09-140,890.59,961.72,42.04,18.02,0,1130.8,756.5,21.02,11.02,0
0900909-141,09,009,09-141,2415.71,4702.12,179.2,64.47,18.17,3352.25,3749.92,56.43,53.29,0
0900909-142,09,009,09-142,722.49,1893.58,68.51,27.18,4.03,1126.49,1452.63,24.17,19.13,0
0900909-143,09,009,09-143,938.51,1807.42,87.49,30.82,4.97,1279.51,1474.37,29.83,22.87,0
0900909-144,09,009,09-144,1446.34,2191.64,97.89,58.76,7.94,2075.4,1569.75,39.93,35.92,0
0900909-145,09,009,09-145,575.32,1150.64,38.87,15.55,0.97,861.04,830.91,14.58,12.63,0
0900909-146,09,009,09-146,998.24,1473.52,89.96,42.58,5.08,1478.43,989.41,29.39,31.35,0
0900909-147,09,009,09-147,1746.66,1864.12,80.8,34.57,7.03,1959.01,1659.05,30.6,29.34,0
0900909-148,09,009,09-148,2524.21,3244.03,183.7,50.15,7.13,2864.64,2928.74,46.07,44.93,0
0900909-149,09,009,09-149,728.13,975.82,82.29,18.11,2.87,833.05,935.73,16.2,11.49,0
0900909-150,09,009,09-150,336.62,470.5,18.27,11.09,2.02,442.74,361.43,6.09,11.05,0
0900909-151,09,009,09-151,1401.02,1131.08,79.62,43.94,3.23,1746.29,793.27,32.95,39.22,1
0900909-152,09,009,09-152,746,715,50,16,1,934,527,18,13,0
0900909-153,09,009,09-153,1414.98,1441.92,91.38,49.06,5.77,1901.71,966.73,24.05,30.78,0
0900909-154,09,009,09-154,1806,1696,113,52,2,2250,1253,52,51,0
0900909-155,09,009,09-155,1089,962,67,20,4,1325,737,23,17,0
0900909-156,09,009,09-156,1339.76,1571.93,114.25,39.11,0,1808.83,1151.79,32.08,26.08,0
0900909-157,09,009,09-157,912.38,957.06,60.56,27.8,0,1173.49,680.07,18.86,18.86,0
0900909-158,09,009,09-158,1574.84,1957.27,119.63,41.19,9.81,2063.17,1494.43,37.26,23.53,0
0900909-159,09,009,09-159,824.72,1157.14,46.76,22.86,3.97,1034.53,866.84,21.89,22.86,0
0900909-160,09,009,09-160,378.91,346.48,15.73,10.78,0,454.51,241.18,10.82,5.21,0
0900909-161,09,009,09-161,1418.99,1537.53,72.96,17.67,0.03,1744.28,1126.12,40.64,24.32,0
0900909-162,09,009,09-162,663.06,125.29,9.87,10.85,0,623.59,91.75,9.87,8.88,0
0900909-163,09,009,09-163,1234.15,170.82,15.56,13.62,0,1134.9,128.06,13.74,13.45,0
0900909-164,09,009,09-164,471,240,8,15,0,505,156,6,10,0
0900909-165,09,009,09-165,1167.53,748.52,28.52,18.69,0,1288.52,520.32,18.69,20.66,0
0900909-166,09,009,09-166,872,341.48,15.1,16.04,0,874.38,249.29,18.84,12.28,0
0900909-167,09,009,09-167,1578.36,1500.05,53.68,29.28,4.99,1838.1,1094.88,31.21,22.28,0
0900909-168,09,009,09-168,1286.26,1168.54,74.63,33.51,0,1502.77,877.65,27.84,32.3,0
0900909-169,09,009,09-169,1143.42,619.78,24.84,20.5,0.01,1238.66,447.37,22.19,18.8,0
0900909-170,09,009,09-170,638.29,437.25,21.92,14.72,0,700.91,321.63,6.77,11.69,0
0900909-171,09,009,09-171,1621.76,1090.19,59.24,44.29,0,1821.35,787.58,33.39,40.19,0
0900909-172,09,009,09-172,1558.71,1051.79,50.96,38.96,0,1691.05,807.82,24.03,29.04,0
0900909-173,09,009,09-173,984.52,710.21,33.92,23.97,0,1100.82,534.81,19.9,21.91,0
0900909-174,09,009,09-174,302.35,442.73,16.53,8.8,0,400.87,327.47,6.86,3.04,0
0900909-175,09,009,09-175,62.68,70.29,2.75,1.4,0,70.2,60.01,1.31,0.13,0
0900909-176,09,009,09-176,0,0,0,0,0,0,0,0,0,0
0900909-177,09,009,09-177,855.78,176.62,8.83,13.73,0,798.87,130.49,16.68,14.71,0
0900909-178,09,009,09-178,445.64,176.25,16.35,8.18,0,445.6,116.29,8.18,11.81,0
0900909-179,09,009,09-179,1234.55,225.32,11.62,10.62,0,1171.21,149.01,15.68,13.62,0
0900909-180,09,009,09-180,1124.46,498.86,24.15,17.47,0,1163.71,332.13,19.44,20.77,0
0900909-181,09,009,09-181,1217,847,53,47,3,1478,496,34,28,0
0900909-182,09,009,09-182,1152,817,40,31,4,1434,493,28,20,0
0900909-184,09,009,09-184,1584,635,43,28,2,1689,433,31,23,0
0900909-185,09,009,09-185,1093.64,354.56,14.81,17.45,0.05,1120.31,217.55,14.4,13.46,0
0900909-186,09,009,09-186,1363.58,521.18,42.44,23.84,0,1473.57,341.03,19.64,19.23,0
0900909-190,09,009,09-190,1532.18,1848.76,81.36,50.33,0,2120.45,1190.9,41.54,28.8,0
0900909-191,09,009,09-191,861.71,1815.44,81.46,24.65,1.02,1247.27,1391.43,20.66,19.67,0
0900909-192,09,009,09-192,901.53,2377.55,92.12,32.63,0.03,1418.39,1862.61,29.53,30.5,0
0900909-193,09,009,09-193,811.77,1999.01,61.42,27.72,3.95,1253.34,1514.95,19.81,17.84,0
0900909-194,09,009,09-194,2853,1482,97,57,13,3070,1306,32,39,0
0900909-195,09,009,09-195,480,332,23,16,0,537,284,8,14,0
0900909-196,09,009,09-196,1216.83,270.71,30.11,11.04,0,1214.43,206.78,16.39,14.59,0
0900909-197,09,009,09-197,1397,397,26,21,0,1480,243,10,16,0
0900909-198,09,009,09-198,1154,1147,58,33,0,1530,740,24,32,0
0900909-199,09,009,09-199,835.82,941.24,33.64,24.67,0,1156.55,592.1,13.46,14.2,0
0901111-001,09,011,11-001,536,764,58,31,1,768,529,27,25,0
0901111-002,09,011,11-002,1648.42,1758.11,172.36,60.01,3.73,2073.29,1410.8,53.22,32.97,0
0901111-003,09,011,11-003,966.29,1023.18,119.37,39.34,4.31,1185.35,820.98,48.3,32.74,0
0901111-004,09,011,11-004,955.8,1001.45,89.36,38.85,23.31,1150.07,831.47,33.03,25.25,0
0901111-005,09,011,11-005,293.92,289.44,22.4,3.58,3.58,362.03,224.03,5.38,5.38,0
0901111-006,09,011,11-006,2139,1606,126,55,8,2483,1305,39,38,0
0901111-007,09,011,11-007,1876,1481,106,55,2,2253,1122,40,39,0
0901111-008,09,011,11-008,1497,1127,98,34,3,1793,865,27,19,0
0901111-009,09,011,11-009,409.33,607.97,47.78,18.91,3.94,614.35,416.98,20.77,12.91,0
0901111-010,09,011,11-010,786.95,1087.17,98.74,39.9,0,1184.92,680.23,38.9,24.94,0
0901111-011,09,011,11-011,1147.05,1924.83,133.26,49.1,9,1771.08,1279.77,50.1,40.06,0
0901111-012,09,011,11-012,1275,956,95,43,4,1495,672,58,33,0
0901111-013,09,011,11-013,974,513,50,38,3,1075,384,28,20,0
0901111-014,09,011,11-014,1074,858,88,46,2,1312,618,40,21,0
0901111-015,09,011,11-015,1299,1039,188,51,6,1536,831,56,34,0
0901111-016,09,011,11-016,1034.54,892.98,97.03,35.1,6.01,1269.12,658.64,30.96,23.06,0
0901111-017,09,011,11-017,1591.06,899.86,81.09,37.58,5.93,1744.33,767.35,21.75,23.73,0
0901111-018,09,011,11-018,1196,769,62,21,7,1320,658,21,17,0
0901111-019,09,011,11-019,1098,1432,114,43,9,1482,1101,49,30,0
0901111-020,09,011,11-020,485,683,60,23,1,675,509,26,12,0
0901111-021,09,011,11-021,1823.34,1957.64,189.37,58.83,18.89,2221.18,1565.1,87.51,55.73,0
0901111-022,09,011,11-022,905.36,944.02,101.85,35.58,3.99,1143.55,753.04,20.93,18.85,0
0901111-023,09,011,11-023,599.59,561.06,57.98,21.34,4.04,750.87,441.24,20.19,11.18,0
0901111-024,09,011,11-024,392.39,472.33,31.37,21.97,2.03,563.94,305.48,15.75,8.1,0
0901111-025,09,011,11-025,552,758,57,33,1,850,494,16,19,0
0901111-026,09,011,11-026,1029.58,575.07,73.55,28.31,4.01,1149.58,554.3,10.17,17.19,0
0901111-027,09,011,11-027,430,484,36,23,0,579,337,8,15,0
0901111-028,09,011,11-028,554,665,48,17,0,744,461,27,22,0
0901111-030,09,011,11-030,512,607,50,25,0,682,441,16,15,0
0901111-031,09,011,11-031,360,431,45,21,0,511,291,11,18,0
0901111-032,09,011,11-032,309,397,28,11,0,423,282,14,13,0
0901111-033,09,011,11-033,2804.28,657.27,83.23,97.34,0.1,2726.35,447.89,73.55,100.74,0
0901111-034,09,011,11-034,2153.72,665.73,63.77,95.66,2.9,2241.65,426.11,44.45,78.26,0
0901111-035,09,011,11-035,1347,601,70,44,1,1491,440,28,40,0
0901111-036,09,011,11-036,1289,1560,124,51,6,1697,1155,44,33,0
0901111-037,09,011,11-037,742.17,738.31,70.17,20.82,0.99,1000.05,492.18,26.72,13.88,0
0901111-038,09,011,11-038,1642.67,1224.34,116.2,65.07,0.93,2034.98,806,59.5,44.62,0
0901111-039,09,011,11-039,648.76,540.79,43.27,19.15,3,816.65,365.83,22.14,14.1,0
0901111-040,09,011,11-040,2179.47,1532.18,141.61,83.52,8,1601.13,1049,52.85,48.93,0
0901111-041,09,011,11-041,1322.3,582.19,80.37,56.07,0,1426.03,422.39,41.12,42.99,0
0901111-042,09,011,11-042,789.23,500.63,50.02,32.41,0,927.84,334.62,30.03,20.08,0
0901111-043,09,011,11-043,2498,1999,142,63,7,2942,1667,27,29,0
0901111-044,09,011,11-044,1026.32,1417.15,100.71,53.91,10.12,1439.4,1001.55,37.86,37.32,0
0901111-045,09,011,11-045,1029,1182,98,34,3,1289,964,27,22,0
0901111-046,09,011,11-046,546.41,875.36,79.08,30.32,2.02,853.37,589.57,33.41,22.21,0
0901111-047,09,011,11-047,1185.95,535.83,37.73,27.65,2.98,1256.15,477.46,9.93,26.64,0
0901111-048,09,011,11-048,2052.71,1888.02,138.21,62.16,1.02,2625.1,1277.69,58.06,55.15,0
0901111-049,09,011,11-049,609.84,466.03,35.09,13.91,2.98,724.46,356.93,9.58,11.56,0
0901111-050,09,011,11-050,1119.46,643.38,58.32,21.03,0.96,1237.05,558.3,16.25,12.43,0
0901111-051,09,011,11-051,676.44,555.9,33.54,19.58,3.11,804.8,448.62,10.46,9.43,0
0901111-052,09,011,11-052,431,862,63,29,0,652,629,36,21,0
0901111-053,09,011,11-053,1186,1094,92,48,5,1517,774,43,47,0
0901111-054,09,011,11-054,1260.62,1123.62,77.05,46.02,11,1552.8,822.45,27.01,37.02,0
0901111-055,09,011,11-055,1392.37,1393.36,110.08,53.55,9.92,1783.1,1012.54,25.78,48.59,0
0901111-056,09,011,11-056,1394.01,1250.02,88.87,41.42,6.08,1690.1,974.01,27.2,31.38,0
0901111-057,09,011,11-057,1175,1572,120,52,0,1659,1111,35,37,0
0901313-001,09,013,13-001,884.93,879.99,78.02,41.48,0,1083.45,723.94,37.53,24.69,0
0901313-002,09,013,13-002,1385,1436,120,49,12,1616,1274,33,35,0
0901313-003,09,013,13-003,1547.08,1489.55,149.95,63.56,10.92,1887.71,1260.12,39.73,39.73,0
0901313-004,09,013,13-004,1565.69,1627.38,164.08,75.23,12.01,1980.24,1296.39,55.85,53.96,0
0901313-005,09,013,13-005,1555.62,1643.54,150.87,37.97,0,1915.3,1351.8,47.96,44.96,0
0901313-006,09,013,13-006,2787,3192,253,84,30,3409,2703,93,75,0
0901313-007,09,013,13-007,745.58,1008.54,69.14,31.09,5,944.99,823.18,26.08,29.06,0
0901313-008,09,013,13-008,2671.63,2601.82,210.48,83.74,16.06,3124.82,2262.78,63.54,52.97,0
0901313-009,09,013,13-009,4883,1208.93,272.3,119.8,17.11,4699.94,1236.9,112.11,120.41,0
0901313-010,09,013,13-010,1064.62,341.7,52.83,48.89,0.13,1124.75,329.95,27.33,21.58,0
0901313-011,09,013,13-011,1402.75,496.25,64.38,77.55,11.18,1532.85,410.53,24.76,48.72,0
0901313-012,09,013,13-012,985.95,416.29,42.97,34.76,1.98,1071.52,333.19,24.17,26.06,0
0901313-013,09,013,13-013,2125,3350,163,46,10,2891,2552,70,47,5
0901313-014,09,013,13-014,592.45,958.5,84.73,31.02,0.05,878.6,667.16,26.75,25.62,0
0901313-015,09,013,13-015,1055.91,1270.13,138.31,45,1.95,1440.94,864.28,61.27,53.39,0
0901313-016,09,013,13-016,637.64,1115.38,72.96,29.98,0,969.46,783.56,26.98,22.99,0
0901313-017,09,013,13-017,1514.57,1433.51,158.09,54.01,10.4,1807.47,1253.14,42.57,33.11,0
0901313-018,09,013,13-018,2101.38,2076.26,200.35,79.77,10.37,2554.89,1739.68,46.48,36.15,0
0901313-019,09,013,13-019,370,366,37,11,5,438,332,12,7,0
0901313-020,09,013,13-020,188,277,22,9,0,253,229,7,6,0
0901313-021,09,013,13-021,2158.37,1380.78,163.7,84.21,1.02,2566.05,1088.44,76.93,71.85,0
0901313-022,09,013,13-022,2058.61,1662.1,169.11,58.98,1.18,2502.32,1326.78,46.98,42.61,0
0901313-023,09,013,13-023,1531.9,1295.02,115.19,44.81,4.8,1901.48,997.7,35.08,23.54,0
0901313-024,09,013,13-024,1335.12,1328.1,105.01,49,12,1648.15,1113.08,33,27,0
0901313-025,09,013,13-025,1446.48,1403.69,130.41,83.12,0.23,1813.65,1082,67.88,58.68,0
0901515-001,09,015,15-001,1112,1042,108,63,7,1360,843,43,40,1
0901515-002,09,015,15-002,1462.28,2052.36,141.07,60.01,4.99,2021.37,1517.13,62.01,42.02,0
0901515-003,09,015,15-003,917.19,1583.43,109.24,49.21,9.84,1306.9,1249.82,37.4,27.56,0
0901515-004,09,015,15-004,432.9,622.41,54.86,33.91,3.99,642.36,441.87,16.96,25.93,0
0901515-005,09,015,15-005,367,513,48,21,13,477,448,20,14,0
0901515-006,09,015,15-006,484,509,37,27,2,609,376,15,18,0
0901515-007,09,015,15-007,472,669,60,34,2,721,417,31,22,0
0901515-008,09,015,15-008,222,256,30,12,0,310,175,8,10,0
0901515-009,09,015,15-009,289,422,40,18,2,432,277,10,10,0
0901515-010,09,015,15-010,544,1033,82,29,10,827,767,30,19,0
0901515-011,09,015,15-011,131,188,15,3,0,188,129,3,2,0
0901515-012,09,015,15-012,360,691,45,25,0,520,503,28,17,0
0901515-013,09,015,15-013,472.72,656.64,53.93,19.99,0.01,648.63,458.87,18.99,15.98,0
0901515-014,09,015,15-014,576.17,889.04,86.52,24.72,3.15,886.57,579.55,38.49,29.36,0
0901515-015,09,015,15-015,444.46,677.56,45.74,19.45,2.9,668.69,456.18,24.33,8.84,0
0901515-016,09,015,15-016,276.14,501.84,50.9,12.84,0.11,475.36,327.8,17,7.4,0
0901515-017,09,015,15-017,719.67,1146.29,89.71,45.85,1.99,1080.51,773.5,54.82,30.9,0
0901515-018,09,015,15-018,175.36,322.83,28.9,20.92,0,284.97,231.16,11.96,14.95,0
0901515-019,09,015,15-019,1084,1014,94,33,7,1295,859,32,27,0
0901515-020,09,015,15-020,1111,1134.62,107.26,67.9,0.98,1518.4,701.63,68.88,44.28,0
0901515-021,09,015,15-021,451,710.38,53.74,15.1,5.02,650.6,496.37,26.12,13.72,0
0901515-022,09,015,15-022,306.83,512.69,57.41,21.77,0.99,455.29,391.94,11.88,11.88,0
0901515-023,09,015,15-023,478,1102,67,37,0,793,787,36,22,0
0901515-024,09,015,15-024,380.44,491.22,52.26,19.07,1,517.57,369.88,23.04,14.12,0
0901515-025,09,015,15-025,716.98,1164.26,89.13,28.05,0,1061.33,780.95,38.06,28.04,0
0901515-026,09,015,15-026,229,418,33,6,0,358,279,6,6,0
0901515-027,09,015,15-027,252.58,572.52,41.6,12.88,0,408.1,400.17,10.9,15.85,0
0901515-028,09,015,15-028,705.14,416.75,47.25,23.17,4.41,831.25,275.25,12.7,17.84,0
0901515-029,09,015,15-029,1566,507.37,62.4,48.24,0.95,1609.71,290.09,23.66,38.76,0
0901515-030,09,015,15-030,1674.19,507.84,74.08,62.99,3.09,1784.76,298.69,34.47,45.42,0
0901515-031,09,015,15-031,1068.25,983.08,72.7,34.76,1.2,1307.74,694.8,43.37,28.54,0
0901515-032,09,015,15-032,314.66,132.23,12.13,12.48,0.08,339.23,90.5,8.3,13.3,0
0901515-033,09,015,15-033,1945,2281,187,67,6,2401,1846,72,55,0
