GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDBLU,G16USSRCAR,G16USSLLIO,G16USSGRUS,G16USSOWRI
0900303-011,09,003,03-011,1942.57,104.77,8.95,13.75,0.01,1914.3,61.68,11.77,9.81,0
0900303-012,09,003,03-012,1846.34,313.74,32.95,19.24,5.91,1820.15,311.44,7.3,18.17,0
0900303-013,09,003,03-013,2379.17,318.19,36.81,25.86,1.99,2368.65,264.02,18.81,15.11,0
0900303-014,09,003,03-014,1500.68,1489.33,83.37,51.61,6.95,1905.96,1085.06,21.85,31.76,0
0900303-015,09,003,03-015,1542.32,1751.67,85.63,52.39,8.05,2090.04,1209.94,30.15,33.24,0
0900303-016,09,003,03-016,1498.26,1412.78,89.56,49.12,3,1925.52,993.54,33.14,24.21,0
0900303-017,09,003,03-017,840.47,849.59,61.43,22.36,1.04,1107.77,584.8,18.9,20.71,0
0900303-018,09,003,03-018,1220.07,1580.09,79.01,44,4,1622.09,1205.07,34,20,0
0900303-019,09,003,03-019,1161.93,1487.91,85.99,36,3,1507.91,1104.93,39,33,0
0900303-020,09,003,03-020,1557.8,1468.61,103.33,66.28,5.01,2018.93,1007.04,35.23,36.26,0
0900303-021,09,003,03-021,1454.2,1046.39,61.67,51.72,0.99,1665.07,752.96,42.77,48.74,0
0900303-022,09,003,03-022,1723.27,1665.63,84.01,62.52,1.95,2085.7,1241.65,43.96,39.08,0
0900303-023,09,003,03-023,2352,2773,201,56,3,2768,2426,54,41,0
0900303-024,09,003,03-024,3086.32,2589.52,186.17,99.56,13.94,3372.05,2380.45,63.72,65.71,0
0900303-025,09,003,03-025,1373.46,1352.31,147.12,35.6,4.96,1620.45,1173.25,38.6,32.63,0
0900303-026,09,003,03-026,2332.12,524.48,57.07,28.54,0,2336.05,409.35,22.63,14.76,0
0900303-027,09,003,03-027,1404.45,611.76,61.45,23.89,0,1535.31,428.33,26.72,22.69,0
0900303-028,09,003,03-028,1310.43,429.76,40.48,32.57,0,1380.63,320.32,25.64,15.55,0
0900303-029,09,003,03-029,2702,625,39,29,0,2718,448,42,34,0
0900303-030,09,003,03-030,1739.49,719.65,62.62,31.81,0,1886.6,516.88,22.86,25.84,0
0900303-031,09,003,03-031,1813.67,1090.02,74.44,37.21,6.01,2076.67,778.71,34.16,37.17,0
0900303-032,09,003,03-032,1879,1213,71,50,9,2165,883,39,30,0
0900303-033,09,003,03-033,486.06,595.81,32.34,21.56,0.98,625.21,434.12,9.8,13.72,0
0900303-034,09,003,03-034,694.94,659.19,47.66,27.44,1.02,829.79,497.88,27.2,20.28,0
0900303-035,09,003,03-035,1260,1351,78,40,5,1535,1048,28,23,0
0900303-036,09,003,03-036,400.29,486.16,31.62,13.28,0.03,546.64,344.77,14.23,7.25,0
0900303-037,09,003,03-037,1827.06,2166.59,167.27,74.68,1,2440.4,1555.24,49.78,60.74,0
0900303-038,09,003,03-038,1737.79,1425.98,171.79,76.46,7.94,2110.18,1040.69,62.56,68.52,0
0900303-039,09,003,03-039,725,599,44,15,7,885,412,21,17,0
