GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREOWRI
0900505-027,09,005,05-027,862,812,27,4,0
0900505-028,09,005,05-028,2477,3984,99,33,0
0900505-029,09,005,05-029,937,660,18,7,0
0900505-030,09,005,05-030,2017.11,500.54,16.95,12.96,0
0900505-031,09,005,05-031,1023.18,511.38,17.05,9.07,0
0900505-032,09,005,05-032,1550.29,2804.81,65.58,13.13,0
0900505-033,09,005,05-033,1898.71,2536.27,51.96,22.98,1
0900505-034,09,005,05-034,635.5,1091.38,19.86,3,0
0900505-035,09,005,05-035,179,129,6,4,0
0900505-036,09,005,05-036,178,208,4,6,0
0900505-037,09,005,05-037,899.9,1028.07,27.27,8.18,0
0900505-038,09,005,05-038,258.79,378.94,21.26,0,0
0900505-039,09,005,05-039,10.71,15.69,0.88,0,0
0900505-042,09,005,05-042,4.16,5.01,0.14,0.05,0
0900505-043,09,005,05-043,256,260,4,0,0
0900505-044,09,005,05-044,465,470,9,1,0
0900505-045,09,005,05-045,1461,770,25,12,0
0900505-046,09,005,05-046,1330.71,2197.19,34.42,7.87,0
0900505-047,09,005,05-047,1210,2059,31,8,0
0900505-048,09,005,05-048,967,1851,29,12,0
0900505-049,09,005,05-049,1085.16,1833.88,33.05,10.02,0
0900505-050,09,005,05-050,2304,2799,13,17,0
0900505-051,09,005,05-051,2882,2929,63,12,0
0900505-052,09,005,05-052,299,366,6,2,0
0900505-053,09,005,05-053,0,0,0,0,0
0900505-054,09,005,05-054,2962.24,3567.65,99.63,38.78,2
0900707-001,09,007,07-001,1701,853,29,11,2
0900707-002,09,007,07-002,4361.58,3304.85,98.75,24.96,0.01
0900707-003,09,007,07-003,5072.2,3833.77,112.1,43.5,10
0900707-004,09,007,07-004,1771.63,1067.94,28.78,11.91,0
0900707-005,09,007,07-005,1577,1413,48,16,1
0900707-006,09,007,07-006,150,175,5,2,0
0900707-007,09,007,07-007,0,0,0,0,0
0900707-008,09,007,07-008,636,742,12,4,1
0900707-009,09,007,07-009,2979.53,2730.57,87.99,25,1
0900707-010,09,007,07-010,4071.83,3759.09,139.59,48.19,4
0900707-011,09,007,07-011,3011,1635,44,23,2
0900707-012,09,007,07-012,1369.12,1265.63,39.09,5.84,0.97
0900707-013,09,007,07-013,1226.84,1317.97,25.08,17.16,0.03
0900707-014,09,007,07-014,132.51,109.83,2.84,0,0
0900707-015,09,007,07-015,2356.46,1987.71,44.23,20.11,1.01
0900707-016,09,007,07-016,1442,1356,39,15,1
0900707-017,09,007,07-017,1031.63,313.62,18.23,11.01,1.76
0900707-018,09,007,07-018,350,115,4,3,0
0900707-019,09,007,07-019,429.76,179.13,4.69,3.3,0.04
0900707-020,09,007,07-020,1140.75,787.75,24.05,5.77,0
0900707-021,09,007,07-021,2331,1094,37,9,1
0900707-022,09,007,07-022,1160,725,30,6,0
0900707-023,09,007,07-023,991,428,15,9,0
0900707-024,09,007,07-024,291.23,69.53,4.18,1.72,0
0900707-025,09,007,07-025,1375,756,24,12,0
0900707-026,09,007,07-026,967.17,607.91,27.41,8.81,0
0900707-027,09,007,07-027,1513,968,17,16,1
0900707-028,09,007,07-028,1839.42,908.48,34.98,13.19,0.2
0900707-029,09,007,07-029,759,389,22,3,0
0900707-030,09,007,07-030,1062.77,140.47,6.82,9.28,0
0900707-031,09,007,07-031,1777,1294,33,9,0
0900707-032,09,007,07-032,2476,1701,34,19,0
0900707-033,09,007,07-033,3155,2641,72,19,1
