GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREIBLA,G20PREONON
320019501001513,2.7,3.6,0.1,0,0.2
320019501001520,0,0,0,0,0
320019506001205,0.2,0.6,0,0,0
320019507004045,0,0,0,0,0
320019503025002,1.7,3.9,0.1,0,0.1
320019503025017,0.8,1.7,0,0,0
320019503012050,0,0,0,0,0
320019503012038,0.9,1.6,0.1,0,0
320019503022005,9.8,22.9,1.7,0.1,0.7
320019503022002,0.5,1.3,0.1,0,0
320019503011011,0.3,0.7,0,0,0
320019503011013,2.3,4,0.2,0,0.1
320019501002162,0,0,0,0,0
320019501002116,0,0,0,0,0
320019501002142,0,0,0,0,0
320019501002114,0,0,0,0,0
320019507003092,0,0,0,0,0
320019507003111,0,0,0,0,0
320019507003079,0.8,3.6,0.1,0,0
320019507003124,0,0,0,0,0
320019507001105,0,0,0,0,0
320019507001144,0,0,0,0,0
320019507003232,0,0,0,0,0
320019507003154,0,0,0,0,0
320019506001192,0.2,0.6,0,0,0
320019507003059,0,0,0,0,0
320019507003190,0,0,0,0,0
320019507001149,0.1,0.6,0,0,0
320019503023002,0.4,1.3,0,0,0
320019503012031,0,0,0,0,0
320019501001134,0,0,0,0,0
320019501001329,0,0,0,0,0
320019501001855,0,0,0,0,0
320019501001865,0,0,0,0,0
320019501001853,0,0,0,0,0
320019501001360,0,0,0,0,0
320019501001394,0,0,0,0,0
320019501001371,0,0,0,0,0
320019501001719,0,0,0,0,0
320019501001723,0,0,0,0,0
320019501001737,0,0,0,0,0
320019501001732,0,0,0,0,0
320019501002209,0,0,0,0,0
320019501002206,0,0,0,0,0
320019507001380,0,0,0,0,0
320019507001355,0,0,0,0,0
320019507003015,0,0,0,0,0
320019506001121,0,0,0,0,0
320019503023037,0,0,0,0,0
320019503025000,5.3,9.9,0.4,0,0.2
320019505002065,8.2,23.8,0.7,0.2,0.3
320019503021021,0,0,0,0,0
320019505002105,0.8,2.2,0.1,0,0
320019505002067,0,0,0,0,0
320019503012002,3,8.9,0.3,0.1,0.1
320019506001207,4,14.8,0.2,0,0.1
320019507004003,0.9,2.9,0.1,0,0
320019507004006,14,46.8,1.1,0.2,0.3
320019501001076,0,0,0,0,0
320019506001032,0,0,0,0,0
320019506001025,0,0,0,0,0
320019506001031,0,0,0,0,0
320019506001266,0,0,0,0,0
320019506001145,0,0,0,0,0
320019506001258,0,0,0,0,0
320019506001101,0,0,0,0,0
320019506001000,0,0,0,0,0
320019501001157,0,0,0,0,0
320019501002069,0.1,0.3,0,0,0
320019501001612,0,0,0,0,0
320019505001088,3.2,9.4,0.3,0.1,0.1
320019505001030,0,0,0,0,0
320019507001249,0,0,0,0,0
320019501002023,0,0,0,0,0
320019507001353,0,0,0,0,0
320019507001246,3.8,18.1,0.5,0,0.2
320019506001128,0,0,0,0,0
320019506002048,6.5,21.7,0.5,0.1,0.1
320019507001196,0,0,0,0,0
320019501001589,1.3,1.8,0,0,0.1
320019503024026,1.1,2.8,0.2,0,0.1
320019503022033,1.6,3.8,0.3,0,0.1
320019503025030,0,0,0,0,0
320019503022024,1.4,3.5,0.2,0,0.1
320019503011039,2.1,5.3,0.3,0,0.1
320019503021053,2.2,6.1,0.2,0,0.1
320019503024031,0.7,1.8,0.1,0,0
320019503022036,1.3,3,0.2,0,0.1
320019503025023,0,0,0,0,0
320019505002054,0,0,0,0,0
320019507001310,0,0,0,0,0
320019503024043,0,0,0,0,0
320019506001156,0,0,0,0,0
320019503013061,10.7,19,0.8,0.2,0.5
320019507004011,1.5,5.1,0.1,0,0
320019501001113,0,0,0,0,0
320019501001248,0,0,0,0,0
320019501001800,0,0,0,0,0
320019501001658,0,0,0,0,0
320019501001636,0,0,0,0,0
320019501001080,0,0,0,0,0
320019501001255,0,0,0,0,0
320019501001412,0,0,0,0,0
320019501001162,0,0,0,0,0
320019501001163,0,0,0,0,0
320019501001159,0,0,0,0,0
320019501001237,0,0,0,0,0
320019501001156,0.5,0.7,0,0,0
320019501001297,0,0,0,0,0
320019501001275,0,0,0,0,0
320019501001223,0,0,0,0,0
320019501001288,0,0,0,0,0
320019505002123,0,0,0,0,0
320019503013027,2.4,4.3,0.2,0,0.1
320019503013020,0,0,0,0,0
320019507004043,0,0,0,0,0
320019503013050,0.5,1.8,0,0,0
320019503013058,11.7,40,1,0.3,0.7
320019501002009,0.3,0.9,0,0,0
320019507001208,4.9,24.5,0.6,0,0.4
320019507001234,0.3,1.4,0,0,0
320019505002068,1.9,5.5,0.2,0,0.1
320019507001318,0,0,0,0,0
320019506001255,0,0,0,0,0
320019506001078,0,0,0,0,0
320019506001100,0,0,0,0,0
320019506001094,0,0,0,0,0
320019501001009,0,0,0,0,0
320019501001718,0,0,0,0,0
320019501001010,0,0,0,0,0
320019501001033,0,0,0,0,0
320019501001034,0,0,0,0,0
320019501001702,0,0,0,0,0
320019501001752,0,0,0,0,0
320019501001392,0,0,0,0,0
320019501001352,0,0,0,0,0
320019501002131,0,0,0,0,0
320019501002159,0,0,0,0,0
320019501002152,0,0,0,0,0
320019501002151,0,0,0,0,0
320019501002190,0,0,0,0,0
320019506001240,0.8,2.8,0,0,0
320019501002197,14.7,47.2,1.1,0.2,0.7
320019505002020,0,0,0,0,0
320019506002004,0,0,0,0,0
320019505002003,0,0,0,0,0
320019505002014,0,0,0,0,0
320019505002121,0,0,0,0,0
320019505002000,0,0,0,0,0
320019503013012,0.8,2.6,0.1,0,0
320019507001326,0,0,0,0,0
320019507001323,0,0,0,0,0
320019503012013,2.6,4.8,0.2,0,0.1
320019503021009,0.2,1.2,0,0,0
320019503021059,0.5,2.3,0.1,0,0
320019503013062,3.3,11.2,0.3,0.1,0.2
320019503013081,0,0,0,0,0
320019503021027,2.3,6.6,0.3,0,0.1
320019503023028,17.2,32.1,1.2,0.1,0.6
320019503025016,0,0,0,0,0
320019503022008,2.4,5.5,0.4,0,0.2
320019507001157,0,0,0,0,0
320019503024000,0,0,0,0,0
320019503025015,0,0,0,0,0
320019503021028,3.4,9.6,0.4,0,0.1
320019507004014,0.5,1.7,0,0,0
320019503012044,0,0,0,0,0
320019503012047,0,0,0,0,0
320019505002133,0,0,0,0,0
320019505002131,0,0,0,0,0
320019501001591,0,0,0,0,0
320019505001101,0,0,0,0,0
320019501001574,0,0,0,0,0
320019501001564,11.7,15.9,0.4,0.2,0.7
320019505001074,3.5,4.7,0.1,0.1,0.2
320019501001628,0,0,0,0,0
320019501001615,0,0,0,0,0
320019504001057,0,0,0,0,0
320019504001085,0,0,0,0,0
320019504001061,8.5,27.3,0.6,0.1,0.4
320019504001080,2.2,7.1,0.2,0,0.1
320019506002013,0.3,1.5,0,0,0
320019504001065,0,0,0,0,0
320019507003140,0,0,0,0,0
320019507004035,1.2,4,0.1,0,0
320019507004036,0.2,0.6,0,0,0
320019503025012,1,3.2,0.1,0,0.1
320019507003133,0,0,0,0,0
320019507001073,0,0,0,0,0
320019507003225,0.8,3.6,0.1,0,0
320019507003235,0,0,0,0,0
320019507001076,0,0,0,0,0
320019507001037,0,0,0,0,0
320019507001057,0,0,0,0,0
320019507001182,0,0,0,0,0
320019507001130,0,0,0,0,0
320019507001132,0,0,0,0,0
320019507004073,0,0,0,0,0
320019507001391,0,0,0,0,0
320019501001055,0,0,0,0,0
320019506001072,0,0,0,0,0
320019501001824,0,0,0,0,0
320019506001002,0,0,0,0,0
320019501001048,0,0,0,0,0
320019501001053,0,0,0,0,0
320019501001047,0,0,0,0,0
320019506001257,0,0,0,0,0
320019506001087,0,0,0,0,0
320019501001831,0,0,0,0,0
