GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR
35031000021,35,031,000021,99.7,260.5,49.6,3.1,2,1,2.1,0,127.1,269.7,132.2,263.6,113,275.6
35031000022,35,031,000022,96.8,253.3,48.1,5.6,1.4,2.1,0.3,0,124,264,102.4,272.3,93.3,280.8
35031000023,35,031,000023,96.2,333,55.4,3.4,3,1,2.7,0.8,115.5,336.7,98.4,327.5,107,320.4
35031000024,35,031,000024,156.9,391.2,68.5,2.4,0.7,3,1,0.7,169.4,426.9,173,412.9,155.7,427.6
35031000025,35,031,000025,101.4,268.3,50.6,6.9,5.9,2,3.5,0,140.5,277.5,128.4,283.1,128.2,279.3
35031000026,35,031,000026,183.1,97.4,10.1,7.5,8.1,1.1,0,0,181.6,120.3,195.5,100.3,186.6,110.4
35031000027,35,031,000027,19.1,492.9,38.2,4.3,1.7,0.9,1.7,2.6,72.2,484.2,120.8,430.3,74.8,472.9
35031000028,35,031,000028,20.8,254.5,27.8,1.4,3.1,0.1,1,0,60.8,239.6,82.2,211,59.8,230.8
35031000029,35,031,000029,15,325,32,3,1,0,0,0,47,322,71,289,57,295
35031000030,35,031,000030,27.2,426.2,28.1,7,1.8,0.9,0,0,73.7,412.1,112.2,372.7,73.7,399.9
35031000031,35,031,000031,128.2,180,37.9,2.6,6.7,0,2.1,0,143.9,204.5,153.5,190.7,123.9,215.5
35031000032,35,031,000032,56.8,100.2,19.3,2.4,3.4,0,0.8,0,62.1,112.6,68.6,104.4,55.1,114.6
35031000033,35,031,000033,109,286,66,6,0,0,2,0,130,316,139,306,112,331
35031000034,35,031,000034,28.1,65.4,13.6,1.9,1,0,1,0,35.4,73.6,32,73.6,27.6,76.5
35031000035,35,031,000035,79.6,211.3,48.7,5.1,3.1,1,1.1,1,98.4,239.4,98,235.1,86.9,242.5
35031000036,35,031,000036,16.3,41.3,5.8,0,1,0,1,0,17.3,47,22.1,41.3,12.5,48.9
35031000037,35,031,000037,29,75,13,1,1,0,0,0,32,83,32,80,16,91
35031000038,35,031,000038,47,114,27,3,1,0,0,1,64,122,48,132,44,136
35031000039,35,031,000039,91,181,32,6,5,0,1,0,93,205,124,177,103,193
35031000040,35,031,000040,59,104,16,2,3,0,1,0,50,134,72,108,62,118
35031000041,35,031,000041,83,228,39,3,0,0,0,0,97,248,106,241,86,257
35031000042,35,031,000042,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35031000043,35,031,000043,237,235,42,10,5,3,1,0,211,295,261,239,227,265
35031000044,35,031,000044,124,97,25,2,2,6,2,0,124,119,157,91,143,100
35031000045,35,031,000045,156,152,25,10,5,2,1,0,161,181,179,157,179,150
35031000046,35,031,000046,206,204,28,3,8,0,2,0,178,251,238,193,214,212
35031000047,35,031,000047,15.7,37,4.7,0.7,0.3,0,0,0.3,16.3,41.3,19,38,12,44.7
35031000048,35,031,000048,102.9,244.3,57.4,9.1,3.5,0.7,0.7,0.7,130.9,270.2,136.5,257.6,110.6,282.8
35031000049,35,031,000049,237.4,295.3,66.8,6,12,3,0,1,255.4,339.2,301.3,288.3,273.4,309.3
35031000050,35,031,000050,52.6,63.6,9.1,0,1,1,0,0,56.6,58.7,53.7,57.6,54.7,55.7
35031000051,35,031,000051,46.6,267.5,46.5,3.2,0.5,1.1,3.4,0.1,73.6,264.4,69,251,67.6,253.7
35031000052,35,031,000052,113.5,72.8,21.2,3.1,4,0,0,0,109.6,97.8,122.9,81.5,111.5,87.8
35031000053,35,031,000053,29,330,37,7,1,1,0,0,60,301,69,293,56,298
35031000054,35,031,000054,80.8,249.6,38.4,2.1,0,1,4,1,99,245.8,101.7,239,99.5,239.2
35031000055,35,031,000055,55.2,163.6,43.1,8,9,0,1,0,66.2,201.6,79.2,187.6,72.2,188.6
35031000056,35,031,000056,178,195,34,4,6,1,1,0,182,224,218,182,194,198
35031000057,35,031,000057,30.2,177.4,21,2.7,0,0,1.8,0,44,156.4,44.8,154.6,38.4,153.7
35031000058,35,031,000058,138.3,216.9,48.2,0,0,2,0,0,147.4,240.9,162.4,220.9,163.4,214.9
35031000059,35,031,000059,69,89,20,6,6,1,1,0,77,112,88,98,80,99
35031000060,35,031,000060,31.2,148.4,27.2,4,3,0,0,0,35.4,156.4,50.4,143.4,46.4,144.4
35031000061,35,031,000061,10.4,101.7,21.7,1.7,2.6,0,0,0,20,98.2,25.2,94.7,18.2,98.2
35031000062,35,031,000062,30,122,19,0,0,0,2,0,40,126,34,130,48,112
35031000063,35,031,000063,44.1,104.7,24.6,3.9,1.5,0.3,0.3,0.3,56.1,115.8,58.5,110.4,47.4,121.2
35031000064,35,031,000064,2.6,66.9,5.2,0.6,0.2,0.1,0.2,0.3,9.8,65.7,16.4,58.4,10.2,64.2
35031000065,35,031,000065,96.9,250.2,48,6.6,5.6,1.9,3.3,0,133.6,259.1,121.3,265.2,121.8,261
35033000001,35,033,000001,110.2,295.6,44.1,2,0,0,0,0,123.2,300.6,124.2,290.6,101.2,292.6
35033000002,35,033,000002,92.6,267.8,29.9,8.9,1,1,0,0,97.6,288.7,109.6,262.8,87.7,273.8
35033000003,35,033,000003,64.1,123.1,12,3,1,0,0,0,76.1,121.2,73.1,117.1,70.1,118.1
35033000004,35,033,000004,51.6,145.7,23,2.8,0.9,0,0,0.9,61.7,154.9,69,137.4,53.4,153.9
35033000005,35,033,000005,72,131,11,4,0,1,1,0,69,144,70,136,63,142
35033000006,35,033,000006,47.6,77,12.1,5.2,0.1,1,0,0.1,54.5,81.8,51.2,84.2,49.8,82.7
35033000007,35,033,000007,21.6,96.3,10.8,1,2,0,0,0,27.5,90.4,36.4,79.6,33.4,80.6
35033000008,35,033,000008,65.2,142.2,18.8,4,0,1,0,0,71.1,148.1,74.1,142.2,68.1,149.1
35033000009,35,033,000009,31,50.4,11,0,0,0,0,0,36.9,51.3,36.1,52.1,39.9,47.3
