GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR
35055000020,35,055,000020,68.14,273.06,25.83,14.15,0,0,0.81,0,82.21,283.33,83.58,272.98,62.07,293.41
35055000021,35,055,000021,84.18,302.25,30.07,16.05,0,0.58,2.38,0,105.39,315.64,99.65,308.63,78.51,332.62
35055000022,35,055,000022,6.37,25.05,2.97,2.34,0,0,0.21,0,5.94,29.93,9.98,26.33,7.22,29.08
35055000023,35,055,000023,21.37,77.3,9.84,9.54,0,0,0.11,0,24.99,92.01,23.16,88.91,18.58,94.36
35055000024,35,055,000024,33,92,9,1,1,0,0,2,43,89,26,102,17,114
35055000025,35,055,000025,41,83,19,0,1,0,0,0,56,83,52,89,44,93
35055000026,35,055,000026,20.27,40.52,8.45,2.24,2,0.01,0.04,0,23.59,42.72,24.5,41.62,25.18,40.98
35055000027,35,055,000027,47,158,24,1,0,0,0,0,69,155,54,169,41,183
35055000028,35,055,000028,67,155,31,7,4,0,0,0,78,169,76,172,55,187
35055000029,35,055,000029,28,85,10,2,0,0,0,0,33,84,26,91,24,90
35055000030,35,055,000030,4,34,2,1,0,0,0,0,4,38,10,32,7,34
35055000031,35,055,000031,11,20,1,0,0,0,0,0,15,17,13,18,8,22
35055000032,35,055,000032,20,116,8,2,0,0,1,0,22,115,25,113,20,117
35055000033,35,055,000033,10.92,31.82,10.91,0.76,0.01,0,0,0,16.57,36.49,24.34,28.69,18.55,33.78
35055000034,35,055,000034,97,317,44,10,0,2,2,0,119,345,141,310,102,344
35055000035,35,055,000035,48,185.37,18.21,11.25,0.66,0,0,0,48.99,197.95,59.92,185.7,50.98,190.67
35055000036,35,055,000036,5.84,45.24,12.7,1.35,0,0,0.03,0,12.24,50.65,15.65,42.71,8.14,48.49
35055000037,35,055,000037,97.66,522.9,46.5,37.72,1.55,0,0.52,0,122.46,560.1,152.43,517.21,115.22,548.73
35055000038,35,055,000038,35.45,261.14,22.43,15.7,0.45,0,1.35,0,49.8,275.05,56.98,258.89,48.01,267.42
35055000039,35,055,000039,52.32,260.92,21.8,10.73,0,0,0.67,0,65.4,269.98,78.14,253.21,57.01,270.98
35055000040,35,055,000040,55.16,260.77,24.79,16.41,0.7,0,1.05,0,61.79,281.37,75.05,263.91,59.69,276.48
35055000041,35,055,000041,52.47,246.91,29.32,14.4,0.77,0,0,0.26,64.3,267.22,75.87,248.96,56.84,266.2
35055000042,35,055,000042,87.14,410.07,48.7,23.92,1.28,0,0,0.43,106.79,443.82,126.01,413.49,94.4,442.11
35055000043,35,055,000043,51.84,178.05,19.64,15.78,0.97,0,0.32,0,51.52,205.1,74.7,180.31,60.21,187.71
35055000044,35,055,000044,117.61,425.84,30.37,16.8,0.65,0,0.65,0,118.25,454.28,142.81,416.8,109.21,449.75
35055000045,35,055,000045,56.2,200.58,20.1,10.66,0,0.41,1.64,0,70.55,209.61,66.45,205.09,52.5,221.09
35055000046,35,055,000046,23.63,92.95,11.03,8.66,0,0,0.79,0,22.06,111.07,37.02,97.67,26.78,107.91
35055000047,35,055,000047,97,374.63,36.79,22.75,1.34,0,0,0,99.01,400.05,121.08,375.3,103.02,385.33
35057000001,35,057,000001,299.22,153.59,48.55,8.1,5.2,0,0.1,0,278.71,219.16,304.96,195.71,279.65,209.61
35057000002,35,057,000002,142.78,40.41,22.45,0.9,1.8,0,0.9,0,138.29,71.84,158.04,50.29,155.35,49.39
35057000003,35,057,000003,107.68,69.49,22.12,4,2,0.01,1,1.01,106.61,99.62,121.71,82.54,109.6,93.63
35057000004,35,057,000004,79.77,66.95,19.19,0.04,1.04,0.08,1,0.08,76.14,87.26,90.13,73.39,86.02,72.34
35057000005,35,057,000005,176.07,80.2,37.49,4.21,2.14,0.47,0.46,0.23,180.24,116.29,203,94,195.22,99.19
35057000006,35,057,000006,240.3,102.82,45.83,3.59,1.99,0.8,0.8,0.4,225.95,160.2,256.64,125.93,240.3,139.08
35057000007,35,057,000007,303,140,58,3,3,1,2,0,294,207,343,161,311,191
35057000008,35,057,000008,78,50,22,1,1,0,0,0,81,64,84,64,83,63
35057000009,35,057,000009,239.85,126.4,41.8,1.99,0,0,0,1,228.91,174.17,251.8,148.29,249.81,151.28
35057000010,35,057,000010,183,99,18,8,3,2,0,0,171,126,202,102,179,115
35057000011,35,057,000011,46.86,27.65,4.74,0.06,0.03,0.01,0.01,0.01,43.62,36.57,58.12,25.02,50.86,30.23
35057000012,35,057,000012,53.73,4.42,5.06,1.96,0.02,0,0,0,48.9,10.38,53.96,8.3,55.79,7.4
35057000013,35,057,000013,285.81,136.45,62.69,3.69,1.84,1.84,0,0,287.04,189.93,327.61,149.98,313.47,160.42
35057000014,35,057,000014,53,4,5,0,0,1,0,0,47,13,45,15,45,15
35057000015,35,057,000015,148.37,62.73,19.91,2.99,1,2.99,0,0,133.43,92.6,146.37,84.64,149.36,81.65
35057000016,35,057,000016,163.55,119.56,28.69,0.96,0.96,1.91,0,1.91,148.25,151.12,172.16,130.08,145.38,153.03
35057000017,35,057,000017,586.13,267.25,124.63,14.01,7.16,1.6,1.57,0.77,600.27,386.98,676.5,312.23,650.44,329.66
35057000018,35,057,000018,358.84,153.54,68.44,5.36,2.98,1.19,1.19,0.6,337.42,239.23,383.24,188.05,358.84,207.69
35057000019,35,057,000019,179.18,85.54,39.3,2.31,1.16,1.16,0,0,179.95,119.07,205.38,94.02,196.52,100.57
35059000001,35,059,000001,206.84,48.11,15.59,1,0,1.08,0,0.98,192.33,72.85,196.14,66.05,205.02,57.06
35059000004,35,059,000004,366.23,74.74,35.26,0.99,0,3.91,0,0.02,340.7,117.94,333.98,123.64,333.18,119.58
35059000006,35,059,000006,291.02,104.46,45.16,6.03,3.02,0.01,1,0.01,267.01,163.63,268.82,161.77,260.96,162.61
35059000007,35,059,000007,194.01,79.14,30.68,4.94,2.96,0.99,0,0.99,186.05,114.79,167.34,127.59,179.14,112.82
35059000008,35,059,000008,93.53,11.41,4.18,0.02,2.02,1,0,0,77.33,29.77,87.32,17.72,89.41,15.65
35059000009,35,059,000009,63.55,2,2.97,0,0.99,0,0,0,44.69,21.84,54.61,8.94,57.58,8.94
35061000001,35,061,000001,77.01,61.41,16.57,0.97,0.97,1.95,0,0,79.94,76.04,90.66,61.41,81.89,68.24
35061000002,35,061,000002,245.43,252.72,83.58,5.31,0.66,3.32,1.99,0.66,234.81,340.95,264,315.08,234.15,338.96
35061000003,35,061,000003,240.01,201.15,58.61,3.48,2.24,1.12,0.12,1,228.77,274.07,263.23,237.25,250.55,243.45
35061000004,35,061,000004,388.01,197.66,63.45,4.93,4.92,2.93,0.01,0.97,384.29,261.67,433.62,206.59,416.57,218.66
35061000005,35,061,000005,174.65,126.69,42.38,2.07,0.74,0.74,0.66,0.33,177.59,160.82,193.48,145.63,175.46,155.24
35061000006,35,061,000006,213.58,182.81,52.94,2.72,2.26,0.45,0,0.45,216.75,229.87,275.58,170.14,246.16,194.58
35061000007,35,061,000007,216.81,177.19,48.79,5.5,3.3,0.73,0,0,219.38,223.78,246.16,197,232.95,206.17
35061000008,35,061,000008,115.87,82.05,23.95,2.43,1.13,0.49,0,0.32,120.56,100.98,128.17,91.43,122.83,96.61
35061000009,35,061,000009,284.13,181.32,66.66,4.03,0.99,0,1.99,0,287.36,237.48,345.96,179.9,303.61,215.15
35061000010,35,061,000010,141.25,126.52,44.85,1.34,1.34,1.34,0,0,151.96,154.64,168.7,138.57,155.31,149.95
35061000011,35,061,000011,367.34,160.38,62.75,7.66,3.9,2.01,1.89,0,349.04,241.55,422.1,163.02,394.11,183.08
35061000012,35,061,000012,282.73,234.23,81.43,3.66,2.74,0.91,0,0,288.22,296.45,322.99,258.02,305.6,271.75
35061000013,35,061,000013,57.43,172.09,33.73,1.82,0.01,0,0.01,0,65.59,187.62,95.82,158.23,76.55,172.89
35061000014,35,061,000014,305.71,272.88,73.76,4.11,5.98,1.02,0.99,0.01,311.09,330.76,341.96,306.81,315.97,327.55
35061000015,35,061,000015,182,147,46,2,3,0,0,0,181,195,214,160,190,179
35061000016,35,061,000016,117.57,210.36,50.61,3.69,0.53,2.64,0.53,1.05,135.49,235.14,145.51,225.65,137.6,230.39
35061000017,35,061,000017,209.38,185.43,55.87,2.76,3.07,2.15,0,0,215.82,232.71,253.28,191.57,223.81,215.82
35061000018,35,061,000018,385.42,231.82,78.15,3.49,2.51,1.49,0.98,0.02,397.8,286.66,468.08,218.46,443.62,230.39
35061000019,35,061,000019,268.59,149.6,51.26,2.53,5.91,1.02,0,0,276.84,195.34,294.42,174.05,289.67,178.15
