GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
05093000104,4392,71,3793,71,422,24,81,2950,49,2530,49,244,15,63,599.51,467.51,27700,90429,00029,2,1
05093000105,3705,169,2917,169,522,22,73,2322,93,1761,93,306,17,52,471.88,367.99,7330,90429,00029,2,1
05093000106,4937,62,4549,62,276,4,46,3922,44,3628,44,170,3,33,797.04,621.56,7330,90783,03320,2,1
05093000107,3751,27,3447,27,264,9,4,2690,16,2480,16,169,6,3,546.67,426.31,18160,90843,03320,2,1
05093000108,6102,66,6004,66,8,17,7,4601,35,4504,35,7,17,3,935.03,729.16,43820,90297,00046,2,1
05093000109,3371,103,2343,103,920,2,1,2333,55,1675,55,546,2,0,474.12,369.73,42170,91308,00045,2,1
05093000110,6830,29,2805,29,3968,17,7,4315,11,2094,11,2182,11,6,876.91,683.84,52580,92529,10950,2,1
05093000111,2556,29,2479,29,30,7,10,1854,20,1781,20,21,7,5,376.78,293.82,52580,92529,10950,2,1
05093000112,2551,27,2021,27,497,4,2,1817,16,1450,16,329,4,2,369.26,287.96,75920,91476,00045,2,1
05093000113,2923,40,1989,40,891,2,1,2011,23,1414,23,550,0,1,408.68,318.7,35650,93330,00045,2,1
05095009501,5183,7,2794,7,2371,7,4,3537,4,2116,4,1406,4,3,1008,775,8950,90480,03630,2,1
05095009502,2777,5,2025,5,735,8,4,1993,1,1537,1,445,6,3,481,363,13990,90585,04350,2,1
05095009503,3373,20,2036,20,1297,10,10,2481,14,1576,14,859,10,8,370,125,32800,91158,07800,2,1
