GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
49035001044,49,035,001044,2093,14,2060,14,1,4,14,1393,9,1363,9,0,1,11,305.83,399.47,NA,67000,93010,00870,3,2
49035001045,49,035,001045,1441,22,1394,22,2,1,20,1016,10,984,10,1,1,10,223.06,291.36,NA,67000,93010,00870,3,2
49035001046,49,035,001046,1061,98,901,98,15,17,28,866,58,708,58,13,11,18,190.13,248.34,NA,67000,93010,00870,3,2
49035001047,49,035,001047,4862,169,4556,169,26,23,87,3692,118,3372,118,14,12,58,810.56,1058.76,NA,67000,93010,00870,3,2
49035001048,49,035,001048,5020,133,4767,133,24,13,80,3831,80,3595,80,13,6,57,841.08,1098.62,NA,67000,93010,00870,3,2
49035001049,49,035,001049,2836,231,2483,231,15,34,71,2196,138,1832,138,9,18,61,482.12,629.75,NA,67000,93010,00870,3,2
49035001102,49,035,001102,5271,94,5075,94,10,9,82,3753,60,3566,60,8,5,54,823.95,1076.25,NA,10390,93010,00360,3,2
49035001103,49,035,001103,5495,122,5257,122,22,31,63,4001,68,3789,68,13,19,44,878.4,1147.37,NA,10390,93010,00360,3,2
49035001104,49,035,001104,6407,142,6104,142,56,18,86,4862,97,4558,97,41,13,56,1067.43,1394.28,NA,21550,93010,00360,3,2
49035001105,49,035,001105,6309,86,6117,86,9,16,80,4468,56,4291,56,4,5,56,980.93,1281.29,NA,21550,93010,00360,3,2
49035001106,49,035,001106,5765,81,5597,81,4,11,71,4018,44,3880,44,2,4,44,882.13,1152.24,NA,21550,93010,00360,3,2
49035001107,49,035,001107,7084,206,6729,206,18,16,112,5232,130,4870,130,13,13,76,1148.66,1500.38,NA,21550,93010,00360,3,2
49035001108,49,035,001108,4804,87,4630,87,23,5,58,3670,66,3482,66,19,3,34,805.73,1052.45,NA,36085,93010,00360,3,2
49035001109,49,035,001109,4815,73,4646,73,16,7,69,3352,43,3210,43,11,3,42,735.91,961.26,NA,36085,93010,00360,3,2
49035001112,49,035,001112,6996,180,6674,180,15,27,96,4767,112,4452,112,9,15,67,1046.57,1367.04,NA,16270,93010,00420,3,2
49035001114,49,035,001114,5986,578,4947,578,90,137,219,4764,370,3731,370,51,85,157,1045.91,1366.18,NA,71070,93010,00360,3,2
49035001115,49,035,001115,1356,128,1148,128,9,18,49,1100,78,888,78,7,15,34,241.5,315.45,NA,71070,93010,00360,3,2
49035001116,49,035,001116,3813,364,3142,364,60,75,170,2913,217,2295,217,28,38,118,639.53,835.36,NA,50150,93010,00360,3,2
49035001117,49,035,001117,7248,654,6118,654,133,138,204,5597,395,4481,395,86,94,146,1228.79,1605.06,NA,50150,93010,00360,3,2
49035001118,49,035,001118,6948,341,6305,341,52,52,191,5449,222,4815,222,27,34,129,1196.3,1562.61,NA,50150,93010,00360,3,2
49035001120,49,035,001120,7082,334,6562,334,55,38,90,5683,207,5144,207,38,20,67,1247.67,1629.72,NA,53230,93010,00600,3,2
49035001121,49,035,001121,7288,322,6721,322,72,35,137,4767,214,4187,214,46,21,85,1046.57,1367.04,NA,53230,93010,00600,3,2
49035001127,49,035,001127,4902,262,4527,262,6,12,94,3461,153,3087,153,2,9,57,759.84,992.51,NA,67550,93010,00420,3,2
49035001131,49,035,001131,8172,424,7509,424,15,76,145,4706,249,4088,249,6,34,80,1033.18,1349.54,NA,82950,90172,00420,2,3
49035001136,49,035,001136,4645,403,4114,403,13,47,68,3421,251,2854,251,6,21,38,751.06,981.04,NA,40470,93010,00360,2,2
49035001137,49,035,001137,6670,499,5986,499,21,30,132,4059,279,3416,279,10,16,59,891.13,1164,NA,40470,93010,00360,2,2
49035100302,49,035,100302,141,20,116,20,4,1,0,143,19,100,19,4,1,0,31.39,41.01,NA,67000,93010,00870,3,3
49035100303,49,035,100303,178,4,173,4,0,0,1,144,4,135,4,0,0,1,31.61,41.29,NA,67000,93010,00870,3,1
49035100304,49,035,100304,8515,1348,5867,1348,315,166,795,6089,776,3805,776,185,90,457,1336.81,1746.15,NA,67000,93010,00870,3,3
49035110102,49,035,110102,4070,78,3928,78,10,12,42,2828,49,2684,49,7,10,29,620.87,810.99,NA,650,90473,00420,3,2
49035110103,49,035,110103,2799,31,2700,31,1,4,63,2131,16,2051,16,0,3,45,467.85,611.11,NA,52900,90774,00360,3,2
49035110104,49,035,110104,5483,76,5268,76,6,8,124,4154,46,3957,46,5,5,95,911.99,1191.25,NA,52900,90774,00360,3,2
