GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
44007000185,2968,23,2917,23,13,2,13,2332,20,2275,20,6,2,9,572.77,490.69,NA,80780,80780,NA,NA,01200,1,1
44007010101,3919,32,3749,32,67,6,28,3055,21,2941,21,52,4,16,833.62,756.15,NA,22960,22960,NA,NA,00330,1,1
44007010102,3504,14,3400,14,51,6,15,2817,12,2745,12,35,4,9,768.67,697.24,NA,22960,22960,NA,NA,00330,1,1
44007010501,4979,88,4562,88,206,23,21,3951,55,3683,55,124,15,19,1078.11,977.92,NA,22960,22960,NA,NA,00330,1,1
44007010502,4792,44,4236,44,336,21,42,3872,36,3510,36,240,15,35,1056.55,958.37,NA,22960,22960,NA,NA,00330,1,1
44007010701,2601,8,2521,8,47,7,16,2114,6,2053,6,32,7,10,576.85,523.24,NA,22960,22960,NA,NA,00330,1,1
44007010702,4800,27,4679,27,46,6,29,3781,20,3683,20,35,6,17,1031.72,935.84,NA,22960,22960,NA,NA,00330,1,1
44007011301,3689,86,3582,86,7,1,6,2851,57,2726,57,6,1,4,739.98,887.48,NA,72500,20080,NA,NA,00270,1,1
44007011302,3741,73,3640,73,10,0,13,2883,55,2760,55,5,0,8,748.28,897.44,NA,72500,20080,NA,NA,00270,1,1
44007011401,6492,44,6372,44,23,4,36,5107,34,4992,34,16,4,27,1325.52,1589.74,NA,NA,20080,NA,NA,00270,1,1
44007011402,3781,27,3731,27,3,2,18,2941,18,2889,18,2,2,12,763.34,915.49,NA,20260,20080,NA,NA,00270,1,1
44007011403,5693,38,5602,38,17,0,29,4570,26,4484,26,11,0,23,1186.14,1422.58,NA,20260,20080,NA,NA,00270,1,1
44007011701,4500,79,4378,79,9,1,24,3667,62,3519,62,6,1,17,993.91,1315.65,NA,14140,41500,NA,NA,00570,1,1
44007011702,3959,45,3865,45,7,0,32,3104,26,3027,26,6,0,19,841.32,1113.66,NA,14140,41500,NA,NA,00570,1,1
44007012101,6746,76,6484,76,61,5,109,5672,58,5414,58,52,5,85,1844.9,1527.93,NA,51940,51760,NA,NA,00780,1,1
44007012102,4187,117,4024,117,16,7,17,3492,78,3306,78,13,5,12,1135.83,940.68,NA,51940,51760,NA,NA,00780,1,1
44007012401,7133,40,7009,40,48,5,31,5715,29,5594,29,33,5,25,1701.29,1575.38,NA,59000,37720,NA,NA,00540,2,2
44007012402,2404,22,2356,22,6,2,18,1999,13,1961,13,4,1,7,595.08,551.04,NA,59000,37720,NA,NA,00540,2,2
44007012601,3609,61,3466,61,29,17,33,3344,56,3153,56,29,17,33,770.18,945.91,NA,NA,66200,NA,NA,00990,1,1
44007012602,6279,13,6210,13,23,2,30,4959,12,4899,12,16,2,18,1142.15,1402.74,NA,NA,66200,NA,NA,00990,1,1
44007012701,4689,23,4590,23,40,2,32,3446,13,3392,13,6,2,20,793.68,974.76,NA,31600,66200,NA,NA,00990,1,1
44007012702,4586,16,4523,16,11,3,33,3608,15,3548,15,8,1,21,830.99,1020.59,NA,31600,66200,NA,NA,00990,1,1
44007012801,4445,22,4370,22,10,1,39,3509,16,3444,16,7,1,25,907.09,1250.68,NA,80780,52480,NA,NA,00810,1,1
44007012897,2308,19,2274,19,1,2,11,1846,15,1805,15,1,2,8,477.2,657.95,NA,NA,52480,NA,NA,00810,1,1
