GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
28145009506,2838,13,2508,13,314,2,0,2087,13,1866,13,193,2,0,387.12,758.89,NA,NA,91395,04350,1,2
28147009501,6155,12,3407,12,2716,10,10,4225,9,2534,9,1659,7,7,1005.69,1342.06,NA,75160,92880,04440,4,5
28147009502,1996,1,1229,1,750,1,15,1405,1,961,1,430,1,11,334.44,446.29,NA,75160,91404,04440,4,5
28147009503,6201,37,3580,37,2578,4,2,4230,33,2640,33,1521,3,0,1006.88,1343.65,NA,75160,92142,04440,4,5
28149009501,4947,26,2772,26,2145,2,2,3453,18,2047,18,1368,2,0,770.76,1178.18,NA,NA,90675,04470,2,3
28149009502,5264,33,1190,33,4022,4,15,3459,21,976,21,2429,2,10,772.09,1180.23,NA,76720,91413,04470,2,3
28149009503,3367,8,813,8,2536,1,6,2374,5,743,5,1614,1,6,529.91,810.02,NA,76720,91413,04470,2,3
28149009504,3933,10,945,10,2970,4,3,2902,8,814,8,2069,2,1,647.76,990.18,NA,76720,92151,04470,2,3
28149009505,2077,12,1582,12,473,0,10,1524,7,1200,7,304,0,6,340.18,520,NA,76720,92151,04470,2,3
28149009506,4970,26,3816,26,1086,5,35,3581,16,2870,16,650,5,24,799.33,1221.86,NA,76720,93627,04470,2,3
28149009507,3007,17,1331,17,1653,1,5,2189,12,1111,12,1050,1,3,488.61,746.9,NA,76720,92889,04470,2,3
28149009508,3680,14,2775,14,878,3,10,2803,11,2218,11,552,3,8,625.67,956.4,NA,76720,92889,04470,2,3
28149009509,7256,45,5954,45,1197,2,58,5079,27,4219,27,768,2,36,1133.7,1732.98,NA,76720,90675,04470,2,3
28149009510,575,10,403,10,158,4,0,430,7,312,7,100,4,0,95.98,146.72,NA,NA,91413,04470,2,3
28149009511,8799,53,7157,53,1491,18,79,5949,34,4903,34,913,15,50,1327.9,2029.83,NA,NA,92889,04470,2,3
28149951099,5,0,5,0,0,0,0,5,0,5,0,0,0,0,1.12,1.71,NA,NA,91413,04470,2,3
28151000001,729,13,345,13,370,0,1,498,10,238,10,239,0,1,103.29,133.84,NA,NA,92898,02610,2,3
28151000002,2553,13,829,13,1700,2,0,1740,10,652,10,1066,2,0,360.88,467.64,NA,46880,92160,04680,2,3
28151000003,4924,29,1445,29,3438,1,8,3104,22,1095,22,1956,1,8,643.77,834.24,NA,29180,92160,01620,2,3
28151000004,5471,35,165,35,5255,5,11,3388,19,136,19,3204,4,6,702.67,910.56,NA,29180,92160,01620,2,3
