GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
06037002324,06,037,002324,6458,1667,74,1667,4586,16,86,5585,1059,58,1059,3329,10,70,1632.46,1721.62,NA,44000,91750,NA,NA,22710,27,16
06037002325,06,037,002325,3925,914,24,914,2956,3,16,3288,564,19,564,2126,3,12,961.06,1013.55,NA,44000,91750,NA,NA,22710,28,16
06037002326,06,037,002326,5572,1895,59,1895,3560,10,22,4941,1155,50,1155,2565,4,12,1444.22,1523.1,NA,44000,91750,NA,NA,22710,28,16
06037002327,06,037,002327,4513,2332,34,2332,2111,1,26,4351,1406,30,1406,1489,1,19,1271.77,1341.23,NA,44000,91750,NA,NA,22710,28,17
06037002328,06,037,002328,4377,2654,36,2654,1677,1,0,4608,1681,12,1681,1233,1,0,1346.89,1420.45,NA,44000,91750,NA,NA,22710,28,17
06037002340,06,037,002340,4889,535,118,535,3915,17,262,4169,361,105,361,3084,15,243,1218.57,1285.13,NA,44000,91750,NA,NA,22710,27,16
06037002342,06,037,002342,2459,102,81,102,1676,7,582,2178,69,75,69,1406,5,554,636.61,671.39,NA,44000,91750,NA,NA,22710,27,16
06037002343,06,037,002343,4273,140,68,140,3991,6,56,3610,99,62,99,3298,6,46,1055.18,1112.81,NA,44000,91750,NA,NA,22710,27,16
06037002345,06,037,002345,5237,858,145,858,4106,17,85,4293,493,122,493,3093,14,78,1254.82,1323.35,NA,44000,91750,NA,NA,22710,27,16
06037002346,06,037,002346,4643,586,166,586,3780,23,57,3779,363,151,363,2834,11,57,1104.58,1164.91,NA,44000,91750,NA,NA,22710,27,16
06037002347,06,037,002347,3737,701,48,701,2931,8,31,3144,456,37,456,2167,7,21,918.97,969.16,NA,44000,91750,NA,NA,22710,27,16
06037002348,06,037,002348,3203,523,61,523,2551,11,31,2665,342,58,342,1894,4,25,778.96,821.51,NA,44000,91750,NA,NA,22710,27,16
06037002349,06,037,002349,6746,2315,130,2315,4240,11,12,5787,1416,109,1416,2826,11,9,1691.5,1783.89,NA,44000,91750,NA,NA,22710,27,16
06037002351,06,037,002351,4718,386,420,386,3845,7,30,3847,260,366,260,2930,6,25,1124.45,1185.87,NA,44000,91750,NA,NA,22710,27,16
06037002360,06,037,002360,4435,194,859,194,2982,10,371,3834,138,805,138,2409,10,334,1120.65,1181.86,NA,44000,91750,NA,NA,22710,27,16
06037002361,06,037,002361,5236,379,140,379,4214,18,480,4475,264,137,264,3344,17,449,1308.01,1379.45,NA,44000,91750,NA,NA,22710,27,16
06037002364,06,037,002364,4330,113,172,113,3955,8,71,3593,85,167,85,3187,6,63,1050.21,1107.57,NA,44000,91750,NA,NA,22710,27,16
06037002371,06,037,002371,6233,3013,64,3013,3092,7,17,5744,1747,48,1747,2181,6,15,1678.93,1770.63,NA,44000,91750,NA,NA,22710,28,17
06037002372,06,037,002372,5704,2386,54,2386,3226,4,13,5103,1378,44,1378,2289,4,10,1491.57,1573.04,NA,44000,91750,NA,NA,22710,28,16
06037002373,06,037,002373,5147,883,79,883,4123,11,32,4264,531,71,531,3097,7,27,1246.34,1314.41,NA,44000,91750,NA,NA,22710,28,16
06037002374,06,037,002374,6312,1748,84,1748,4443,8,15,5581,1107,72,1107,3278,5,12,1631.29,1720.39,NA,44000,91750,NA,NA,22710,28,17
06037002375,06,037,002375,3328,1563,45,1563,1678,7,19,3068,942,35,942,1136,3,10,896.76,945.73,NA,44000,91750,NA,NA,22710,28,17
06037002376,06,037,002376,5429,3024,27,3024,2332,4,27,5118,1728,21,1728,1615,4,22,1495.96,1577.66,NA,44000,91750,NA,NA,22710,28,17
06037002377,06,037,002377,7265,3416,45,3416,3757,8,21,6397,1955,39,1955,2425,6,17,1869.8,1971.92,NA,44000,91750,NA,NA,22710,28,17
