GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
48113007804,4343,148,1441,148,2377,7,363,3684,112,1345,112,1844,7,264,485.06,651.11,NA,19000,92785,NA,37020,21,30
48113007805,3029,140,1860,140,935,16,71,2662,107,1678,107,711,8,51,350.5,470.48,NA,19000,92785,NA,37020,21,30
48113007806,5313,926,3186,926,1049,16,130,5497,732,3047,732,860,13,113,723.78,971.54,NA,19000,92785,NA,16230,21,8
48113007809,2202,97,1643,97,414,8,39,1798,72,1416,72,199,6,33,236.74,317.78,NA,19000,92785,NA,16230,21,8
48113007810,4910,336,3402,336,954,20,197,3956,246,2641,246,643,15,165,520.88,699.19,NA,19000,92785,NA,37020,21,30
48113007811,4048,229,3111,229,623,8,76,3903,190,2933,190,516,8,66,513.9,689.82,NA,19000,92785,NA,37020,21,30
48113007812,3533,53,3386,53,11,3,80,2409,34,2282,34,7,3,49,317.19,425.77,NA,19000,92785,NA,37020,21,30
48113007813,6774,307,5662,307,648,20,132,5371,237,4273,237,503,15,106,707.19,949.28,NA,19000,92785,NA,37020,21,8
48113007814,4491,490,2884,490,1011,23,78,4106,347,2593,347,733,19,67,540.63,725.7,NA,19000,92785,NA,37020,21,30
48113007815,3897,827,1930,827,1052,21,59,4090,661,1819,661,880,18,51,538.52,722.87,NA,19000,92785,NA,16230,21,30
48113007816,6038,711,3861,711,1316,23,114,6010,558,3675,558,1096,22,101,791.32,1062.21,NA,19000,92785,NA,16230,21,30
48113007817,7133,1443,3297,1443,2210,34,134,7384,1128,3141,1128,1837,33,117,972.23,1305.05,NA,19000,92785,NA,16230,21,30
48113007902,5488,516,4641,516,252,15,63,5051,367,4089,367,166,11,51,665.05,892.72,NA,19000,92785,NA,16230,21,8
