GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
42101000045,3255,18,3215,18,5,0,17,2758,18,2704,18,5,0,13,814.36,402.7,60000,60000,18990,13,1
42101000046,2391,56,69,56,2261,4,1,1182,32,52,32,1063,2,1,349.01,172.59,60000,60000,18990,13,1
42101000048,526,0,520,0,6,0,0,471,0,465,0,6,0,0,139.07,68.77,60000,60000,18990,13,1
42101000049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,60000,18990,13,1
42101000050,2229,125,1525,125,438,18,123,1595,74,1066,74,300,12,69,470.96,232.89,60000,60000,18990,13,1
42101000051,1165,93,662,93,349,5,53,859,54,471,54,245,2,33,253.64,125.42,60000,60000,18990,13,1
42101000052,53,2,20,2,22,0,9,44,2,20,2,14,0,6,12.99,6.42,60000,60000,18990,12,1
42101000054,1271,36,334,36,869,4,26,1058,29,302,29,674,2,22,312.4,154.48,60000,60000,18990,12,1
42101000055,6293,79,2813,79,3262,9,121,4956,63,2265,63,2473,7,85,1463.37,723.64,60000,60000,18990,12,1
42101000056,1217,21,125,21,1052,5,14,841,16,108,16,689,2,10,248.32,122.8,60000,60000,18990,12,1
42101000057,3,3,0,3,0,0,0,6,3,0,3,0,0,0,1.77,0.88,60000,60000,18990,12,1
42101000058,32,0,15,0,8,0,9,28,0,15,0,6,0,7,8.27,4.09,60000,60000,18990,12,1
42101000059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,60000,18990,12,1
42101000060,6554,69,5689,69,655,7,129,5155,50,4462,50,504,7,82,1522.13,752.69,60000,60000,18990,12,1
42101000061,3146,24,2503,24,594,8,17,2516,21,1955,21,496,6,17,742.9,367.37,60000,60000,18990,12,1
42101000062,4038,26,3946,26,11,4,50,3040,13,2968,13,5,4,37,897.63,443.88,60000,60000,18990,12,1
42101000063,4709,59,2513,59,1773,7,354,3128,36,1881,36,983,6,186,923.61,456.73,60000,60000,18990,12,1
42101000064,4512,39,3310,39,774,22,361,3360,33,2515,33,569,13,197,992.11,490.6,60000,60000,18990,12,1
42101000065,6283,44,108,44,6053,15,63,4285,33,103,33,4062,13,41,1265.24,625.66,60000,60000,18990,23,2
42101000066,4218,61,1595,61,2302,6,251,2879,36,1295,36,1341,6,165,850.09,420.37,60000,60000,18990,12,1
42101000067,6431,46,6132,46,184,8,58,4997,36,4760,36,117,7,41,1475.47,729.62,60000,60000,18990,12,1
42101000068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,60000,18990,12,1
42101000069,2520,16,250,16,2234,9,10,1587,11,228,11,1323,5,9,468.6,231.72,60000,60000,18990,12,1
42101000070,5374,44,104,44,5199,6,18,3594,24,94,24,3429,6,17,1061.21,524.77,60000,60000,18990,23,2
42101000071,9952,108,287,108,9461,9,81,6885,78,265,78,6410,8,46,2032.95,1005.29,60000,60000,18990,23,2
