GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
09001200302,4971,75,4805,75,30,1,58,3567,57,3393,57,24,1,35,594.55,1072.36,NA,4790,4720,NA,NA,00270,3,5
09003003301,1833,9,1808,9,2,3,11,1315,5,1295,5,2,3,5,217,422,NA,NA,37140,01950,NA,NA,5,6
09003004001,6759,116,6475,116,54,7,107,5193,85,4908,85,41,6,68,1211.44,1462.98,NA,40150,4300,NA,NA,00210,2,1
09003004002,3652,53,3554,53,19,3,23,2815,38,2711,38,15,2,11,656.69,793.05,NA,NA,4300,NA,NA,00210,2,1
09003004003,6376,55,6275,55,7,2,37,5122,44,5009,44,3,1,21,1194.87,1442.98,NA,40150,4300,NA,NA,00210,2,1
09003004051,3147,43,3018,43,52,5,21,2529,37,2399,37,35,5,16,494.21,457.92,NA,8420,8490,NA,NA,00510,5,6
09003004052,4757,70,4601,70,37,7,40,3840,50,3677,50,30,6,27,750.4,695.29,NA,8420,8490,NA,NA,00510,5,6
09003004053,6565,144,6227,144,107,7,79,5319,100,4971,100,88,5,55,1039.43,963.09,NA,8420,8490,NA,NA,00510,5,6
09003004054,7473,190,7046,190,157,17,61,6049,129,5622,129,116,12,41,1182.08,1095.27,NA,8420,8490,NA,NA,00510,5,6
09003004055,5333,242,4880,242,167,7,35,4208,142,3796,142,96,6,26,822.32,761.93,NA,8420,8490,NA,NA,00510,5,6
09003004056,6757,130,6477,130,108,11,26,5270,82,5019,82,62,8,17,1029.85,954.22,NA,8420,8490,NA,NA,00510,5,6
09003004057,2286,39,2186,39,39,9,13,1878,23,1792,23,24,5,11,366.99,340.04,NA,8420,8490,NA,NA,00510,5,6
09003004058,6913,102,6663,102,77,6,60,5290,77,5028,77,63,6,39,1033.76,957.84,NA,8420,8490,NA,NA,00510,5,6
09003004059,4259,62,4116,62,51,1,28,3323,42,3184,42,35,1,19,649.37,601.68,NA,8420,8490,NA,NA,00510,5,6
09003004061,3426,136,3180,136,81,12,14,2888,104,2609,104,53,4,14,564.37,522.92,NA,8420,8490,NA,NA,00510,5,6
09003004101,7026,56,6893,56,39,5,32,5060,32,4942,32,29,5,20,958,1319,NA,NA,10100,NA,NA,03520,5,6
09003004153,2130,154,1813,154,135,8,16,1779,95,1478,95,93,5,13,308.81,218.3,NA,50370,50440,NA,NA,02670,5,6
09003004154,5744,540,4569,540,526,12,86,4821,348,3692,348,367,9,57,836.85,591.58,NA,50370,50440,NA,NA,02670,5,6
09003004155,2582,256,2041,256,235,1,43,2190,166,1662,166,161,1,34,380.15,268.73,NA,50370,50440,NA,NA,02670,5,6
09003004156,3771,531,2975,531,228,5,29,3310,312,2491,312,164,5,26,574.56,406.16,NA,50370,50440,NA,NA,02670,5,6
09003004157,3918,466,3277,466,107,11,52,3353,269,2699,269,70,8,38,582.03,411.44,NA,50370,50440,NA,NA,02670,5,6
09003004158,2090,133,1876,133,67,3,10,1907,113,1609,113,59,3,10,331.03,234,NA,50370,50440,NA,NA,02670,5,6
09003004159,2655,1088,1394,1088,109,8,43,2437,579,1178,579,69,2,30,423.03,299.04,NA,50370,50440,NA,NA,02670,5,6
09003004160,4429,447,3824,447,117,1,14,3887,275,3254,275,72,1,10,674.72,476.97,NA,50370,50440,NA,NA,02670,5,6
09003004161,4988,1714,2904,1714,308,2,49,4643,959,2497,959,192,1,35,805.95,569.74,NA,50370,50440,NA,NA,02670,5,6
