GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
56007009683,218,40,176,40,0,2,0,185,23,137,23,0,2,0,42.85,44.3,NA,71150,92640,01030,1,1
56009009561,199,12,187,12,0,0,0,147,6,135,6,0,0,0,35.71,43.63,NA,NA,90990,02140,1,1
56009009562,149,14,131,14,0,2,2,126,12,98,12,0,2,2,30.61,37.4,NA,NA,90990,02140,1,1
56009009563,1119,57,1051,57,0,10,1,769,36,690,36,0,6,1,186.83,228.23,NA,67440,91375,02150,1,1
56009009564,4146,192,3900,192,7,36,5,3047,118,2780,118,5,23,3,740.26,904.33,NA,21125,90990,02140,1,1
56009009565,2029,152,1843,152,6,20,6,1287,66,1134,66,2,14,5,312.67,381.97,NA,21125,90990,02140,1,1
56009009566,1122,46,1070,46,0,2,4,775,35,703,35,0,0,2,188.28,230.01,NA,47805,90990,02140,1,1
56009009567,2364,92,2229,92,2,26,15,1612,39,1508,39,1,16,9,391.63,478.43,NA,32435,91375,02150,1,1
56009956898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,90990,02140,1,1
56011009501,1284,6,1278,6,0,0,0,868,2,864,2,0,0,0,190.54,414.51,NA,39105,91760,02370,1,1
56011009502,1996,9,1980,9,0,7,0,1313,5,1297,5,0,6,0,288.22,627.02,NA,54185,92200,02370,1,1
56011009503,2014,11,1980,11,0,20,3,1427,6,1398,6,0,15,2,313.24,681.46,NA,74195,93190,02370,1,1
56013009825,681,33,644,33,0,3,1,514,13,485,13,0,2,1,125.06,143.57,NA,70570,93080,05700,1,1
56013009826,253,12,240,12,0,1,0,187,7,172,7,0,1,0,45.5,52.23,84200,NA,93245,03630,1,1
56013009827,3502,107,3114,107,4,260,15,2619,71,2309,71,2,158,8,637.25,731.55,NA,44760,92035,02870,1,1
56013009828,4320,89,3939,89,2,273,16,3114,45,2847,45,2,164,11,757.69,869.81,NA,44760,92035,02870,1,1
56013009829,1696,25,1639,25,0,27,5,1207,12,1164,12,0,16,3,293.68,337.14,84200,38960,92035,02870,1,1
56013009830,1493,16,1468,16,1,6,2,1138,9,1111,9,1,6,2,276.89,317.87,84200,21415,91045,02670,1,1
56013009831,4086,75,3799,75,0,211,0,2826,44,2601,44,0,137,0,687.61,789.37,84200,66220,93685,02830,1,1
56013009832,5712,262,1047,262,8,4391,3,3519,128,772,128,3,2486,2,856.23,982.94,84200,25330,93685,02820,1,1
56013009833,4698,329,3958,329,20,366,21,3348,177,2783,177,13,183,15,814.63,935.18,84200,66220,93685,05220,1,1
56013009834,2502,158,2187,158,2,150,4,1994,101,1705,101,2,82,3,485.17,556.97,84200,66220,93685,05220,1,1
56013009835,4719,230,4238,230,8,201,42,3363,122,2971,122,7,109,32,818.27,939.36,84200,66220,93685,05220,1,1
56015009576,399,11,386,11,0,2,0,287,6,274,6,0,1,0,65.51,83.8,NA,NA,92585,02990,1,1
56015009577,1425,38,1363,38,4,17,3,1050,23,988,23,1,12,3,239.68,306.58,NA,28230,93465,02990,1,1
56015009578,3634,490,3096,490,15,31,1,2871,275,2297,275,11,12,1,655.36,838.28,NA,77530,93465,02990,1,1
56015009579,4195,174,3991,174,5,17,8,3175,97,2961,97,2,11,7,724.76,927.05,NA,77530,93465,02990,1,1
56015009580,1527,328,1181,328,0,16,2,1232,188,848,188,0,8,0,281.23,359.72,NA,77530,93465,02990,1,1
56015009581,1193,37,1154,37,0,2,0,865,18,827,18,0,2,0,197.45,252.57,NA,43745,91430,02990,1,1
56017009876,501,7,484,7,9,1,0,416,5,398,5,7,1,0,121.54,156.8,NA,76515,93355,03310,1,1
56017009877,1167,24,1097,24,0,45,1,826,11,778,11,0,25,1,241.33,311.33,84200,42730,93410,03310,1,1
56017009878,3141,36,3045,36,5,54,1,2345,17,2279,17,3,29,0,685.13,883.87,NA,76515,93410,03310,1,1
56019009551,893,15,872,15,0,0,6,626,7,610,7,0,0,2,140.69,252.03,NA,NA,90495,03770,1,1
56019009552,4376,41,4282,41,1,51,1,3300,24,3222,24,1,29,0,741.65,1328.57,NA,10685,90495,03770,1,1
56019009553,343,21,321,21,0,1,0,232,12,207,12,0,1,0,52.14,93.4,NA,NA,91870,03770,1,1
56019009554,533,1,529,1,0,3,0,385,1,381,1,0,2,0,86.53,155,NA,41353,91870,03770,1,1
56021000001,1362,275,927,275,121,23,14,1344,204,809,204,95,22,10,320.98,296.39,NA,13900,90715,01980,1,1
56021000002,3736,1597,1870,1597,156,58,31,3672,1035,1447,1035,103,34,18,876.95,809.79,NA,13900,90715,01980,1,1
56021000003,2810,743,1833,743,171,21,32,2257,440,1213,440,135,8,21,539.02,497.74,NA,13900,90715,01980,1,1
56021000004,7593,709,6605,709,142,87,43,5545,400,4575,400,78,57,35,1324.27,1222.85,NA,29300,90715,01980,1,1
56021000005,5515,555,4725,555,155,30,43,4115,327,3326,327,88,17,30,982.75,907.49,NA,13900,90715,01980,1,1
56021000006,5739,496,5108,496,70,11,51,5029,355,4218,355,50,11,40,1201.03,1109.05,NA,13900,90715,01980,1,1
56021000007,3044,261,2644,261,61,23,52,2638,193,2157,193,36,17,42,630.01,581.76,NA,13900,90715,01980,1,1
