GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
12011000413,7772,66,183,66,7506,9,8,5449,44,162,44,5187,6,6,1004.36,870.89,NA,8875,91098,00180,18,23
12011000414,4036,35,357,35,3639,4,1,2645,18,309,18,2296,4,0,487.53,422.74,NA,24000,91098,00180,18,23
12011000415,4060,57,43,57,3955,2,1,2560,39,30,39,2451,0,1,471.86,409.16,NA,24000,91098,00180,18,23
12011000416,4671,37,159,37,4470,2,2,3131,30,146,30,2921,2,2,577.11,500.42,NA,24000,91098,00180,18,23
12011000417,4903,363,925,363,3530,15,64,3605,261,804,261,2234,10,35,664.48,576.17,NA,24000,91098,00180,18,23
12011000418,5333,289,4819,289,174,3,42,5161,253,4463,253,148,3,41,951.28,824.86,NA,24000,91098,00180,18,18
12011000419,3355,212,2990,212,128,9,15,3373,201,2831,201,116,9,15,621.71,539.09,NA,24000,91098,00180,18,18
12011000420,3984,113,3837,113,14,8,12,3674,97,3451,97,13,6,10,677.19,587.2,NA,24000,91098,00180,18,18
12011000421,2660,115,2466,115,39,7,33,2671,106,2392,106,36,6,25,492.32,426.9,NA,24000,91098,00180,18,18
12011000422,3087,66,2981,66,15,2,23,2954,58,2801,58,14,2,21,544.48,472.13,NA,24000,91098,00180,18,18
12011000423,5957,468,5191,468,224,9,62,5782,396,4737,396,200,7,46,1065.74,924.11,NA,24000,91098,00180,18,18
12011000424,1346,41,1292,41,5,1,7,1112,37,1028,37,5,1,4,204.96,177.73,NA,24000,91098,00180,18,18
12011000425,3526,362,1336,362,1767,15,40,3277,301,1250,301,1382,14,29,604.02,523.75,NA,24000,91098,00180,18,23
12011000426,5132,223,3503,223,1358,21,21,4590,178,3209,178,986,21,18,846.03,733.6,NA,24000,91098,00180,18,21
12011000427,5908,504,3107,504,2219,16,60,4838,378,2702,378,1321,12,47,891.74,773.24,NA,24000,91098,00180,18,23
12011000428,6969,1093,1966,1093,3865,14,24,5712,829,1687,829,2341,6,20,1052.84,912.93,NA,24000,91098,00180,18,23
12011000429,6435,420,1792,420,4139,14,55,4656,285,1484,285,2552,11,39,858.2,744.15,NA,44125,91098,00180,18,23
12011000430,7747,1143,5517,1143,1015,20,48,6727,833,4358,833,647,16,40,1239.92,1075.15,NA,24000,91098,00180,18,21
12011000431,4734,790,3835,790,76,10,21,4377,616,3078,616,41,10,16,806.77,699.56,NA,24000,91098,00180,18,21
12011000432,3309,630,2520,630,60,8,90,3130,451,2116,451,44,8,60,576.92,500.26,NA,24000,91098,00180,18,21
12011000433,7167,906,5857,906,304,12,69,6629,690,4990,690,199,11,49,1221.86,1059.49,NA,24000,91098,00180,18,21
12011000501,3856,712,3049,712,33,13,45,3543,536,2404,536,22,12,33,653.05,566.26,NA,49150,91098,00180,18,23
12011000504,5693,349,4859,349,400,13,68,5055,293,4149,293,262,8,50,931.74,807.92,NA,50575,91098,00180,18,18
12011000505,7984,843,6768,843,203,10,156,7071,653,5483,653,164,10,108,1303.33,1130.13,NA,49150,91098,00180,18,18
12011000506,7325,594,6442,594,129,20,139,6712,465,5571,465,91,17,103,1237.16,1072.75,NA,50575,91098,00180,18,18
12011000507,8514,1710,5144,1710,1507,10,134,7824,1250,4273,1250,948,10,93,1442.12,1250.48,NA,50575,91098,00180,18,18
12011000508,4757,88,325,88,4332,2,7,3310,55,307,55,2884,2,7,610.1,529.02,NA,50575,91098,00180,18,23
12011000509,6189,480,4631,480,983,10,71,5227,352,3852,352,604,10,57,963.44,835.41,NA,78000,91098,00180,18,18
12011000510,5648,254,5257,254,69,8,56,5217,209,4698,209,50,6,45,961.6,833.81,NA,78000,91098,00180,18,18
12011000603,17517,1109,6863,1109,9304,35,179,13527,791,6201,791,5584,23,137,2493.3,2161.97,NA,39550,92756,00180,18,23
12011000604,14634,1069,5285,1069,8126,7,126,12228,851,4937,851,5479,7,103,2253.87,1954.35,NA,39550,92756,00180,18,23
12011000607,2723,111,2442,111,135,3,32,2254,86,1957,86,94,3,28,415.46,360.25,NA,57425,92756,00180,18,21
12011000608,7250,896,4375,896,1748,9,206,6221,681,3537,681,1165,9,148,1146.66,994.28,NA,57425,92756,00180,18,23
12011000609,4561,296,3957,296,253,4,37,3785,231,3129,231,164,4,26,697.65,604.94,NA,57425,92756,00180,18,21
12011000611,6260,1384,4065,1384,719,13,67,5458,964,3077,964,394,11,48,1006.02,872.33,65033,8650,92756,00180,18,23
12011000701,9423,915,8124,915,262,32,83,7832,649,6284,649,167,22,61,1443.6,1251.76,32125,16475,90754,00180,13,21
12011000704,21063,2283,17755,2283,435,25,557,16478,1634,12537,1634,293,20,360,3037.23,2633.62,NA,14125,90754,00180,13,21
12011000705,5656,839,3773,839,880,22,134,4479,569,2786,569,441,15,99,825.57,715.86,NA,16475,90754,00180,13,21
12011000706,5910,519,5256,519,45,5,83,4971,377,4119,377,34,5,59,916.26,794.5,NA,16475,90754,00180,13,21
