GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
26095000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,25350,9,1
26095009601,3941,18,3661,18,1,257,4,2868,11,2703,11,0,140,3,289.59,281.42,NA,57140,50440,NA,25350,9,1
26095009602,1822,9,1740,9,1,70,2,1341,3,1289,3,1,43,2,135.41,131.58,NA,NA,50440,NA,25350,9,1
26097000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,21420,9,1
26097009501,1652,1,1553,1,0,92,6,1278,1,1215,1,0,57,4,320.72,397.73,NA,NA,16060,NA,21420,9,1
26097009502,2194,16,1849,16,1,326,1,1574,6,1380,6,1,180,1,123.63,102.79,71757,NA,31620,24540,15600,9,1
26097009503,1807,5,1676,5,0,126,0,1396,3,1310,3,0,80,0,83,68,NA,NA,65600,NA,15600,9,1
26097009504,2456,8,1771,8,0,674,3,1749,4,1375,4,0,364,2,137.37,114.21,71757,50280,55480,24540,00012,9,1
26097009505,2526,3,2045,3,4,473,1,1887,1,1579,1,2,304,0,36,44,NA,70840,70840,06300,00012,9,1
26097950199,34,0,34,0,0,0,0,33,0,33,0,0,0,0,8.28,10.27,NA,NA,16060,NA,21420,9,1
26097950599,5,0,5,0,0,0,0,5,0,5,0,0,0,0,167,127,NA,70840,70840,NA,00012,9,1
26099002067,164,2,162,2,0,0,0,120,2,116,2,0,0,0,16.92,27.5,NA,69400,11300,NA,30090,15,11
26099002100,3424,22,3338,22,42,20,2,2461,18,2377,18,40,7,1,279,489,NA,52960,68400,NA,29670,13,11
26099002110,4069,34,4021,34,0,12,2,3010,22,2954,22,0,10,2,488,701,NA,68380,68380,NA,29670,13,11
26099002120,3883,76,3785,76,7,12,2,2672,47,2567,47,2,7,2,532,814,NA,3520,3540,NA,03240,13,11
26099002130,6456,65,6180,65,141,22,41,4645,48,4392,48,114,15,28,655.08,1064.5,NA,69400,11300,NA,30090,15,11
26099002150,4824,66,4647,66,89,8,14,3572,40,3421,40,60,6,5,507.14,908.51,NA,69400,84120,NA,30090,15,11
26099002151,8263,74,8107,74,19,16,47,5986,48,5837,48,12,14,27,849.86,1522.49,NA,NA,84120,NA,30090,15,11
