GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16USSRTHU,G16USSDWIL,G16HALRNOE,G16HALDHAW,G16PUCRNEL,G16PUCDRED
46083VTD-B3,46,083,VTD-B3,25.15,8.63,1.49,0.58,28.05,7.8,24.65,10.71,28.63,6.14
46083VTD-C1,46,083,VTD-C1,101.2,53.57,7.73,1.98,122.59,41.7,103.9,60.4,125.65,34.33
46083VTD-C2,46,083,VTD-C2,80.8,42.74,6.17,1.58,97.87,33.28,82.95,48.2,100.31,27.39
46083VTD-C3,46,083,VTD-C3,378.05,200.1,28.87,7.39,457.96,155.79,388.12,225.62,469.37,128.26
46083VTD-C4,46,083,VTD-C4,178.47,127.68,19.91,3.43,230.64,100.22,197.69,135.23,240.94,78.25
46083VTD-C5,46,083,VTD-C5,81.53,58.32,9.09,1.57,105.36,45.78,90.31,61.77,110.06,35.75
46083VTD-H1,46,083,VTD-H1,579.54,257.62,62.18,13.82,712.78,199.4,613.11,305.97,690.14,177.65
46083VTD-H2,46,083,VTD-H2,684.39,306.67,84.58,19.13,838.46,263.35,734.5,366.38,839.72,218.74
46083VTD-L1,46,083,VTD-L1,203.21,99.52,16.3,3.81,250.37,75.25,210.83,114.44,251.76,60.68
46083VTD-L2,46,083,VTD-L2,214.53,105.07,17.21,4.03,264.32,79.44,222.58,120.81,265.78,64.07
46083VTD-L3,46,083,VTD-L3,164.82,80.72,13.22,3.09,203.07,61.03,171,92.81,204.19,49.22
46083VTD-T1,46,083,VTD-T1,285.54,129.96,34.52,4.97,362.94,94.66,303.06,152.19,362.16,75.83
46083VTD-T2,46,083,VTD-T2,515.4,234.4,62.25,8.96,654.94,170.77,546.99,274.5,653.55,136.8
46083VTD-T3,46,083,VTD-T3,295.68,134.1,35.59,5.12,375.35,97.78,313.72,157.05,374.61,78.32
46083VTD111,46,083,VTD111,902,454,44,5,1078,317,985,423,1150,224
46083VTD112,46,083,VTD112,630.62,412.94,77.11,15.58,848.05,293.05,701.85,430.53,834.52,252.84
46083VTD113,46,083,VTD113,326.83,244.22,46.69,5.39,423.8,191.25,363.64,254.1,424.69,164.31
46083VTD114,46,083,VTD114,501.41,282.14,61.03,8,641.47,217.11,537.43,311.16,616.48,189.09
46083VTD115,46,083,VTD115,475.51,371.44,63.98,8.43,633.25,287.26,538.32,381.91,637.8,226.4
46083VTD116,46,083,VTD116,412.17,294.78,45.31,10.61,536.2,223.75,446.36,312.9,525.31,190.69
46083VTD118,46,083,VTD118,681.98,341.99,69,7,905.97,206.99,799.98,311.99,875.97,185.99
46083VTD210,46,083,VTD210,997,522,53,6,1265,349,1115,494,1267,279
46083VTD211,46,083,VTD211,1004.02,623.77,60.88,9.98,1285.47,409.19,1135.76,562.89,1368.3,293.42
46083VTD212,46,083,VTD212,443.23,305.77,46.47,5.09,560.53,236.09,504.75,294.88,576.87,181.52
