GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREIPIE,G20PREIWES,G20PREIMCH,G20PREILAR,G20PREOWRI,G20GOVRCOX,G20GOVDPET,G20GOVLCOT,G20GOVADUE,G20GOVOWRI,G20ATGRREY,G20ATGDSKO,G20ATGLBAU,G20AUDRDOU,G20AUDCOST,G20AUDUFAB,G20TRERDAM,G20TRELSPE,G20TRECPRO
49003TRE005,49,003,TRE005,599.9,108.6,18.5,2.1,0.2,1.1,1.4,0,0,7.8,552,85.6,26.4,9.5,44.1,571.7,113.9,42.5,621.1,57.5,28.6,602.3,57,52.1
49003TRE02A,49,003,TRE02A,620.7,116.5,16.3,2.3,3.1,0,3.9,0,0,6.2,581.8,85.4,25.6,13.2,42.7,608.3,98.6,43.5,614.5,68.3,41.9,604.4,59.8,59.1
49003TRE02B,49,003,TRE02B,126.6,23.8,3.3,0.5,0.6,0,0.8,0,0,1.3,118.7,17.4,5.2,2.7,8.7,124.1,20.1,8.9,125.3,13.9,8.6,123.3,12.2,12
49003TRE0US,49,003,TRE0US,449.6,63.2,10.5,0.5,0.5,0,1.7,0.2,0.2,2.4,401.5,53.1,21.3,13.6,30.7,434.4,65.4,21.8,430.3,45.5,23.6,425.7,28.9,48.6
49003TRE0UW,49,003,TRE0UW,727.8,96,19.8,0.9,3.8,1.9,6.6,0,0,12.2,641.1,84.7,30.1,17.9,67.8,683.5,115.8,48,708.9,68.7,32,682.6,54.6,74.4
49003TRE1AI,49,003,TRE1AI,569.2,86.8,12.3,1.6,1.6,0.8,1.7,0.8,0,7.4,566.5,46.8,25.5,9.1,26.2,551.1,82,31.2,574,56.6,23,576.4,34.5,41.9
49003TRE1AU,49,003,TRE1AU,4,0.4,0.1,0,0.1,0,0,0,0,0,3.8,0.3,0.2,0.1,0.2,3.9,0.4,0.2,4.1,0.3,0.1,3.9,0.2,0.4
49003TRE1BI,49,003,TRE1BI,60.1,8,1.3,0.1,0.4,0,0.2,0,0,0.8,58.9,4.8,2.7,1,3,58.6,7.9,3,61,5.3,2,59.9,3.2,5.2
49003TRE1BU,49,003,TRE1BU,108.6,15.8,2.4,0.3,0.5,0.1,0.3,0.1,0,1.4,107.4,8.8,4.8,1.7,5.2,105.4,15.1,5.8,109.8,10.3,4,109.3,6.2,8.6
49003WLRD0I,49,003,WLRD0I,631.1,120.9,10.9,2.1,2.7,0.7,1.5,3.4,0,5.8,614.9,104.7,23.1,12.9,13.7,590.7,135.9,37.5,620.8,69,42.4,625.5,55.1,59.3
49003WLRD0U,49,003,WLRD0U,225.9,43.1,3.9,0.7,1,0.3,0.6,1.2,0,1.9,219.8,37.5,8.3,4.5,4.5,211,49.1,13.2,222.3,24.7,14.9,224.1,19.3,21.2
49003YOST00,49,003,YOST00,25.8,2,0,0,0,0,0,0,0,0,24.8,2,0,0,0,23.8,1,2,24.8,2,0,23.8,2,1
49005AMA0I0,49,005,AMA0I0,171.4,35.1,2.5,0,3.1,0,0.8,0,0,1.8,157.1,27.9,4.2,8.2,26.6,162.1,36.8,6.8,155,29.2,15.1,158.7,15.2,21.6
49005AMA0UE,49,005,AMA0UE,5.7,1.2,0.1,0,0.1,0,0,0,0,0,5.3,0.9,0.1,0.3,0.9,5.4,1.2,0.2,5.2,1,0.5,5.3,0.5,0.7
49005AMA0US,49,005,AMA0US,26.4,5.4,0.4,0,0.5,0,0.1,0,0,0.2,24.3,4.3,0.6,1.3,4,25,5.7,1,23.8,4.7,2.4,24.4,2.4,3.4
49005BEN000,49,005,BEN000,255.5,59.9,6.9,0.1,0.9,0,0,0.2,0,7,224.5,50.9,9.4,12.4,52.4,234.1,61,18.4,256,19.5,14.1,251,17.8,22.9
49005CLK00I,49,005,CLK00I,95,12.7,4.5,0,0.6,0.3,0.3,0,0,1.7,94.1,9.9,2.8,1.4,9,92.7,14.4,4.2,93.3,9,3.7,91.6,7,7.6
49005CLK0UE,49,005,CLK0UE,149.4,20,7.1,0,0.9,0.4,0.4,0,0,2.7,148.1,15.5,4.4,2.2,14.2,145.9,22.6,6.7,146.8,14.2,5.8,144.1,11.1,12
49005CLK0UW,49,005,CLK0UW,90.6,12.1,4.3,0,0.5,0.3,0.3,0,0,1.6,89.8,9.4,2.7,1.3,8.6,88.4,13.7,4,88.9,8.6,3.5,87.3,6.7,7.3
49005COR00I,49,005,COR00I,193.1,28.9,6.8,0,1.9,0,1.5,1,0,9.7,191.5,23.9,4.9,3.9,19.5,189,34.7,8.8,191.9,20.1,9.7,192.9,11.7,13.3
49005COR0UW,49,005,COR0UW,204.2,30.6,7.2,0,2.1,0,1.6,1,0,10.4,202.6,25.4,5.2,4.2,20.7,200,36.8,9.3,203.1,21.2,10.4,204.2,12.4,14
49005COV000,49,005,COV000,122.5,15.9,0,0,1,1,2,0,0,6,112.6,15.9,5,2,15.9,113.6,13.9,11,116.6,8,7,114.6,10,9
49005CY0000,49,005,CY0000,257.1,41,3.9,0,1,0,0,0,0,9.8,230.9,42,11.7,0,31.1,243.6,40,13.7,246.5,24.4,8.8,240.7,12.7,24.3
49005HYD001,49,005,HYD001,1130,401.2,36.1,3.9,10,5.8,5.1,5,1.1,64.9,1268.4,272.6,33.4,14.1,42.3,1176.3,346.1,53.1,1225.8,120,107.2,1254.8,99.5,100
49005HYD02I,49,005,HYD02I,801.7,319.9,22.2,2.8,5.6,1.9,4.6,3.7,0,79.5,894.2,215.4,38.8,23.1,33.3,846.1,260.7,49.9,886.8,108.2,85.1,905.2,83.2,76.8
49005HYD2UE,49,005,HYD2UE,95.7,33.8,3.5,0.2,1.1,0.2,0.4,0.3,0.1,7.3,106.9,22.8,3.2,1.8,4.9,100.1,27.7,5.9,104.3,11.2,9.2,105.4,9.5,9.6
