GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREOWRI,G20USSDMAR,G20USSROCO,G20USSOAYY,G20USSOWRI
25005000726,25,005,000726,862.57,702.87,25.63,7.89,0.99,879.33,673.3,9.86,0
25005000727,25,005,000727,742.56,712.82,11.04,4.25,7.65,759.55,660.15,19.54,0
25005000728,25,005,000728,794.84,799.69,22.06,4.02,7.04,823.93,761.42,9.1,1
25005000729,25,005,000729,765,763,20,7,2,836,662,8,0
25005000730,25,005,000730,600,518,21,6,0,647,450,0,0
25005000731,25,005,000731,637,613,21,2,3,690,528,3,0
25005000732,25,005,000732,518,388,16,4,2,565,312,1,1
25005000733,25,005,000733,442,395,11,5,2,473,32,14,1
25005000734,25,005,000734,522,455,17,6,0,567,374,7,0
25005000735,25,005,000735,370,541,16,9,1,680,469,4,0
25005000736,25,005,000736,656,525,6,8,0,696,444,0,0
25005000737,25,005,000737,667.77,579.74,14.99,2.81,2.81,702.43,516.99,7.49,0
25005000738,25,005,000738,547.13,365.59,9.45,4.88,0.19,568.23,299.4,7.08,0
25005000739,25,005,000739,522,319,9,2,2,536,270,2,0
25005000740,25,005,000740,562,313,13,9,2,586,259,7,0
25005000741,25,005,000741,396,285,10,7,1,425,245,4,0
25005000742,25,005,000742,412,252,10,9,2,442,201,4,1
25005000743,25,005,000743,482,341,8,2,1,517,278,5,2
25005000744,25,005,000744,714.43,714.33,15.46,9.1,1.1,770.77,594.78,7.2,0.05
25005000745,25,005,000745,531,394,11,3,2,552,335,4,2
25005000746,25,005,000746,670,513,10,6,2,710,439,0,2
25005000747,25,005,000747,696,515,17,4,5,727,460,12,1
25005000748,25,005,000748,554.26,340.16,15.76,0.93,5.56,561.68,308.64,8.34,1.85
25005000749,25,005,000749,740.86,445.98,13.12,5.8,0.22,783.43,382.27,0.34,1.04
25005000750,25,005,000750,636,444,9,2,0,666,341,0,0
25005000751,25,005,000751,914,645,13,7,1,921,583,0,2
25005000752,25,005,000752,934.05,767.54,19.71,11.82,4.93,971.5,681.82,7.88,0.99
25005000753,25,005,000753,1142.51,906.13,17.84,4.07,3.97,1117.73,845.4,7.91,1.96
25005000754,25,005,000754,757.95,569.77,16.08,8.89,4.01,782.65,512.22,7.05,1.02
25005000755,25,005,000755,968.04,601.85,16.69,8.84,0,970.99,591.05,0,0
25005000809,25,005,000809,777.76,860.81,23.08,8.24,9.71,801.56,819.33,1.57,14.67
25005000810,25,005,000810,824.98,991.98,16,8,3,851.98,930.98,11,2
25005000811,25,005,000811,817,971,29,9,7,826,957,20,2
25005001133,25,005,001133,1429,996,33,11,11,1301,1111,7,9
25005001134,25,005,001134,1538,941,37,14,13,1497,971,16,18
25005001135,25,005,001135,1557,951,41,6,17,1460,1055,12,1
25005001136,25,005,001136,1514,845,33,10,12,1444,909,13,4
25005001137,25,005,001137,1439,728,42,14,12,1417,758,2,21
25005001138,25,005,001138,1547,688,36,11,11,1515,723,15,4
25005001301,25,005,001301,809.62,651.26,10.89,9.9,5.94,841.29,598.8,0,16.83
25005001302,25,005,001302,682,586,16,7,0,729,515,0,11
25005001303,25,005,001303,639,555,10,4,2,673,500,0,16
25005001304,25,005,001304,681.25,638.79,12.54,7.72,0.96,743.97,547.12,0,17.37
25005001305,25,005,001305,701,517,13,4,2,758,436,0,13
25005001306,25,005,001306,457.75,607.21,10.46,1.28,3.04,531.03,517.88,0,11.63
25005001307,25,005,001307,245.29,138.57,5.52,4.22,3.94,271.8,113.33,0,3.46
25005001308,25,005,001308,452.35,282.33,8.47,4.62,1.9,483.18,236.07,0,6.41
25005001309,25,005,001309,395,270,10,7,3,437,226,0,7
25005001310,25,005,001310,389.84,324.56,11.03,4.6,2.76,426.62,276.75,0,5.52
25005001311,25,005,001311,574,473,11,4,3,630,394,0,16
25005001312,25,005,001312,583,432,15,6,1,638,363,0,11
25005001313,25,005,001313,395.82,173.6,7.96,5.98,5.02,414.5,151.26,0,5.93
25005001314,25,005,001314,401,237,6,2,2,439,192,0,3
25005001315,25,005,001315,457,207,6,3,1,484,160,0,7
25005001316,25,005,001316,508.67,319.16,4.99,5.98,1,545.57,267.3,0,1
25005001317,25,005,001317,768,494,16,5,3,804,443,0,9
25005001318,25,005,001318,767.33,424.84,8.01,4.02,1,774.43,388.7,0,18
25005001319,25,005,001319,505.6,175.85,6.52,3.31,0.02,521.41,139.11,0,4.36
25005001320,25,005,001320,865,294,7,4,6,895,247,0,7
25005001321,25,005,001321,803.41,252.12,14.81,8.9,1.03,832.07,217.53,0,5.95
25005001322,25,005,001322,648,248,5,9,5,671,218,0,2
25005001323,25,005,001323,597,313,17,4,3,613,290,0,3
25005001324,25,005,001324,652,259,9,5,3,665,233,0,6
25005001325,25,005,001325,490,255,5,5,2,508,221,0,6
25005001326,25,005,001326,776,301,8,8,5,809,261,0,11
25005001327,25,005,001327,552,375,3,4,7,587,322,0,7
25005001328,25,005,001328,893,345,17,12,5,914,312,0,9
25005001329,25,005,001329,904,510,13,6,3,925,469,0,10
25005001330,25,005,001330,943,528,16,9,7,967,488,0,12
25005001331,25,005,001331,759,509.75,11.49,4.93,1.14,781.26,462.84,0,10.63
25005001332,25,005,001332,565.01,438.03,6.87,4.81,2.88,623.63,359.81,0,9.68
25005001333,25,005,001333,215.17,103.28,3.59,2.15,0,219.47,87.5,0,3.59
25005001334,25,005,001334,261.37,176.52,7.8,1.95,0.98,280.88,135.56,0,5.85
25005001335,25,005,001335,381,238,11,7,3,433,163,0,10
25005001336,25,005,001336,496,277,8,4,0,530,215,0,6
25005001396,25,005,001396,958,600,16,14,4,940,607,8,1
25005001397,25,005,001397,1113,797,34,8,4,1101,808,7,2
25005001398,25,005,001398,1070,874,38,16,4,996,970,7,0
25005001399,25,005,001399,978,602,21,6,4,961,597,17,0
25005001400,25,005,001400,1003,760,21,15,7,1010,744,4,2
25005001401,25,005,001401,1232,800,46,13,9,1148,892,7,2
25005001402,25,005,001402,1188,900,24,6,16,1128,956,7,0
25005001403,25,005,001403,1126,851,33,8,7,1072,911,6,1
25005001404,25,005,001404,1056,866,29,10,4,1016,886,10,2
25005001433,25,005,001433,868.93,725.46,29.64,8.76,10.1,869.61,720.07,0,17.51
25005001434,25,005,001434,1694.07,1389.54,44.36,20.24,20.9,1663.39,1404.93,0,34.49
25005001435,25,005,001435,1232,933,45,12,8,1229,940,0,9
25005001436,25,005,001436,1400,1070,49,15,15,1352,1102,0,28
25005001437,25,005,001437,723,617,25,9,9,712,622,0,9
25005001573,25,005,001573,1218,1041,33,14,10,1207,1007,23,4
25005001574,25,005,001574,914.4,971.89,34.77,6.47,7.29,914.96,936.19,23.4,0.91
25005001575,25,005,001575,1127.74,1186.91,25.87,9.9,8.83,1135.92,1134.81,28.91,3.89
