GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRBAR,G18USSDTRA,G18USSLPOR,G18USSOWRI,G18HALRCHE,G18HALDHUN,G18HALLBRU,G18HALCCUM,G18HALOWRI,G18GOVRGOR,G18GOVDTHR,G18GOVLSTR,G18GOVCRAM,G18GOVOWRI,G18SOSRBUC,G18SOSDBYR,G18SOSLCAR,G18SOSOWRI,G18AUDRRAC,G18AUDDDOC,G18AUDOWRI,G18TRERMEI,G18TREDLOW,G18TREOWRI,G18SPIRBAL,G18SPIOWRI
56037000305,56,037,000305,116.6,91.4,5.3,0,102.1,79.2,15.2,12.9,1.5,120.4,77.7,5.3,9.1,0.8,124.2,71.6,12.9,0,128.8,76.2,0,125.7,82.3,0,168.4,4.6
56037000401,56,037,000401,178.9,146.9,5,1,151.9,150.9,14,13,1,172.9,130.9,6,18,4,173.9,134.9,15,0,166.9,152.9,1,174.9,145.9,0,235.9,9
56037000402,56,037,000402,169,84,17,0,149,88,19,11,0,166,90,7,8,0,167,77,18,0,173,88,0,177,83,0,217,6
56037000403,56,037,000403,173.2,62.6,14.5,0.2,147.9,70.6,16.2,8.6,0.2,161.6,68.8,3.3,15.8,1,166.8,61.2,14.1,0,174.6,69.4,0,172.2,74.8,0,206.8,3.5
56037000404,56,037,000404,400,213,25,1,344,224,33,26,0,391,221,14,19,1,399,185,35,0,397,217,0,407,217,0,510,4
56037000501,56,037,000501,107,58,8,0,103,57,6,4,1,108,54,5,5,0,104,54,8,0,108,58,1,106,59,0,142,2
56037000502,56,037,000502,776.5,346.3,41,3.8,698.2,345.9,55.4,44,5.4,752.3,336.2,21.8,47,2.7,763.3,299.4,57.6,0.8,770.7,336.4,0.8,782.8,333.6,1.1,914.8,20.7
56037000503,56,037,000503,848.5,379.7,35,4.2,763.8,381.1,53.6,34,4.6,845.7,353.8,17.2,35,4.3,834.7,332.6,49.4,1.2,845.3,358.6,1.2,858.2,355.4,1.9,1020.2,15.3
56037000505,56,037,000505,151,75.2,7.5,1.8,134.2,76.2,15.8,6.5,1.8,142.6,79,3.7,10.3,0,145.4,71.5,14,0,155.6,75.3,0,151,80,0,192.8,5.6
56037000601,56,037,000601,225.7,137.6,17.2,0,197.3,141.5,16.4,18.1,1,224.7,131.4,9,17.3,0,222.5,129.4,20.3,1,220.5,146.6,2,221.5,147.6,2,284.3,9
56037000602,56,037,000602,155,65.8,8.2,0.6,136,62.6,13.3,13.3,0.6,139.8,63.9,5.1,17.7,0.6,148.6,58.2,14.6,0,153.7,62.6,0,150.5,65.8,0.6,191.6,1.9
56037000603,56,037,000603,199,87,12,0,192,83,11,7,0,195,83,6,14,0,204,81,9,1,202,88,0,212,76,1,244,3
56037000701,56,037,000701,405.1,104.8,12.9,0,375.4,104.2,18.1,19.3,0.7,387.8,89.5,5.6,35.6,0.3,403.7,82.7,21.7,0,404.2,99.2,0,409.4,96,0,449.8,7.2
56037000901,56,037,000901,87,35,8,0,77,36,9,4,0,89,29,3,8,0,84,34,10,0,81,45,0,88,39,0,106,0
56037000902,56,037,000902,44.2,13.3,2.4,0,45,9.8,1.9,1.9,0,45.7,9.6,1.3,2,1,47.6,8.2,3,0,44.9,13.6,0,47.9,9.6,0,48.8,0.1
56037001001,56,037,001001,270,217,19,4,236,210,27,25,1,280,201,12,14,1,264,189,43,0,263,230,0,282,211,0,368,11
56037001002,56,037,001002,123,80,3,1,105,82,9,8,1,114,81,2,9,1,115,78,8,0,107,88,1,114,83,0,149,4
56037001003,56,037,001003,352,134,20,2,314,138,31,14,3,345,132,18,12,2,348,119,32,1,344,144,1,356,134,3,430,12
56037001004,56,037,001004,967,474,38,2,885,478,48,48,1,976,446,23,36,0,953,426,56,0,960,443,3,973,447,2,1168,22
56037001005,56,037,001005,525,260,24,0,479,263,30,19,1,511,259,15,20,2,518,233,31,1,518,251,2,530,245,2,624,13
56037001006,56,037,001006,285.8,182.2,16.9,0,250.9,188.2,10.9,23.9,2,280.8,174.2,8,16.9,2,285.8,160.3,21.9,0,289.8,168.3,0,293.7,165.3,0,368.4,4
56037001201,56,037,001201,117.6,47.6,6.2,0,102.3,49.4,11.3,8.2,0,102.1,47.7,4.1,15.6,0,110.8,45.4,11.2,0,113.9,53.4,0,113.8,50.5,0,138.7,2
56037001202,56,037,001202,259.8,54.4,7.7,0,243.9,52.1,12.1,11.2,0.3,246.7,48,3.5,22.7,0.7,261.5,42,11.8,0,262.8,48.9,0,263.7,49,0,281.4,3.8
56037001301,56,037,001301,21,4,0,0,16,6,1,2,0,17,6,0,2,0,20,4,1,0,20,5,0,19,6,0,24,0
56037001901,56,037,001901,88.4,30.6,5.1,0,77.9,33.6,6.2,6.3,0,88,28.6,0.1,7.4,0,87.1,25.5,7.3,0,88.2,32.5,0,86.4,35.5,0,100.3,1
56037002001,56,037,002001,246.8,25.6,5.2,0,229.9,22.7,10.4,11.3,0,235.2,23.1,2.9,14.6,0,239.2,18.8,11.8,0,243.9,19.4,0,251.2,21.2,0,246.1,0.5
56037002101,56,037,002101,14.8,3.5,0.2,0,13.9,3.7,0.4,0.4,0,14.8,2.9,0.1,0.6,0,14.5,3.2,0.4,0,15.1,2.7,0,15.3,3,0,15.6,0
56037002301,56,037,002301,80,18.2,0,0.8,73.8,17.4,1.6,3.9,0,69.9,16.6,0,8.6,0,73.8,17.4,3.9,0,80.1,15,0,79.3,16.6,0,81.7,1.6
56037002401,56,037,002401,51,6,3,0,53,4,1,2,0,56,2,1,1,0,52,3,4,0,55,4,0,55,2,0,56,0
56037002501,56,037,002501,68.9,7.2,0,0.2,64.4,4.7,1.4,5.1,0,60.5,6.4,0,6.4,0,66,4.2,4.1,0,69.3,5,0,70.3,4.2,0,68.3,0.4
56037007011,56,037,007011,200.6,86.4,17.1,0.4,175.3,83.6,17.2,19,0.4,194.6,74.9,6.7,25.4,0.4,204.4,67.8,18.8,0,206.4,77.9,0,202.7,78.8,0.4,246.4,2
560390001-1,56,039,0001-1,426.1,602.2,25.3,0.9,443.2,560.4,31.8,6.8,0.1,526.9,475.2,20.4,18.8,3.8,443.8,509.8,53.3,0,507,475.7,0.9,477,504.7,0,703.6,20.7
560390001-2,56,039,0001-2,202,740,21,1,204,726,22,6,1,282,647,18,15,2,234,667,49,1,274,635,1,254,654,1,541,29
560390001-3,56,039,0001-3,256.5,333.4,10.8,1,256.7,322.8,14,3,1.9,308,276.8,7,4.2,2.1,271.6,279.4,21.2,0,289.9,274.3,1.9,282.6,284.8,2,399.6,5.5
560390001-4,56,039,0001-4,72.6,116.8,3,0,73.6,112.8,4,1,0,85.7,98.7,3,5,0,72.7,103.7,9.1,0,83.7,90.7,1,74.7,99.7,0,122,3
560390001-5,56,039,0001-5,235,678.4,20.1,1,231,664.2,24.1,8,2,299.2,595.1,22,22,0,252,602.1,47.1,0,294.1,588.1,0,260.1,612.1,1,522.6,32
560390001-6,56,039,0001-6,208.9,543.6,14.2,0,212.9,511.4,25.3,5,1,248.1,471.4,19.1,21,1,222.3,480.4,28.4,0,266.6,457.3,0,237.5,477.5,1,453.1,27.1
560390001-7,56,039,0001-7,191,506,7,0,190,485,15,6,0,268,410,6,14,0,208,449,24,0,237,419,0,231,429,0,427,16
560390001-8,56,039,0001-8,219,582,14,1,209,569,17,9,0,269,516,11,15,1,234,504,38,2,271,485,0,241,508,0,468,19
560390001-9,56,039,0001-9,207.5,621,20.7,0,204.8,596.2,23.6,10.7,1.9,278.5,531.2,11.9,17.7,3,218.3,557.8,41.4,0,281.1,519.7,0,256.5,542.3,0,484.8,18.6
560390002-1,56,039,0002-1,363.9,468,21.6,0,360.1,454.9,20.6,9.4,0.9,425.8,402.4,12.2,13.1,0,390.1,400.5,33.8,0,424.8,392,0,420.1,391.1,2.8,560.8,16.9
560390003-1,56,039,0003-1,99.8,159.6,2,0,96.8,158.6,4,0,2,104.8,148.7,3,5,0,98.8,147.7,7,0,109.8,141.7,0,104.8,145.7,0,162.6,4
560390004-1,56,039,0004-1,182,418,14,0,184,404,17,5,0,238,352,11,9,1,202,373,22,0,229,349,1,207,368,2,347,14
560390004-2,56,039,0004-2,355.7,651.8,11.4,1,351.6,620.4,26.5,4.1,3.1,440.8,534.5,15.2,11.1,2.1,380.4,558.5,29.8,0,429.9,529.4,0.1,403.7,554.8,0.1,594.5,17.1
560390004-3,56,039,0004-3,111.8,454.1,13.4,0,124.3,428.3,14.3,1.9,2.9,163.5,395.8,6.7,7.7,1.9,118.5,406.3,22,0,142.4,391,1,132.9,395.8,0,283.9,27.7
560390004-4,56,039,0004-4,116,183,6,0,114,172,10,1,2,134,162,3,5,0,118,157,15,0,143,146,1,129,158,0,209,3
560390005-1,56,039,0005-1,152.2,147.9,4.6,0,154.7,142.7,3.7,2.1,0.1,160.5,135.2,4.3,3.4,0.1,156.5,130.7,10,0,168.6,127,0,157.1,127.2,3,206.1,9.3
56039001-10,56,039,001-10,392,365,9,0,388,331,22,9,1,441,293,9,19,1,387,302,43,0,430,294,1,412,309,1,520,18
56039001-11,56,039,001-11,41,120,2,0,44,113,3,0,0,62,96,2,1,0,47,102,4,0,71,77,0,59,89,1,95,3
56041000101,56,041,000101,789.2,340.2,42.8,1,773.6,299.4,37.9,40.8,0,772.7,319.8,23.3,49.6,5.8,771.7,293.5,71,1,843.6,289.6,0,831,295.5,0,902,10.7
56041000102,56,041,000102,951.7,314.2,35,4,922.6,284.2,32,46,1,950.5,282.3,20,46.1,7,952.6,263.2,56.1,0,1022.7,250.2,0,998.6,272.3,1,1072.7,8
56041000103,56,041,000103,541.8,203.2,31,1,518.7,194.2,23,33,1,520.6,194.2,10,39.1,8,528.7,185.2,46.1,1,568.8,191.1,0,548.7,212.2,1,628.7,14
560410002-2,56,041,0002-2,164,35,7,0,155,37,5,9,0,169,28,3,5,0,162,28,10,1,171,32,0,167,32,0,181,3
56041000201,56,041,000201,577.1,100.9,12.1,1,556.9,94.8,13,18,2,530.3,113.1,9.6,25.2,8.1,558.9,89.6,27.8,0,581.7,89.5,1,571.5,100.6,0,595.3,7.2
56041000301,56,041,000301,465.3,111.1,12,0,431.3,113,14,18,2,441.3,110,3,31,2,458.3,95,24,0,462.3,111,0,467.4,105,0,507.3,8
56041000302,56,041,000302,318.7,55.9,13,1,302.7,42,18,25,1,300.7,47,13,26,2,319.7,45,18,0,320.7,48,5,333.6,44,0,320.7,19
56041000401,56,041,000401,343,80.4,10.8,0,326.3,72.7,11.4,16.8,1.8,328.1,74.1,4.9,19.6,4.6,339.4,67.5,19.7,0.6,349,69.3,1.8,356.9,65.6,1.2,376.8,4.1
56041000402,56,041,000402,319.5,73.5,16.7,0,298.8,67.5,14.8,23.6,1,301.8,75.3,10.8,22.7,0.1,314.6,64.5,25.6,1,328.4,68.4,1,321.8,77,1,354.2,3
56041000403,56,041,000403,239.4,56.1,7.4,0,227.9,50.8,7.8,11.6,1.2,229.1,51.6,3.3,13.6,3.3,237,47.1,13.6,0.4,243.6,48.3,1.2,249.3,45.4,0.8,263,2.9
5604102-1-2,56,041,02-1-2,3.2,0.5,0.1,0,3.1,0.5,0.1,0.1,0,2.9,0.6,0,0.1,0,3.1,0.5,0.1,0,3.2,0.5,0,3.1,0.5,0,3.2,0
56043000301,56,043,000301,340,65,11,1,314,70,21,10,0,332,62,5,12,1,324,63,18,0,342,61,0,345,57,0,373,0
56043000501,56,043,000501,508,133,22,2,477,136,27,14,3,510,128,12,15,2,527,105,24,1,539,112,2,546,105,1,579,4
56043000502,56,043,000502,512,165,21,1,467,168,26,23,2,499,163,13,20,3,523,134,28,0,519,153,0,543,134,0,607,8
56043000503,56,043,000503,290,78,17,0,279,70,22,10,1,285,76,7,15,3,293,70,18,1,307,71,2,313,70,1,336,5
56043000505,56,043,000505,774.2,147.3,22,2,727,148.3,23.1,41.1,5,771.1,139.3,9,27.1,4,759.1,139.3,33,1,794.2,130.3,2,806.1,126.3,1,853.2,5
56045000101,56,045,000101,432.8,64.6,15.2,2,402.4,73.8,11.2,20.3,1,405.6,74.7,3.1,35.4,3,441.8,53.5,21.3,0,443.9,63.5,0,452.1,60.5,0,467.1,4
560450002-1,56,045,0002-1,327,48,13,0,311,51,9,12,0,305,45,1,30,5,326,44,13,0,332,44,0,323,54,0,335,6
56045000201,56,045,000201,118,10,9,0,108,8,7,13,1,107,14,1,16,1,114,9,10,0,119,13,0,119,14,0,121,2
56045000301,56,045,000301,201,13,5,0,195,13,4,5,0,192,17,1,7,4,193,12,6,0,197,13,0,194,17,0,194,1
56045000401,56,045,000401,358,38,4,0,329,44,8,15,0,343,38,5,10,2,346,35,13,0,349,38,0,345,34,0,365,3
56045000501,56,045,000501,293,51.1,15,1,259.9,68.2,13,13,0,255.9,60.2,4,39.1,3,294,43.1,14.1,0,305,45.1,0,296,51.1,0,311,4
56045000502,56,045,000502,230.9,30.9,10.6,0,213,39,7.3,12.2,0,218.7,32.5,4.1,17.9,2.4,230.9,25.2,13,0,234.9,26.8,0,242.2,26,0,245.5,0.8
56045000503,56,045,000503,314.3,65.3,17.2,0,281.7,75,17.5,23.5,0,297.8,66.7,3.8,30.7,1.5,312.3,59.2,20.7,0,326.2,64.5,0,330.7,62.3,0,346.3,6.2
