GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIPIE,G20PREOWRI,G20USSRLUM,G20USSDDAV,G20USSOWRI,G20HALRCHE,G20HALDBUL,G20HALLBRU,G20HALCHAG,G20HALOWRI
56025001302,56,025,001302,72,1,0,1,0,69,4,0,66,1,1,4,0
56025001401,56,025,001401,22,1,0,0,0,22,1,0,22,1,0,0,0
56025ZZZZZZ,56,025,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
56027000102,56,027,000102,58,0,0,0,0,56,0,0,57,0,1,0,0
56027000302,56,027,000302,79,1,3,1,0,83,1,1,73,1,4,6,1
56027000401,56,027,000401,94,3,1,0,0,94,3,0,86,4,1,4,0
56027000601,56,027,000601,289,34,9,5,1,290,42,1,268,42,11,9,1
56027000602,56,027,000602,467,109,6,3,1,477,99,1,449,91,9,28,0
56027000701,56,027,000701,131,8,2,2,1,133,11,0,120,7,5,11,0
56029000101,56,029,000101,384.65,62.95,4,2,4.99,383.65,59.95,2,354.68,60.94,7.99,22.98,1
56029000201,56,029,000201,928.35,225.6,20.96,3.99,10.98,950.31,197.65,4.99,899.4,179.68,32.94,31.94,4.99
56029000202,56,029,000202,658.21,227.57,20.05,6,9.03,695.34,198.47,4.01,632.19,186.44,43.07,25.08,1
56029000301,56,029,000301,619.61,128.16,13.83,4.61,4.61,638.05,118.02,4.61,596.56,113.41,28.58,21.21,0.92
56029000302,56,029,000302,958.68,244.94,20.14,2.08,15,1013.69,202,5.04,950.41,190.92,30.25,36.16,1.02
56029000401,56,029,000401,1038.5,234.18,7.03,4,5.03,1045.62,218.11,3.01,988.57,194.12,25.03,50,0
56029000402,56,029,000402,199.07,41.05,2.99,1.99,1,200.07,39.04,1,187.09,30.07,5,15.95,0
56029000601,56,029,000601,494,67,7,4,2,493,63,2,465,57,16,14,2
56029000702,56,029,000702,53,12,1,0,0,51,13,0,48,13,2,2,0
56029000801,56,029,000801,127,17,0,1,1,131,14,1,124,13,3,4,0
56029000802,56,029,000802,159,34,4,0,1,159,35,0,152,33,7,3,0
56029000803,56,029,000803,122.78,17.82,2.97,2.97,0,123.77,20.79,0,124.76,15.84,0,1.98,0
56029000901,56,029,000901,270,123,8,3,8,275,120,3,263,110,11,11,3
56029000902,56,029,000902,286,73,13,4,2,302,75,1,278,68,19,5,2
56029000904,56,029,000904,379,160,17,5,4,396,156,3,361,150,23,13,0
56029000905,56,029,000905,384,118,14,4,8,417,105,1,408,92,12,7,0
56029000907,56,029,000907,707,219,33,9,4,730,217,4,676,191,47,30,5
56029001001,56,029,001001,487,74,6,2,2,492,71,1,441,73,19,26,1
56029001002,56,029,001002,762.52,125.93,15.87,7.93,5.95,790.28,112.05,1.98,738.72,102.13,25.78,30.74,0.99
56029001102,56,029,001102,55,15,0,0,1,56,14,0,56,10,0,4,0
56029001601,56,029,001601,500.2,212.32,6.01,5,2,505.23,196.3,6,488.23,184.28,18.01,15,0
56029002101,56,029,002101,641.47,73.05,14.08,1.03,0.03,638.52,80.97,2.03,599.07,73.93,18.28,22.25,5.01
