GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOFUE,G16PREOWRI,G16USSRHOE,G16USSDGLA,G16USSLMAR,G16USSIGER,G16USSOWRI,G16HALRCRA,G16HALDIRO,G16HALLSEA,G16HALOWRI,G16GOVRBUR,G16GOVDNEL,G16GOVLRIS,G16GOVOWRI,G16AUDRGAL,G16AUDLRIE,G16AUDOWRI,G16TRERSCH,G16TREDMAT,G16TRELOLS,G16TREOWRI,G16INSRGOD,G16INSDBUF,G16INSLBAT,G16INSOWRI,G16PSCRFED,G16PSCDHUN,G16PSCLSKA,G16PSCOWRI
38015000707,38,015,000707,930.1,336,79.8,13.2,4.2,0,33.4,1091.5,225.8,40.7,31.3,0.1,993.8,283.4,99.5,2,1057.3,262.3,44.9,8,967.1,280.7,12.2,844.2,349,115.4,3,892.8,304,97.5,3.1,934.1,267.9,97.9,2
38015000708,38,015,000708,935.1,274.2,73,6,5,2,24,1115.2,170.1,32,15,0,1007.1,246.2,77.1,2,1067.2,204.1,39,4,1003,206.2,4,899,284.2,80.1,3,940,256.2,62.1,2,962,207.2,85,2
38015000801,38,015,000801,233,46.5,12.1,0,1,0,5,254.3,26.3,10.1,5,1,230.1,48.4,16.1,0,240.2,34.4,20,0,202,65.5,2,189.8,59.6,32.2,0,193.9,51.5,32.2,1,200,45.4,34.2,1
38015000802,38,015,000802,115,26,3,0,0,1,1,130,20,0,0,0,113,27,10,0,122,24,3,0,105,28,0,101,33,9,0,99,27,13,0,107,21,11,0
38015000803,38,015,000803,199.7,17.7,6.1,4,3,0,3.1,214.1,13.5,5.1,2,0,194,21.4,17.2,0,197.1,24.5,9.1,0,173,39.4,0,174.7,29.8,18.2,1,171.7,21.7,17.2,0,161.9,30.5,20.2,0
38015000804,38,015,000804,1232,210,59,3,8,3,19,1350,136,29,21,0,1248,177,91,1,1345,141,36,3,1216,214,1,1112,262,89,0,1159,189,94,2,1198,155,96,3
38015000805,38,015,000805,1057,199.6,53.9,1,9,3,24,1164.8,120.8,27,24,0,1084,162.7,89.8,3,1146.8,147.7,34.9,7,1020.1,222.6,6,968.2,229.6,93.8,1,999.1,177.7,85.8,2,1045,146.7,88.8,1
38015000806,38,015,000806,648,131.4,44.1,5,3,0,19,733.2,79.2,22,16,1,680,112.3,45.2,2,711.2,97.3,28.1,1,635.9,137.4,1,602.8,133.4,66.2,1,622.9,115.3,58.2,2,655,86.3,62.2,1
38015002801,38,015,002801,206,33,12,0,1,0,4,216,23,10,6,1,198,38,22,0,216,26,8,2,189,42,0,174,51,16,0,168,41,24,1,176,35,22,0
38015002802,38,015,002802,310.9,47,17,0,4,1,2,331.9,31,10,4,2,302.9,42,34,1,332.9,34,11,1,284.9,63,4,278.9,57,33,1,281.9,46,29,1,287.9,42,27,1
38015002803,38,015,002803,675,100,28,5,6,0,15,736,64,19,13,1,678,102,45,2,709,81,28,4,642,113,4,591,134,55,2,638,85,49,1,642,76,51,1
38015003001,38,015,003001,1146.2,335.7,77.9,18.3,12.5,1,48.2,1324.5,227.4,43.7,19.5,1,1182.6,345.2,74.6,2,1270.5,265.9,61.1,1.1,1197.1,283.4,7.7,1064.6,358.7,105.3,2,1090.7,331.8,97,2.9,1139.6,274.9,105.3,1.9
38015003002,38,015,003002,1022,417,132,36,16,1,48,1216,326,84,41,3,1045,462,146,5,1180,348,129,4,1052,424,10,940,445,179,4,933,418,194,5,1020,352,173,7
38015003003,38,015,003003,1389.1,449.6,89.3,13.6,5.4,4,49.4,1653.2,271.6,53.2,20.6,1,1480.1,374.2,128,3,1579.7,322.6,64.8,6,1463.7,319.3,7.2,1270,513,116.1,2.1,1334.7,385.7,133.7,1.1,1394.1,338.9,127.1,1.1
38015003004,38,015,003004,1454.6,468.2,100.6,23.9,10,1,35.9,1738.6,262,58.8,19.9,3,1508.4,401.5,133.5,10,1717.6,283,64.8,4,1565.2,344.7,2,1377.9,451.3,145.5,3,1442.7,376.6,137.5,5,1525.3,295.9,153.4,2
38015003201,38,015,003201,485.4,254.3,66.7,9,3.6,2.1,24.3,609.8,174.1,24.5,25.7,2.2,521.2,251.4,55.6,1.2,595.2,192,33.7,0.5,525.3,212.6,2.3,455.3,253.9,76.2,2.1,481.8,216.4,77.8,0.2,499.4,199.3,74.2,0.4
38015003202,38,015,003202,403.4,240,39.7,12,7.4,0.9,24.9,493.9,182.8,28.6,8.3,1.9,434.8,240.9,39.7,1.9,488.3,192.9,30.5,5.5,468.9,164.3,3.7,390.5,235.4,58.1,1.9,419.1,219.7,42.5,1.9,435.7,196.6,47.1,4.6
38015003203,38,015,003203,332,201,42,15,6,1,9,419,133,22,25,0,344,190,54,1,392,167,27,2,350,180,3,311,195,56,1,298,191,67,1,319,166,65,1
38015003204,38,015,003204,468,181,67,19,7,1,15,575,130,34,18,0,474,221,57,2,524,155,68,2,459,239,3,415,206,107,1,433,210,73,2,445,168,102,2
38015003205,38,015,003205,933.6,337.9,95,21,8,3,33,1134.6,226.9,32,31,3,987.6,329.9,97,4,1061.6,278.9,66,5,981.6,320.9,8,877.7,346.9,136.9,3,899.7,326.9,120,2,929.6,283.9,130.9,3
38015003206,38,015,003206,1219.3,383.1,93,18,8,0,32,1462.4,226.1,40,20,2,1292.4,336.1,96,3,1456.4,234.1,48,2,1314.4,273.1,9,1124.3,423.1,109,3,1199.3,327.1,115,3,1266.3,271.1,106,4
38015003207,38,015,003207,542,205,41,7,6,1,18,657,130,23,12,5,567,191,51,6,626,158,29,4,584,160,7,504,215,64,5,525,170,58,3,571,148,55,4
38015003501,38,015,003501,462.4,220.6,63.1,5,2.1,0,30.5,605.7,144,24.8,5.7,0.7,500.7,216.3,48.9,1.4,580.8,157.4,22.7,4.3,529.1,144,4.3,452.5,209.2,54.6,0,485.8,183,46.8,0.7,507.8,151.1,51.1,0
38015003502,38,015,003502,781,628,133,34,27,2,53,1063,453,81,33,4,857,616,152,3,1047,479,85,8,999,434,17,823,585,151,1,860,537,154,2,901,493,151,3
38015003503,38,015,003503,890,380,92,13,7,1,37,1108,236,57,15,2,966,348,79,3,1091,259,46,4,1001,254,5,852,378,96,2,918,305,95,2,957,260,92,4
38015003504,38,015,003504,676,326,95,27,8,4,34,854,216,60,23,1,744,322,79,3,822,259,63,7,733,297,7,632,343,115,4,655,310,116,5,704,258,107,6
38015003505,38,015,003505,1014.3,373.6,76.7,11,15.9,0,31.9,1261.4,213.2,36.9,12.9,1,1111.9,298.9,99.6,1,1208.6,241.1,53.8,1,1118.9,246.1,6,955.5,372.6,99.6,3,1034.2,296.9,94.7,5,1078,241.1,104.6,2
38015003506,38,015,003506,671,292,68,16,6,1,39,877,176,33,9,0,758,271,56,1,838,210,37,8,775,218,2,687,297,67,0,725,249,74,0,756,206,67,1
38015004701,38,015,004701,2085.4,679.5,152.9,17,16,4,60,2574,379.7,50,22,3,2325.2,499.6,160.9,10,2551.1,392.7,66,18,2415.2,372.7,16,2108.4,655.5,140.9,3,2269.3,456.7,135.9,7,2364.2,375.7,138.9,2
38015004702,38,015,004702,1888,779,145,18,4,6,61,2345,451,64,29,1,2068,623,169,5,2310,499,52,4,2145,441,10,1864,749,134,4,1979,629,122,4,2030,558,138,2
38015004703,38,015,004703,764,354,102,28,5,1,38,962,235,50,29,2,830,351,91,2,947,266,51,7,866,296,8,766,341,114,0,803,303,96,0,817,273,100,4
38015004704,38,015,004704,1543.5,570.8,102.9,19.8,10.3,2,59.8,1919.2,329.7,37.9,23.9,3.1,1698.7,477,106.7,3.2,1877.3,365.8,47.6,4.7,1729.1,374.7,6.7,1548,540,125.6,3,1649.3,426.8,111.4,3.1,1715.8,373.8,101,5
38017011-01,38,017,011-01,1459,1642,239,57,18,5,66,2227,1005,161,57,5,1744,1329,328,6,2300,972,167,12,2059,960,19,1496,1593,234,7,1557,1392,277,8,1733,1189,271,16
