GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOFUE,G16PREOWRI,G16USSRHOE,G16USSDGLA,G16USSLMAR,G16USSIGER,G16USSOWRI,G16HALRCRA,G16HALDIRO,G16HALLSEA,G16HALOWRI,G16GOVRBUR,G16GOVDNEL,G16GOVLRIS,G16GOVOWRI,G16AUDRGAL,G16AUDLRIE,G16AUDOWRI,G16TRERSCH,G16TREDMAT,G16TRELOLS,G16TREOWRI,G16INSRGOD,G16INSDBUF,G16INSLBAT,G16INSOWRI,G16PSCRFED,G16PSCDHUN,G16PSCLSKA,G16PSCOWRI
38049000601,38,049,000601,168.06,31.82,11.93,1.99,0,0,4.97,196.9,14.92,5.97,3.98,0,188.94,23.87,7.96,0,191.92,24.86,4.97,1.99,177.01,30.83,0,157.12,39.78,13.92,0,161.09,31.82,14.92,0,168.06,22.87,16.91,0
38049000602,38,049,000602,159.05,14.01,19,1,2,0,3,180.06,10,6,7,0,170.06,16.01,17,0,176.06,18.01,8,0,167.06,31.01,0,156.05,27.01,17,0,153.05,30.01,15,0,160.05,17.01,19.01,0
38049000603,38,049,000603,441.6,95.11,34.04,4.01,7,0,12.02,515.7,70.05,15.02,9.01,0,463.67,98.08,38.03,0,492.68,93.09,17.02,1.01,436.63,113.11,2,392.56,148.14,37.05,0,384.57,124.11,51.05,1,435.6,93.08,43.06,1
38049000604,38,049,000604,241.04,34.01,33,2,1,2,7,273.05,25.01,9,10,1,249.05,39.01,30,0,269.05,34.01,11,3,239.05,64.01,1,225.04,49.02,32,2,229.04,40.01,37,0,232.04,38.01,37,0
38049000605,38,049,000605,628.04,191.01,63,3,3,1,15,787.03,101.01,19,4,2,707.03,145.01,44,2,746.04,145.01,24,3,677.03,165.01,3,600.03,234.01,56,2,597.03,202,67,1,660.03,168,51,1
38049000606,38,049,000606,140,30,8,1,2,0,2,157,19,6,3,0,141,28,8,2,151,32,2,0,131,37,0,123,36,15,0,118,30,25,0,132,25,16,0
38049000607,38,049,000607,138,61,10,3,4,1,2,167,39,9,7,0,152,54,13,1,160,50,9,0,138,47,1,124,74,13,0,125,59,20,0,133,56,18,0
38049000608,38,049,000608,134,33,10,4,0,0,2,156,17,5,5,0,145,27,6,0,148,30,6,0,132,36,0,111,48,16,0,111,47,12,0,128,32,12,0
38051002801,38,051,002801,324.09,56.02,17,2,5,0,2,366.1,30.01,6,8,0,341.08,48.03,18.01,0,355.09,46.02,8,1,323.09,58.02,2,305.08,69.03,21,0,304.07,53.02,27.01,0,312.08,45.02,25,0
38051002802,38,051,002802,159.9,34.98,3,2,3,1,4,180.89,20.99,4,2,0,136.92,46.97,16.99,2,165.9,35.98,2,1,157.9,33.98,0,136.92,51.97,7,0,134.92,40.97,14.99,0,150.91,32.98,7,0
38051002803,38,051,002803,42.14,23.63,5.18,0,0.03,0,0.07,63.58,5.37,3.1,0.01,0,54.25,14.64,2.13,0,59.49,13.47,0.08,1,46.3,14.49,0.01,45.93,19.98,1.12,0,44.01,16.66,2.25,0,44.13,15.57,3.21,0
38051002804,38,051,002804,315.33,82.06,32.02,6,3,1,9,429.4,36.02,4.01,2,0,381.36,63.05,20.01,0,398.37,56.04,10.01,1,376.33,54.06,0,352.3,82.1,21.01,0,346.29,69.06,30.04,0,366.34,61.05,19.02,1
38051002805,38,051,002805,119.68,21.94,6.98,0,1,0,1,144.61,6.98,1.99,0,0,131.65,18.95,2.99,0,135.64,12.97,4.99,0,120.68,19.95,0,107.71,35.9,4.99,0,106.71,20.94,14.96,0,122.67,16.96,5.98,0
38051002806,38,051,002806,140.43,16.93,6.97,0,0,0,0,144.42,10.96,2.99,1.99,0,136.45,13.94,4.98,0,140.43,9.96,2.99,0,123.5,17.93,0,110.55,28.88,8.96,0,119.52,15.94,4.98,0,124.5,13.94,5.98,0
38053000401,38,053,000401,41,183,5,8,1,0,7,85,132,13,5,1,24,213,6,0,61,163,8,2,66,140,2,39,163,25,2,17,217,7,0,39,172,19,1
38053000402,38,053,000402,21,132,2,12,2,1,7,54,104,9,5,0,16,159,4,0,41,120,13,0,41,125,1,28,124,21,0,12,159,6,0,30,128,14,0
38053003901,38,053,003901,143.8,17.08,3.04,0.01,0.02,0,2.03,155.75,7.14,1.04,2.02,0,141.68,17.23,3.06,0,143.81,13.11,2.04,0,132.82,12.15,1,121.81,27.06,3.11,0,120.77,23.14,4.09,0,132.75,14.12,7.09,0
38053003902,38,053,003902,104.58,13.07,2.01,0,1.99,0,1.01,109.64,10.01,2,1.01,0,106.56,11.07,4.01,0,107.57,11.05,4,0,96.54,13.03,0.01,98.46,14.13,6.99,0,94.46,15.1,7,0,97.53,13.05,8.02,0
38053003903,38,053,003903,339.38,32.75,15.88,0,4.96,0,6.95,354.26,20.84,13.89,7.94,0.99,338.39,36.72,18.85,2.98,355.26,25.8,17.86,0.99,328.46,43.66,3.97,319.53,30.76,26.79,2.98,311.59,38.7,26.79,2.98,309.61,31.75,29.77,2.98
38053003904,38,053,003904,224.05,14.52,12.61,1.94,0.97,0,1.94,231.83,14.52,8.71,0.97,0,224.01,21.34,8.73,0,229.84,17.44,6.82,0,212.36,27.18,0,203.69,20.33,17.48,0,197.88,24.23,13.59,0,202.71,13.57,25.2,0
38053003905,38,053,003905,1152.86,97.04,43.61,1.07,7.88,0.98,14.83,1179.83,64.41,45.22,15.78,1,1146.65,89.37,63.18,1.98,1208.16,62.46,32.69,0.99,1108.11,123.81,1,1061.84,106.81,84.14,0.05,1051.88,117.71,68.36,1.03,1066.8,82.07,82.17,1.98
38053003906,38,053,003906,1172.08,176.26,62.24,9.94,6.08,1.01,19.1,1226.11,121.14,37.46,22.09,2.99,1147.17,157.27,81.42,3.01,1268.26,108.2,34.28,2,1111.8,175.7,2.99,1042.56,172.45,108.56,6.95,1024.54,174.61,104.33,6.96,1061.5,121.43,112.49,3.01
38053003907,38,053,003907,83.7,2.18,5.02,0,1.98,0,0.03,87.8,2.12,2.01,1.98,0,82.78,5.16,3.99,0,84.87,6.02,1.05,0,78.87,7.07,0,74.87,5.1,6.01,0,72.88,7.07,4.04,0,75.87,6.04,4.05,0
