GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWRI,G20HALRARM,G20HALDRAK,G20HALLPET,G20HALOWRI,G20GOVRBUR,G20GOVDLEN,G20GOVLHEN,G20GOVOWRI,G20AUDRGAL,G20AUDDHAR,G20AUDOWRI,G20TRERBEA,G20TREDHAU,G20TREOWRI,G20INSRGOD,G20INSOWRI,G20PSCRKRO,G20PSCDBUC,G20PSCOWRI
38069001408,38,069,001408,353.98,120.99,10,2,379.98,88,11,0,362.98,89,9,26,344.98,121.99,0,321.98,137.99,3,414.98,6,331.98,123.99,0
38071001501,38,071,001501,336.61,133.19,5.02,0,350.62,112.16,5.02,1,343.62,96.14,8.02,26.03,330.59,128.2,1,317.55,135.24,3,388.7,8,314.56,134.21,1
38071001502,38,071,001502,901.39,285.81,31.98,5,940.36,248.83,32.98,0,885.4,235.84,46.97,57.96,892.39,305.79,0,842.43,339.77,11.99,1068.27,7.99,869.41,321.78,1
38071001503,38,071,001503,1812.71,1011.27,81.83,18.07,1915.97,851.15,115.9,2.02,1964.27,769.22,107.02,75.38,1766.47,1051.27,1.99,1752.86,1075.82,8.98,2424.62,45.87,1741.89,1053.78,6.99
38071001504,38,071,001504,526.29,208.73,9.17,4.93,579.04,149.86,17.1,0.98,567.74,137.79,18.98,23.62,539.54,187.73,0.01,520.14,207.18,1.02,656.39,4.13,519.11,202.22,1.01
38073002401,38,073,002401,190,167,10,1,201,150,15,0,226,126,7,9,196,162,0,193,171,0,302,4,195,155,0
38073002402,38,073,002402,374,226,24,0,398,187,28,2,412,160,27,22,374,229,1,366,231,4,510,9,384,207,1
38073002601,38,073,002601,493.07,405.01,34,2,529.07,347.01,42,1,569.07,298.01,51,11,513.05,388.02,1,488.06,411.02,3,738.07,22,486.06,384.02,2
38073002602,38,073,002602,360.93,146.99,18,2,363.93,133.99,17,0,395.93,108.99,12,10,316.95,174.98,0,326.94,170.98,0,449.93,12,324.94,162.98,1
38075000601,38,075,000601,202,29,10,1,207,30,7,0,205,27,7,8,199,41,0,193,44,0,219,0,196,37,0
38075000602,38,075,000602,123,24,3,0,122,24,3,0,115,25,5,3,116,29,0,114,32,0,132,2,114,29,0
38075000603,38,075,000603,424,101,11,1,431,80,18,1,431,71,16,17,418,101,0,410,108,2,481,4,403,106,0
38075000604,38,075,000604,54.53,16.85,0,0,53.54,16.85,1.98,0,58.49,9.91,0,2.97,51.55,19.83,0,47.59,22.8,0,66.42,0.99,49.57,18.83,0
38075000605,38,075,000605,261,49,8,0,259,43,13,0,254,35,15,8,248,48,1,242,55,0,277,3,253,46,1
38077002501,38,077,002501,381.22,179.08,14,2,391.23,151.06,19,0,392.23,142.06,19.01,12.01,367.2,174.08,0,358.2,184.08,1,462.25,10,366.2,171.07,1
38077002502,38,077,002502,196,87,9,1,206,73,9,0,212,72,7,2,188,87,0,185,93,0,243,8,188,88,0
38077002503,38,077,002503,336.41,193.69,13.38,1.91,350.43,164.38,24.21,0.64,365.72,158.01,19.11,1.91,330.67,199.42,0.64,331.31,201.34,0.64,466.39,8.28,326.21,203.25,0.64
38077002504,38,077,002504,139,83,3,0,143,75,5,1,156,69,2,0,133,89,0,135,87,0,190,5,129,94,0
38077002505,38,077,002505,233,70,13,2,238,66,11,0,244,63,7,5,230,73,0,226,81,0,278,4,230,74,0
38077002506,38,077,002506,216,114,7,1,229,93,15,0,232,90,15,1,228,104,0,221,108,0,289,5,221,108,1
38077002507,38,077,002507,144,70,4,0,153,51,11,0,143,51,13,5,138,70,0,146,63,1,182,3,143,65,0
