GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOFUE,G16HALRZIN,G16HALDJUN,G16HALLBRE,G16GOVRGIA,G16GOVDBUL,G16GOVLDUN,G16ATGRFOX,G16ATGDJEN,G16SOSRSTA,G16SOSDLIN,G16SOSLROO,G16AUDRROS,G16AUDDLAS,G16SPIRARN,G16SPIDROM
30003000009,30,003,000009,28.58,98.41,3.02,1.04,1.01,39.69,100.42,6.04,21.51,115.58,6.04,45.86,93.18,18.51,119.56,8.03,23.54,117.5,24.48,120.59
30003000010,30,003,000010,50,15.23,1.09,1.04,0,51.98,14.34,1.14,42.76,25.55,1.12,56.69,10.67,45.75,18.49,1.16,42.91,18.43,45.76,18.6
30003000014,30,003,000014,51.19,69.92,6.87,1.98,1,49.07,84.72,4,38.22,93.57,5.96,56.28,81.44,39.25,90.63,7.89,50.07,87.63,43.04,94.57
30003000015,30,003,000015,108.66,127.2,20.6,6.88,2.91,94.17,177.97,12.7,76.38,200.51,7.08,130.37,146.61,86.13,183.98,10.76,93.68,181.12,89.05,188.94
30003000017,30,003,000017,227.09,131.71,16.15,3.05,1,209.09,163.74,15.18,156.23,218.22,14.93,283.99,97.54,200.38,174.93,9.27,197.56,181.37,195.73,187.2
30003000018,30,003,000018,194,81,26,5,1,192,113,15,164,141,12,255,59,192,110,12,177,129,179,134
30003000019,30,003,000019,249.6,159.6,32.48,6.5,1.86,246.82,194.86,13.92,191.15,243.11,21.34,328.47,118.77,232.9,205.99,13.92,234.76,208.78,226.41,220.84
30003000021,30,003,000021,98.43,229.04,4.39,5.98,2.01,115.89,230.62,7.24,86.23,258.3,7.25,144.67,191.99,88,253.49,5.18,91.78,243.79,81.52,258.89
30003000025,30,003,000025,55.39,63.58,1.15,1.01,0.96,48.77,69.62,3.93,44.61,71.85,3.96,64.37,55.07,46.51,71.73,3.1,49.66,68.81,41.91,72.83
30003000026,30,003,000026,73.46,224.16,11,6.99,2.99,71.46,262.09,6.01,65.41,263.16,11,134.47,201.09,76.37,253.16,9.02,75.37,252.18,80.32,258.22
3000300004N,30,003,00004N,124.15,16.04,4.01,0,0,114.15,31.05,3,103.15,37.05,6,136.16,10.04,110.14,34.05,3,107.13,32.06,105.12,37.07
30005000001,30,005,000001,210.63,31.06,8.74,0,1.94,220.34,40.77,6.79,197.04,63.09,9.71,229.07,31.06,205.78,50.47,7.77,193.16,64.06,197.04,68.92
30005000003,30,005,000003,33.61,286.57,10.46,16.22,2.12,35.03,328.37,1.14,28.65,326.38,9.48,75.77,278.36,33.76,311.08,11.28,47.99,298.61,33.19,318.16
30005000008,30,005,000008,113,152,9,11,2,101,198,8,75,229,3,150,151,96,202,8,103,195,93,210
30005000009,30,005,000009,13.08,135.22,3.34,14.52,5.06,13.14,165.54,0.03,14.92,158.48,4.31,37.43,139.94,21.08,149.98,6.37,22.54,152.59,18.08,159.2
