GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16USSRISA,G16USSDBAR,G16USSLBUC,G16PSCRECH,G16PSCLHOS
130890000LE,13,089,0000LE,313.4,1812.4,99.8,548.6,1556.7,114.3,945.9,867
130890000LH,13,089,0000LH,33,1606,20,73,1456,40,229,1095
130890000LV,13,089,0000LV,477.4,610.7,40.9,587,474.1,56.3,676.4,326.2
130890000MA,13,089,0000MA,87,1733,21,154,1557,32,349,1172
130890000MB,13,089,0000MB,131,2032,71,238,1797,118,482,1329
130890000MC,13,089,0000MC,48.6,2198.7,20,109.7,1969.7,50.5,356.8,1458.5
130890000MD,13,089,0000MD,38.6,1165,24,97.8,1006.3,45.7,213.3,708.4
130890000ME,13,089,0000ME,310.6,1715.6,99.7,418.1,1478.8,155.5,678.6,1111.1
130890000MF,13,089,0000MF,40.3,1450.6,16,79.8,1335.6,24.4,294.4,919.6
130890000MG,13,089,0000MG,335.4,1217,86.1,457.6,1047.2,90.4,694.7,645
130890000MH,13,089,0000MH,943.8,1287.1,112.6,1151.7,1071.9,104.8,1334.5,765.1
130890000MI,13,089,0000MI,37.1,2023.5,28,104.2,1833.8,39.1,283.7,1401.5
130890000MJ,13,089,0000MJ,116.1,791.6,36.8,154.6,709,45,286.2,543.8
130890000MK,13,089,0000MK,405.4,1014.9,72.3,501.8,873.8,80.1,624.2,663.1
130890000ML,13,089,0000ML,62.5,1659.3,39.8,140.1,1453.9,69.1,328.4,1051.6
130890000MN,13,089,0000MN,87.5,1302,24.2,151.4,1106.7,46.4,279.3,782.1
130890000MO,13,089,0000MO,105.1,1315.2,41.7,164.1,1133.7,64.2,312.9,867.5
130890000MP,13,089,0000MP,31.4,1110.3,35.3,87.4,984.6,41.2,242.5,664.6
130890000MQ,13,089,0000MQ,1048,769,84,1329,487,69,1397,334
130890000MR,13,089,0000MR,83,1694,31,176,1511,40,354,1033
130890000MS,13,089,0000MS,790.4,762.5,73.8,1001,539.9,69.9,1098.8,382.2
130890000MT,13,089,0000MT,113.6,1721.2,86.7,232.1,1474.2,126.5,511,1033.9
130890000MU,13,089,0000MU,707,817.4,102.8,963.4,565.8,110.5,1039.3,450.5
130890000MV,13,089,0000MV,47,1330,12,93,1214,25,255,879
130890000MW,13,089,0000MW,185.5,405.5,22.6,228.2,354,23.9,295.4,247.9
130890000MZ,13,089,0000MZ,38.5,1397.3,16.4,67.5,1277.8,33.7,199.5,974.2
130890000NB,13,089,0000NB,154.9,855.6,50.4,215.7,752.6,44.6,346.8,500.6
130890000NC,13,089,0000NC,121,1075,24,171,951,40,306,694
130890000ND,13,089,0000ND,319,690,64,432,555,54,538,374
130890000NF,13,089,0000NF,236.7,496.9,38.3,300.5,393.4,44,361.5,296.3
130890000OA,13,089,0000OA,536.7,1007.6,81,706.5,838.7,61,909.4,528.9
130890000OB,13,089,0000OB,249.3,708.5,42.4,276.6,595.2,53.2,354.9,466.6
130890000OK,13,089,0000OK,186.5,1819.7,82.7,343.1,1596.1,106,701.4,898.1
130890000OV,13,089,0000OV,46.6,2771,29.9,124,2502.6,68.5,427.7,1861.7
130890000PA,13,089,0000PA,81.4,1012.9,28.5,130.2,894.9,46.9,235.1,666.5
130890000PB,13,089,0000PB,591,1422,91,755,1166,107,931,913
130890000PC,13,089,0000PC,73.8,1532.2,32.5,118.4,1406.2,30.4,294.9,1032.2
130890000PE,13,089,0000PE,54.9,432.1,16.8,72.4,403.2,22.6,134.6,290.3
130890000PF,13,089,0000PF,341.6,1705.3,56.2,420.8,1498.4,89.6,593.7,1200
130890000PG,13,089,0000PG,177.5,1506.6,52.9,339,1272.3,63.9,575.7,752.2
130890000PH,13,089,0000PH,46.3,753,16.3,69,691.3,12.7,166,497.1
130890000PI,13,089,0000PI,25.6,886.9,21,62,795.6,26.5,136.9,625.9
130890000PN,13,089,0000PN,37.2,849.3,26,87.3,732.6,47.3,174.6,554.5
130890000PR,13,089,0000PR,18.3,880.5,9.6,46,790.2,13.8,144.5,558.9
130890000RA,13,089,0000RA,77.9,2231.4,24.6,167.2,1999.8,47.3,419.5,1390.2
130890000RC,13,089,0000RC,57,1709,25,117,1554,40,312,1128
130890000RD,13,089,0000RD,306.6,698.2,55.7,373.5,592.2,72,476,430.5
130890000RE,13,089,0000RE,204.6,2050.1,59.4,267.4,1821.3,86,495.9,1374.2
130890000RF,13,089,0000RF,65.4,1352.9,18.8,84.2,1260.7,22.4,235.6,935.4
130890000RG,13,089,0000RG,105.2,1520.3,36,164.6,1354.8,49.7,305.8,1007
130890000RH,13,089,0000RH,57,2056,27,121,1882,41,334,1411
130890000RI,13,089,0000RI,99.3,2177.3,30.4,166.6,1994.6,56.4,438.6,1453.2
130890000RJ,13,089,0000RJ,107,1047,21,144,918,36,277,662
130890000RK,13,089,0000RK,63,1428,18,105,1279,43,257,977
130890000RL,13,089,0000RL,154.2,1887.5,35.2,205.4,1698.8,42.7,402.8,1264.3
130890000RM,13,089,0000RM,74.7,1454,25.7,134.1,1292.7,34.3,292,936.9
130890000RN,13,089,0000RN,99,1071,51,200,948,57,419,563
