GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRPER,G20USSDOSS,G20USSLHAZ,G20PSCRSHA,G20PSCDBRY,G20PSCLMEL,G20PSCRMCD,G20PSCDBLA,G20PSCLWIL
1312100RW16,13,121,00RW16,856,804,25,918,732,32,916,682,61,904,696,49
1312100RW17,13,121,00RW17,776.7,1364.8,53.2,786.5,1310.7,82.4,774.3,1226.9,127.9,786.3,1231,111.7
1312100RW19,13,121,00RW19,950,801,30,1017,713,39,1020,619,86,1011,634,70
1312100RW20,13,121,00RW20,1674.8,1686.4,44.6,1791.1,1542.5,63,1770.1,1421.9,129.9,1743.6,1437.7,111.7
1312100RW21,13,121,00RW21,1500.6,1269.7,43.5,1576.5,1170.1,56.3,1576.6,1065.3,112.5,1563.9,1066.9,105.5
1312100SC02,13,121,00SC02,17.5,554.4,2.8,15.9,551.5,3,18.5,539.2,10.5,19.6,538.3,8.7
1312100SC04,13,121,00SC04,207.4,524.9,7,209.4,509.9,13.9,199.4,498,27.9,192.4,501.9,25.9
1312100SC10,13,121,00SC10,45.8,718.4,4.7,34.6,708,15,27.1,687.5,29,33.7,692.2,21.5
1312100SC13,13,121,00SC13,120.1,2019.2,11.6,112.5,1969.3,43.1,106.4,1952.5,69.2,108.1,1971.6,40.9
1312100SC15,13,121,00SC15,224.4,4649.6,21.6,198.1,4589.1,69.2,218.4,4499.2,133.6,205.1,4556.4,80.4
1312100SC20,13,121,00SC20,55,1964,14,53,1957,22,66,1905,43,61,1932,24
1312100SC27,13,121,00SC27,62,1342,10,46,1326,25,48,1293,40,42,1311,25
1312100SS01,13,121,00SS01,1376.6,1220.5,34.5,1494.8,1080,45.9,1475.2,1007.8,83.8,1455.6,1011.1,73
1312100SS03,13,121,00SS03,473,741,20,523,685,18,521,631,55,512,646,39
1312100SS04,13,121,00SS04,884.6,1778.2,35.6,909.4,1690.2,65.2,917.3,1579.5,131.5,921.2,1590.4,101.8
1312100SS05,13,121,00SS05,692,864,24,771,789,19,772,713,66,753,723,64
1312100SS06,13,121,00SS06,625,776,16,694,696,27,688,623,68,681,631,52
1312100SS12,13,121,00SS12,891.6,1221.7,18.9,1009.1,1074.4,34.7,1027.5,980.8,72.3,993.8,1007.8,67.7
1312100SS14,13,121,00SS14,544.8,409.6,9.8,618.5,331,10.7,614.4,307.2,25.4,605.4,310.5,25.4
1312100SS16,13,121,00SS16,968.7,1038,34.6,1094.2,896.4,27.8,1091.1,815,76,1080.3,818.4,68.8
1312100SS17,13,121,00SS17,1048.4,1227.8,20.1,1115.6,1129,35.1,1098,1058.8,82.6,1098.7,1068,64.3
1312100SS20,13,121,00SS20,459.7,1069.5,23.3,482.9,1029.2,29.3,488.9,962.2,67.8,486.8,962.3,65.7
1312100SS22,13,121,00SS22,692.9,1077.2,19.2,706.9,1016.8,39.9,703.2,940.7,77.9,704,942,62
1312100SS26,13,121,00SS26,382,1791,41,370,1720,104,375,1648,135,382,1664,98
1312100SS31,13,121,00SS31,504,777,18,534,728,27,529,676,58,525,680,51
131210AP01A,13,121,0AP01A,1880.9,2222.7,50.6,2021.2,2064.2,59.1,2029.4,1870.9,135.7,2011.4,1893.3,117.9
131210AP01B,13,121,0AP01B,406.2,494,21.1,417.3,467.5,25.3,424.1,436.1,32.6,424.1,437.1,24.5
131210AP01C,13,121,0AP01C,683.4,760.4,28.8,746.4,689.6,31.9,753.4,634.4,49,738.6,644.5,45.1
131210AP01D,13,121,0AP01D,289.8,405.2,19.5,299,387.9,19.6,306,366,26.9,302.8,369.1,22.9
131210AP01E,13,121,0AP01E,0,0,0,0,0,0,0,0,0,0,0,0
131210AP021,13,121,0AP021,1266,1291,38,1313,1196,64,1312,1102,114,1303,1109,103
131210AP022,13,121,0AP022,720.4,930.8,16.8,731.4,873.4,39.2,704.8,820,70,701.1,824,53.1
131210AP02B,13,121,0AP02B,219.3,312.4,6.7,228.4,291,12.6,222.4,270.4,18,219.4,269.2,12.1
131210AP04A,13,121,0AP04A,672.9,576.3,26.2,715.5,528.2,25.4,704.9,481.8,57.8,696,488.8,43
131210AP04B,13,121,0AP04B,155,145.9,3.8,163.3,131.6,8.3,161.1,121,15.1,165.6,120.2,8.3
131210AP07A,13,121,0AP07A,1455.8,1623.5,40.1,1485.2,1519,86.5,1471.3,1385.2,157.8,1438,1415.9,135.4
131210AP07B,13,121,0AP07B,1055.3,943.6,18.1,1113.2,864.3,30.6,1112.5,779.3,62.7,1096.7,779.8,64.6
131210AP09A,13,121,0AP09A,1422.2,1823,42.4,1483.5,1692.8,74.5,1515.6,1540.1,137.7,1484.4,1555.2,134.9
131210AP09B,13,121,0AP09B,145.4,269.4,8.8,154.6,257.1,8.9,158.1,238.1,13.1,157.9,237.6,10.2
131210AP12A,13,121,0AP12A,171.4,296.6,5.6,174.2,281.7,12.1,176.1,268.8,17.6,163.1,273.4,20.4
131210AP12B,13,121,0AP12B,214.9,435.2,9.6,209,414.9,18.2,218.9,383.3,26.1,213.8,380.5,20.7
131210AP12C,13,121,0AP12C,955,792,14,996,719,36,996,669,54,979,675,57
131210AP12D,13,121,0AP12D,0,0,0,0,0,0,0,0,0,0,0,0
131210CH04A,13,121,0CH04A,325.1,372.8,7.5,343.6,344.7,13.9,341.5,318.6,25.5,324.6,330.7,21.9
131210CH04B,13,121,0CH04B,0.5,1.3,0,0.5,1.3,0,0.4,1.3,0.1,0.4,1.3,0
131210CP011,13,121,0CP011,143,610,18,148,596,20,148,566,43,142,579,31
131210CP012,13,121,0CP012,91.6,505.6,9,99.2,483.8,14.1,106.3,469.7,20.5,100.5,476.7,16
131210CP01B,13,121,0CP01B,64.8,192.2,6.1,71.7,178.2,9.2,67.7,175.9,14.3,65.7,179,12.2
131210CP04A,13,121,0CP04A,2,2.1,0,2,2.1,0,0,3.1,0,0,3.1,0
131210CP04B,13,121,0CP04B,3,15.9,0,2,14.9,2,2,16.9,0,1,16.9,1
131210CP051,13,121,0CP051,43,921,7,33,917,20,38,880,28,32,891,22
131210CP052,13,121,0CP052,0.5,11.5,0.1,0.5,11.3,0.3,0.5,11.2,0.4,0.5,11.2,0.3
131210CP053,13,121,0CP053,0.4,8.9,0.1,0.4,8.8,0.3,0.4,8.6,0.3,0.4,8.7,0.2
131210CP05B,13,121,0CP05B,5,72,0,5,71,2,7,67,1,6,66,0
131210CP06A,13,121,0CP06A,14.4,238.8,5.9,16.2,238.4,6,14.6,228.7,8.1,12.2,230.3,7.6
131210CP06B,13,121,0CP06B,0,0,0,0,0,0,0,0,0,0,0,0
131210CP07A,13,121,0CP07A,11.2,231.3,5,12.2,219.2,10.1,13.3,219.1,10.1,13.3,217.1,12.1
131210CP07B,13,121,0CP07B,1.8,15.5,0.3,2.9,14.6,0.3,1.8,15.2,0.4,1.6,15.2,0.3
131210CP07C,13,121,0CP07C,1,71,1,2,69,2,2,69,3,2,69,3
131210CP07D,13,121,0CP07D,0,0,0,0,0,0,0,0,0,0,0,0
131210CP07E,13,121,0CP07E,0,0,0,0,0,0,0,0,0,0,0,0
131210CP07F,13,121,0CP07F,3,61,0,2,60,3,1,59,5,2,57,3
131210CP081,13,121,0CP081,7,106.9,1,8,98.9,4,6,101.8,4,3,99.9,7
131210CP083,13,121,0CP083,3.1,84.5,1.3,5.3,81.8,1,3.8,79.4,2,4.3,79.8,1.4
131210CP084,13,121,0CP084,5.9,113.7,1.1,5.2,111.9,2.9,4.8,109.7,4.2,4.6,110.7,3.2
131210CP08A,13,121,0CP08A,4.7,139.7,0.8,7.9,131,4.7,8.7,123.1,5.5,7.1,125.5,7.1
131210EP01A,13,121,0EP01A,168,1462,20,149,1445,48,141,1399,80,128,1400,80
131210EP01B,13,121,0EP01B,140.9,1535.7,17.4,121.6,1510.6,50.2,116.8,1472,77.2,116.8,1486.4,57.9
131210EP02A,13,121,0EP02A,71.4,1057.1,2.1,66.3,1016.3,27.5,63.2,992.3,53.6,66.2,990.3,36.5
131210EP02B,13,121,0EP02B,154,982,13,161,963,20,157,920,55,154,930,39
131210EP02C,13,121,0EP02C,47.5,259.2,5,42.5,255.3,10.9,45.5,242.3,17.9,45.5,245.3,14.9
131210EP02D,13,121,0EP02D,12,233,1,10,234,1,8,230,6,10,229,5
131210EP02E,13,121,0EP02E,52,697,14,50,678,29,53,658,35,50,662,26
131210EP03A,13,121,0EP03A,188.3,2740,25,181.1,2691.5,56.6,167.9,2626.6,90.5,170.1,2640.6,59
131210EP03B,13,121,0EP03B,102.3,1237.4,11,107.8,1213.6,18.3,116,1175.5,34.1,98.5,1193.6,29.1
131210EP04A,13,121,0EP04A,115.8,2886.3,21.2,114.8,2841.8,55,114.9,2767.6,91.6,106.2,2799.4,67.5
131210EP04B,13,121,0EP04B,46.5,1216.2,6.6,31.2,1211,18.9,39.3,1177.9,37.4,33.6,1193.3,23.6
131210FA01A,13,121,0FA01A,277.4,2062.4,16.7,252.5,2027.2,52.8,249.8,2001.1,68.7,240.5,1999.4,67.6
131210FA01B,13,121,0FA01B,503.7,4418,34.3,484.5,4326,90.2,493.9,4258.1,128.6,480.9,4270.4,103.7
131210FA01C,13,121,0FA01C,77.1,934.5,14.3,67.8,927.6,17.9,68.9,910.6,29.8,64.3,918.7,20.4
131210JC03A,13,121,0JC03A,198,283,5,212,267,7,218,233,20,204,247,17
131210JC03B,13,121,0JC03B,424,740.4,20,437.4,699.4,40,432.6,657.5,55.3,422.1,668.9,46.7
131210JC04A,13,121,0JC04A,1596.2,2376.9,48.7,1721.9,2187.8,85.1,1762.7,2006.4,138.8,1747.2,2020.4,122.7
131210JC04B,13,121,0JC04B,80,149,1,86,138,4,82,129,11,80,131,9
131210JC13A,13,121,0JC13A,1083.1,781.3,13.5,1156.6,687.7,25.6,1116.7,640.6,66.2,1105.7,639.7,56
131210JC13B,13,121,0JC13B,156,76,3,167,63,2,167,55,5,167,57,3
131210ML011,13,121,0ML011,1349.6,1175.8,40.9,1454.5,1043.9,47.9,1471.7,905.9,111.4,1465.3,926.2,85.8
131210ML012,13,121,0ML012,180.7,107.6,3.7,184.3,100.3,4.2,181.2,90.9,9.9,177.6,93,8.9
131210ML01B,13,121,0ML01B,227.6,136.8,4.9,234.2,125.8,6,232.9,112.5,13.2,228.7,114.9,12.4
131210ML021,13,121,0ML021,1397,679,28,1469,599,38,1468,529,65,1445,544,62
131210ML022,13,121,0ML022,0,0,0,0,0,0,0,0,0,0,0,0
131210ML023,13,121,0ML023,885,523.6,24,942.2,453.6,29.5,942.2,394.6,60.8,939.4,407.5,47.9
131210ML024,13,121,0ML024,75,44.4,2,79.8,38.4,2.5,79.8,33.4,5.2,79.6,34.5,4.1
131210ML04A,13,121,0ML04A,887.5,635.6,16,921.8,590.5,19.4,916.3,536.2,51.2,908.1,532.1,51.5
131210ML04B,13,121,0ML04B,465.5,318.3,8.6,482.4,296.4,9.8,479.2,269.1,26.9,475,267.1,26.9
131210ML04C,13,121,0ML04C,0,0,0,0,0,0,0,0,0,0,0,0
131210ML05A,13,121,0ML05A,0.9,0.9,0,0.9,0.9,0,1,0.8,0.1,0.9,0.8,0
131210ML05B,13,121,0ML05B,43.2,45,0.8,44.6,42,1.4,45.8,37.6,2.9,45.3,38.3,2.4
131210ML05C,13,121,0ML05C,1779.4,1871.7,32.1,1836.7,1750.7,58.3,1884.8,1568.2,120.6,1865.1,1595.6,101.6
131210ML06A,13,121,0ML06A,380.1,771.1,14.7,385.7,734.8,31.7,381.8,692.9,56.2,380.6,696.7,44.4
131210ML06B,13,121,0ML06B,754.5,1395,27.3,763.3,1352.1,51.7,778.9,1229.3,105.3,775,1237.1,90.7
131210ML071,13,121,0ML071,5.6,3.1,0.1,5.7,2.9,0.2,5.7,2.6,0.3,5.6,2.6,0.2
131210ML072,13,121,0ML072,823.4,466.1,14.7,842,432.8,27.4,844,393.6,38.2,835.2,392.6,36.2
131210ML07A,13,121,0ML07A,411,235,9,425,216,11,434,177,27,424,190,23
131210RW07A,13,121,0RW07A,145,754,15,141,726,38,142,699,58,138,706,49
131210RW07B,13,121,0RW07B,74,203,9,72,200,9,67,188,17,63,190,14
131210RW11A,13,121,0RW11A,891,1142.4,25.7,942.5,1049.4,51.5,942.5,964.2,97,938.5,972.1,84.2
131210RW11B,13,121,0RW11B,9,11.6,0.3,9.6,10.6,0.5,9.6,9.8,1,9.5,9.8,0.8
131210RW22A,13,121,0RW22A,1145.9,2093.3,51.7,1186.6,1983.8,89,1201.7,1849.3,155.2,1188.2,1876,124.7
131210RW22B,13,121,0RW22B,16.6,21.9,0.7,17.4,20.7,0.9,17.3,18.8,2,17.3,19.1,1.6
131210SC01A,13,121,0SC01A,3,50,0,4,48,1,3,45,4,3,48,1
131210SC01B,13,121,0SC01B,49,1557,7,47,1544,20,50,1508,45,45,1531,27
131210SC01C,13,121,0SC01C,60,1599,11,57,1582,13,58,1559,28,54,1567,26
131210SC01D,13,121,0SC01D,9.8,172.2,1,4.9,166.3,7.9,6.9,169.3,3.9,6.9,169.3,2
131210SC05A,13,121,0SC05A,16.4,465.1,3,11.3,460,11.1,11.3,452.9,15.2,12.3,458,10.1
131210SC05B,13,121,0SC05B,90,2364.2,15.5,86.1,2330.4,35.8,88.1,2290.7,57.1,80.3,2304.2,43.5
131210SC05D,13,121,0SC05D,80,1829,9,62,1817,28,71,1796,32,68,1792,31
131210SC05E,13,121,0SC05E,72.7,401,3,70.6,398.8,6.1,70.6,389.8,16.9,67.6,397.8,10.9
131210SC07A,13,121,0SC07A,257.9,2884.4,25,239.8,2844.3,58.2,254.3,2794.3,90.8,240.8,2832,57.6
131210SC07B,13,121,0SC07B,0,0,0,0,0,0,0,0,0,0,0,0
131210SC07C,13,121,0SC07C,0.9,10.5,0.9,1.9,9.5,0.9,1.9,9.5,0.9,2.9,9.5,0
131210SC08A,13,121,0SC08A,0,0,0,0,0,0,0,0,0,0,0,0
131210SC08B,13,121,0SC08B,111.4,2151.8,17.7,96.4,2113.7,53.8,86.6,2062.9,83.7,81.1,2080.5,62.6
131210SC08C,13,121,0SC08C,2.2,113.7,0.2,3.7,110.6,0.6,1.9,110.7,0.8,1.8,111.2,0.5
131210SC08D,13,121,0SC08D,11,345,5,8,350,4,8,334,11,11,339,5
131210SC08E,13,121,0SC08E,16.7,403.3,8.8,6.9,410.1,10.7,8.9,394.5,20.5,7.9,401.3,13.7
131210SC08F,13,121,0SC08F,14,421.2,4,11,416.2,6,13,404.2,18,16,405.2,11
131210SC08G,13,121,0SC08G,0,1.8,0,0,1.8,0,0,1.8,0,0,1.8,0
131210SC08H,13,121,0SC08H,0,0.2,0,0,0.2,0,0,0.2,0,0,0.2,0
131210SC09A,13,121,0SC09A,46,943,9,42,915,22,37,896,41,36,909,26
131210SC09B,13,121,0SC09B,46,1202,11,38,1187,24,49,1156,34,48,1174,18
131210SC09C,13,121,0SC09C,54,998,12,42,990,20,47,957,34,39,966,25
131210SC11A,13,121,0SC11A,44,960,5,32,950,17,40,922,30,39,935,18
131210SC11B,13,121,0SC11B,51,959,8,42,952,13,44,916,31,37,933,21
131210SC14A,13,121,0SC14A,33.7,512.7,6.3,22.1,513.9,12,20,505.1,17.2,19,501.2,18.9
131210SC14B,13,121,0SC14B,14,46,0,10,45,4,11,43,3,10,46,1
131210SC16A,13,121,0SC16A,108,3599.8,17,91,3572.8,32,86,3507.8,85,87,3539.8,45
131210SC16B,13,121,0SC16B,6.8,44.7,0.3,6.6,44.2,0.7,6.7,43.6,1.2,6.5,43.7,0.9
131210SC17A,13,121,0SC17A,1,43,0,2,39,3,2,39,3,1,42,0
131210SC17B,13,121,0SC17B,0.6,2.5,0,0.6,2.5,0,0.6,2.5,0,0.6,2.5,0
131210SC17C,13,121,0SC17C,37.3,606.3,6.6,34.8,600.5,13.2,29,594.7,22.4,29.8,602.2,15.7
131210SC18A,13,121,0SC18A,12.3,359.3,2.8,14.2,343.2,9.5,16.1,348,5.7,15.1,348.9,4.7
131210SC18B,13,121,0SC18B,24,654,3,23,645,10,21,637,18,21,640,14
131210SC18C,13,121,0SC18C,75.8,1607.1,5.5,62.5,1594.7,15.5,69.2,1556.9,25.1,63.8,1564.2,20
131210SC19A,13,121,0SC19A,7,134,1,8,133,1,7,135,1,6,132,3
131210SC19B,13,121,0SC19B,45.3,1009.9,9.2,39.2,995.7,26.1,42.2,975.9,34,38.2,983.2,26.4
131210SC211,13,121,0SC211,57.1,1115,8.3,53.4,1100.3,23.9,50.7,1092.9,23,53.4,1092.9,21.2
131210SC212,13,121,0SC212,172,2382.8,29.4,148.8,2371.8,42,138.7,2328,81.6,132.2,2350.7,51.4
131210SC21A,13,121,0SC21A,0,0.5,0,0.1,0.5,0,0.1,0.5,0,0.1,0.5,0
131210SC23A,13,121,0SC23A,90,2085,17,73,2054,49,71,2035,60,80,2041,44
131210SC23B,13,121,0SC23B,22,334,2,22,315,10,21,317,11,18,322,11
131210SC23C,13,121,0SC23C,68,1467,7,49,1458,22,54,1433,40,55,1437,25
131210SC29A,13,121,0SC29A,77,1789.7,16.2,73.8,1747.3,41.4,75.6,1701.2,59.5,68.4,1722.3,36.4
131210SC29B,13,121,0SC29B,0,0,0,0,0,0,0,0,0,0,0,0
131210SC30A,13,121,0SC30A,8.2,163.7,1.4,6.1,161.1,1.8,4.2,160.1,4.3,3.3,160.4,5
131210SC30B,13,121,0SC30B,13.5,428.3,3.8,12,418.9,10.6,13.4,408.9,14.7,15.3,410.9,8.3
131210SS02A,13,121,0SS02A,327.8,558.6,19.8,363.5,514,19.8,357.5,491.2,43.6,354.6,498.2,38.6
131210SS02B,13,121,0SS02B,234.2,689.4,14.2,239.5,663,26.2,241.5,600.8,55.4,242.4,604.8,44.4
131210SS07A,13,121,0SS07A,471,527,8,521,463,10,517,419,31,514,421,17
131210SS07B,13,121,0SS07B,198.7,374.5,4,211.8,349.1,11.2,229,315.6,22.3,221.8,323.8,19.3
131210SS07C,13,121,0SS07C,235.7,312.5,10.4,254.7,283.2,13.4,247.8,265.3,22.9,248.8,263.3,21.6
131210SS08A,13,121,0SS08A,442.7,990.5,27,455.5,960.7,28.3,461.8,889.5,61.7,461.2,896.5,47.5
131210SS08B,13,121,0SS08B,248.3,303.5,3,260.2,274.9,15.8,269,247.3,19.7,257.2,260.2,19.7
131210SS08C,13,121,0SS08C,104.2,236.5,4.8,103.5,233.1,8.2,109.7,212.5,11,104.9,218.7,8.9
131210SS08D,13,121,0SS08D,310,717,16,334,678,24,343,633,41,350,640,27
131210SS09A,13,121,0SS09A,1259.5,1296.2,34.1,1406.5,1127.3,41.1,1417.2,1042,83.5,1401.4,1051.1,59.6
131210SS09B,13,121,0SS09B,1362.4,1504.7,24.5,1511,1329.8,34.2,1539.9,1192.5,84.1,1527.3,1203.3,78.1
131210SS11A,13,121,0SS11A,936,1785,47,1009,1691,69,1020,1581,123,999,1612,91
131210SS11B,13,121,0SS11B,235,655,10,238,638,15,243,592,42,256,586,33
131210SS11C,13,121,0SS11C,33,161,5,31,160,7,34,150,10,31,151,12
131210SS11D,13,121,0SS11D,145,172,8,158,157,7,160,144,12,158,149,8
131210SS13A,13,121,0SS13A,652.2,854,22,707.1,783,29,694.2,720.1,69.9,686.2,733.1,59.9
131210SS13B,13,121,0SS13B,368.8,542,14,394.9,510,20,399.8,474.9,34.1,401.8,475.9,26.1
131210SS15A,13,121,0SS15A,238,1273,18,234,1237,41,238,1174,79,245,1201,45
131210SS15B,13,121,0SS15B,344,756,26,351,726,41,356,682,70,354,695,54
131210SS18A,13,121,0SS18A,247,297,7,270,267,8,273,250,14,267,253,12
131210SS18B,13,121,0SS18B,92.2,93.1,0.9,94,85.7,1.9,86.6,84.7,6.5,83.8,86.6,2.8
131210SS19A,13,121,0SS19A,504.3,1546.1,40.3,514.5,1485.2,74.6,536.4,1387.1,111.2,522.5,1413.1,77.9
131210SS19B,13,121,0SS19B,449.8,1228.9,28.1,480,1167.3,43.1,487.4,1082.3,85.5,495.2,1087.4,64.2
131210SS29A,13,121,0SS29A,782.8,1437.4,27.5,843.4,1340.3,47.3,862.2,1235.2,102,837.2,1258,85.8
131210SS29B,13,121,0SS29B,4.4,8,0.1,4.8,7.4,0.3,4.9,6.8,0.6,4.7,6.9,0.5
131210UC01A,13,121,0UC01A,130.8,2073.1,19.9,101.2,2034.6,56.4,103.2,2008.4,78.4,102.7,2008.2,67.3
131210UC01B,13,121,0UC01B,13,216,2,9,215,6,9,197,12,6,201,8
131210UC01C,13,121,0UC01C,1.6,30.5,0.2,1.3,30,0.8,1.2,29.3,1.2,1.1,29.5,0.9
131210UC01D,13,121,0UC01D,2.7,43.7,0.3,2.3,43.4,0.8,2.3,42.6,1.2,2.2,43.1,0.8
131210UC01E,13,121,0UC01E,21.3,399.8,2.6,17.6,398.1,6.1,18.4,390.6,9.1,17.7,395.9,5.7
131210UC02A,13,121,0UC02A,284.9,4828.6,35.3,236.7,4740.6,113.8,234.4,4657.8,154.1,230.1,4701,104.4
131210UC02B,13,121,0UC02B,9.5,102.9,0.6,8.4,101.7,2.2,8.4,98.3,4.2,9.9,99.9,1.8
131210UC031,13,121,0UC031,248.2,1147.1,16,236.9,1113.4,32.8,221,1107.7,42.2,205.1,1119,33.8
131210UC032,13,121,0UC032,36.9,229.4,3,38.9,222.4,5,36.9,215.4,11,35.9,218.4,6
131210UC033,13,121,0UC033,0,0,0,0,0,0,0,0,0,0,0,0
131210UC035,13,121,0UC035,15.9,148,1.4,15.1,145.2,3.5,14.2,144.3,3.9,13.7,144.8,3.3
13123000001,13,123,000001,1834.5,520,16.1,1793.7,490.3,46.3,1776.6,455.3,63.6,1751.4,454.6,59.5
13123000002,13,123,000002,1047.7,168.8,9.9,1034.8,151.9,24.8,1006,150.9,29.8,998,149,25.8
13123000003,13,123,000003,1035,164.2,13,999.1,157.2,37.9,990,141.2,41.9,981,146.2,38
13123000004,13,123,000004,900.9,148.8,13.5,875.4,143.9,28.3,862.3,122,36.5,844.8,127.5,29.7
13123000005,13,123,000005,1677.5,375.8,25.9,1633.3,357.6,53.8,1607.4,334.5,61.4,1580.6,342.2,58.5
13123000006,13,123,000006,566.1,172.1,6.1,568.9,157,15.1,542.7,160.5,22.2,533.5,163.4,14.3
13123000007,13,123,000007,933.9,220.3,9,931.9,197.3,26.9,910.9,189.4,32.9,906,191.4,22.9
13123000008,13,123,000008,715,136,9,701,136,21,694,119,35,692,112,34
13123000009,13,123,000009,1013,227,9,1025,193,20,995,181,27,992,182,19
13123000010,13,123,000010,1053.1,215.7,17,1029.1,194.7,37.1,984.1,174.6,46.1,974,179.6,38.1
13123000011,13,123,000011,636.1,108.2,5.5,626.6,98.1,15.7,611.7,87,20.4,599.2,92.5,17.3
13123000012,13,123,000012,924.3,206.2,16.1,904.2,190.1,33.2,881,181.1,41.2,868,181,38.2
13123000013,13,123,000013,1102,270,14,1093,249,26,1071,244,30,1057,245,31
1312500EDGH,13,125,00EDGH,109,11,0,107,11,0,104,11,0,100,11,1
1312500GIBS,13,125,00GIBS,442,58,5,425,50,11,409,45,12,404,44,10
1312500MILL,13,125,00MILL,554,38,2,542,42,6,525,42,4,517,36,10
1312500MITC,13,125,00MITC,279.1,45.5,0.9,273.5,44.5,6.6,262.3,45.4,4.7,266,46.4,1.9
13127001713,13,127,001713,2287.5,741,21.1,2257.4,711.6,51.3,2246.2,659.4,75.3,2204,668.5,71.4
13127001923,13,127,001923,1715.6,661.3,23.9,1675.9,630.5,52.7,1656,606.6,80.5,1641.1,609.6,70.6
13127001933,13,127,001933,1428,615.4,30,1429,580.4,47,1401,548.4,73,1387,554.4,60
13127001943,13,127,001943,1469.4,337.4,17.1,1434.2,314.2,51.2,1426.1,294.1,55.4,1401.1,303.1,53.3
13127002713,13,127,002713,2093.7,968.5,22.1,2131.2,873.2,50,2107.2,766,109.1,2077.1,791,88.1
13127002923,13,127,002923,1660.3,695.5,25.9,1726.8,612.8,24,1707.8,537,67.9,1688.9,547,61.9
13127002933,13,127,002933,2399,1122,42,2455,1016,52,2442,907,120,2399,940,100
13127002943,13,127,002943,2312.6,1091.1,38,2347.6,1009,64.1,2324.6,913,124.1,2301.5,921,103.1
13127002953,13,127,002953,343.7,277.4,4,343.7,262.4,12,333.6,243.4,33,328.6,253.4,21
13127003713,13,127,003713,1725,835,27,1671,804,69,1655,760,100,1614,766,87
13127003723,13,127,003723,908,382,20,891,370,34,884,347,36,868,350,30
13127003733,13,127,003733,1412,579,39,1395,541,67,1361,527,77,1350,529,69
13127003743,13,127,003743,1530,725,29,1527,681,53,1510,646,75,1471,658,77
13127004913,13,127,004913,1289,694,29,1263,674,46,1232,648,68,1218,657,54
13127004923,13,127,004923,779.9,1182.2,29.7,768,1138.6,58.5,761,1098,78.3,729.3,1118.8,64.4
13127004933,13,127,004933,718.6,990.2,13,718.1,935.2,49.3,677.8,934.5,65.2,667.1,927.9,49.2
13127005913,13,127,005913,467.9,725,15.2,459.4,692.9,34.7,454.3,665,49.1,446.7,670.9,31.3
13127005923,13,127,005923,643.2,1166.4,32.1,631.1,1116.1,62.3,595.1,1090.8,87.4,586.1,1078.9,82.2
13127005933,13,127,005933,186.7,1524.4,24.7,195.6,1441.4,65.2,187.7,1433.5,54.3,174.9,1411.7,55.3
13127005943,13,127,005943,253,571.5,6.2,247.1,538.6,27,245.4,531.1,30.6,235.3,524.6,25.5
13129000856,13,129,000856,1072.3,207.2,11.2,1047.3,197.9,39.1,1030.4,177,39.8,1020.2,184.7,33.3
13129000874,13,129,000874,1215,148,17,1174,141,45,1150,135,52,1133,134,54
13129000973,13,129,000973,1749.2,337.8,21.5,1719.3,325.5,45,1674.4,311,53.3,1647.8,310.4,51.8
13129000980,13,129,000980,843.1,131.2,13,823,127.9,27.1,801.1,127.5,25.3,786.9,125.6,29.3
13129001054,13,129,001054,913.8,121.4,5.2,898.2,111.2,20.6,875.8,107.9,28.7,853.3,113.9,29.8
13129001055,13,129,001055,1118,197,11,1101,193,24,1071,169,38,1051,162,41
13129001056,13,129,001056,3246,497,38,3186,479,82,3106,456,101,3066,457,100
13129001063,13,129,001063,585,76.6,6.4,574.1,72.9,12.7,562.2,66.6,16.4,554.1,71.1,10.9
13129001064,13,129,001064,405.2,93.8,3,395.2,87.9,11,384.5,82.9,12.1,382.8,80.2,12.2
13129001235,13,129,001235,802.8,117.7,4.1,773.6,108.6,26.3,760.3,101.4,30.4,749.1,101.6,32.2
131290849-A,13,129,0849-A,2986.3,803.3,30.9,2922.6,768,84.7,2865,721.3,103.3,2799.8,725.7,113
131290849-B,13,129,0849-B,4476.5,1655.1,82.9,4404.6,1570.9,155.8,4307.1,1456.1,216.2,4216.8,1468.7,223.8
1313100000B,13,131,00000B,513,104,2,500,110,8,499,102,9,495,97,10
1313100000D,13,131,00000D,213.2,104.5,0.9,210.6,99.3,4.4,207,97.5,5.3,205.2,100.1,5.3
1313100000H,13,131,00000H,418,201,4,414,197,5,406,190,8,406,193,4
1313100000L,13,131,00000L,196,46,1,196,41,3,192,46,3,193,43,4
1313100000M,13,131,00000M,717.9,222.2,6.4,707.6,214.2,11.4,692.7,202.3,19.6,679.9,201.8,22.3
1313100000P,13,131,00000P,542.1,235.5,5.7,529,227.7,14.2,522.4,223.4,19.1,506.9,229.3,21.4
1313100000R,13,131,00000R,257.8,101.7,1,253.8,100.7,4,245.9,97.8,6.9,242,95.8,4
1313100000S,13,131,00000S,473,62,3,465,62,7,456,57,9,454,62,7
1313100000W,13,131,00000W,640,195,3,620,188,11,610,178,17,606,176,12
131310000SH,13,131,0000SH,374,54,4,368,54,7,362,49,10,358,51,7
131310000WL,13,131,0000WL,1393.6,281.5,6.9,1380.7,260.7,27.8,1373.7,234.9,39.6,1359.8,236.9,34.7
