GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREICAS,G16PRENROC,G16PREONON,G16USSDCOR,G16USSRHEC,G16USSIJON,G16USSNSAW,G16USSNGUM,G16USSNWIL,G16USSONON
32003002600,32,003,002600,437.5,540.7,42.1,4.6,0.9,25.7,423,525,10.1,11.1,14.6,4.6,46.7
32003002601,32,003,002601,8,6.2,0,0,0,0.9,8.9,5.3,0,0.9,0,0,0
32003002602,32,003,002602,43.9,69.8,5,0,0,3,43.9,65.8,2,3,0,2,3
32003002603,32,003,002603,442,583,56,10,1,27,455,572,12,13,8,8,35
32003002604,32,003,002604,348.9,388.6,35.9,4.7,1.9,17,351.7,359.3,12.3,13.2,10.4,5.7,33.1
32003002605,32,003,002605,392.1,541.2,26,5,2,28,401.1,500.2,17,13,8,7,30
32003002606,32,003,002606,521,333,31,3,2,15,519,296,14,9,8,8,36
32003002607,32,003,002607,635,287,11,3,1,21,609,255,10,9,14,3,40
32003002608,32,003,002608,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002609,32,003,002609,5.1,2.2,0.3,0.1,0,0.2,4.8,1.9,0.1,0.1,0.1,0.1,0.4
32003002611,32,003,002611,612,593,46,6,3,44,590,565,34,21,10,5,61
32003002612,32,003,002612,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002613,32,003,002613,479.6,515.5,43.8,8.2,1.1,34.4,481.6,479,14.7,24.8,13.5,8.4,43
32003002614,32,003,002614,374,484,23,3,4,30,386,457,10,10,8,6,29
32003002615,32,003,002615,407,566,47,4,2,20,414,538,15,9,8,4,41
32003002616,32,003,002616,358,179,23,1,0,17,340,159,11,13,4,2,40
32003002617,32,003,002617,387,267,23,5,0,14,381,247,5,5,7,6,29
32003002621,32,003,002621,548,548,56,7,4,40,535,539,30,16,11,10,44
32003002622,32,003,002622,335,420,24,8,0,29,340,403,14,7,5,3,26
32003002623,32,003,002623,0,3,0,0,0,0,0,3,0,0,0,0,0
32003002624,32,003,002624,237,407,21,4,1,11,234,395,15,5,9,2,14
32003002625,32,003,002625,0,4,0,0,0,0,0,4,0,0,0,0,0
32003002631,32,003,002631,5,14,0,0,0,0,5,13,0,0,0,0,0
32003002632,32,003,002632,5,24.8,0,2,0,1,5,23.8,1,2,0,0,1
32003002633,32,003,002633,272.7,677.4,39,3.8,0.5,26.1,297.1,634.2,12.5,8.1,11.8,6.2,37.4
32003002634,32,003,002634,256.6,378.1,30,8,1,22.7,254.9,396.5,8,3.3,5.3,2.3,13.7
32003002635,32,003,002635,492.6,625.6,36,1,0,25,475.7,617.6,12,11,16,2,31
32003002640,32,003,002640,0.1,0.1,0,0,0,0,0.1,0.1,0,0,0,0,0
32003002641,32,003,002641,8,3,0,0,0,0,5,2,1,2,1,0,0
32003002642,32,003,002642,21.5,38.3,2,0.3,0,1.7,21.8,36.7,0.3,0.8,0.6,0.7,1.9
32003002643,32,003,002643,493.6,764.4,23.4,10.7,1,27.3,487.8,740,10.7,10.7,5.8,6.8,36
32003002644,32,003,002644,308,650,26,4,1,11,323,604,13,15,5,3,19
32003002645,32,003,002645,38,74,3,0,0,1,42,69,2,0,0,0,4
32003002646,32,003,002646,3.2,7,0.6,0,0,0.4,3.4,6.7,0,0.2,0.2,0.2,0.4
32003002650,32,003,002650,312.8,482.2,27.5,3.9,0,15.8,312.8,440.9,13.8,15.7,5.9,5.9,35.4
32003002651,32,003,002651,196.1,312.2,11,2,1,12,190.1,302.2,3,8,2,2,15
32003002652,32,003,002652,601.5,570.1,49.5,4.8,3.8,40,598.6,526.3,19,20.9,14.3,10.5,56.1
32003002653,32,003,002653,294.6,607.3,23.8,4.8,4.8,27.7,305.6,579.6,15.8,12.7,12.7,1.6,28.5
32003002654,32,003,002654,297,378,24,2,0,20,285,368,14,7,3,4,29
32003002655,32,003,002655,301,519,24,3,0,17,300,507,10,12,5,2,17
32003002660,32,003,002660,258,350,27,2,3,12,264,330,17,9,6,2,13
32003002661,32,003,002661,564,711,42,5,2,35,540,666,33,16,21,6,57
32003002662,32,003,002662,93,117,5,2,1,12,100,102,6,5,4,1,7
32003002663,32,003,002663,227,559,22,3,3,23,237,543,17,10,4,2,18
32003002664,32,003,002664,6,5,0,0,0,0,5,6,0,0,0,0,0
32003002665,32,003,002665,33,110,1,0,0,3,32,102,1,3,3,0,5
32003002666,32,003,002666,881,633.5,44.5,5,5,39.6,846.3,650.3,10.9,17.8,12.9,6.9,40.6
32003002671,32,003,002671,477,860,44,16,2,26,487,820,25,22,18,6,27
32003002672,32,003,002672,412.7,618.2,33,6.2,4.5,33.9,424.3,575.3,20.5,8.9,15.2,9.8,36.6
32003002673,32,003,002673,38,72,4,1,0,1,38,69,3,5,0,1,0
32003002674,32,003,002674,684.4,468.8,48.3,4,3,34.1,669.6,440.5,23,18.2,14,5,43.1
32003002675,32,003,002675,3.2,13.7,0.8,0,0,0,4,12.9,0,0.8,0,0,0
32003002676,32,003,002676,7.2,16.2,0,0.9,0,0.9,6.3,16.2,0.9,0,0,0,0.9
32003002681,32,003,002681,2,0,0,0,0,0,2,0,0,0,0,0,0
32003002682,32,003,002682,423.4,596.1,23.6,1.3,2.2,30.5,428.1,555.1,11.9,12.9,10.1,6.2,40.4
32003002683,32,003,002683,1,2,0,0,0,0,1,2,0,0,0,0,0
32003002684,32,003,002684,17.9,25.2,1.4,0,0,0.7,18,23.2,0.2,0.3,0.2,0.2,1.9
32003002685,32,003,002685,2.3,3.9,0.1,0,0,0.1,2.3,3.7,0,0.1,0,0,0.2
32003002691,32,003,002691,8.1,18.9,0,0,0,0,9,13.5,3.6,0.9,0,0,0
32003002692,32,003,002692,366.4,488.8,23.4,3.6,1.8,19.8,376.4,455,12.1,9.1,10.8,2.7,26.9
32003002693,32,003,002693,73.5,113.3,3.6,0.4,0.2,7.2,81.7,101.5,4.3,1,2.2,0.3,6.1
32003002694,32,003,002694,0,1,0,0,0,0,0,1,0,0,0,0,0
32003002695,32,003,002695,361,568,26,2,3,20,372,513,20,15,15,8,25
32003002696,32,003,002696,20,19,0,0,0,1,21,15,0,2,0,0,2
32003002700,32,003,002700,398,362,21,5,0,11,404,316,16,9,2,5,30
32003002701,32,003,002701,480.3,606.2,43,7,5,30,487.3,541.2,35,21,14,11,46
32003002702,32,003,002702,357,311,21,1,1,16,342,307,6,12,3,6,25
32003002703,32,003,002703,1,3,0,0,0,0,1,3,0,0,0,0,0
32003002704,32,003,002704,7.5,21.7,0,0,0,0.9,8.5,17,0.9,0,0,0,3.8
32003002705,32,003,002705,403,404,25,2,0,27,399,380,9,13,7,4,35
32003002706,32,003,002706,0.5,1.3,0,0,0,0.1,0.5,1,0.1,0,0,0,0.2
32003002709,32,003,002709,279,304,20,0,2,15,283,271,11,4,8,3,25
32003002710,32,003,002710,310,289,31,2,1,18,305,256,22,8,9,5,30
32003002711,32,003,002711,421,454,21,4,5,25,415,408,14,12,15,8,45
32003002713,32,003,002713,408,186,18,4,4,17,391,181,9,9,6,7,26
32003002714,32,003,002714,454,150,16,7,0,23,420,159,12,13,3,9,25
32003002715,32,003,002715,0,1,0,0,0,0,0,1,0,0,0,0,0
32003002716,32,003,002716,742.7,317.3,43.4,9.9,1,23.7,708.2,282.8,17.8,17.8,13.8,8.9,63.1
32003002717,32,003,002717,281.4,208.1,12.1,3.2,1.6,11.1,270.4,196.5,6.6,5,6,5,17.9
32003002720,32,003,002720,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002721,32,003,002721,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002722,32,003,002722,188.1,76.2,13.9,4,1,12.9,166.4,85.2,4,3,2,0,27.7
32003002723,32,003,002723,1.1,6,0.1,0.1,0,0.2,1.2,5.6,0.2,0.2,0.1,0.1,0.2
32003002724,32,003,002724,559.9,275.8,32.1,6,4,23.1,523.6,265.8,17,14,7,13,42.3
32003002725,32,003,002725,91.1,393.4,10,7.8,2.9,9.2,86.3,389.6,6.1,8.2,3.2,3.2,13.3
32003002726,32,003,002726,69,364.7,7.8,5.8,1,13.6,72.9,341.4,9.7,10.7,3.9,4.9,14.6
32003002727,32,003,002727,168.7,728.8,25,16,1,25,181.7,692.8,17,23,10,5,19
32003002729,32,003,002729,305.8,88.8,19.2,2,2,10.2,290.6,98.6,5.1,8.1,2.1,0.1,21.2
32003002730,32,003,002730,847.3,319.1,52.2,13.1,7,21.2,790,338,20.1,12.2,16.1,14,51.4
32003002731,32,003,002731,525.4,897.4,25.9,12.1,3.1,31.8,514.5,842.2,22.8,21,12.9,11.9,48.6
32003002732,32,003,002732,384.4,494.4,27.7,5.8,1,27.7,364.4,450.6,23.9,11.5,5.7,6.7,51.5
32003002733,32,003,002733,423,216,29,2,4,22,398,224,10,12,7,6,25
32003002734,32,003,002734,553,294,25,10,4,21,552,272,13,12,4,13,29
32003002735,32,003,002735,495,184,19,3,2,18,458,177,8,15,8,8,33
32003002736,32,003,002736,269,164,15,2,0,6,248,151,13,8,9,3,20
32003002737,32,003,002737,622,165,27,8,0,13,601,160,17,6,5,6,30
32003002738,32,003,002738,425,262,22,5,1,17,416,237,9,11,5,5,31
32003002740,32,003,002740,608,251,20,3,4,17,551,211,15,18,10,17,58
32003002742,32,003,002742,397,187,25,4,1,13,373,178,11,9,5,6,32
32003002743,32,003,002743,627,353,25,7,7,30,602,321,19,24,16,9,45
32003002745,32,003,002745,8.1,7.7,0.2,0,0,1.1,10.1,6.6,0,0,0,0.1,0.2
32003002746,32,003,002746,404,244,19,5,1,16,397,207,17,13,9,11,22
32003002751,32,003,002751,363,135,10,1,2,12,332,125,12,9,5,7,27
32003002752,32,003,002752,840,184,18,7,5,20,785,176,13,11,8,9,45
32003002770,32,003,002770,39.7,10.1,2,0,0,2,35.7,9.1,1,1,1,2,3
32003002775,32,003,002775,222,415,10.1,2.9,1,18.8,223.4,404.8,8.7,2.9,6.8,2.9,12.6
32003002776,32,003,002776,410.8,1004,28.5,4.1,0,26.8,411,937.5,29.4,19.3,7.3,7.4,33.8
32003002904,32,003,002904,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002906,32,003,002906,0.3,0.6,0.1,0,0,0,0.3,0.6,0,0,0.1,0,0
32003002907,32,003,002907,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002911,32,003,002911,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002914,32,003,002914,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002916,32,003,002916,8.9,5.3,0.3,0.1,0.1,0.4,8.4,5.1,0.2,0.2,0.1,0,0.7
32003002917,32,003,002917,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002919,32,003,002919,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002920,32,003,002920,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002927,32,003,002927,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002930,32,003,002930,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002931,32,003,002931,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002934,32,003,002934,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002938,32,003,002938,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002946,32,003,002946,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002948,32,003,002948,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0
32003002949,32,003,002949,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002951,32,003,002951,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002957,32,003,002957,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002959,32,003,002959,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002961,32,003,002961,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002962,32,003,002962,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002969,32,003,002969,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002970,32,003,002970,3.9,13.7,0.3,0.3,0.1,0.3,3.8,13.5,0.2,0.3,0.1,0.1,0.5
32003002971,32,003,002971,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002972,32,003,002972,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002973,32,003,002973,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002974,32,003,002974,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002975,32,003,002975,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002976,32,003,002976,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002977,32,003,002977,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002978,32,003,002978,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002979,32,003,002979,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003036,32,003,003036,264,352,5,1,1,15,264,322,9,2,6,2,21
32003003037,32,003,003037,231,292,5,1,0,9,241,251,3,5,5,4,17
32003003040,32,003,003040,343.4,582,10.3,3.2,0,11.9,341.7,551,6.2,6.1,3.2,6.1,16.1
32003003151,32,003,003151,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003152,32,003,003152,21.6,36.4,4.9,0,0,1,16.7,37.4,3,0,0,2,3.9
32003003191,32,003,003191,0,2,0,0,0,0,0,2,0,0,0,0,0
32003003217,32,003,003217,679,623,43,4,4,26,645,613,14,16,15,5,46
32003003361,32,003,003361,503,435,26,3,3,24,487,394,16,18,13,3,44
32003003363,32,003,003363,565,698,30,1,0,40,506,738,8,9,8,2,41
32003003364,32,003,003364,503,812,20,4,3,39,455,845,9,10,6,4,28
32003003365,32,003,003365,338,355,15,0,0,15,303,383,8,3,4,1,17
32003003366,32,003,003366,285,422,16,2,0,28,258,462,5,0,2,0,17
32003003370,32,003,003370,351,371,17,2,0,13,344,343,9,7,6,3,29
32003003371,32,003,003371,319.6,231.6,7.6,1.9,0,8.5,302.5,216.5,4.7,5.7,1.9,1.9,23.6
32003003372,32,003,003372,494,467,29,0,2,24,474,454,14,5,8,6,34
32003003373,32,003,003373,527,579,39,3,0,29,478,628,4,9,10,5,32
32003003374,32,003,003374,359,365,23,1,1,16,326,380,9,3,6,2,31
32003003375,32,003,003375,546,602,31,3,4,31,530,597,8,10,10,2,35
32003003380,32,003,003380,270,172,15,1,1,12,254,168,10,5,4,3,19
32003003381,32,003,003381,603,666,49,5,2,22,574,683,14,13,5,3,35
32003003382,32,003,003382,439.9,397.4,38.1,0.9,0,16.4,428.6,375.8,13,6.1,7.8,3.5,45.9
32003003383,32,003,003383,350.6,651.3,13.1,1,0,17.1,353.7,617,11.1,3,5,3,22.2
32003003385,32,003,003385,625,731,32,5,2,29,605,753,14,5,7,4,18
32003003386,32,003,003386,319,356,10,3,1,23,282,399,5,7,3,1,10
32003003391,32,003,003391,333,279,24,0,1,18,323,279,10,6,3,7,11
32003003392,32,003,003392,356,329,21,3,1,19,338,329,4,9,10,5,20
32003003393,32,003,003393,273,244,18,5,0,17,268,247,5,9,5,1,13
32003003395,32,003,003395,358,443,12,2,1,12,347,425,5,3,5,1,26
32003003413,32,003,003413,309,450,13,0,1,12,316,428,6,4,5,5,14
32003003414,32,003,003414,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003416,32,003,003416,496,477,36,5,1,28,480,446,25,13,9,18,39
32003003417,32,003,003417,745.8,560.6,63.4,5,2,45.6,731.9,545.7,19.8,15.8,9.9,8.9,65.4
32003003418,32,003,003418,247,281,20,1,0,6,227,281,13,6,2,5,6
32003003430,32,003,003430,465,372,27,6,3,18,461,334,13,11,10,5,39
32003003431,32,003,003431,447.5,422,23,5,2,12,442.5,370,21,7,9,6,37
32003003433,32,003,003433,1.5,0,0,0,0,0,1.5,0,0,0,0,0,0
32003003435,32,003,003435,597,464,46,12,4,29,595,436,22,18,7,11,51
32003003439,32,003,003439,0,2,0,0,0,0,0,2,0,0,0,0,0
32003003457,32,003,003457,2,3,0,0,0,0,2,3,0,0,0,0,0
32003003464,32,003,003464,373,587,23,1,0,19,378,554,11,7,4,2,35
32003003465,32,003,003465,351,405,16,2,3,15,343,383,15,8,3,2,27
32003003518,32,003,003518,2,7,0,0,0,2,2,7,0,0,0,1,1
32003003532,32,003,003532,100.4,222.5,10.3,1.5,0.2,8.1,106,210.8,5.4,1.9,3.9,0.5,9.5
32003003535,32,003,003535,68,87.7,4.2,0.5,0,3.6,63.2,91.1,1.1,1,0.2,0.7,3.5
32003003537,32,003,003537,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003540,32,003,003540,110.5,222.3,10.1,0.9,0,9.1,113.2,207.8,11.8,2.8,0.9,0.9,10
32003003544,32,003,003544,404.6,521.9,33.8,3,0,30.8,357.9,576.6,7,6,8.9,1,23.9
32003003545,32,003,003545,5.6,11.2,0.5,0,0,0.5,5.7,10.5,0.6,0.1,0,0,0.5
32003003546,32,003,003546,651.6,569.5,55,8.7,4.2,33.4,628.5,574.4,14.6,11.8,15,8.8,53.2
32003003547,32,003,003547,258.3,323.3,21.2,0.7,1.6,14.7,252.4,313.9,6.9,6,5.8,4.2,22.9
32003003552,32,003,003552,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003553,32,003,003553,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003557,32,003,003557,753,687,39,5,2,48,698,721,19,5,10,7,52
32003003559,32,003,003559,0,1.6,0,0,0,0,0,1.6,0,0,0,0,0
32003003562,32,003,003562,0,11,0,0,0,0,0,10,1,0,0,0,0
32003003564,32,003,003564,62.8,191.1,9,1,0,4.1,60.7,189.9,5.7,0.2,3.8,1,3.5
32003003565,32,003,003565,416.6,443.6,33,6,1,22,395.7,451.6,12,5,8,3,37
32003003566,32,003,003566,6,13.7,0.4,0.1,0,0.5,6.2,13,0.3,0.2,0.2,0,0.5
32003003571,32,003,003571,0,2.9,0,0,0,0,0,2.9,0,0,0,0,0
32003003574,32,003,003574,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003576,32,003,003576,233,349,17,1,1,18,214,377,1,3,4,1,10
32003003578,32,003,003578,1.3,3.6,0.5,0,0,0.2,1.3,3.8,0,0.2,0.2,0,0.2
32003003579,32,003,003579,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003580,32,003,003580,0.5,0.6,0,0,0,0,0.5,0.5,0,0,0,0,0
32003003581,32,003,003581,0.2,0.3,0,0,0,0,0.2,0.3,0,0,0,0,0
32003003582,32,003,003582,4.3,2.9,0,0,0,0.7,5,2.2,0,0,0,0,0.7
32003003583,32,003,003583,1.9,4.2,0.6,0.1,0,0.2,2.2,4.4,0,0.2,0,0.1,0
32003003584,32,003,003584,4.1,8.9,1.2,0.2,0,0.5,4.8,9.4,0,0.5,0,0.2,0
32003003585,32,003,003585,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003586,32,003,003586,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003587,32,003,003587,523.7,634.9,42.2,1.3,3.3,29.7,511.9,615.7,13.2,12.5,11.2,8.6,46.8
32003003588,32,003,003588,159.3,175,12.3,1.6,0.6,6.4,156,165.5,4.2,5.5,3.9,2,12.5
32003003602,32,003,003602,534.6,580.4,48.4,4.4,0.9,28.2,517,567.2,18.5,10.6,9.7,5.3,44.9
32003003604,32,003,003604,764.3,609.2,79,8.1,4,39.3,737.4,593.2,31,19,20,11,76
32003003605,32,003,003605,90.6,190.2,18.8,2,0,8,87.7,180.2,9.9,5.9,3,2,16.9
32003003606,32,003,003606,414.2,401.3,19.8,5.8,1,23.6,405.5,377.7,13.7,12.8,13.7,7.8,25.7
32003003607,32,003,003607,769.6,498,68.7,7.7,2.3,39.6,743.9,468.9,32.6,26.6,17.6,13.7,54.7
32003003608,32,003,003608,330.5,780.3,25.6,4,2,30.2,339,740.6,17,14.1,11.1,1.2,32.6
32003003609,32,003,003609,339.7,674.9,33.1,6,2,26.9,334.5,667.7,13.1,10,10.1,5.1,34.1
32003003610,32,003,003610,381.9,562.9,37.1,4,5,16.1,407.9,497.9,20,13,11,12,28.1
32003003611,32,003,003611,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003612,32,003,003612,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003613,32,003,003613,320.8,235.7,28.9,3.1,0.9,16.6,310,224.6,13.1,10.1,7,5.2,23.7
32003003700,32,003,003700,1,4,0,0,0,0,1,4,0,0,0,0,0
32003003701,32,003,003701,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003702,32,003,003702,641.6,530.6,27.3,6.8,1,30.2,601.7,480,25.3,21.4,9.7,13.6,63.3
32003003703,32,003,003703,21.3,18.3,0.7,0.2,0,0.8,20.2,16.4,0.7,1.1,0.3,0.4,1.7
32003003704,32,003,003704,372,218,20,4,2,12,375,197.5,10,6.5,5,5,24
32003003705,32,003,003705,305.3,301.9,32,3.1,1.8,16,292.4,297,11.7,7.7,5.5,4.6,26.8
32003003706,32,003,003706,679.7,672.2,71.2,6.8,4.1,35.6,651,661.2,26,17.1,12.3,10.3,59.5
32003003707,32,003,003707,251,277.2,19,2.5,0.9,10,246.1,261.6,6.5,8.7,6.2,3.1,19.6
32003003708,32,003,003708,162,193.9,16.6,1.6,0.8,14.1,167.2,182.3,4.8,6.9,4,1.6,16
32003003709,32,003,003709,1151.5,1111.1,91.2,11,4.5,45,1111,1070,32.4,28,26.9,16.9,94.2
32003003710,32,003,003710,79,107,5,2,0,5,77,109,2,2,2,1,5
32003003711,32,003,003711,54.8,137.5,9,2,0,8,60.8,130.5,6,1,1,2,7
32003003712,32,003,003712,0,2,0,0,0,0,0,2,0,0,0,0,0
32003003713,32,003,003713,12,17,2,0,0,2,13,19,0,0,0,0,1
32003003714,32,003,003714,2.7,6.1,0.3,0,0,0.2,2.7,6.2,0.1,0.1,0.1,0,0.2
32003003715,32,003,003715,50.3,119.8,5.8,0,0,2.9,62.8,109.2,0,1,1.9,1,1.9
32003003716,32,003,003716,204.7,309.6,22.5,2.9,0,14.7,204.7,312.5,9.8,4.9,3.9,1,10.8
32003003717,32,003,003717,136.7,334.1,14.2,1,1,5.1,153.2,315.8,3,4,7.1,0,5.1
32003003718,32,003,003718,195.3,540.5,17.5,2.1,0,15.3,208.3,520.5,11.2,4.1,2.1,4,14.2
32003003719,32,003,003719,554.2,522.4,38.6,8.1,2,28.4,543.1,513.3,18.2,12.2,12.1,7.1,30.6
32003003720,32,003,003720,312,224,14,1,2,22,306,201,13,5,8,2,30
32003003721,32,003,003721,375.5,431.5,27.1,3,2,23.1,378.5,394.3,17,17.1,8,5,34.2
32003003722,32,003,003722,304,246,19,2,1,14,306,221,11,5,6,7,21
32003003723,32,003,003723,259.9,341.9,21,2,1,12,266.9,314.9,6,7,6,3,24
32003003724,32,003,003724,444,348,32,5,2,19,427,339,11,19,5,5,25
32003003725,32,003,003725,2,6,1,0,0,0,3,5,0,1,0,0,0
32003003726,32,003,003726,624,528,41,3,2,36,621,489,19,13,9,18,49
32003003727,32,003,003727,510,667,25,3,1,28,497,651,9,6,9,4,30
32003003728,32,003,003728,556.2,698.3,18.5,4.1,1,26.3,578.5,635.5,11.8,6.8,6.1,4.5,43.5
32003003729,32,003,003729,353,377,24,2,0,17,336,368,7,5,7,5,36
32003003730,32,003,003730,564,577,54,10,2,25,556,538,19,23,15,11,49
32003003731,32,003,003731,1.9,3.7,0,0,0,0.9,2.8,2.8,0,0,0,0,0.9
32003003732,32,003,003732,376,223.8,30,2,0,8.4,364,207.9,11,13,4,6,28.1
32003003733,32,003,003733,421,362,25,6,3,25,415,322,16,12,11,11,40
32003003734,32,003,003734,516.4,592.1,34.2,2,0,28.2,460.1,611.4,14,6,8.1,2,41.1
32003003735,32,003,003735,1.2,1.3,0.1,0,0,0.1,1.1,1.2,0,0,0,0,0.1
32003003736,32,003,003736,4.2,22.5,0,0,0,1.7,4.2,23.4,0,0,0,0,0
32003003737,32,003,003737,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003738,32,003,003738,111,96,5,0,0,5,107,90,2,0,2,1,12
32003003739,32,003,003739,445,403,20,3,0,15,424,416,4,1,6,1,25
32003003740,32,003,003740,245,268.5,7.2,0.1,0,10,217.4,282.2,2.6,0.2,0.9,0.9,13.4
32003003741,32,003,003741,216.9,273.2,12.6,4.8,1.6,12.6,216.6,255.1,6.9,10.1,3.9,2.6,20.3
32003003742,32,003,003742,505.9,259.7,27.2,6.2,4.4,7.1,490.2,228.1,14,16.7,7,4.4,33.4
32003003743,32,003,003743,529.8,458.1,37.6,4.6,3,30.7,520.2,424.3,25.6,12.4,9,11.8,44.5
32003003744,32,003,003744,0,2,1,0,0,0,0,2,1,0,0,0,0
32003003745,32,003,003745,0.2,0.5,0,0,0,0,0.2,0.5,0,0,0,0,0
32003003746,32,003,003746,521.4,665.4,38,2,1,20,496.3,670.4,13,5,8,3,34
32003003747,32,003,003747,394,325,21,2,1,12,387,305,12,11,4,4,20
32003003748,32,003,003748,498,479,22,2,2,22,497,449,8,10,5,3,27
32003003749,32,003,003749,585,493,20,14,1,31,562,463,22,20,8,5,43
32003003750,32,003,003750,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003751,32,003,003751,420,139,25,1,3,18,397,128,21,8,3,4,33
32003003752,32,003,003752,571,208,31,2,5,17,534,182,18,20,11,10,48
32003003753,32,003,003753,2,0,0,0,0,0,2,0,0,0,0,0,0
32003003754,32,003,003754,838,421,41,10,0,31,795,419,16,19,4,11,60
32003003755,32,003,003755,398,259,33,2,2,16,405,239,9,7,6,4,32
32003003756,32,003,003756,123.8,303.5,14,4,1,11,121.8,305.5,7,0,5,3,11
32003003757,32,003,003757,207.2,447.6,15.7,3.9,1,20.6,225.6,435.9,9.8,3.9,4.9,1,8.9
32003003758,32,003,003758,273.6,610.3,32.9,2,0,21,266.6,618.2,8,8,10,0,20
32003003759,32,003,003759,497.2,608.3,31.8,7.9,2,25.8,490.2,598.4,14.9,12.9,10.9,4,29.8
32003003760,32,003,003760,587.4,413.6,44.1,6,1,29,553.3,406.6,17,15,14,10,43.1
32003003761,32,003,003761,418,275,14,4,3,16,409,249,10,9,4,2,28
32003003762,32,003,003762,427,276,35,5,2,21,424,253,9,15,8,8,36
32003003763,32,003,003763,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003764,32,003,003764,645,366,35,2,2,25,632,329,19,6,12,5,53
32003003765,32,003,003765,680,405,30,9,1,25,660,361,18,20,9,8,51
32003003766,32,003,003766,260.5,316.2,11.1,2,1,18,255.5,301.2,12,7,7,2,19
32003003767,32,003,003767,4,29.9,0,0,0,1,5,28.9,0,1,0,0,0
32003003768,32,003,003768,424,329.1,21,0,3,14,397,318.1,11,8,9,2,33
32003003769,32,003,003769,404,347,22,4,2,19,390,319,13,12,6,3,41
32003003770,32,003,003770,528,310,34,6,4,16,503,280,21,14,11,9,52
32003003771,32,003,003771,356,265,17,2,0,18,348,237,10,10,6,7,29
32003003772,32,003,003772,502.8,324.9,20,3,1,21,490.8,280.9,13,13,12,10,44
32003003773,32,003,003773,435.9,318.9,27,4,2,5,422.9,275.9,19,11,10,5,31
32003003774,32,003,003774,361,347,27,5,2,33,377,301,21,16,5,6,32
32003003775,32,003,003775,296,241,11,4,0,12,281,200,10,16,9,6,25
32003003776,32,003,003776,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003777,32,003,003777,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0
32003003778,32,003,003778,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003779,32,003,003779,0,0.8,0,0,0,0,0,0.8,0,0,0,0,0
32003003780,32,003,003780,554.8,606.4,28.3,3.1,2,44.4,545.4,584.1,13.2,13.1,10.1,9,45.1
32003003782,32,003,003782,185.3,193.2,21,2,1,13,192.3,179.2,6,8,3,3,13
32003003783,32,003,003783,510,256,39,1,0,24,494,233,18,16,8,7,40
