GEOID,G18USSDHIR,G18USSRCUR,G18GOVDIGE,G18GOVRTUP,G18GOVGBRE,G18GOVITER
150010206002015,0,0,0,0,0,0
150010206004010,0,0,0,0,0,0
150010206002103,1.1,0.2,0.8,0.6,0,0
150010206002075,0,0,0,0,0,0
150010206004059,0,0,0,0,0,0
150010206002155,0.4,0.1,0.3,0.1,0,0
150010207021007,25.4,5.2,23.4,6.6,0.3,0.3
150010207021010,28.4,5.9,26.3,7.5,0.3,0.3
150010207022001,47.9,12.4,42.4,16.4,1.1,0.7
150010209001008,17.2,4.3,14.9,6,0.4,0.2
150010209003013,11.6,2.9,10,4,0.3,0.1
150010203003031,0.9,0.2,0.8,0.2,0,0
150010203002016,0,0,0,0,0,0
150010203002029,0,0,0,0,0,0
150010202021145,0,0,0,0,0,0
150010207011007,51.6,13.4,45.7,17.7,1.2,0.8
150010207023006,70.6,18.3,62.4,24.2,1.6,1.1
150010207013005,104.8,27.1,92.7,36,2.4,1.6
150010207011012,20.8,5.4,18.4,7.1,0.5,0.3
150010207011017,7.1,1.8,6.2,2.4,0.2,0.1
150010206004023,0,0,0,0,0,0
150010206004038,0,0,0,0,0,0
150010202021013,0,0,0,0,0,0
150010202021212,0,0,0,0,0,0
150010202022028,0,0,0,0,0,0
150010202022018,0,0,0,0,0,0
150010202022046,1.7,0.4,1.5,0.5,0.1,0
150010206002065,0,0,0,0,0,0
150010204002009,0,0,0,0,0,0
150010206001055,0,0,0,0,0,0
150010208024012,25.4,6.8,23.4,7.8,0.8,0.3
150010205005008,18.6,4.5,16.8,5.2,0.8,0.3
150010207012000,20.8,5.4,18.4,7.1,0.5,0.3
150010204001026,0,0,0,0,0,0
150010204004000,9.2,2.2,8.3,2.6,0.4,0.1
150010202022000,0,0,0,0,0,0
150010202021236,4.5,1.1,3.9,1.6,0.1,0.1
150010208011010,9.7,3.2,8.1,4.5,0.3,0.1
150010206004003,0,0,0,0,0,0
150010206002158,0,0,0,0,0,0
150010206004007,0,0,0,0,0,0
150010206002108,0,0,0,0,0,0
150010206002131,0,0,0,0,0,0
150010206002095,0,0,0,0,0,0
150010206002050,0,0,0,0,0,0
