GEOID,G16PREDCli,G16PRERTru,G16PREGSte,G16PRELJoh,G16PRECCas,G16USSDSch,G16USSRCar,G16USSAGiu,G16USSLKok,G16USSCAll
150010202021212,0,0,0,0,0,0,0,0,0,0
150010202022028,0,0,0,0,0,0,0,0,0,0
150010202022018,0,0,0,0,0,0,0,0,0,0
150010202022046,1.7,0.5,0.1,0.1,0,1.8,0.4,0,0,0.1
150010206002065,0,0,0,0,0,0,0,0,0,0
150010204002009,0,0,0,0,0,0,0,0,0,0
150010206001055,0,0,0,0,0,0,0,0,0,0
150010208024012,24.1,8,1.3,1.4,0.4,27.7,5.2,0.2,0.7,0.6
150010205005008,18.6,5.5,1.2,0.8,0.3,20.5,3.7,0.2,0.5,0.8
150010207012000,19.9,6.5,0.7,1.2,0.4,23.5,4,0,0.3,0.4
150010204001026,0,0,0,0,0,0,0,0,0,0
150010204004000,9.1,2.7,0.6,0.4,0.2,10.1,1.8,0.1,0.2,0.4
150010202022000,0,0,0,0,0,0,0,0,0,0
150010202021236,4.2,1.5,0.2,0.2,0.1,5,0.9,0,0.1,0.1
150010208011010,9,3.6,0.5,0.6,0.2,10.9,2.1,0.1,0.2,0.3
150010206004003,0,0,0,0,0,0,0,0,0,0
150010206002158,0,0,0,0,0,0,0,0,0,0
150010206004007,0,0,0,0,0,0,0,0,0,0
150010206002108,0,0,0,0,0,0,0,0,0,0
150010206002131,0,0,0,0,0,0,0,0,0,0
150010206002095,0,0,0,0,0,0,0,0,0,0
150010206002050,0,0,0,0,0,0,0,0,0,0
150010206002122,0,0,0,0,0,0,0,0,0,0
150010202021026,0.2,0.1,0,0,0,0.3,0.1,0,0,0
150010202021032,0,0,0,0,0,0,0,0,0,0
150010219021206,0,0,0,0,0,0,0,0,0,0
150010219021178,0,0,0,0,0,0,0,0,0,0
150010219021057,0,0,0,0,0,0,0,0,0,0
150010219021123,0.6,0.2,0,0,0,0.7,0.1,0,0,0
150010219021355,0,0,0,0,0,0,0,0,0,0
150010219021356,0,0,0,0,0,0,0,0,0,0
150010219021361,0,0,0,0,0,0,0,0,0,0
150010219021231,0,0,0,0,0,0,0,0,0,0
150010219021241,0,0,0,0,0,0,0,0,0,0
150010219021252,0,0,0,0,0,0,0,0,0,0
150010219021233,0,0,0,0,0,0,0,0,0,0
150010212021242,0,0,0,0,0,0,0,0,0,0
150010212021374,0,0,0,0,0,0,0,0,0,0
150010212021132,0,0,0,0,0,0,0,0,0,0
150010212021034,0,0,0,0,0,0,0,0,0,0
150010212021018,0,0,0,0,0,0,0,0,0,0
150010212021403,0,0,0,0,0,0,0,0,0,0
150010212021032,0,0,0,0,0,0,0,0,0,0
150010212022624,0,0,0,0,0,0,0,0,0,0
150010212022461,2.5,1.8,0.3,0.1,0,2.8,1.3,0,0.2,0.2
150010212022651,0,0,0,0,0,0,0,0,0,0
150010212022503,0.5,0.4,0.1,0,0,0.6,0.3,0,0,0
150010212022502,1.4,1,0.2,0.1,0,1.6,0.8,0,0.1,0.1
150010212022492,1.6,1.2,0.2,0.1,0,1.8,0.9,0,0.1,0.1
150010212022683,0.5,0.4,0.1,0,0,0.6,0.3,0,0,0
150010212022501,1.1,0.8,0.1,0.1,0,1.2,0.6,0,0.1,0.1
150010212022699,0.7,0.5,0.1,0,0,0.8,0.4,0,0.1,0.1
150010212022616,0.7,0.5,0.1,0,0,0.8,0.4,0,0.1,0.1
150010212022637,0.5,0.4,0.1,0,0,0.6,0.3,0,0,0
150010212022653,0.4,0.3,0,0,0,0.4,0.2,0,0,0
150010212022625,0.7,0.5,0.1,0,0,0.8,0.4,0,0.1,0.1
150010212022468,1.2,0.9,0.1,0.1,0,1.4,0.7,0,0.1,0.1
150010212021168,0,0,0,0,0,0,0,0,0,0
150010212023051,0,0,0,0,0,0,0,0,0,0
150010212021384,0,0,0,0,0,0,0,0,0,0
150010212022424,0,0,0,0,0,0,0,0,0,0
150010212021081,0,0,0,0,0,0,0,0,0,0
150010212022613,0.2,0.1,0,0,0,0.2,0.1,0,0,0
150010212022610,0,0,0,0,0,0,0,0,0,0
150010212022452,0,0,0,0,0,0,0,0,0,0
150010212022607,0,0,0,0,0,0,0,0,0,0
150010212022650,0.9,0.7,0.1,0.1,0,1,0.5,0,0.1,0.1
150010212024043,0,0,0,0,0,0,0,0,0,0
150010212023012,0,0,0,0,0,0,0,0,0,0
150010212023016,0,0,0,0,0,0,0,0,0,0
150010212021014,0,0,0,0,0,0,0,0,0,0
150010212022156,0,0,0,0,0,0,0,0,0,0
150010212022157,0,0,0,0,0,0,0,0,0,0
150010212023008,0.4,0.3,0,0,0,0.4,0.2,0,0,0
150010210111086,0,0,0,0,0,0,0,0,0,0
150010210111084,0,0,0,0,0,0,0,0,0,0
150010210111076,0,0,0,0,0,0,0,0,0,0
150010210131189,0,0,0,0,0,0,0,0,0,0
150010210111019,0,0,0,0,0,0,0,0,0,0
150010210111035,0,0,0,0,0,0,0,0,0,0
150010210111023,0,0,0,0,0,0,0,0,0,0
150010210111036,1.7,0.8,0.2,0.1,0.1,1.9,0.5,0,0.1,0.1
150010210111090,1.7,0.8,0.2,0.1,0.1,1.9,0.5,0,0.1,0.1
150010210111003,0.7,0.3,0.1,0,0,0.8,0.2,0,0,0
150010210112028,16.5,7.7,1.6,1.1,0.5,19.3,5.2,0.2,0.7,1
150010210111042,1.9,0.9,0.2,0.1,0.1,2.2,0.6,0,0.1,0.1
150010210111095,0,0,0,0,0,0,0,0,0,0
150010210101019,0,0,0,0,0,0,0,0,0,0
150010210102042,16.7,6.4,1.4,1.2,0.4,19,4.6,0.1,0.6,0.7
150010210103034,2.7,1,0.2,0.2,0.1,3,0.7,0,0.1,0.1
150010210103033,1.6,0.6,0.1,0.1,0,1.8,0.4,0,0.1,0.1
150010210102071,1.2,0.5,0.1,0.1,0,1.4,0.4,0,0.1,0.1
150010221021162,0,0,0,0,0,0,0,0,0,0
150010221021213,0,0,0,0,0,0,0,0,0,0
150010221021385,0,0,0,0,0,0,0,0,0,0
150010221021387,0,0,0,0,0,0,0,0,0,0
150010221021422,0,0,0,0,0,0,0,0,0,0
150010221021012,0,0,0,0,0,0,0,0,0,0
150010221021365,0,0,0,0,0,0,0,0,0,0
150010221021518,0,0,0,0,0,0,0,0,0,0
150010221021318,0,0,0,0,0,0,0,0,0,0
150010218001026,6.5,2.3,0.5,0.4,0.1,7.2,1.8,0,0.2,0.2
150010218002035,0,0,0,0,0,0,0,0,0,0
150010218002034,0,0,0,0,0,0,0,0,0,0
150010215072000,5,3.1,0.4,0.3,0.1,5.7,2.3,0.1,0.2,0.3
150010215042010,0,0,0,0,0,0,0,0,0,0
150010215042017,0,0,0,0,0,0,0,0,0,0
150010215071148,0,0,0,0,0,0,0,0,0,0
150010215071055,0,0,0,0,0,0,0,0,0,0
150010215042053,0,0,0,0,0,0,0,0,0,0
150010215042002,0,0,0,0,0,0,0,0,0,0
150010216042000,0,0,0,0,0,0,0,0,0,0
150010215092016,5.6,4.1,0.3,0.4,0.1,6,3.6,0,0.2,0.3
150010216014000,0,0,0,0,0,0,0,0,0,0
150010220001557,0,0,0,0,0,0,0,0,0,0
150010220001253,0,0,0,0,0,0,0,0,0,0
150010220001053,0,0,0,0,0,0,0,0,0,0
150010220001292,0,0,0,0,0,0,0,0,0,0
150010220001013,0,0,0,0,0,0,0,0,0,0
