GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREABLA,G20PREOCAR,G20PREIWES,G20PREICOL,G20PREIPIE,G20USSRHYD,G20USSDESP,G20USSLEDW
28019000004,28,019,000004,48.15,249.67,1.02,0,1.01,1,2,1,0,49.95,248.81,5.09
28019000005,28,019,000005,205,72,1,0,0,0,0,0,0,187,81,5
28019000006,28,019,000006,180.82,83.53,0.98,0,0.98,0,0,0,0,172.96,89.43,3.93
28019000007,28,019,000007,271,53,3,0,1,0,0,0,0,256,61,7
28019000008,28,019,000008,236.17,7.82,0,0,0,0,0.94,0.01,0,211.65,22.92,5.66
28019000009,28,019,000009,191,64,1,0,0,0,0,0,0,186,71,0
28019000010,28,019,000010,164.98,57.2,1,0,0,0,0.06,1.99,0,153.5,67.09,2.34
28019000011,28,019,000011,189.08,31.42,0,0,0,0,1.02,0,0,175.98,36.49,6.05
28019000012,28,019,000012,303,13,4,0,0,0,0,0,0,291,20,10
28019000013,28,019,000013,205,89,0,1,0,0,0,0,1,194,98,2
28021000101,28,021,000101,80.41,560.49,1.98,1.95,0.99,2,2.99,0.97,0.99,77.24,579.45,1.03
28021000102,28,021,000102,0,0,0,0,0,0,0,0,0,0,0,0
28021000103,28,021,000103,7,320,0,0,0,0,4,0,0,3,326,4
28021000201,28,021,000201,118.74,576.27,1.95,0.05,0.97,2.89,4.86,2.03,0.97,102.4,611.39,3.87
28021000301,28,021,000301,148.93,690.61,2.99,1.99,1,1.19,4.18,1.99,1.09,137.1,713.6,8.26
28021000302,28,021,000302,25.31,19.17,0.07,0.01,0,0.02,0.01,0.02,0,24.09,20.35,0.15
28021000401,28,021,000401,68.39,29.31,0,0,0,0,0,0.98,0,68.39,27.36,1.95
28021000402,28,021,000402,75.27,683.24,0,3,2,1.81,2.81,0.02,1.9,68.13,706.14,4.76
28021000403,28,021,000403,0.06,0.27,0,0,0,0,0,0,0,0.06,0.28,0
28021000501,28,021,000501,23,487,1,1,0,2,2,0,0,19,497,0
28021000502,28,021,000502,60,394,3,2,2,0,2,1,1,60,413,2
28023000101,28,023,000101,276.9,444.84,3,4,3,0,3,1,0,270.9,462.83,8
28023000102,28,023,000102,111.1,136.16,0,0,0,1,0,0,0,108.1,140.17,2
28023000103,28,023,000103,93,47,2,0,0,0,0,0,0,88,52,3
28023000104,28,023,000104,90.4,239.77,0.98,0.98,0.98,0,1.97,0.98,0,86.47,245.66,4.91
28023000105,28,023,000105,19,35,0,0,0,1,0,0,0,16,39,0
28023000202,28,023,000202,94.25,197.34,3.01,2,0.01,0,2,0,1,93.08,204.44,2.09
28023000204,28,023,000204,30.64,200.87,0.85,0,0,0,1.7,0,0,30.64,205.12,0.85
28023000205,28,023,000205,92.43,449.02,1.12,1,1,0,1.25,1,1,82.43,461.64,7.12
28023000206,28,023,000206,64,143,0,2,0,0,0,0,0,60,150,1
28023000301,28,023,000301,1024.09,221.3,5.04,2,1,3,1,0,0,976.07,253.79,18.53
28023000303,28,023,000303,351.6,88.23,0.02,0.02,0.02,0,3.03,1.02,0,331.53,102.34,10.09
28023000304,28,023,000304,186.93,112.11,1.03,0,0,0,0.05,0,0,174.93,122.24,5.03
28023000305,28,023,000305,174.75,26.66,0.99,0,0.99,0,0,0,0,161.92,34.56,6.91
28023000401,28,023,000401,591.91,30.7,0.96,0,0,0,0,0,0,567.93,42.21,12.47
28023000402,28,023,000402,172.47,13.97,0.08,0,0,0,0.08,0.08,0,164.62,18.67,1.54
28023000403,28,023,000403,164,3,1,0,0,0,0,0,0,160,7,0
28023000404,28,023,000404,72,76,0,0,0,0,1,0,0,70,77,2
28023000405,28,023,000405,260.11,72.05,1.01,0.04,0,0,0.99,0.9,0.02,249.08,81.06,6.86
28023000406,28,023,000406,194,24,0,0,0,0,0,1,0,186,29,1
28023000501,28,023,000501,105,5,1,0,0,0,0,0,0,107,4,0
28023000502,28,023,000502,66,75,1,0,0,0,0,0,0,63,75,3
28023000503,28,023,000503,1019.41,126.98,4.91,1.96,0,0,3.94,0.02,0.98,968.3,168.27,25.59
28023000504,28,023,000504,163,70,0,0,0,0,0,0,0,153,77,3
28025000101,28,025,000101,237.64,294.55,3.11,0.01,1,0,1.05,0.02,1,229.04,310.05,4.24
28025000102,28,025,000102,552,788,2,2,3,0,8,0,0,531,833,6
28025000201,28,025,000201,265.35,292.18,0.99,0.99,0.99,0,0.99,0,1.99,252.43,307.09,5.96
28025000202,28,025,000202,126,192,2,0,2,0,1,0,0,113,206,6
28025000203,28,025,000203,860,556,9,2,3,4,4,2,1,846,593,11
28025000301,28,025,000301,520,310,4,0,4,6,3,2,0,506,338,12
28025000302,28,025,000302,340,522,7,2,0,0,4,3,0,327,541,18
28025000303,28,025,000303,185,149,2,0,1,0,0,0,0,176,159,6
28025000401,28,025,000401,103,556,2,1,1,1,2,2,0,102,568,5
28025000403,28,025,000403,278,921,5,2,6,1,5,4,0,262,973,6
28025000501,28,025,000501,271,747,6,1,3,0,4,2,2,252,781,14
28025000502,28,025,000502,159,17,1,1,0,0,0,0,0,145,27,7
28025000503,28,025,000503,217,235,3,0,1,1,0,1,2,208,250,6
28025000504,28,025,000504,75,267,1,0,1,4,2,1,0,64,288,2
28027000001,28,027,000001,137.68,144.69,0.1,0,0,0,0,1.1,0,125.94,153.21,2
28027000002,28,027,000002,36.26,180.29,1.04,0,0.04,0.04,0.11,0.9,0,28.81,186.02,0.14
28027000003,28,027,000003,42.38,438.34,3,1.01,1,2,4.01,0,1,35.29,459.46,0.01
28027000004,28,027,000004,16,542,0,2,2,0,4,0,1,11,557,0
28027000005,28,027,000005,593.07,324.02,3.86,0,0.96,0.96,2.89,0,0,561.25,357.77,3.86
28027000006,28,027,000006,35.62,124.66,0,0.99,0,0,0.99,0,0,26.71,135.54,0.99
28027000008,28,027,000008,532.71,733.06,3,0.09,1.14,1,5.38,0.09,0,495.06,780.13,3.66
28027000009,28,027,000009,69.93,373.63,0,1,0,1,1,0,0,57.94,382.62,3
28027000010,28,027,000010,171.08,27.41,0,0,0,0,0,0,0,157.85,40.64,0.95
28027000011,28,027,000011,173.83,959.34,0,1.88,2.82,0,7.52,1.88,0,140.94,1000.68,13.15
28027000012,28,027,000012,50.87,94.15,0,0,1,0,2,0,0,47.89,98.13,2.05
28027000013,28,027,000013,22.05,35.44,0,0,0,0,0,0,0,21.26,36.23,0
28027000014,28,027,000014,81.69,954.33,1.05,1.88,0.94,4.67,6.57,0.01,0,52.39,999.78,6.59
28027000015,28,027,000015,77.03,63.18,0.88,0,0,0,0,0,0,68.17,73.8,0
28027000016,28,027,000016,34,21,0,0,0,0,0,0,0,33,22,0
28027000017,28,027,000017,26.01,494.48,3.07,2.13,0.07,0.33,2.46,0,0,11.03,518.58,3.46
28027000018,28,027,000018,215.81,411.97,2,2.02,1.03,4,1.08,2.02,0,203.47,429.4,5.14
28027000019,28,027,000019,59,98,2,1,0,0,1,0,0,55,106,1
28029000101,28,029,000101,681.24,772.13,7.99,2,3,4,3,1,3,655.26,800.1,14.98
28029000103,28,029,000103,89.21,157.83,0,0.98,1.96,1.96,0.98,0.98,0,84.31,166.66,2.94
28029000104,28,029,000104,72.24,922.38,4,1,2,0,7,2,0,43.22,978.4,4.01
28029000201,28,029,000201,223.89,135.48,0.02,0,0,0.96,0.01,0.96,0,217.09,139.38,2.89
28029000202,28,029,000202,388.99,29.93,1.98,0,0,0,0.99,0,0,378.07,37.87,1.99
28029000203,28,029,000203,538,93,6,0,1,1,4,1,0,526,101,10
28029000204,28,029,000204,440,145,2,1,0,0,1,1,1,428,155,7
28029000205,28,029,000205,327,103,5,0,1,0,0,1,0,330,106,4
28029000206,28,029,000206,116.15,185.98,1,0,0,2,2,1,0,107.16,196.97,2.99
28029000301,28,029,000301,246.45,231.22,1,0.01,0.01,0,1.03,0.02,0,242.44,242.3,0.04
28029000302,28,029,000302,523.21,313.33,3.98,0.99,0,0,0.99,1.99,0,517.25,321.29,5.97
28029000303,28,029,000303,199.71,839.95,1.03,2,2.99,1,7.97,3.99,0,194.67,862.93,9.01
28029000304,28,029,000304,34,121,0,0,0,0,1,0,0,29,125,2
28029000401,28,029,000401,52,123,0,0,1,0,1,0,0,51,126,0
28029000402,28,029,000402,154,62,0,0,1,0,1,0,0,151,62,4
28029000403,28,029,000403,430,967,4,0,0,2,2,3,0,425,983,6
28029000404,28,029,000404,89,248,1,0,0,0,0,0,0,82,254,4
28029000501,28,029,000501,1102.84,673.2,13,1,1,1,3,2,0,1075.81,699.22,26.02
28029000502,28,029,000502,532,338,6,2,0,1,3,0,0,515,364,10
28031000001,28,031,000001,1471.47,201.82,3.99,1,2,0,1,2,0,1415.56,248.74,14.98
28031000002,28,031,000002,102.3,31.32,0.01,0,0,0,1,0,0,99.21,35.39,0.02
28031000004,28,031,000004,732.7,49.3,5.8,0,0,0,1.93,0,0,704.67,66.7,12.57
28031000005,28,031,000005,748.3,76.7,3.2,0,0,0,1.07,1,1,707.33,93.3,26.43
28031000006,28,031,000006,315,44,3,0,0,0,0,0,0,302,56,10
28031000007,28,031,000007,728.12,708.17,2.99,1.99,4.98,1,4.98,1,1,708.18,729.1,19.91
28031000008,28,031,000008,228,52,1,0,0,0,1,0,0,218,54,6
28031000009,28,031,000009,90.09,287.02,1,0,1,0,2.04,1,0,88,298.24,4
28031000010,28,031,000010,173.91,64.98,0,0,0,0,0.96,0,0,172,69.76,0
28031000011,28,031,000011,512,566,5,0,1,1,3,1,0,472,598,15
28031000012,28,031,000012,121,17,0,0,0,0,0,0,0,117,19,1
28031000013,28,031,000013,243.46,510.72,3.16,0,2.06,1.99,7.81,0.96,0,236.84,525.8,10.09
28031000014,28,031,000014,170,7,0,0,0,0,0,0,0,165,10,3
28031000015,28,031,000015,86.31,479.81,3.71,0,1.86,0.93,1.86,0,0,75.17,501.15,6.5
28031000016,28,031,000016,131.35,320.17,0.14,0.01,0.11,0.09,0.35,0.05,0,123.03,331.83,1.5
28033000101,28,033,000101,966.12,319.67,6.37,1.05,2.05,1.08,7.13,1.05,3.03,918.21,369.3,21.18
28033000102,28,033,000102,409,64,3,1,1,1,1,2,0,384,88,11
28033000103,28,033,000103,1229.88,693.33,13.63,1.95,1.95,2.92,4.87,1.95,0.97,1158.79,753.7,43.82
28033000104,28,033,000104,905,837,16,2,1,1,5,2,1,850,888,28
28033000105,28,033,000105,1796,793,33,5,0,3,2,6,7,1644,922,73
28033000106,28,033,000106,1071.89,952.39,13.43,2.08,2.02,4.04,3.04,1,2.04,997.52,1009.59,32.88
28033000107,28,033,000107,1031,757,22,1,1,2,6,3,1,916,853,59
28033000108,28,033,000108,566.76,379.59,9.16,1.01,0.04,1.02,5.04,4.99,3,532.04,423.04,12.51
28033000109,28,033,000109,668.11,980.61,20.57,3.92,0.98,1.96,1.96,0,1.96,602.48,1038.41,42.12
28033000110,28,033,000110,756,775,18,3,1,1,6,0,2,704,830,29
28033000201,28,033,000201,1354.35,1141.65,20.95,2.04,3,4.11,7.07,2.11,5,1290.28,1209.21,38.61
28033000202,28,033,000202,1057.67,1505.46,28.12,4.91,4.87,1.12,7.88,5.06,3.21,960.85,1603.62,52.19
28033000203,28,033,000203,1134,674,22,3,1,4,9,3,7,1021,773,58
28033000204,28,033,000204,1683.12,1173.67,26.91,1.92,0.96,3.84,3.84,5.77,7.69,1557.2,1285.17,73.05
28033000205,28,033,000205,1597.86,885.23,26.01,1.14,0.17,2.92,2.2,3.06,0.1,1513.67,956,44.14
28033000206,28,033,000206,2033.28,945.76,19.83,0.99,4.96,1.98,5.95,0,0.99,1943.07,1005.24,61.46
28033000207,28,033,000207,1091.04,875.18,20.3,3.04,1.03,1,4.19,1.1,4.04,1025.91,942.45,35.54
28033000301,28,033,000301,552,275,18,3,5,0,5,0,1,495,331,28
28033000302,28,033,000302,713.61,968.78,12.19,2.03,3.01,3.02,10.11,4,7.13,646.92,1050.62,27.36
28033000303,28,033,000303,639,847,18,4,2,2,5,2,8,568,907,47
28033000304,28,033,000304,457,664,6,2,3,1,9,2,2,369,738,37
28033000305,28,033,000305,958.39,883.22,16.81,2.97,0.99,1.98,9.89,0,11.87,896.08,959.38,32.64
28033000306,28,033,000306,375.02,160.94,2.21,0.03,0.03,0,1.16,0.03,0.03,352.09,174.08,13.32
28033000307,28,033,000307,489,860,12,4,1,1,4,5,4,433,924,23
28033000401,28,033,000401,196,585,14,4,1,1,3,4,3,165,623,18
28033000402,28,033,000402,388,711,9,0,1,2,3,2,3,338,756,20
28033000403,28,033,000403,1117.05,652.03,19.12,0.02,2.02,2,6.05,0.02,2.01,1066.21,702.75,34.41
28033000404,28,033,000404,930.96,1083.82,21.7,2.96,1.97,0,13.81,6.9,2.96,850.09,1174.55,38.46
28033000405,28,033,000405,984.66,354.96,9.91,1,0.95,0.06,6.73,0.98,0.94,922.64,410.08,29.42
28033000406,28,033,000406,1083,234,17,3,2,1,5,0,4,991,306,47
28033000408,28,033,000408,573.43,653.79,9.92,2.98,1.98,0,3.97,1.98,0.99,516.88,716.29,21.83
28033000501,28,033,000501,1741.79,921.89,27.73,4.95,0.99,1.98,2.97,1.98,1.98,1614.06,1017.94,68.33
28033000502,28,033,000502,1322.3,761.59,24.61,2.06,1.05,3.03,6.09,4.05,1.04,1255.99,829.76,42.95
28033000503,28,033,000503,1648.75,408.26,19.63,0.98,1.96,0.98,3.93,1.96,0.98,1534.91,478.92,70.66
28033000505,28,033,000505,2367.96,916.65,18.02,4,0,6,13.01,5.01,1.01,2241.9,1032.72,59.02
28033000506,28,033,000506,3330,767,42,4,2,5,2,1,5,3098,932,118
28033000507,28,033,000507,2497.01,786.64,35.84,3.98,1.02,3.94,12.07,2.99,0.03,2354.79,903.96,89.78
28033000508,28,033,000508,1144,197,9,2,2,1,2,0,1,1085,232,35
28033000509,28,033,000509,1002,125,8,0,2,1,1,2,1,949,147,41
28033000510,28,033,000510,1902,538,22,2,0,4,6,2,4,1745,639,85
28033000511,28,033,000511,689,153,10,1,3,0,2,2,2,655,175,25
28035000101,28,035,000101,716,233,9,1,0,0,0,1,0,692,255,18
28035000102,28,035,000102,215.66,757.84,15.03,5.16,2.11,1.17,4.39,0.01,1.06,180.9,807.96,18.53
28035000103,28,035,000103,407.4,611.98,15.89,0.94,0,1.88,4.68,0.93,0.94,359.77,654.04,36.41
28035000104,28,035,000104,329.18,472.82,13.97,2,2,5.99,5.99,0,1,302.24,511.72,17.96
28035000107,28,035,000107,1109.22,146.24,9.95,1.99,1.99,0,0.99,0,0.99,1027.64,195.98,40.79
28035000108,28,035,000108,126.98,190.98,4.2,0.94,0,0.57,2.95,0.94,0.5,115.7,202.73,10.91
28035000109,28,035,000109,515.78,36.76,2.05,0.01,0.01,0,0.01,1,1.01,487.36,58.02,9.21
28035000110,28,035,000110,360.32,196.72,6.03,0,0,1.01,3.01,0,0,353.26,201.78,12.05
28035000201,28,035,000201,472,447,13,2,2,0,4,2,2,454,473,13
28035000202,28,035,000202,561,197,5,0,0,0,0,0,0,538,215,10
28035000203,28,035,000203,273.26,697.35,1.96,0,0.98,0.98,3.92,0.98,0,244.86,726.73,10.77
28035000204,28,035,000204,40.44,240.33,1.56,2.33,0.78,0.78,0,0,0,31.89,252.78,5.44
28035000205,28,035,000205,47,603,3,2,1,0,5,1,1,39,618,5
28035000206,28,035,000206,14,382,1,0,1,0,3,0,0,8,388,3
28035000207,28,035,000207,357,267,8,3,0,2,1,0,0,336,283,17
28035000301,28,035,000301,1784,375,13,2,3,1,3,1,0,1680,421,68
28035000302,28,035,000302,1182.85,190.84,9.1,1.39,0,0.13,1.52,0.26,0,1121.03,228.11,30.56
28035000303,28,035,000303,774.15,201.16,20.9,2.61,0,0.87,3.48,1.74,0,707.97,256.89,37.44
28035000304,28,035,000304,2040.6,415.1,38.44,0.06,0.04,1.01,9.11,1.01,1,1934.78,499.53,66.93
28035000305,28,035,000305,997.17,295.84,28.31,3.9,1.98,0.03,4.04,0.97,0,898.73,367.97,56.76
28035000306,28,035,000306,535.68,255.55,1.94,0.02,0.98,0.97,4.85,0.02,0,502.1,289.18,8.74
28035000402,28,035,000402,323,49,4,0,1,0,1,0,0,309,63,6
28035000404,28,035,000404,91.04,1468.81,9.02,4.01,2.01,3.01,10.04,4.01,0,51.96,1542.92,14.07
28035000405,28,035,000405,204.44,621.23,5.95,3.13,1,0.56,6.39,2.13,0.56,183.28,648.51,13.72
28035000406,28,035,000406,14,507,1,1,0,0,3,1,1,6,527,1
28035000408,28,035,000408,369,212,11,1,1,0,3,0,0,323,252,24
28035000409,28,035,000409,223.07,792.36,3.74,2.68,2.22,1.21,6.96,1.98,0,203.54,816.63,15.06
28035000501,28,035,000501,467,30,6,0,0,0,0,1,0,445,47,10
28035000502,28,035,000502,716,28,4,1,2,0,0,0,1,657,67,24
28035000503,28,035,000503,154,39,4,0,0,0,0,0,0,141,49,6
28035000504,28,035,000504,226.53,631.93,7.36,5.06,0.04,0.06,7.13,3,0.02,197.92,672.63,11.53
28035000505,28,035,000505,96.3,788.87,4.02,0,1.02,2.01,4.06,2.01,1,84.76,819.34,6.2
28035000506,28,035,000506,368.25,730.01,17.62,2.78,1.86,2.78,6.49,0,0.93,338.57,764.33,25.97
28035000507,28,035,000507,1177.68,643.28,29.97,2,1,4.99,5.99,1,0,1122.74,695.22,40.95
