GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRWIC,G18USSDBAR,G18USSLBED,G18USSOOHA,R18USSRHYD,R18USSDESP
28033000404,28,033,000404,666.66,648.91,17.75,7.89,472.38,644.97
28033000405,28,033,000405,636.15,236.64,22.36,2.91,514.16,257.45
28033000406,28,033,000406,709,148,26,6,550,166
28033000408,28,033,000408,401.8,391.88,11.91,2.98,319.45,406.76
28033000501,28,033,000501,1173.41,518.87,43.57,8.91,880.3,546.6
28033000502,28,033,000502,812.93,381.26,14.83,4.16,627.07,424.69
28033000503,28,033,000503,1142.35,251.24,22.57,3.93,917.61,263.02
28033000505,28,033,000505,1581.79,504.38,38.01,8,1238.56,539.4
28033000506,28,033,000506,2323,453,68,12,1835,519
28033000507,28,033,000507,1539.09,472.85,57,7.01,1207.41,549.5
28033000508,28,033,000508,744,130,31,5,616,149
28033000509,28,033,000509,555,60,19,4,457,63
28033000510,28,033,000510,1218,283,46,6,929,305
28033000511,28,033,000511,402,82,16,2,330,91
28035000101,28,035,000101,569,156,5,3,505,170
28035000102,28,035,000102,171.44,508.73,10.36,9.5,134.29,594.97
28035000103,28,035,000103,361.53,449.27,19.6,4.68,299.87,479.27
28035000104,28,035,000104,258.35,292.27,7.98,6.98,214.46,354.11
28035000107,28,035,000107,830.67,87.54,26.86,2.98,725.22,110.42
28035000108,28,035,000108,113.66,148.31,6.64,0.34,95.27,151.78
28035000109,28,035,000109,322.33,21.46,14.14,1.02,310.78,27.58
28035000110,28,035,000110,264.14,132.49,15.03,0.01,234.96,161.56
28035000201,28,035,000201,338,310,6,5,306,353
28035000202,28,035,000202,435,141,9,0,377,144
28035000203,28,035,000203,211.56,497.55,10.77,3.92,185.11,559.25
28035000204,28,035,000204,35,167.22,3.89,10.11,21,208.44
28035000205,28,035,000205,40,405,5,13,31,512
28035000206,28,035,000206,18,243,0,2,6,321
28035000207,28,035,000207,267,139,9,1,232,152
28035000301,28,035,000301,1215,215,25,16,1125,263
28035000302,28,035,000302,820.69,121.12,22.49,8.55,721.13,140.61
28035000303,28,035,000303,584.31,128.88,23.51,10.45,519.87,152.39
28035000304,28,035,000304,1382.2,270.22,28.44,6.17,1237.2,287.9
28035000305,28,035,000305,714.4,163.73,22.7,8.88,603.33,181.42
28035000306,28,035,000306,333.75,168.81,9.58,4.09,300.83,207.45
28035000402,28,035,000402,208,31,7,2,202,41
28035000404,28,035,000404,74.77,990.55,8.02,21.13,27.55,1218.2
28035000405,28,035,000405,182.46,423.15,8.77,2,144.39,478.84
28035000406,28,035,000406,18,380,6,8,2,459
28035000408,28,035,000408,208,104,9,6,179,108
28035000409,28,035,000409,165.88,532.46,4.38,26.61,119.08,666.59
28035000501,28,035,000501,305,20,11,2,289,24
28035000502,28,035,000502,455,22,5,4,420,21
28035000503,28,035,000503,103,21,4,4,96,32
28035000504,28,035,000504,171.35,389.01,11.47,9.17,126.63,416.32
28035000505,28,035,000505,80.08,523.95,5.2,4.06,54.64,604.85
28035000506,28,035,000506,261.58,489.77,23.19,8.35,226.33,504.61
28035000507,28,035,000507,1019.86,440.51,22.97,7.99,861.04,501.44
28037000101,28,037,000101,72.94,38.44,0,0,78.85,43.37
28037000102,28,037,000102,102.76,202.41,3.09,5.07,97.62,235.65
28037000103,28,037,000103,43.24,137.59,4.91,3.93,35.38,151.35
28037000201,28,037,000201,81,7,7,0,80,7
28037000202,28,037,000202,148,133,5,3,139,165
28037000203,28,037,000203,234,48,4,2,219,55
28037000301,28,037,000301,23.82,32.27,0,0.77,21.51,37.65
28037000302,28,037,000302,192.58,290.13,10.6,6.1,188.69,352.38
28037000401,28,037,000401,236.75,25.97,5.99,0,226.76,35.96
28037000403,28,037,000403,191,47,3,1,195,49
28037000404,28,037,000404,103,12,2,0,110,20
28037000501,28,037,000501,262,8,8,0,252,13
28037000502,28,037,000502,157.11,21.49,15.4,0.92,167.94,24.35
28037000503,28,037,000503,143,37,4,0,138,43
28039000101,28,039,000101,737,59,16,6,588,50
28039000102,28,039,000102,191,24,5,2,156,29
28039000103,28,039,000103,216,14,4,1,179,9
28039000104,28,039,000104,148,17,4,4,132,19
28039000201,28,039,000201,153.6,21.8,0.99,3.96,122.88,17.84
28039000202,28,039,000202,274,21,5,2,224,23
28039000203,28,039,000203,541.81,44.94,6.97,4.99,439.11,49.91
28039000204,28,039,000204,269,13,1,2,207,15
28039000205,28,039,000205,217.37,13.2,1.03,3.02,176.92,12.22
28039000301,28,039,000301,113,16,2,2,95,18
28039000302,28,039,000302,161.16,12.78,4.97,2.84,131.34,12.07
28039000303,28,039,000303,558.14,132.53,14.26,13.27,454.73,141.84
28039000304,28,039,000304,458.82,54.86,1.99,2.99,400.97,48.87
28039000401,28,039,000401,457.65,70.39,12.02,8.04,357.29,67.35
28039000402,28,039,000402,216.46,51.5,8.21,8.08,169.67,52.48
28039000403,28,039,000403,392.01,30.08,12.61,4.85,283.34,29.11
28039000404,28,039,000404,57,6,2,1,50,10
28039000501,28,039,000501,190.76,147.81,10.99,4.99,133.83,149.81
28039000502,28,039,000502,159,20,2,4,126,17
28039000503,28,039,000503,125.71,16.12,3.06,1.02,104.22,15.12
28039000504,28,039,000504,286.52,78.99,7.89,3.93,243.7,99.38
28039000505,28,039,000505,136,1,1,2,125,3
28041000101,28,041,000101,637.11,77.56,15.01,3.39,511.75,64.24
28041000201,28,041,000201,124.29,147.79,1.67,6.55,98.7,156.5
28041000202,28,041,000202,139.63,194.33,3.27,4.08,113.5,186.98
28041000302,28,041,000302,127,1,2,2,117,0
28041000303,28,041,000303,209,5,0,3,181,6
28041000304,28,041,000304,326,23,8,4,281,18
28041000402,28,041,000402,286.12,26.97,2.05,3.96,224.37,22.96
28041000403,28,041,000403,352,52,4,2,286,35
28041000501,28,041,000501,139.2,6.08,1.1,4.01,119.04,3.02
28041000502,28,041,000502,221.2,9.28,6,6.01,171.16,8.27
28041000503,28,041,000503,70.84,32.93,2.99,1,52.88,31.93
28041000504,28,041,000504,95.81,120.13,5.01,6.01,84.63,126.12
28041000505,28,041,000505,194.8,6.92,8.9,0.99,180.96,1.98
28043000102,28,043,000102,842.71,354.7,16.56,2.92,768.66,410.25
28043000103,28,043,000103,283.91,65.64,4.45,2.08,260.9,83.15
28043000104,28,043,000104,182,62,7,3,177,76
28043000201,28,043,000201,217.56,157.68,2,1,191.61,185.62
28043000202,28,043,000202,328.05,44.01,5.15,1.02,314.85,60.1
28043000203,28,043,000203,385.21,107.44,7.82,0.98,335.41,111.38
28043000301,28,043,000301,262.44,760.38,6.99,4.99,229.51,821.25
28043000304,28,043,000304,74.33,117.66,0.59,1.12,60.34,140.02
28043000401,28,043,000401,126.42,950.1,5.67,11.31,77.29,1039.56
28043000402,28,043,000402,417.64,78.52,4.99,4,380.73,87.63
28043000403,28,043,000403,57.21,92.86,0.44,0.88,46.21,110.47
28043000501,28,043,000501,800.52,275.01,14.35,4.7,751.49,295.57
28043000502,28,043,000502,370,110,3,4,349,122
28045000001,28,045,000001,229,164,7,1,180,139
28045000003,28,045,000003,545.95,142.41,15.98,1,462.07,95.35
28045000005,28,045,000005,178.91,83.03,3.95,0,161.12,62.27
28045000006,28,045,000006,374.93,219.5,4.06,4,320.63,202.34
28045000007,28,045,000007,506,309,8,0,462,224
28045000008,28,045,000008,517,326,7,5,458,285
28045000009,28,045,000009,118,383,0,2,100,353
28045000010,28,045,000010,231,254,4,4,207,211
28045000011,28,045,000011,438.89,189.95,8,0,390.9,142.96
28045000012,28,045,000012,274,99,2,0,245,81
28045000013,28,045,000013,63.39,68.19,1.92,0.96,63.39,53.78
28045000014,28,045,000014,370.48,96.14,5.01,5,323.41,62.1
28045000015,28,045,000015,167.34,51.73,3.07,1.04,143.38,38.16
28045000016,28,045,000016,265.55,45.08,2.94,2.94,234.2,32.34
28045000017,28,045,000017,350.91,49.71,3.49,1.3,289.99,40.38
28045000018,28,045,000018,2076.22,606.97,28.41,3.37,1804.04,529.73
28045000019,28,045,000019,641.63,203.32,14.26,2.9,548.63,188.26
28045000020,28,045,000020,441.13,90.01,5.17,4.84,372.15,71.15
28045000021,28,045,000021,69.77,12.68,1.65,0,60.09,9.85
28045000022,28,045,000022,254.6,30.22,2.75,3.66,230.79,29.31
28045000023,28,045,000023,428.95,63.7,2.99,1.99,376.2,36.82
28045000024,28,045,000024,450.68,47.19,7.72,0.25,373.75,44.71
28045000026,28,045,000026,459.25,47.1,8.83,7.85,435.7,24.53
28045000027,28,045,000027,430.3,50.03,9.8,5.9,379.46,46.91
28045000028,28,045,000028,105.11,60.05,1,0,94.1,47.04
28047000101,28,047,000101,195.57,596.68,4.99,2.99,178.61,668.53
28047000108,28,047,000108,373,195,8,3,314,190
28047000109,28,047,000109,382.33,317.01,18.01,7.01,359.3,326.13
28047000110,28,047,000110,378,263,15,2,322,280
28047000111,28,047,000111,1696.33,803.94,39.16,14.32,1453.85,845.63
28047000112,28,047,000112,497.32,117.22,10.81,2.66,436.11,127.16
28047000113,28,047,000113,198,37,4,0,187,35
28047000115,28,047,000115,423,204,7,3,372,207
28047000201,28,047,000201,552.42,89.91,11.84,3.95,463.65,83.03
28047000202,28,047,000202,1004,245,22,5,890,241
28047000204,28,047,000204,917.93,635.87,13.95,5.98,767.43,663.78
28047000205,28,047,000205,204,75,5,0,188,84
28047000206,28,047,000206,318,200,5,1,278,211
28047000207,28,047,000207,405,194,9,3,356,208
28047000209,28,047,000209,1085,212,15,7,1007,211
28047000210,28,047,000210,1818.34,651.44,42.88,13.02,1570.81,672.49
28047000211,28,047,000211,1250,688,35,8,1019,707
28047000212,28,047,000212,122,13,0,2,113,13
28047000213,28,047,000213,709.19,287.05,13.03,0.05,612.72,310.78
28047000214,28,047,000214,1023,244,12,3,912,265
28047000301,28,047,000301,556.35,407.32,17.03,3,496.15,419.3
