GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRHUT,G18GOVDHEN,G18GOVLWES,G18LTGRGRI,G18LTGDBLA,G18LTGLGIL,G18ATGRRUT,G18ATGDLEE,G18ATGLHIC,G18SOSRTHU,G18SOSDINM,G18SOSLOLS,G18TRERMIL,G18TRELEWA,G18AUDRLEA,G18AUDLDIN,G18LNDRLAN,G18LNDDWIL,G18LNDLCAM
05119000088,05,119,000088,697,613,28,688,589,48,593,695,44,588,714,28,763,471,813,419,588,657,53
05119000089,05,119,000089,379,524,21,373,512,40,316,572,34,300,576,36,418,444,448,411,302,557,41
05119000090,05,119,000090,629.78,637.75,18.93,645.73,598.89,30.89,499.24,753.35,29.89,481.31,759.33,28.9,716.48,440.45,747.37,389.63,503.23,687.58,45.84
05119000091,05,119,000091,518.18,629.98,17.88,526.99,584.56,43.6,422.12,714.15,21.85,404.29,715.18,32.71,604.27,466.75,647.83,409.34,431.98,647.87,51.55
05119000092,05,119,000092,403,561,20,405,541,30,321,630,26,332,617,23,466,430,505,392,320,589,33
05119000093,05,119,000093,441,587,21,426,582,38,360,652,26,342,672,22,498,473,549,428,346,623,40
05119000094,05,119,000094,354,518,17,367,491,22,286,576,21,267,595,16,397,404,441,367,285,544,34
05119000095,05,119,000095,603,725,29,585,706,50,462,838,41,460,830,42,662,566,710,520,467,781,56
05119000096,05,119,000096,282,381,11,288,359,24,227,420,18,228,412,25,346,259,358,248,232,393,22
05119000097,05,119,000097,263.32,507.97,11.79,254.48,489.3,36.35,193.56,563.97,20.63,193.56,547.27,33.41,314.41,420.52,350.76,370.41,198.47,530.57,37.34
05119000098,05,119,000098,136,723,11,106,733,26,83,761,17,69,771,21,176,604,202,566,70,759,27
05119000099,05,119,000099,187,514,24,164,523,42,156,547,18,135,567,23,215,453,245,418,139,546,29
05119000100,05,119,000100,78,294,10,60,304,17,50,319,12,43,326,13,96,257,100,250,42,325,11
05119000101,05,119,000101,202.83,461.41,15.38,167.26,482.55,27.88,148.03,513.31,16.34,133.62,521.96,19.23,227.82,408.54,239.35,399.88,137.46,509.47,24.03
05119000102,05,119,000102,201.65,573.14,19.5,164.49,606.83,21.91,150.86,621.84,20.54,127.38,649.12,16.63,220.47,518.4,248.85,492.12,125.51,636.71,27.79
05119000103,05,119,000103,156,680,13,132,693,23,101,725,19,83,738,22,186,599,221,555,84,727,26
05119000104,05,119,000104,251.82,999.27,16.99,201.85,1033.24,31.98,179.87,1064.22,24.98,148.89,1080.21,34.97,311.77,884.35,347.74,837.39,143.89,1085.2,32.98
05119000105,05,119,000105,206.93,605.14,17.71,174.3,629.38,23.31,155.66,648.03,24.23,152.84,662.01,12.13,220.01,547.32,249.84,516.55,141.66,664.81,22.38
05119000106,05,119,000106,520.67,502.24,20.83,523.32,475.71,28.56,416.03,597.97,21.99,426.86,570.41,22.73,559.36,379.43,603.35,338.05,433.52,535.48,30.03
05119000107,05,119,000107,548,492,8,562,454,24,421,607,12,436,578,13,631,317,657,293,448,544,14
05119000108,05,119,000108,503,492,15,503,456,39,404,579,22,401,567,25,557,378,587,335,404,540,28
05119000109,05,119,000109,519,1428,35,529,1364,77,388,1540,52,383,1542,44,727,1009,812,918,410,1449,75
05119000110,05,119,000110,273.39,342.99,6.96,268.42,331.06,16.9,228.66,371.82,17.89,216.73,386.73,10.94,308.19,263.45,329.07,234.62,230.65,351.93,24.85
05119000111,05,119,000111,517,1010,41,501,988,64,385,1124,55,375,1127,52,634,797,695,730,388,1066,74
05119000112,05,119,000112,145,491,17,148,465,34,120,514,16,119,509,20,226,356,239,335,121,490,24
05119000113,05,119,000113,175.82,826.26,25.09,166.84,792.18,61.13,145.64,846.43,31.1,145.59,849.46,27.1,257.09,662.76,299.2,607.62,146.64,800.33,60.15
05119000114,05,119,000114,283.18,777.74,31.91,287.16,749.82,44.87,221.36,834.57,34.9,202.41,846.54,35.9,374.91,606.24,411.8,555.38,219.36,802.67,50.85
05119000115,05,119,000115,135,741,17,103,755,37,81,791,18,73,792,25,168,645,200,595,70,781,29
05119000116,05,119,000116,71,509,16,46,526,22,42,532,16,24,550,17,83,450,96,432,21,555,13
05119000117,05,119,000117,105,680,15,74,694,31,59,719,19,37,728,27,136,563,157,544,35,728,27
05119000118,05,119,000118,152,822,15,130,811,39,102,862,21,95,867,23,236,639,279,588,91,851,29
05119000119,05,119,000119,120,715,25,91,727,33,78,763,15,54,776,22,169,591,190,570,40,777,28
05119000120,05,119,000120,125,633,11,90,658,21,73,681,11,60,687,14,141,564,168,534,56,682,27
05119000121,05,119,000121,154,575,21,133,590,26,124,607,18,101,619,22,190,509,214,477,105,601,35
05119000122,05,119,000122,71.17,528.87,9.48,51.39,545.54,13.59,34.9,562.03,14.5,27.38,567.53,14.47,91.59,457.58,93.46,450.73,20.31,561.43,19.54
05119000123,05,119,000123,137.06,470.32,15.62,109.54,492.8,22.75,96.72,511.01,16.18,87.58,507.7,24.63,158.65,432.29,184.1,403.66,77.08,514.05,28.2
05119000124,05,119,000124,182.8,547.41,15.48,149.15,581.06,16.4,131.83,592.02,20.94,120.9,608.38,15.49,207.38,490,221.03,474.5,106.37,611.99,20.95
05119000125,05,119,000125,269.56,462.11,16.37,242.61,485.22,20.22,225.28,502.54,17.33,207.95,518.91,16.37,284.97,413.97,312.89,386.05,205.06,515.06,19.25
05119000126,05,119,000126,374,161,19,383,162,8,351,182,18,328,200,17,378,152,391,138,334,184,24
05119000127,05,119,000127,668,388,31,662,389,38,619,414,45,601,431,43,702,335,700,330,591,436,45
05119000128,05,119,000128,157,932,20,108,962,39,71,1007,32,60,999,48,199,794,208,784,59,1018,27
05119000129,05,119,000129,152.64,253.21,12.13,139.36,263.37,14.27,125.23,281.56,10.19,120.09,288.6,7.23,151.12,229.47,153.28,226.14,118.95,287.64,8.36
05119000130,05,119,000130,34.98,321.86,5.26,17,343.36,5.72,12.08,348.76,4.21,12.85,348.31,4.6,43.67,275.01,37.38,281.56,7.61,345.1,9.31
05119000131,05,119,000131,99.6,350.51,3.83,77.57,362.96,14.37,75.66,375.41,6.7,65.12,371.58,10.53,108.22,290.18,106.3,289.22,61.29,383.07,4.79
05119000132,05,119,000132,150.82,248.84,9.43,129.14,267.69,11.31,124.42,271.46,11.31,113.11,284.66,10.37,147.99,232.82,153.65,221.51,109.34,283.72,10.37
05119000133,05,119,000133,73.49,264.68,5.36,55.66,284.9,6.4,41.84,298.85,3.72,40.63,293.89,8.04,76.99,233.56,71.07,242.77,31.94,302.6,4.54
05119000134,05,119,000134,61,335,7,41,350,11,39,359,5,33,361,6,76,282,90,272,28,362,8
05119000135,05,119,000135,37.31,246.62,4.99,32.45,245.61,11.88,18.17,266.75,4.13,14.93,260.22,9.85,49.95,206.41,58.43,187.57,10.05,270.76,6.97
05119000136,05,119,000136,820,434,26,801,443,31,739,504,32,695,546,23,848,363,882,330,705,506,39
05119000137,05,119,000137,965.79,563.71,31.76,929.63,581.68,43.14,830.36,686.73,38.19,812.44,696.76,34.36,988.41,492.33,1032.41,445,826.18,650.45,38.08
05121000001,05,121,000001,17.49,5.02,1.01,17.42,6.07,0.02,17.44,6.05,0.02,15.41,8.07,0.03,21.37,1.12,21.39,1.1,15.41,8.05,0.03
05121000002,05,121,000002,30.01,11.31,3.39,28.05,13.35,2.19,28.09,13.39,3.23,25.63,14.73,4.23,31.44,12.04,30.17,13.31,26.67,15.66,2.23
05121000003,05,121,000003,21.06,2.87,0,20.11,2.87,0.96,20.11,2.87,0.96,21.06,2.87,0,22.02,1.91,21.06,2.87,20.11,2.87,0.96
05121000004,05,121,000004,170.8,34.16,4.74,166.05,37.96,7.59,165.11,37.96,9.49,156.57,43.65,9.49,168.9,37.96,171.75,37.96,152.77,47.44,9.49
05121000005,05,121,000005,91.97,18.01,8.99,88.96,21.02,7.99,82.98,25.02,9.98,78.97,30.01,6.99,97.96,20,93.97,22.99,82.95,28.02,6.99
05121000006,05,121,000006,79.2,10.89,2.97,72.27,17.82,1.98,74.25,15.84,1.98,67.32,21.78,2.97,74.25,13.86,76.23,11.88,67.32,19.8,2.97
05121000007,05,121,000007,88.11,22.99,11.07,90.83,28.14,2.21,91.75,28.14,2.28,85.68,33.28,1.28,96.04,22.99,96.97,23.99,80.61,37.35,3.21
05121000008,05,121,000008,211.8,43.89,15.26,216.57,41.98,9.54,212.75,46.75,9.54,203.21,57.24,4.77,228.02,37.21,226.11,38.16,201.31,53.43,7.63
05121000009,05,121,000009,45,9,2,42,14,1,42,14,1,36,21,0,43,14,43,14,39,15,3
05121000010,05,121,000010,27,15,3,30,13,1,29,14,2,30,14,1,34,10,34,11,32,12,1
05121000011,05,121,000011,151.35,40.83,11.95,137.41,55.76,7.97,139.41,53.77,7.97,131.44,65.72,3.98,145.38,51.78,146.38,51.78,133.43,59.75,7.97
05121000012,05,121,000012,120.12,27.34,5.05,113.05,31.41,6.03,110.06,33.38,7.04,103.05,39.41,6.03,120.13,31.32,119.17,29.28,104.99,39.47,6.02
05121000013,05,121,000013,42.97,17.75,2.8,40.17,21.49,1.87,42.04,20.55,0.93,35.5,25.22,1.87,43.91,15.88,39.23,20.55,38.3,24.29,0.93
05121000014,05,121,000014,84.77,20.94,8.98,83.77,28.92,1.99,81.78,28.92,3.99,79.78,30.92,3.99,93.74,19.95,92.75,22.94,79.78,32.91,1.99
05121000015,05,121,000015,191.3,39.46,12.06,185.24,44.51,10.1,183.22,45.51,12.13,169.11,62.59,8.13,199.27,39.51,193.31,43.51,172.06,53.64,11.13
05121000016,05,121,000016,124.99,32.69,9.61,125.95,33.65,4.81,126.91,34.61,5.77,115.37,43.27,5.77,135.56,25.96,128.83,32.69,116.33,41.34,5.77
05121000017,05,121,000017,247.11,52.99,21.07,246.83,60.14,12.21,245.75,65.14,11.28,222.68,84.28,11.28,259.04,57.99,254.97,61.99,226.61,78.35,12.21
05121000018,05,121,000018,62.92,17.55,4.62,57.69,22.89,1.52,59.62,23.91,0.63,52.83,25.59,3.6,66.18,14.69,66.24,14.68,51.57,26.73,3.68
05121000019,05,121,000019,273,55,34,270,72,14,275,73,12,250,92,16,303,51,306,48,250,90,17
05121000020,05,121,000020,73,23,7,74,24,5,75,26,2,73,24,5,79,22,83,19,71,27,5
05121000021,05,121,000021,69,6,3,66,9,2,67,7,3,66,10,1,69,8,66,11,60,13,3
05121000022,05,121,000022,17,9,3,19,9,1,21,6,2,21,7,1,21,8,21,8,20,8,1
05121000023,05,121,000023,51.31,11.09,1.02,47.31,13.11,2,45.31,15.11,2,45.27,15.15,1,49.38,10.02,52.38,8.02,44.27,16.15,2
05121000024,05,121,000024,61.78,12.01,0.86,58.35,13.73,2.57,57.49,13.73,3.43,56.63,15.45,3.43,60.92,12.01,60.06,12.01,55.77,16.3,2.57
05121000025,05,121,000025,19,4,1,18,5,1,18,5,1,16,7,1,23,1,21,3,15,8,1
05121000026,05,121,000026,437.15,140.84,32.02,416.95,164.38,26.53,409.9,174.43,24.58,381.85,188.48,36.52,458.87,141.88,455.8,143.8,375.55,190.45,35.71
05121000027,05,121,000027,362.56,110.88,34.04,328.04,142.65,30.79,317.19,152.51,27.87,301.8,171.83,25.89,359.08,137.42,369.84,123.62,290.81,171.81,32.88
05121000028,05,121,000028,630.29,172.21,35.45,602.25,205.42,22.21,589.25,217.43,21.24,550.76,247.91,29.22,642.66,170.19,647.6,158.18,537.64,252.89,26.31
05121000029,05,121,000029,479.21,95.01,33.8,475.25,111.18,16.72,473.98,112.49,18.54,437.9,147.71,17.38,506.05,93.15,502.37,92.09,428.35,146.6,23.18
05123000001,05,123,000001,0.5,1.16,0.06,0.52,1.17,0.02,0.48,1.21,0.03,0.49,1.16,0.07,0.65,0.97,0.65,0.96,0.47,1.21,0.04
05123000002,05,123,000002,2.81,6.5,0.35,2.93,6.6,0.14,2.72,6.83,0.17,2.78,6.54,0.39,3.67,5.44,3.67,5.38,2.66,6.83,0.23
05123000003,05,123,000003,4.13,9.54,0.51,4.3,9.68,0.2,3.99,10.02,0.26,4.07,9.6,0.57,5.38,7.97,5.38,7.89,3.9,10.02,0.34
05123000004,05,123,000004,126.96,293.32,15.76,132.21,297.7,6.13,122.58,308.21,7.88,125.21,295.07,17.51,165.49,245.16,165.49,242.54,119.96,308.21,10.51
05123000005,05,123,000005,10.72,24.51,1.31,11.15,24.87,0.52,10.34,25.75,0.66,10.56,24.66,1.47,13.92,20.46,13.9,20.25,10.1,25.76,0.88
05123000006,05,123,000006,59.1,31.83,1.52,58.35,34.1,0,53.8,37.89,1.52,56.07,36.37,0.76,65.17,23.49,63.65,25.01,58.35,34.86,0.76
05123000007,05,123,000007,18.42,9.92,0.47,18.18,10.63,0,16.76,11.81,0.47,17.47,11.33,0.24,20.31,7.32,19.83,7.79,18.18,10.86,0.24
05123000009,05,123,000009,15.73,8.69,0.59,15.53,8.52,0.72,15.27,9.12,0.54,15.2,9.34,0.55,17.07,6.42,16.76,6.6,14.52,9.71,0.71
05123000010,05,123,000010,7.33,8.15,0.24,7.09,8.03,0.59,6.85,8.27,0.36,6.73,8.16,0.59,7.94,5.75,7.23,6.1,6.14,8.74,0.47
05123000011,05,123,000011,27.62,30.29,0.89,26.73,29.85,2.23,25.84,30.74,1.34,25.39,30.29,2.23,29.85,21.38,27.18,22.72,23.17,32.52,1.78
05123000013,05,123,000013,31.21,38.33,1.36,30.31,37.96,2.38,29.06,39.44,1.54,28.57,39.31,2.16,35.71,26.92,33.95,27.71,27.01,40.85,1.86
05123000014,05,123,000014,24.7,109.02,3.52,21.9,109,4.09,18.42,113.65,2.93,16.74,114.81,3.46,42.57,75.23,43.17,74.62,17.83,114.78,2.93
05123000015,05,123,000015,13.35,65.96,2.09,11.62,65.96,2.44,9.53,68.74,1.74,8.5,69.44,2.09,24.12,45.49,24.47,45.13,9.18,69.44,1.74
05123000016,05,123,000016,61.2,18.88,2.29,60.91,18.3,2,60.34,20.59,1.72,60.34,22.02,1.14,65.78,14.87,66.06,14.87,58.34,22.31,2.29
05123000017,05,123,000017,135.38,41.94,5.06,134.74,40.69,4.43,133.47,45.75,3.8,133.45,48.92,2.53,145.51,33.05,146.16,33.03,129.03,49.55,5.06
05123000018,05,123,000018,178.9,36.56,5.22,181.52,35.59,4.9,178.58,40.16,3.92,179.88,40.81,1.96,189.03,28.08,190.66,26.12,177.6,39.5,3.92
05123000019,05,123,000019,255.55,54.95,7.47,259.14,53.52,7.16,254.9,60.07,5.68,256.69,60.94,3.01,270.08,41.99,272.09,39.37,253.22,59.34,5.73
05123000020,05,123,000020,3.27,1.96,0.11,3.2,1.94,0.16,3.21,2.13,0.03,3.13,2.16,0.03,3.55,1.47,3.63,1.38,3.19,2.09,0.08
05123000021,05,123,000021,64.64,38.73,2.14,63.31,38.46,3.21,63.57,42.2,0.53,61.97,42.74,0.53,70.25,29.12,71.85,27.25,63.04,41.4,1.6
05123000022,05,123,000022,90.29,27.51,2.99,89.69,27.51,2.99,92.08,28.7,0.6,91.49,29.3,1.2,93.28,25.11,94.48,22.72,87.9,30.5,2.99
05123000023,05,123,000023,57.6,17.55,1.91,57.22,17.55,1.91,58.75,18.31,0.38,58.37,18.69,0.76,59.51,16.02,60.27,14.5,56.08,19.46,1.91
05123000024,05,123,000024,2.23,0.69,0.08,2.22,0.67,0.07,2.2,0.75,0.06,2.2,0.8,0.04,2.4,0.54,2.41,0.54,2.12,0.81,0.08
05123000025,05,123,000025,106.06,24.31,3.13,107.47,23.82,2.95,105.65,26.55,2.37,106.26,27.11,1.25,112.29,18.76,113.42,17.43,104.95,26.32,2.39
05123000026,05,123,000026,52.78,59.67,0.98,50.82,61.62,1.96,54.73,55.76,0,55.71,56.73,0,59.63,42.06,60.61,41.08,52.78,59.67,0.98
05123000027,05,123,000027,174.09,104.31,5.76,170.49,103.59,8.63,171.21,113.66,1.44,166.9,115.1,1.44,189.2,78.41,193.51,73.38,169.77,111.5,4.32
05123000028,05,123,000028,30.05,15.37,0.81,29.93,15.6,0.81,30.05,16.06,0.35,30.16,15.83,0.46,31.89,11.21,32.13,11.32,29.58,16.18,0.46
05123000029,05,123,000029,5.34,2.73,0.14,5.32,2.77,0.14,5.34,2.85,0.06,5.36,2.81,0.08,5.67,1.99,5.71,2.01,5.26,2.87,0.08
05123000030,05,123,000030,21.62,11.06,0.58,21.54,11.23,0.58,21.62,11.56,0.25,21.71,11.39,0.33,22.95,8.07,23.12,8.15,21.29,11.64,0.33
05123000031,05,123,000031,61.69,31.56,1.66,61.45,32.03,1.66,61.69,32.98,0.71,61.93,32.51,0.95,65.49,23.01,65.96,23.25,60.74,33.22,0.95
05123000032,05,123,000032,141.3,72.28,3.8,140.76,73.37,3.8,141.3,75.54,1.63,141.85,74.46,2.17,150,52.72,151.09,53.26,139.13,76.09,2.17
05123000033,05,123,000033,29.9,13.53,1.07,28.84,13.53,2.14,28.48,14.24,1.78,28.48,14.24,1.78,33.82,7.83,33.46,7.48,29.19,14.95,0.36
05123000034,05,123,000034,54.61,24.71,1.95,52.67,24.72,3.88,52.01,26.01,3.24,52,26.01,3.24,61.71,14.36,61.09,13.69,53.27,27.33,0.65
05123000035,05,123,000035,44.03,345.85,8.52,34.09,347.27,12.07,30.54,357.92,9.23,29.83,357.92,12.07,81.67,254.24,93.03,243.59,17.04,366.44,18.46
05123000038,05,123,000038,17.75,132.67,3.37,13.55,134.09,4.28,12.41,137.6,3.64,11.85,137.73,4.8,32.73,98.4,36.58,94.86,7.63,140.74,6.78
05123000040,05,123,000040,4.36,25.11,0.76,3.11,26.4,0.4,3.16,26.4,0.8,2.71,26.58,1.11,7.82,19.64,7.96,19.6,2.71,26.84,0.93
05123000041,05,123,000041,40.33,232.51,7,28.81,244.44,3.7,29.22,244.44,7.41,25.1,246.09,10.29,72.43,181.89,73.66,181.48,25.1,248.56,8.64
05123000043,05,123,000043,16.53,95.33,2.87,11.81,100.22,1.52,11.98,100.22,3.04,10.29,100.9,4.22,29.7,74.58,30.2,74.41,10.29,101.91,3.54
05123000045,05,123,000045,1.94,11.16,0.34,1.38,11.73,0.18,1.4,11.73,0.36,1.2,11.81,0.49,3.48,8.73,3.54,8.71,1.2,11.93,0.41
05123000049,05,123,000049,68.12,93.76,3.39,67.18,93.35,4.36,65.84,95.31,3.42,60.08,99.34,4.58,84.1,70.51,88.5,66.56,60.28,97.93,5.65
05123000050,05,123,000050,14.56,66.98,2.09,11.27,70.37,1.15,11.47,70.41,2.12,10.28,70.9,2.96,23.78,52.52,24.17,52.32,10.15,71.64,2.56
05123000052,05,123,000052,99.76,138.73,5.01,98.3,138.23,6.39,96.34,141.09,5.05,87.91,146.98,6.77,123.35,104.39,129.77,98.62,88.2,144.95,8.32
05123000053,05,123,000053,175.58,211.08,7.87,174.95,208.08,10.96,171.2,213.35,7.86,156.58,223.9,10.44,212.66,157.74,224.27,147.16,157.13,219.7,13.55
05123000055,05,123,000055,9.76,56.27,1.69,6.97,59.16,0.9,7.07,59.16,1.79,6.07,59.55,2.49,17.53,44.02,17.83,43.92,6.07,60.15,2.09
05123000056,05,123,000056,66.17,74.29,2.72,63.95,76.05,2.74,61.26,78.32,2.5,57.64,82.82,2.5,75.5,59.55,80.68,54.38,58.3,81.46,2.97
05123000057,05,123,000057,4.97,13.27,0.43,4.6,13.29,0.54,4.44,13.8,0.42,4.42,13.88,0.49,6.55,9.81,6.97,9.44,3.85,14.19,0.78
05123000065,05,123,000065,43.05,48.67,1.78,41.57,49.85,1.78,39.8,51.33,1.63,37.43,54.29,1.63,49.12,39.06,52.52,35.65,37.87,53.41,1.92
05123000066,05,123,000066,177.09,200.01,7.3,171.02,204.87,7.3,163.72,210.95,6.69,154,223.11,6.69,202.03,160.49,216.01,146.52,155.81,219.47,7.91
051230026-2,05,123,0026-2,6.82,37.59,1.03,5.29,38.79,0.9,5.27,39.11,1.08,4.88,39.29,1.46,11.55,28.6,12.17,28.08,4.27,39.95,1.61
05125000001,05,125,000001,1340.81,298.74,42.79,1343.79,300.65,38.98,1290.42,342,42.14,1279.75,346.52,49.08,1314.65,333.84,1376.24,268.15,1265.51,354.71,51.23
05125000002,05,125,000002,1575.32,375.85,11,1515.35,419.83,22.99,1478.36,450.83,25.99,1437.39,485.8,26.99,1572.33,313.88,1585.33,291.89,1425.39,491.8,25.99
05125000003,05,125,000003,748.02,133.04,25.15,720.76,135.02,51.35,732.56,157.14,17.44,726.3,148.82,28.03,701.89,195.83,756.11,140.65,704.76,158.37,35.02
05125000004,05,125,000004,681.48,297.97,33.1,657.45,318,34.08,629.32,350.13,30.07,619.29,348.14,36.08,668.43,316.99,733.64,250.78,598.27,353.11,45.1
05125000005,05,125,000005,979.97,258.7,42.32,982.79,250.97,48.2,933.71,294.23,51.09,933.69,297.14,46.19,909.09,335.54,1061.39,186.18,903.17,304.98,52.22
05125000006,05,125,000006,1067.23,324.62,33.43,1030,347.57,42,1007.04,377.14,38.21,985.96,394.37,32.54,1042.36,346.59,1120.64,266.42,982.09,382.01,37.32
05125000007,05,125,000007,554.97,127.99,15.63,548.13,128.97,20.52,533.47,143.63,18.56,527.61,145.58,19.54,525.65,157.31,565.71,119.2,519.79,147.53,18.56
05125000008,05,125,000008,238.58,39.06,10.8,246.31,37.98,2.12,240.71,42.36,5.22,235.82,48.24,2.24,241.22,42.22,252.42,28.97,222.66,56.46,5.1
05125000009,05,125,000009,978.21,195.86,35.32,976.96,191.06,38.32,947.75,221.19,36.42,957.71,219.34,24.3,996.19,195.84,1010.4,176.63,917.62,228.28,45.38
05125000010,05,125,000010,657.67,133.63,19.09,672.94,113.59,21,646.21,143.18,17.18,645.26,135.54,25.77,644.3,156.54,683.44,113.59,624.26,152.72,26.73
05125000011,05,125,000011,786.11,396.1,58.29,774.62,392.47,69.74,743.93,443.12,52.38,739.54,422.84,68.01,739.11,458.33,866.11,327.67,714.14,443.91,67.68
05125000012,05,125,000012,389.13,148.43,17.56,373.71,155.17,21.93,364.3,173.31,11.56,361.34,168.05,17.85,337.11,188.08,403.68,128.27,332.88,177.73,32.2
05125000013,05,125,000013,1425.63,526.39,58.51,1419.74,535.08,43.43,1340.97,613.1,40.36,1329.15,614.22,45.69,1402.08,533.4,1516.71,418.73,1313.19,599.27,58.83
05125000014,05,125,000014,806.87,334.57,34.63,776.1,350.62,42.83,748.84,381.6,38.15,740.67,381.87,42.06,767.46,378.81,833.77,308.7,712.67,389.52,50.81
05125000015,05,125,000015,1005.61,320.99,31.53,988.64,324.18,41.33,946.59,365.31,39.33,944.51,364.36,36.49,975.94,330.44,1067.93,247.09,931.46,359.65,44.38
05125000016,05,125,000016,1107.56,246.71,43.15,1107.81,248.33,37.38,1083.01,271.82,42.37,1054.34,281.8,54.6,1093.88,269.89,1152.12,211.59,1037.84,292.48,49.19
05125000017,05,125,000017,926.45,333.78,56.89,899.95,345.81,66.03,864.27,387.93,59.52,821.22,417.49,64.59,872.91,398.33,977.29,293.82,806.55,410.77,73.08
05125000018,05,125,000018,73.36,120.06,3.01,62.34,123.06,10.02,62.35,129.07,5.01,56.35,136.07,4.01,84.34,104.09,91.36,98.07,51.34,137.07,8.02
05125000019,05,125,000019,272.5,39.22,6.87,270.83,40.19,8.36,262.86,50.36,6.82,263.28,47.32,10.03,255.02,59.55,283.95,32.47,257.05,54.07,7.9
05125000020,05,125,000020,979.1,220.52,0.98,928.13,261.68,6.86,894.81,283.24,14.7,896.77,282.26,12.74,964.4,185.23,984.98,160.73,876.19,300.88,8.82
05125000021,05,125,000021,142,31,5,148,27,2,140,34,4,141,31,6,138,37,151,23,133,36,9
05125000022,05,125,000022,685.3,301.13,30.63,660.74,321.28,30.94,639.89,334.22,40.87,635.83,348.72,28.39,684.06,295.97,705.52,274.47,626.24,342.98,36.87
05125000023,05,125,000023,256.91,62.98,7,251.91,63.98,10,256.91,65.98,3,250.91,65.98,9,251.91,70.97,264.91,56.98,243.91,67.98,12
05125000024,05,125,000024,893.25,219.71,52.55,892.22,230.64,36.71,867.33,256.52,40.67,842.54,274.33,41.7,877.25,267.38,942.93,202.71,846.46,266.44,39.7
05125000025,05,125,000025,789.96,174.33,32.5,768.29,189.1,39.41,746.63,217.66,30.53,755.49,202.89,36.44,758.43,213.74,801.78,167.44,732.84,213.72,41.37
05125000026,05,125,000026,479.97,539.51,29.38,438.33,574.14,33.34,401.74,607.64,38.42,408.02,598.56,35.2,490.86,501.89,535.17,460.54,379.02,605.55,48.17
05125000027,05,125,000027,1277.94,389.85,37.47,1265.63,392.87,41.2,1235.72,430.16,32.91,1212.32,430.55,48.47,1232.16,424.93,1353.66,301.63,1200.15,419.53,56.87
05125000028,05,125,000028,441,88,22,420,94,34,422,110,16,441,95,12,408,131,450,91,425,108,14
05125000029,05,125,000029,285.6,57.14,8.72,281.73,62.94,6.78,273.01,72.63,4.85,270.11,69.72,9.69,265.29,77.46,293.35,51.34,265.27,73.59,9.69
05125000030,05,125,000030,176.96,46.99,5,176.96,45.99,4,174.96,51.99,0,169.96,50.99,4,160.96,57.99,180.96,38.99,167.96,51.99,4
05125000031,05,125,000031,847.31,318.11,50.25,825.6,321.01,67.1,804.14,360.52,48.14,786.74,369.69,50.43,841.18,341.12,909.13,271.12,767.81,365.33,64.91
05125000032,05,125,000032,516.91,103.27,13.69,516.44,103.63,14.56,494.3,123.35,15.3,488.48,124.83,16.33,475.22,141.05,532.41,90.38,487.17,121.09,19.66
05125000033,05,125,000033,566.87,141.86,25,571.43,134.25,25.11,531.9,169.97,28.89,548.7,159.94,19.18,565.4,146.39,594.49,116.27,538.55,163.05,21.22
05125000034,05,125,000034,313.9,234.8,13.35,289.21,253.34,20.06,285.16,254.81,21.69,262.99,270.54,23.64,296.12,250.01,323.94,222.86,256.91,272.2,25.18
05125000035,05,125,000035,1288.69,340.23,21.15,1233.19,387.93,21.96,1194.23,429.83,22.02,1178.25,435.91,20.96,1288.81,295.52,1296.02,273.34,1159.07,438.08,28.97
05125000036,05,125,000036,596.59,276.82,25.99,589.33,282.04,23.43,576.02,297.48,23.32,555.28,306.1,29.92,591.78,284.26,643.76,226.17,546.84,306.4,30.53
05125000037,05,125,000037,893.99,254,24,899.99,240,33,859.99,278,31,870.99,264,30,900.99,240,931.99,209,843.99,289,28
05125000038,05,125,000038,738.32,240.51,42.69,750.87,235.58,26.75,717.95,269.06,26.82,707.7,260.82,36.99,743.51,245.52,769.21,219.74,694.02,262.68,44.54
05125000039,05,125,000039,323.26,210.51,12.9,316.75,215.3,12.76,297.4,235.45,11.93,298.6,232.99,11.33,331.1,202.49,353.39,176.8,299.4,218.87,20.01
05125000040,05,125,000040,1007.36,379.32,31.64,989.06,398.47,25.58,942.32,442.45,27.43,918.99,449,39,970.68,408.62,1069.46,313.23,916.18,440.09,38.36
05125000041,05,125,000041,651.15,230.2,38.16,634.71,245.02,36.71,607.78,275.22,34.36,612.08,265.81,37.37,620.43,276.7,684.52,199.99,589.03,274.53,42.63
05125000042,05,125,000042,1022.78,208.67,38.68,1011.07,218.68,40.49,981.07,253.39,35.88,978.61,250.58,34.19,960.33,287.71,1065.66,182.93,953.83,253.67,51.53
05127000001,05,127,000001,18,0,0,17,0,1,17,0,1,17,0,1,17,0,16,1,16,0,1
05127000002,05,127,000002,40,9,3,43,8,1,42,7,1,43,8,1,44,8,43,9,37,11,4
05127000003,05,127,000003,24.15,2.68,1.79,25.04,2.68,0.89,23.25,4.47,0.89,24.15,1.79,2.68,25.04,3.58,25.04,2.68,23.25,3.58,1.79
05127000004,05,127,000004,24.01,11,2,23.01,13,2,23.01,13,2,21.01,15,2,23.01,13,25.01,11,20.01,15,1
05127000005,05,127,000005,21,14,2,24,12,1,20,12,5,21,13,3,22,11,24,9,23,12,2
