GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREACAR,G20PREOMYE,G20PRESLAR,G20PREIWES,G20PREICOL,G20PREIPIE,G20PREIGAM,G20PREIFUE,G20USSRCOT,G20USSDHAR
05045000029,05,045,000029,1171.53,258.14,19.85,3.97,1.99,1.99,2.98,2.98,3.97,0.99,0.99,0,3.97,1168.55,284.93
05045000030,05,045,000030,324.28,64.6,7.07,1,0,1.01,1,0,4,0,1,0,1.01,321.24,78.67
05045000031,05,045,000031,392.28,46.55,5,0,0,0.96,0.07,0,0,0,0.13,0,0.96,389.14,51.61
05045000032,05,045,000032,124,19,2,0,0,0,0,1,0,0,0,0,0,121,25
05045000033,05,045,000033,207,39,2,1,1,0,0,0,1,2,0,0,0,207,45
05045000034,05,045,000034,345.23,67.2,3.09,0.04,0.95,0.95,0,0,2.84,3.81,0,0,0.03,342.3,77.91
05045000035,05,045,000035,670.33,136.05,11.76,4.09,1,0.08,2.03,0,1.11,0.04,0.99,0,0.04,666.96,154.94
05045000036,05,045,000036,842.9,579.8,13.22,7.15,2.02,0.39,4.02,3.1,6.39,3.1,1.11,1.01,1.15,873.84,538.87
05045000037,05,045,000037,939.97,161.68,4.02,0.01,0,1.02,2,1.01,6.96,0.99,0.01,0,1.01,955.97,149.7
05045000038,05,045,000038,316.03,121.32,2.98,0.99,0,1.98,1,0.99,0.04,0.01,0.99,0,0.99,323.03,118.3
05045000039,05,045,000039,1575.84,342.84,37.86,2,0.01,1,1.01,0.99,3.98,4.98,1.99,0.01,0.01,1574.85,380.59
05045000040,05,045,000040,659.72,669.13,22.96,5.98,0,1,0,3.98,8.95,0.01,1.99,0,0,709.42,637.43
05045000041,05,045,000041,186,418,10,3,1,1,1,3,1,0,0,0,1,217,397
05045000042,05,045,000042,595.47,585.49,30.65,4.95,2.39,0.99,2.56,1.59,5.59,2.57,0.8,0,1.15,628.71,577.98
05045000043,05,045,000043,946,893,30,7,2,2,4,3,7,2,0,1,2,986,872
05045000044,05,045,000044,944,636,29,7,1,5,2,1,12,4,2,0,1,1006,596
05045000045,05,045,000045,421.84,229.25,9.36,1.56,0,0,0,0.78,3.9,0,0,0,0.78,442.12,216.77
05045000046,05,045,000046,743,477,20,3,2,5,0,0,5,0,1,0,1,784,457
05045000048,05,045,000048,823.86,495.98,26.29,4.72,3.08,3.11,0.29,2.68,1.41,2.36,1.41,0,1.21,833.95,503.88
05045000049,05,045,000049,455,638,21,8,1,1,2,3,2,1,0,1,0,494,611
05045000050,05,045,000050,1020,693,25,3,4,5,4,2,3,3,1,0,0,1053,678
05045000053,05,045,000053,730.31,380.92,15.04,1.02,0,2.02,0.02,0,6,1.02,0,0,0.04,753.37,370.88
05045000054,05,045,000054,347.8,294.32,15.24,0.21,0,1,0,1.1,4.52,1,1,0,1.1,354.48,297.67
05045000055,05,045,000055,707.36,148.74,15.19,4.03,0.03,0.09,0.03,0,2.03,0.03,0.03,0,0.06,707.08,159.18
050470001-A,05,047,0001-A,296.73,82.2,3.99,0.99,1.98,1.1,0,0,0.16,0.05,0,0.05,0.05,285.94,96.37
050470001-B,05,047,0001-B,191.82,50.64,3.97,2.98,0,0,0,0,0.99,0.99,0,0,0,192.79,56.61
050470001-C,05,047,0001-C,35,2,0,0,0,1,0,0,0,0,1,0,1,38,3
050470002-A,05,047,0002-A,299.35,77.86,0.98,0,0.98,0,0,0,0,0,0,0,1.96,290.4,85.78
050470002-B,05,047,0002-B,116.49,18.06,0.14,0.02,0.02,0,0,0,0.01,0.01,0,0,0.04,109.29,22.35
050470002-C,05,047,0002-C,33.33,3.64,0.11,0,0,0,0,0,0,0,0,0,0,33.12,3.85
050470002-D,05,047,0002-D,39.33,4.72,0.79,0,0,0,0,0,0,0,0,0,0,37.76,6.29
050470002-E,05,047,0002-E,120,41,2,1,0,0,0,0,1,0,0,0,2,118,45
050470003-A,05,047,0003-A,201,34,2,1,0,0,0,0,0,0,0,0,0,202,35
050470003-B,05,047,0003-B,48.39,9.68,2.23,0,0,0,0,0,0,0,0,0,0,48.39,12.66
050470003-C,05,047,0003-C,112.27,31.89,0.17,0.1,0,1.1,0,0,0,0,0,0,0,114.95,29.54
050470003-D,05,047,0003-D,197,26,2,1,0,3,0,0,0,0,0,0,0,189,38
050470003-E,05,047,0003-E,12,5,0,0,0,0,0,0,0,0,0,0,0,12,5
050470003-F,05,047,0003-F,73.85,9.88,0,0.9,0,0.9,0,0,0,0,0,0,0,71.14,13.5
050470004-A,05,047,0004-A,164.45,44.58,2.97,0,0,0,0,0,0,0.99,0,0.99,0.99,163.46,48.54
050470004-B,05,047,0004-B,146,20,0,0,0,0,0,0,0,0,1,0,0,140,27
050470004-C,05,047,0004-C,51.02,14.33,0,0,0,0,0,0,0.9,0,0,0,0,48.31,17.84
050470004-D,05,047,0004-D,304.94,81.92,1.99,0.01,0.02,0.01,1.94,0,0.97,0.97,0.97,0.01,0.01,298.12,89.76
050470005-A,05,047,0005-A,307.66,61.85,1.89,0,0,0,0,0,0,1.87,0.94,0,0.94,303.89,66.56
050470005-B,05,047,0005-B,53.21,3.47,1.08,0,0,0,0,0,0,0.1,0.05,0,0.05,53,4.7
050470005-C,05,047,0005-C,334.8,68.37,0.02,0,0.01,1.89,0,0,2.84,0.95,0,0.95,0.95,336.64,73.16
050470006-A,05,047,0006-A,195.75,44.41,0.02,0,0,0,0,0,0.01,1.93,0.96,0,0,202.5,37.68
050470006-B,05,047,0006-B,189.8,61.24,6.03,0,0.99,0.99,1.06,0,0.03,0.07,0.05,0.99,0.99,191.67,68.35
050470006-C,05,047,0006-C,49,17,2,0,0,0,0,0,1,0,0,0,1,53,16
050470006-D,05,047,0006-D,25.88,8.38,0.03,0,0,0,0,0,0.1,0.02,0.01,0.01,0.01,25.62,7.88
050470007-A,05,047,0007-A,281.98,51.11,5.29,0,0.88,0.88,0,0,0.88,0.88,0,0,0,281.1,58.16
050470007-B,05,047,0007-B,139,21,1,0,1,0,0,0,0,1,0,0,0,137,26
050470007-C,05,047,0007-C,80.76,13.63,1.99,0,0.12,0.04,0,0.01,0.06,0.99,0.02,0.01,0,79.92,16.68
050470007-D,05,047,0007-D,229.28,53.68,3.18,0,3.18,0.97,0,0,0.97,1.07,0,0,0,230.35,58.8
050470008-A,05,047,0008-A,60.44,19.45,0.69,0,0.69,0,0,0,0,0,0,0,0,60.44,20.15
050470008-B,05,047,0008-B,270.73,59.94,4,0,0,0,0,0,0,0,0,0,0,267.73,60.94
050470008-C,05,047,0008-C,157.4,31.56,0.55,0,0.01,0,0.09,0,0.17,1.91,0.08,0.01,0,158.66,33.18
050470008-D,05,047,0008-D,223.22,43.13,6.67,0,0.12,0.12,0,0,0.12,0.12,0,0,0,219.21,52.86
050470008-E,05,047,0008-E,20.38,6.48,0,0,0,0,0,0,0,0,0,0,0,21.31,4.63
050470008-F,05,047,0008-F,12,5,0,0,0,0,0,0,0,0,0,0,0,13,4
050470008-G,05,047,0008-G,4,3,0,0,0,0,0,0,0,0,0,0,0,4,3
050470009-A,05,047,0009-A,328.51,86.09,5,1,1,3,0,0,1,3,0,1,0,338.51,86.09
050470009-B,05,047,0009-B,211.99,72.7,3.39,0,0,0,0,0,0,0,0,0,0,215.99,68.7
050470009-C,05,047,0009-C,67.59,12.74,0.63,0,0.03,0,0,0,0,0,0,0,0,67.59,12.77
05049000002,05,049,000002,885.94,301.57,7.97,1,2.98,0,0,1,2,4.97,7.97,0,2.98,906.88,279.66
05049000003,05,049,000003,335.03,45.87,1.99,0,1,0,1,0,1.99,0,3.99,0,0,341.01,34.9
05049000004,05,049,000004,148.27,30.33,1.02,0,0.03,0,1,0,0.01,0,0.01,0,0,148.27,26.26
05049000005,05,049,000005,428,74,9,0,2,0,1,0,1,0,1,0,0,423,70
05049000006,05,049,000006,758,218,6,1,4,0,1,1,1,3,7,2,2,778,200
05049000008,05,049,000008,66,16,3,0,1,0,0,0,0,0,0,0,0,72,13
05049000009,05,049,000009,619.58,128.49,4.78,0.96,0,0.96,0,1.91,1.91,0.96,5.74,0,0,635.86,117.95
05049000010,05,049,000010,314.16,112.76,1.19,1.03,1,0.04,0,0.08,0.08,1.03,2.23,0,1,320.8,103.37
05049000011,05,049,000011,264.99,73.04,2.05,0.01,1.02,0,0,1.01,1.01,0.03,1.05,0,0.02,261.13,73.89
05049000015,05,049,000015,142,35,1,0,1,0,0,0,0,0,0,0,1,144,33
05051000011,05,051,000011,335.12,361.26,6.08,6.03,0.26,1.06,2.05,2.02,0.04,1.17,0.04,0.09,0,362.24,339.38
05051000012,05,051,000012,277.53,454.39,2.8,1.87,6.53,1.87,1.87,0.93,0.93,4.66,0.93,1.87,0,311.11,426.41
05051000013,05,051,000013,276,206,6,2,3,1,0,0,3,2,0,1,0,303,192
05051000014,05,051,000014,593.12,175.66,6.21,2.33,0.97,0.01,0.02,0.99,0.97,0.01,0.97,2.91,0.97,602.96,181.7
05051000021,05,051,000021,263,477,10,4,4,3,3,4,4,0,1,2,1,323,428
05051000022,05,051,000022,167,493,5,6,6,2,3,3,1,1,2,1,1,201,467
05051000023,05,051,000023,106.66,34.92,0.76,0.69,0.02,0,0,0.02,0.02,0,0.02,0.05,0.02,104.88,37.63
05051000024,05,051,000024,22,20,0,0,0,0,0,0,1,0,2,0,0,28,18
05051000031,05,051,000031,16.64,10.84,2.03,0.01,0,0,0,0,1.01,0,0,0,0,15.75,14.79
05051000032,05,051,000032,373.45,196.48,5.99,2.11,1.16,0.04,0.97,0.03,2,0.02,1.1,1.05,0.06,398.99,183.99
05051000033,05,051,000033,542.24,523.79,7,5.94,6.9,0.98,0.02,1.97,2.01,0.98,4.93,2.97,0.98,587.97,492.1
05051000034,05,051,000034,284,379,7,5,2,0,1,0,5,0,3,4,2,330,340
05051000041,05,051,000041,389.99,324.71,11.1,2.01,0.05,0.02,2.02,2,2.05,2.02,2.01,0.03,2.04,417.55,310.4
05051000042,05,051,000042,652.36,487.12,11.05,1.25,5.12,2.09,1.98,0.1,5.37,2.3,1.28,3.26,4.03,711.01,455.23
05051000043,05,051,000043,501.31,256.31,4.76,0.25,2.05,0.06,0.05,1.01,1.29,2.06,3,0.2,0.07,518.01,241.44
05051000044,05,051,000044,626.23,413.4,13.64,1.92,2.99,0.01,0,1.97,1.98,2.03,3.05,0.97,0.96,685.32,369.63
05051000051,05,051,000051,75,117,3,1,1,0,0,0,0,0,3,0,0,86,115
05051000052,05,051,000052,151,119,3,2,1,1,0,2,0,1,0,1,0,155,121
05051000053,05,051,000053,669.27,390.37,14.74,5.88,0.99,0.98,0,0.01,4.9,1.97,2.95,0.98,1.96,721.4,356.9
05051000054,05,051,000054,1152.76,580.37,19.01,3.99,3.94,1.97,0.02,0.98,3.98,4.93,2.06,3.93,3.94,1199.08,573.7
05051000061,05,051,000061,147.15,76.37,2.79,0,0.93,0,0,0,0,0.93,0,0,0,148.08,77.3
05051000062,05,051,000062,197.98,155.99,1,1,0,0,0,0,1,0,1,0,0,199.98,146.99
05051000063,05,051,000063,1112.75,532.23,22.44,4.04,4.04,2,1.02,1.01,2.03,1.03,2.11,1.03,2.01,1153.95,522.58
05051000064,05,051,000064,1131.87,507.64,13.21,0,4.07,2,2,0,6,4.07,1,3,0,1178.94,484.71
05051000065,05,051,000065,42.02,21.01,0,0,0,0,0,0,0,0,0,0,0,43.02,16.01
05051000071,05,051,000071,270,76,2,0,0,1,0,0,1,1,0,0,0,259,87
05051000072,05,051,000072,709.38,274.41,3.49,1.13,1.09,0.08,0.95,0.04,2.15,0.18,0.17,1.14,0.04,735.46,259.11
05051000073,05,051,000073,824.99,352.86,11.83,1.97,2.96,0.99,0,0.99,0.99,0.99,1.97,3.94,0,866.39,329.21
05051000074,05,051,000074,967,378.55,14.88,1.06,1.07,0.05,0.96,0.03,1.05,1.07,3.89,0.12,0.08,1010.52,352.32
05051000081,05,051,000081,319.91,69.22,1.01,2,4,0,1,0,0,1,1,1,0,317.9,81.2
05051000082,05,051,000082,1133,341,13,4,4,0,1,0,5,2,3,1,0,1163,338
05051000083,05,051,000083,882.89,302.02,6.75,0,1.93,3.86,0,0,0.96,0.96,0.96,0.96,0.96,915.7,278.86
05051000084,05,051,000084,495.02,157.93,4.94,2.96,4.94,0.99,0,0,0.01,0,1.97,0.99,0,516.83,146.03
05051000091,05,051,000091,353,99,7,1,0,1,0,0,1,0,3,2,0,359,102
05051000092,05,051,000092,714.88,182.56,10.99,0.01,1,1,0,0,0.01,0.01,0.01,1,0,720.05,188.47
05051000093,05,051,000093,944.91,367.99,13.76,3.44,1.72,1.72,0,0.86,6.02,4.3,3.44,4.3,0.86,993.06,347.36
05051000094,05,051,000094,609.67,206.38,5.66,1.1,1.12,1.19,0,0.03,1.22,1.16,1.13,0.17,0.06,637.19,196.97
05051000095,05,051,000095,112.02,38.45,4.77,0,0,0,0,0.95,0,0,0,0,0,108.24,47.95
05051000101,05,051,000101,559.07,135.06,2.98,0.01,3.95,0.98,0.01,0,0.01,0,0.99,0.02,0,571.9,132.14
05051000102,05,051,000102,530,126,3,2,3,0,0,0,0,0,3,0,0,541,123
05051000103,05,051,000103,804.99,372.07,14.26,4,7,2,0,0.05,0,3,2,1,0,811.78,389.58
05051000104,05,051,000104,349.67,148.88,0.98,2.94,2.94,0.98,0,0,0.98,0,1.96,0.98,1.96,367.3,137.13
05051000111,05,051,000111,248.02,37.92,0.09,0,0.96,0.08,0,0,0,2.88,1.92,0.96,0,249.06,41.78
05051000112,05,051,000112,135.46,33.54,2.03,0.01,1.01,0,0,0,1,0.02,0.02,0.02,0,134.76,37.28
05051000113,05,051,000113,1435.68,518.44,16.98,3.99,5.01,0.01,0.99,0.01,3.01,3.99,2,4.98,0,1512.48,468.54
05051000114,05,051,000114,1108.14,577.97,16.97,1,6.98,2.99,0,1,2.99,2,3.99,5.99,0,1194.99,506.08
05051000115,05,051,000115,270.84,155.01,1.02,1,1,0.99,0,0.99,1,1,1,0.01,0,286.88,129.06
05051000121,05,051,000121,629.51,214.15,9.83,2.24,6.35,1,2.24,0.99,2.24,0.09,2.26,4.14,0.17,654.54,219.19
05051000122,05,051,000122,805.11,282.99,9.17,2.75,3.68,0,2.75,0,2.75,0.91,2.75,1.85,1.83,837.16,273.89
05051000123,05,051,000123,523.2,117.71,3.9,0.06,1.17,1.97,1.01,0.03,0.03,0.15,0.03,0.06,0,522.39,123.46
05051000124,05,051,000124,1,1.99,0,0,0,0,0,0,0,0,0,0,0,1,1.99
05051000125,05,051,000125,127.49,56.9,1.18,0,0.05,0.09,0.05,0,0,0,0,0,0,135.4,46.22
05051000131,05,051,000131,352.4,104.12,5,0,3,0,0,0,0,1,1,0,0,357.41,107.12
05051000132,05,051,000132,1417.03,614.8,11.57,2.09,2.31,4.17,0,0.01,1.16,4.06,1.3,3.1,0.03,1507.36,523.05
05051000133,05,051,000133,1080.98,316.81,11.48,0.96,6.69,3.83,0,0,2.87,0,5.73,1.91,0,1095.33,332.09
05051000134,05,051,000134,246.7,71.91,6.99,1,1,0,1,0,1,0,0,0,0,250.7,78.9
05053000001,05,053,000001,580.95,56.82,5.88,0.98,0,0.98,0.98,0,0,0.98,0,0.98,1.96,575.07,72.5
05053000002,05,053,000002,124.22,20.87,0.99,0.99,0.99,0.99,0,0,0,0,0,0,0,129.19,19.88
05053000003,05,053,000003,118.64,18.28,0.06,0.97,0,0,0,0,0,0.03,0.03,0,0,118.83,17.15
05053000004,05,053,000004,176.36,52.72,1.94,0.03,0,0,0,0,0,0.97,0.97,0,0,182.17,47.85
05053000005,05,053,000005,248.61,65.04,2.11,0.02,0,0.02,3.02,1,0,1.02,0,0.02,0.04,254.5,67.32
05053000008,05,053,000008,350.28,42.84,0.02,0,0.99,0,0,0.99,0.99,0,0,0.99,0.01,352.39,41.75
05053000009,05,053,000009,105.53,14.39,0,0,0,0,0.96,0,0,0,0.96,0.96,0,110.33,12.47
05053000010,05,053,000010,223.27,35.72,0.99,0,0,0,1.98,0,0,0,0.99,0.99,0,220.29,43.66
05053000011,05,053,000011,567.26,91.28,3.93,0.98,0,0,1.96,0,1.96,0.98,0.98,0,0.98,568.24,98.15
05053000012,05,053,000012,553.26,86.51,2.56,0.09,0.03,0,0.03,0,0.2,1.99,0.09,0.09,0.14,557.39,84.22
05053000013,05,053,000013,405,103,4,1,2,3,1,1,1,1,1,3,1,427,98
05053000014,05,053,000014,524,84,8,0,1,1,0,0,0,1,0,1,0,521,94
05053000015,05,053,000015,376.06,47.04,3,0,0,0,0,0,1,0,0,0,1,367.07,60.02
05053000017,05,053,000017,226.33,33.36,1.99,0.01,0.02,0.01,0,0.01,0.01,0,0,0.01,0.99,239.24,22.46
05053000019,05,053,000019,624,103,3,0,0,0,2,0,1,1,1,0,0,636,96
05053000020,05,053,000020,607.05,142.61,5.59,0.01,0,0,0,0,1.83,1,0.91,0.91,0.92,616.38,140.67
05053000021,05,053,000021,532.25,132.54,4.9,2.9,0.97,0,0.97,0,0.97,0.01,0,0,1.95,545.85,125.8
05053000022,05,053,000022,445.62,137.2,7.04,0.02,0,0,0.04,0,0.04,1.02,0.02,0,1.01,456.58,135.34
05055000001,05,055,000001,1164.79,313.08,19.61,0,3,0,1,2,5,1,3,0.02,1,1188.65,297.5
05055000002,05,055,000002,1267.62,476.68,36.31,5.97,0,1.02,0.99,0,6.99,5.99,0.99,1.99,1.99,1306.9,462.99
05055000003,05,055,000003,744.26,251.65,8.58,4.96,1.05,2.97,2.93,0.08,2.16,5.88,3.93,2.05,1.97,766.13,245.99
05055000004,05,055,000004,1238.24,292.25,21,5,2,0,0,0,7,4,2,2,0,1252.1,297.46
05055000005,05,055,000005,11.32,1.89,0.02,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0,0,10.38,2.85
05055000006,05,055,000006,124.66,12.24,0,0,0,0,0,0,0,0,0,0,0,118.62,14.28
05055000007,05,055,000007,167.39,33.24,0.07,0,0,0,0,0,0.01,0.02,0,0.01,0,169.49,25.91
05055000008,05,055,000008,11.93,4.26,0,0,0,0,0,0,0,0,0,0,0,11.07,5.11
05055000009,05,055,000009,309,53,1,1,0,0,0,0,1,0,1,1,1,309,51
05055000010,05,055,000010,40.05,14.92,2,0,0,0,0,0,0,0,0,0,0,41.71,13.55
05055000011,05,055,000011,12.08,2.13,0,0,0,0,0,0,0,0,0,0,0,11.37,3.55
05055000012,05,055,000012,458.46,82.38,2.9,0,0,0,0,0,0,0,0,0,0,461.17,77.86
05055000013,05,055,000013,52.85,12.95,0,0,0,0,0,0,0,0,0,0,0,53.85,10.95
05055000014,05,055,000014,79.21,30.31,0.98,0,0,0,0,0,0,0,0,0.98,0,86.06,24.45
05055000015,05,055,000015,413.03,51.76,2.99,0,0,0,0,1,0,0,0,0,0,413.03,52.75
05055000016,05,055,000016,99,19,2,1,0,0,0,0,1,0,0,1,0,97,23
05055000017,05,055,000017,4.8,1.91,0,0,0,0,0,0,0,0,0,0,0,2.92,3.79
05055000018,05,055,000018,292.47,45.48,0.1,0.95,0,0,0,0,0.95,0,0,0,0,289.9,49.75
05055000019,05,055,000019,310.4,53.73,0,0,0,0.97,0,0,0,0,0,0,0.97,307.48,49.83
0505500001A,05,055,00001A,1089.51,368.38,20.21,5.92,0.92,0,1,0.92,5.84,2.92,2,1.92,0,1122.19,351.13
05055000020,05,055,000020,23.95,3.44,0.83,0.02,0,0,0,0,0,0,0,0,0,23.06,4.31
05055000021,05,055,000021,66.6,8.95,1.01,0.98,0,0,0,0,0,0,0,0,0,61.66,12.91
05055000022,05,055,000022,63.06,22.03,1,0,0,0,0,0,0,0,0,0,0,61.99,23.1
05055000023,05,055,000023,55.59,11.66,0.16,0,0,0,0,0,0,0,0,0,0,54.42,12.82
05055000024,05,055,000024,617,77,7,0,0,1,0,1,3,1,0,0,0,614,84
05055000025,05,055,000025,293,52,0,0,1,0,1,0,0,0,2,0,0,294,54
05055000026,05,055,000026,365.49,60.15,4.02,0,0,1,0,1,1,0,0,0,0,369.48,57.18
05055000027,05,055,000027,581.6,93.05,5,0.05,0,1.03,0,0,2.05,0,1,1,0.03,585.18,79.58
05055000028,05,055,000028,38,6,2,0,0,0,0,0,0,0,0,0,0,39,6
05055000029,05,055,000029,34,3,0,1,0,0,0,0,0,0,0,0,0,33,4
0505500002A,05,055,00002A,722.24,176.43,17.27,1.09,0.03,1.02,0.07,0,2.01,3.11,0.07,1.04,0.04,734.95,175.01
05055000030,05,055,000030,107,16,0,0,1,0,0,0,0,2,0,0,0,105,19
05055000031,05,055,000031,287.02,65.26,7.93,1,0,0,0,0,0.99,1.98,0,0.99,0,289.82,59.69
05055000032,05,055,000032,330.09,65.37,6,2,0,0,0,0,0,1,0,2,0,331.29,67.98
0505500003A,05,055,00003A,15.56,5.39,0.05,0.05,0,0,0,0,0,0.1,0,0,0,15.46,5.65
0505500004A,05,055,00004A,1044.48,229.11,16.99,2,0,0,0,0,3,7,1,0,1,1048.5,239.22
0505500004B,05,055,00004B,1.55,0.8,0,0,0,0,0,0,0,0,0,0,0,1.55,0.67
0505500004C,05,055,00004C,136,42,1,0,0,0,0,0,1,0,0,0,0,142,34
05057000001,05,057,000001,248.43,358.03,1.16,1.1,2,0.03,1.06,0.03,14.13,4.08,2,7.99,5,301.12,300.61
05057000002,05,057,000002,74,259,0,3,0,0,0,0,2,1,3,3,1,109,210
05057000003,05,057,000003,294.88,138.06,4,0,0,0,1,0,2.01,1,2,2,3,318.89,124.04
05057000004,05,057,000004,95.44,227.77,3.42,2.25,1,1.08,0.17,0.08,6.26,0.09,2,1,2,124.54,187.59
05057000005,05,057,000005,278.93,226.37,5.06,4.04,0,0.01,3.02,1.01,8.04,2.01,3,2,0,312.24,197.2
05057000006,05,057,000006,203.39,34.91,0.17,0.04,0.01,0,0.1,0,1.01,0.93,0.01,0,0.04,201.75,34.91
05057000007,05,057,000007,349.11,97.98,4.35,2.61,0.01,0.87,1.74,0.87,2.63,0.87,0.01,0,0,370.92,85.75
05057000008,05,057,000008,281.86,55.69,0,0.1,0,1,1.1,0,1.16,0.1,1.05,0.1,0,287.69,48.22
05057000009,05,057,000009,268.77,41.08,4.55,0.92,0.9,0,0.92,0,1.8,1.79,1.79,0,0.91,264.24,50.14
05057000010,05,057,000010,42.82,49.63,1.95,0,0,0,0.97,0,0,1.95,0.97,0.97,0,52.55,42.82
05057000011,05,057,000011,91.39,23.92,0.05,0,0,0.98,2.97,1.96,0.98,0.05,1.01,1.01,0,97.54,24.71
05057000012,05,057,000012,193.81,41.8,3.8,0.95,0,0,1.9,0,0.95,0,0,0,0.95,196.66,43.7
05057000013,05,057,000013,88.94,95.45,0.01,1.01,0.04,0.01,1,0.01,1.97,1,0.02,1.97,0.98,96.87,87.45
05057000014,05,057,000014,91,33,0,0,0,0,0,0,2,0,1,0,0,91,30
05057000015,05,057,000015,215.45,41.58,1.03,2,0,1,1,0,0,0,2,0,0,220.29,38.74
05057000016,05,057,000016,27.38,17.59,0.01,0,0.04,0,0.02,0.01,0.01,1,0.01,0.01,0,28.42,15.56
05057000017,05,057,000017,103.33,102.03,0,1.86,0.01,0,1.88,0,2.84,1.86,0.94,1.86,0,118.31,93.54
05057000018,05,057,000018,198.34,41.05,0,0.05,0.02,0,0,0,0.08,0.02,0.08,1.03,1.03,204.39,37.05
05057000019,05,057,000019,157.71,28.3,0.01,0.99,0,0,0,0,0.01,0.02,0,0,0,159.67,24.34
05057000020,05,057,000020,153.5,48.27,0,0.01,0,0,1,0,0,0,1,0,1,158.52,39.23
05057000021,05,057,000021,91.96,35.02,1,0,0,0,0,0,0,0.01,0,0,0,93.96,32.02
05057000022,05,057,000022,187.54,24.29,0,0,0.97,0,0,0,0.97,0,0.97,0,0,189.49,22.35
05057000023,05,057,000023,630.66,40.99,0,2.91,0,0,0,0,3.86,0.97,3.86,1.93,1.93,631.66,42.84
05057000024,05,057,000024,81.54,73.22,0.02,0.04,0.98,0.02,2.06,0.04,4.99,0.04,1.02,0.05,0,92.7,61.34
05059000ANT,05,059,000ANT,144,20,1,0,0,0,0,0,1,0,1,0,0,142,22
05059000BIG,05,059,000BIG,216.22,16.94,0,0,0,0,0,0,0,0,0,0,0,212.23,20.92
05059000BIS,05,059,000BIS,780.54,229.09,13.01,0,0,1.01,0,1,3,0,0,1,0,792.56,219.09
05059000BRO,05,059,000BRO,93.48,18.35,0.05,0.03,0.1,0.01,0.01,0,0.02,0.06,1.05,0.01,0.05,95.57,17.1
05059000BUT,05,059,000BUT,315.36,77.66,2.68,0.02,0.02,0.02,0.02,0,0.91,0.03,0.94,0.01,0,323.61,72.11
05059000CEN,05,059,000CEN,337,77.01,3.02,0.01,0.01,1,1,0,1,1.04,2,1.06,0.01,343.21,74.85
05059000CLE,05,059,000CLE,121,24,1,0,1,0,0,0,1,0,1,0,1,121,28
05059000DER,05,059,000DER,500,116,3,1,0,2,1,0,1,2,0,0,0,498,122
05059000DON,05,059,000DON,78.25,9.03,3,0,0,0,0,0,2,0,0,1,0,76.26,18.02
05059000DOV,05,059,000DOV,283,38,0,0,0,0,0,0,1,0,0,0,1,283,38
05059000FRI,05,059,000FRI,56.2,10.48,0.95,0,0.95,0,0,0,0,0,0,0,0,58.11,10.48
05059000GIF,05,059,000GIF,433,61,2,0,0,0,0,1,1,2,1,0,0,427,70
05059000GRO,05,059,000GRO,659.88,111.18,5,1,0,0,1,0,2,0,2,2,0,665.88,111.18
05059000HAR,05,059,000HAR,90,20,2,0,0,0,0,0,0,0,1,2,0,92,22
05059000HEN,05,059,000HEN,191.33,43.48,1.45,0.72,0.72,0,0,0,0,0.72,0,0,0,189.88,45.66
05059000LON,05,059,000LON,303.56,63.4,1.02,1,0,0,0,0,1,1,0.01,1,0,303.59,67.38
05059000MA2,05,059,000MA2,526,337,9,3,1,1,1,1,6,4,1,3,0,555,324
05059000MA3,05,059,000MA3,380.97,242.94,4.29,1.07,1.01,0,1.01,1.02,6.08,3.06,5.09,1.01,1.06,414.95,223.9
05059000MA4,05,059,000MA4,357.39,386.09,2.72,2.91,1.94,1.94,1.93,0,3.07,4.21,6.14,0.97,0.02,389.14,358.69
05059000MAG,05,059,000MAG,1036.09,227.88,8.05,1,2.99,1,0,0,1,1.01,1.01,0,0,1037.31,232.71
05059000MON,05,059,000MON,430.95,113.98,7.01,2.02,0.02,0,0.03,0.01,0.03,0.06,2,0.01,0.01,421.29,121.71
05059000OUA,05,059,000OUA,118.6,13.28,0,0,0,0,0,0,0,0.95,0,1.9,0,123.35,10.44
05059000PER,05,059,000PER,34.75,78.7,0.24,0.04,0.24,0.2,0.04,0.08,0.12,0,1.15,1.03,0.99,41.58,73.06
05059000PRA,05,059,000PRA,199.17,28.35,0.05,0,1.94,0,0,0,0.01,0.95,0.95,0.01,0.95,196.44,30.23
05059000RP1,05,059,000RP1,224.26,58.96,3.4,0.01,0.06,0.06,0,0,0.85,1.7,1.71,0,0,226.13,59.42
05059000RP2,05,059,000RP2,40.64,11.74,0.34,0.02,0.01,0.01,0.01,0,0.13,0.03,0.15,0.01,0,41.84,10.9
05059000VAL,05,059,000VAL,267.28,48.01,4.53,0.27,1.27,1.99,0,0,1,0.27,1,0,0,270.74,49.81
0505900FENA,05,059,00FENA,344.88,103.49,3.62,0.9,0,0,0,0,0.9,0.9,0.91,0.01,0.91,354.86,92.61
0505900FENB,05,059,00FENB,267.48,82.76,3.87,0.05,0.04,0.03,0.03,0,0.05,1.02,1.05,0.02,0,280.4,72.78
0505900FENC,05,059,00FENC,20.11,52.85,0,0,0.74,0.74,0,0,0,0,0.01,0.01,0.01,21.61,48.39
