GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOWRI,G16USSRYOU,G16USSDBAY,G16USSLBRE,G16USSOWRI,G16GOVRHOL,G16GOVDGRE,G16GOVLBEL,G16GOVOWRI,G16ATGRHIL,G16ATGDARR,G16SPIRMCC,G16SPIDRIT
18039000960,18,039,000960,331,197,28,6,306,211,37,0,310,224,20,0,377,175,315,224
18039000970,18,039,000970,411,217,23,9,370,250,33,1,375,253,17,0,445,191,390,237
18039000980,18,039,000980,305.62,184.65,18.59,3.22,261.57,201.65,46.72,0,281.37,201.94,25.52,0.02,336.61,169.14,289.57,207.97
18039000990,18,039,000990,284.41,179.83,27.37,9.77,274.64,181.79,38.12,0,269.75,193.52,26.39,0.98,327.42,158.33,279.52,196.45
18039001000,18,039,001000,296.05,252.23,25.32,7.79,266.84,268.78,36.03,0,275.6,270.73,23.37,0,342.8,225.93,287.29,272.68
18039001010,18,039,001010,331.5,186.48,30.84,9.22,291.95,213.94,48.93,0,301.17,222.97,31.64,0,372.59,180.16,316.45,230.07
18039001020,18,039,001020,317.59,228,25.33,14.1,282.16,258.3,38.54,0,307.26,253.4,20.35,0,381.03,204.94,305.43,274.48
18039001030,18,039,001030,483,281,37,13,488,290,38,0,504,301,11,0,626,183,468,323
18039001040,18,039,001040,467.87,255.36,44.05,10.48,447.33,283.33,46.18,0,456.14,290.04,32.6,0,580.42,195.41,468.66,301.35
18039001050,18,039,001050,474.08,253.12,25.63,13.26,449.45,273.37,37.71,0,465.4,279.23,10.44,0.94,561.7,197.72,453.79,285.45
18039001060,18,039,001060,429.56,218.62,21.05,2.72,394.75,243,34.76,0,410.55,247.07,17.28,0.06,513.7,155.96,418.99,241.96
18039001070,18,039,001070,274.18,133.92,16.68,3.16,262.87,143.35,15.71,0,270,137.46,15.5,0,337.92,79.01,261.2,148.64
18039001080,18,039,001080,498.59,222.95,17.85,10.9,482.74,251.69,23.79,0.99,493.64,252.68,10.91,0,605.6,152.61,483.72,258.64
18039001090,18,039,001090,478.1,88.57,15.97,5.04,462.25,111.43,10.12,0.98,451.37,121.28,9.05,0,507.32,71.45,422.74,148.03
18039001100,18,039,001100,475.02,141.74,13.13,8.04,439.89,187.93,12.08,0.01,423.79,205.02,11.08,0,536.26,99.6,409.55,228.24
18039001110,18,039,001110,409,114,23,8,372,147,22,0,381,145,16,0,449,94,368,166
18039001120,18,039,001120,261.88,62.69,13.89,6.92,253.87,77.64,15.79,0.01,249.83,79.7,10.88,0,300.42,40.95,240.71,92.73
18039001130,18,039,001130,546.18,160.41,21.93,4.31,471.36,213.37,39.17,1,487.43,201.54,29.9,1,573.11,148.58,488.36,218.37
18039001140,18,039,001140,653.04,190.75,29.3,5.01,635.51,214.17,31.49,0,649.74,214.21,16.24,0,730.51,147.47,622.78,243.16
18039001150,18,039,001150,425.82,151.59,26.07,8.69,402.64,178.63,32.83,0,404.57,183.46,25.1,0,479.89,128.42,402.64,206.63
18039001160,18,039,001160,310.96,104.96,17.66,0.98,282.51,128.5,27.47,0,295.26,130.47,13.73,0,341.37,87.3,295.26,130.47
18039001170,18,039,001170,462,126,21,8,436,150,32,0,451,146,18,2,496,114,440,163
18039001180,18,039,001180,609,143,26,11,580,178,29,0,592,177,16,0,653,118,587,184
18041000010,18,041,000010,334.9,78.96,11.2,2.02,280.18,113.46,22.34,0,270.12,128.54,15.2,0,312.63,82.09,271.03,127.78
18041000020,18,041,000020,58.45,28.74,3.83,3.83,45.99,37.37,8.62,0,40.24,46.95,4.79,0,56.53,36.41,50.78,40.24
18041000030,18,041,000030,422,177,27,9,347,241,27,1,349,245,18,0,432,154,349,254
18041000040,18,041,000040,307,104,13,5,250,153,18,0,257,146,14,0,301,97,251,163
18041000050,18,041,000050,135,63,11,1,105,69,27,0,120,74,8,0,126,65,114,84
18041000060,18,041,000060,104.13,39.03,8.01,0,87.11,44.05,14.01,0,88.11,46.05,8.01,0,104.13,40.03,90.1,56.06
18041000070,18,041,000070,189.29,87.09,14.02,3,150.24,107.13,24.02,0,137.24,124.14,17.01,0,176.28,101.09,157.23,120.16
18041000080,18,041,000080,178,71,25,2,153,94,18,0,138,104,15,0,172,77,146,109
18041000090,18,041,000090,115,56,16,3,90,71,21,0,92,72,18,0,110,63,97,79
18041000100,18,041,000100,255.81,101.89,21.12,4.12,190.42,161.16,23.27,0,203.24,153.45,18.15,0,247.75,107.13,198.57,167.24
18041000110,18,041,000110,206.06,86.17,14.61,1.2,160.98,122.65,19.93,0,158.49,122.3,19.14,0,205.74,85.16,156.32,136.57
18041000120,18,041,000120,566.4,191.11,35.42,4.84,479.37,266.69,37.16,0,480.79,274.16,25.91,0,561.7,189.21,450.1,316.79
18041000130,18,041,000130,349,80,12,2,282,124,33,0,287,125,17,0,326,93,264,161
18041000140,18,041,000140,321.87,80.97,13.99,2,272.89,113.95,23.99,0,262.89,129.95,15.99,0,314.87,79.97,258.9,140.94
18041000150,18,041,000150,126,20,14,0,97,45,12,0,90,54,12,0,119,29,91,61
18041000160,18,041,000160,147,73,13,3,126,76,22,1,119,95,13,0,144,72,123,95
18041000170,18,041,000170,240,77,22,4,208,107,21,0,200,119,15,0,241,75,185,132
18041000180,18,041,000180,198,58,10,1,157,88,21,0,146,98,14,0,187,66,152,104
18041000190,18,041,000190,280,111,20,2,217,170,20,0,212,166,24,0,288,105,230,164
18041000200,18,041,000200,212.48,94.19,17.42,2.04,182.05,125.29,14.74,0,181.62,130.56,5.72,0,215.32,97.97,189.36,128.37
