GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMEN,G18USSRHUG,G18USSLSAB,G18USSGHOF,G18USSORIV,G18USSOFLA,G18USSOKIM,G18USSOSCH
34003090001,34,003,090001,272,105,2,2,2,0,0,0
34003090002,34,003,090002,464,167,3,5,5,2,1,2
34003090003,34,003,090003,297,125,3,2,4,0,4,0
34003090004,34,003,090004,293.6,134.8,2.2,1,3.2,0.2,1,0
34003090005,34,003,090005,441,180,5,2,3,3,2,0
34003090006,34,003,090006,42.4,39.2,0.8,0,0.8,0.8,0,0
34003095001,34,003,095001,330,284,9,4,1,1,1,0
34003095002,34,003,095002,254,183,4,4,0,4,2,1
34003095003,34,003,095003,477.6,373.9,9,3,2,1,1,0
34003095004,34,003,095004,264,158,1,3,0,1,0,0
34003095005,34,003,095005,279,209,3,5,0,1,2,1
34003095006,34,003,095006,507.1,259.9,9.1,6.3,0.9,2.7,1.8,0
34003095007,34,003,095007,717.7,395.8,7.7,8.7,1.9,1,5.8,1.9
34003095008,34,003,095008,169,112,1,7,2,0,0,1
34003095009,34,003,095009,192,136,6,3,2,3,1,1
34003095010,34,003,095010,1013.3,494,16.8,5,5,6.9,1,0
34003095011,34,003,095011,215.3,138,2,2,1,2.9,0,1
34003095012,34,003,095012,445.2,220.7,5,10,5,0.1,2,0
34003095013,34,003,095013,320,135,2,1,2,0,1,0
34003095014,34,003,095014,269.3,92.9,0.9,3.8,1.9,0.9,0,0
34003095015,34,003,095015,282.6,136.3,6,2.1,3.1,1,1,0
34003095016,34,003,095016,299,193,3,4,7,0,3,5
34003095017,34,003,095017,212,120,1,4,1,1,2,0
34003095018,34,003,095018,52.9,27.1,0.9,0.7,0.1,0.3,0.2,0
34003095019,34,003,095019,587,230,7,1,1,1,0,4
34003095020,34,003,095020,143,100,3,0,1,0,1,0
34003100001,34,003,100001,193.6,440.1,2,2,5,0,0,1
34003100002,34,003,100002,234,439.6,3.9,2,1,0,1,1
34003100003,34,003,100003,241,451,6,5,1,1,4,1
34003100004,34,003,100004,463.6,842,7.3,8.2,1,5,8,0.1
34003100005,34,003,100005,314.1,671,7.3,1.2,1,0.1,0,0
34003100006,34,003,100006,262.7,518.8,6.6,3.8,0.9,0,0,2.8
34003105101,34,003,105101,273.9,87,4,1,3.9,2,2,0
34003105102,34,003,105102,162,47,2,1,0,1,0,0
34003105103,34,003,105103,251.5,102.6,4.5,0.9,5.4,0.9,1.8,0
34003105201,34,003,105201,270.1,157.4,4.2,3,7.3,2,2.1,3
34003105202,34,003,105202,261,186,4,8,9,0,2,1
34003105203,34,003,105203,194,157,2,6,3,0,0,1
34003105301,34,003,105301,372,131,1,2,6,0,4,0
34003105302,34,003,105302,340,138,5,5,3,0,4,0
34003105303,34,003,105303,261,145,4,1,8,2,0,0
34003105401,34,003,105401,321,225,5,7,4,2,1,1
34003105402,34,003,105402,205,171,1,4,2,2,0,0
34003105403,34,003,105403,138,112.7,1,2.9,1.9,0,0,0.9
34003105501,34,003,105501,384,279,14,10,11,5,0,3
34003105502,34,003,105502,248.8,166.2,13.1,2.2,3.1,3,1,0.1
34003105503,34,003,105503,166,122,3,0,3,3,0,0
34003110001,34,003,110001,501.7,295.2,4.5,4.4,1.3,0.4,0.1,0
34003110002,34,003,110002,509.2,299.2,9.9,6.9,1,3,2,2
34003110003,34,003,110003,420,377,5,4,6,0,5,0
34003110004,34,003,110004,324,302,9,3,3,2,3,0
34003110005,34,003,110005,495.1,316.8,8,2,2,5,2,0
34003110006,34,003,110006,375.4,248.2,2,2,0,1,1,0
34003110007,34,003,110007,479.4,297.1,7,6,1,1,1,1
34003110008,34,003,110008,328,227,1,1,0,2,0,0
34003115101,34,003,115101,315.7,106.2,4.8,0,8.7,4.8,0,1
34003115102,34,003,115102,311.9,104.3,3,0,8.8,1,0,0
34003115103,34,003,115103,365,69,3,6,3,3,1,1
34003115104,34,003,115104,374.2,91.8,2.2,2.7,3,0.5,1.2,0.2
34003115201,34,003,115201,223,45,2,0,1,1,0,0
34003115202,34,003,115202,517,117,3,4,4,1,0,0
