GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMEN,G18USSRHUG,G18USSLSAB,G18USSGHOF,G18USSORIV,G18USSOFLA,G18USSOKIM,G18USSOSCH
34003015012,34,003,015012,439.48,202.54,4.11,6.02,5.07,4,1,1.02
34003015013,34,003,015013,498,188,6,4,5,0,1,1
34003015014,34,003,015014,299,145,3,2,3,2,2,0
34003015015,34,003,015015,425,200,4,1,10,4,2,1
34003015016,34,003,015016,343,190,11,6,8,3,4,1
34003015017,34,003,015017,347,140,4,6,8,0,1,4
34003020001,34,003,020001,321,166,4,4,1,4,2,1
34003020002,34,003,020002,391,183,4,0,8,0,0,1
34003020003,34,003,020003,331,187,2,2,2,2,3,1
34003020004,34,003,020004,355.95,201.06,6.73,1.92,8.66,0,0.96,0
34003020005,34,003,020005,258.06,133.97,1.28,1.08,2.34,1,1.04,0.01
34003020006,34,003,020006,269.89,130.93,0.84,5.34,3.28,1.55,0.76,0.76
34003025001,34,003,025001,192.03,228.09,6.27,1.31,3.23,5.03,1.05,0
34003025002,34,003,025002,211.66,253.79,5.88,0,0,0,0,2.94
34003025003,34,003,025003,232.26,190.39,14.95,3.99,1.99,3.99,0,1
34003025004,34,003,025004,249,219,6,4,3,3,2,1
34003025005,34,003,025005,211,243,5,2,2,2,4,0
34003030001,34,003,030001,320,91,5,2,1,2,0,1
34003030002,34,003,030002,306,111,3,8,1,0,0,1
34003030003,34,003,030003,319,124,0,3,2,2,1,0
34003030004,34,003,030004,468,276,6,3,5,0,1,3
34003030005,34,003,030005,256,108,5,0,6,0,0,0
34003030006,34,003,030006,290,127,5,6,0,0,0,1
34003030007,34,003,030007,284,146,4,2,1,0,1,1
34003030008,34,003,030008,315,154,4,1,5,4,1,0
34003030009,34,003,030009,218,121,6,1,2,0,0,1
34003030010,34,003,030010,498.72,336.2,13.03,6.9,1.25,0.08,0.1,0.07
34003030011,34,003,030011,321,165,7,1,3,2,2,0
34003030012,34,003,030012,201,91,5,5,2,8,1,0
34003030013,34,003,030013,183,118,2,1,3,0,0,1
34003030014,34,003,030014,138.3,117.06,1.09,1.09,1.09,0,0,0
34003030015,34,003,030015,272.32,205.15,2.89,1.03,5.69,0.93,0.93,0.93
34003035001,34,003,035001,249,181,6,5,1,0,1,0
34003035002,34,003,035002,301,199,6,3,6,3,1,2
34003035003,34,003,035003,296.16,226.13,3,3,0,3,0,1
34003035004,34,003,035004,313.01,215.01,1,5,0,0,0,0
34003035005,34,003,035005,281.82,216.48,6.83,2.93,2.93,0,0.98,0
34003035006,34,003,035006,422.14,294.52,4.21,2.32,1.42,0.21,0.11,1.11
34003040001,34,003,040001,214.53,196.66,5.27,3.49,1.73,0.03,1.73,1.76
34003040002,34,003,040002,340.8,248.23,5.24,0.16,1.08,3,0.09,2.08
34003040003,34,003,040003,404.92,408.92,5,3,5,2,1,2
34003040004,34,003,040004,203.56,186.82,0,0,0.01,0,0,0
34003040005,34,003,040005,258.26,259.79,0.69,2.23,1,1.23,1,0.23
34003040006,34,003,040006,162.93,168.28,2.8,1.12,0.19,0.74,0.19,0.93
34003045001,34,003,045001,390.24,296.9,5.96,0.99,6.95,0.99,0,0
34003045002,34,003,045002,376.71,269.47,7.33,1.83,0,0.92,0,0
34003045003,34,003,045003,512.34,276.01,5.71,4.18,0.05,0.09,0,2
34003050001,34,003,050001,278,208,7,6,3,7,1,0
34003050002,34,003,050002,340,303,8,6,3,0,2,0
34003050003,34,003,050003,211.34,189.14,5.18,5.91,0.74,2.97,0.74,1.47
34003050004,34,003,050004,412,290,14,1,5,6,6,0
34003050005,34,003,050005,350.28,233.52,5.84,2.92,4.86,0.97,0.97,0
34003050006,34,003,050006,345,326,15,2,8,3,0,0
34003050007,34,003,050007,305.19,243.42,4.15,3.87,2.14,2.99,3.98,0.14
34003050008,34,003,050008,457.66,386.86,15.82,9.09,2.26,13.03,2.26,0.53
34003050009,34,003,050009,331.72,340.48,2.16,3.08,5.14,2.03,0.03,1
34003050010,34,003,050010,219.03,187.17,4.98,1.99,4.98,1,0,0
34003050011,34,003,050011,289.62,344.65,9.65,1.93,6.76,3.86,4.83,3.86
34003060001,34,003,060001,416.14,221.61,7.95,2.98,4.97,1.99,1.99,0
34003060002,34,003,060002,352,266,14,5,5,9,2,1
34003060003,34,003,060003,285,242,11,7,2,3,1,3
34003060004,34,003,060004,546.02,579.48,18.12,8.25,14.75,4.62,5,0.12
34003065001,34,003,065001,471.19,169.59,9.86,3.98,6.92,3.92,2,0.01
34003065002,34,003,065002,537.64,227.62,2.21,3.11,5.96,2.01,6,1.01
34003065003,34,003,065003,600.23,275.81,12.03,6.95,0.07,1.08,1.98,0.98
34003065004,34,003,065004,759.89,295.74,6.14,6.07,6.08,0.08,4,0.99
34003067001,34,003,067001,408.22,310.43,6.84,2,5.94,2,0.97,0.01
34003067002,34,003,067002,395,339,10,6,7,3,1,0
34003067003,34,003,067003,313.37,232.57,0.15,0.07,5.22,3,2,0.22
34003067004,34,003,067004,266.63,94.43,1.85,0.93,2.78,0,0,2.78
34003067005,34,003,067005,296.52,186.56,6,3.13,9.13,5.22,1.06,0
34003067006,34,003,067006,267,93,7,3,4,1,0,0
34003067007,34,003,067007,335,256,2,4,5,3,3,1
34003067008,34,003,067008,485,409,10,4,8,2,5,5
34003067009,34,003,067009,278.2,285.15,6.95,5.96,7.95,0.99,0,0.99
34003067010,34,003,067010,422.78,357.34,11.16,2.05,3.18,1.06,1.03,1.99
34003070001,34,003,070001,295,417,9,6,2,3,1,1
34003070002,34,003,070002,233.45,305.15,9.87,0.99,0.99,1.01,1,0
34003070003,34,003,070003,197.16,264.9,6.44,4.35,2.38,1.04,4.12,3.02
34003070004,34,003,070004,257.89,436.19,5.01,1,5,1,1,1
34003070005,34,003,070005,237.82,317.47,3.01,0.07,1.05,0.07,0,0.03
34003070006,34,003,070006,173.55,268.85,5.13,1.01,1.01,2.99,2,0
34003075101,34,003,075101,556,259,5,10,1,0,1,2
34003075102,34,003,075102,427.38,213.55,3.41,6.21,4.03,1.21,0,0
34003075103,34,003,075103,322.62,52.45,1.59,0.79,3.97,0.79,0,0
34003075104,34,003,075104,502,40,2,3,7,3,2,0
34003075201,34,003,075201,295,169,5,3,1,0,0,0
34003075202,34,003,075202,247,174,3,1,0,0,1,1
34003075203,34,003,075203,379.39,231.63,3.99,4.99,3,0,0,1
34003075204,34,003,075204,677.99,193.75,7.91,3.98,1.02,3.98,0.06,2.96
34003075301,34,003,075301,399,62,12,2,3,0,2,0
34003075302,34,003,075302,763,117,5,2,6,1,1,0
34003075303,34,003,075303,385,40.18,6.54,3.74,3.74,0,0.93,0.93
34003075304,34,003,075304,592.98,48.43,2.96,0.99,3.95,0.99,0.99,0.99
34003075401,34,003,075401,347,23,7,1,4,0,0,0
34003075402,34,003,075402,686.19,32.38,5.16,0.04,8.38,1.02,1.04,0.09
34003075403,34,003,075403,585,25,5,2,12,1,1,1
34003075404,34,003,075404,526,69,4,2,8,3,0,0
34003080001,34,003,080001,342.02,326.83,5.51,1.2,0.07,0.2,1.99,0.13
34003080002,34,003,080002,273.55,317.53,7.63,2.86,1.02,2.83,0.04,1.87
34003080003,34,003,080003,259.23,324.22,4.68,1.9,2.77,0.94,0.92,0.02
34003080004,34,003,080004,241.91,260.85,4.2,4.06,0.14,1.08,0.07,1.01
34003085001,34,003,085001,344.48,281.97,6.62,4.29,1.88,0.98,2.15,0.98
34003085002,34,003,085002,490.29,409.28,5.24,12.18,0.2,2.12,1.04,0.07
34003085003,34,003,085003,280.43,235.22,5.9,3.93,4.92,0,0,0.98
34003085004,34,003,085004,416.05,284.21,7.32,2.24,3.24,2.32,2.08,2.16
34003085005,34,003,085005,239,180,3,2,0,0,0,1
34003085006,34,003,085006,303,283,8,7,1,1,2,0
34003085007,34,003,085007,262.71,204.99,3.98,4.98,5.97,1,2.99,0
34003085008,34,003,085008,318.57,230.88,6.07,2.04,5.01,1.01,1.02,1.01
34003085009,34,003,085009,335,249,4,4,3,0,3,1
34003085010,34,003,085010,312,283,8,9,2,5,1,0
34003085011,34,003,085011,329,219,8,2,2,3,3,1
34003085012,34,003,085012,290,184,3,3,3,0,0,0
34003085013,34,003,085013,440,235,9,3,0,2,1,1
34003085014,34,003,085014,302,194,2,0,2,0,1,0
34003085015,34,003,085015,468.32,287.78,14.01,2.8,3.6,0,2,0
34003085016,34,003,085016,386,260,12,3,0,3,8,0
34003085017,34,003,085017,306.41,288.62,2.46,3.07,2.07,0.04,0.07,0.04
34003085018,34,003,085018,284.59,208.38,12.54,1.93,1.93,0.96,1.93,0.96
34003085019,34,003,085019,283,256,3,7,2,2,1,1
34003085020,34,003,085020,269.01,202.43,9,7.2,5.4,0,0,0
34003085021,34,003,085021,376.04,309.25,4,6,10.1,3,2,1
34003085022,34,003,085022,240,216,6,3,3,2,0,1
34003085023,34,003,085023,377.44,245.14,6.81,6.81,4.86,6.81,0,0.97
34003090001,34,003,090001,272,105,2,2,2,0,0,0
34003090002,34,003,090002,464,167,3,5,5,2,1,2
34003090003,34,003,090003,297,125,3,2,4,0,4,0
34003090004,34,003,090004,293.6,134.8,2.2,1,3.2,0.2,1,0
34003090005,34,003,090005,441,180,5,2,3,3,2,0
34003090006,34,003,090006,42.4,39.2,0.8,0,0.8,0.8,0,0
34003095001,34,003,095001,330,284,9,4,1,1,1,0
34003095002,34,003,095002,254,183,4,4,0,4,2,1
34003095003,34,003,095003,477.62,373.92,8.97,2.99,1.99,1,1,0
34003095004,34,003,095004,264,158,1,3,0,1,0,0
34003095005,34,003,095005,279,209,3,5,0,1,2,1
34003095006,34,003,095006,507.09,259.88,9.06,6.34,0.91,2.72,1.81,0
34003095007,34,003,095007,717.7,395.84,7.69,8.65,1.92,0.96,5.76,1.92
34003095008,34,003,095008,169,112,1,7,2,0,0,1
34003095009,34,003,095009,192,136,6,3,2,3,1,1
34003095010,34,003,095010,1013.26,494,16.79,5,4.97,6.92,0.99,0
34003095011,34,003,095011,215.32,138,1.96,1.96,0.98,2.94,0,0.98
34003095012,34,003,095012,445.2,220.69,5.04,10.04,5.02,0.06,2,0.02
34003095013,34,003,095013,320,135,2,1,2,0,1,0
34003095014,34,003,095014,269.34,92.94,0.95,3.79,1.9,0.95,0,0
34003095015,34,003,095015,282.58,136.3,6.03,2.13,3.07,1.03,1,0
34003095016,34,003,095016,299,193,3,4,7,0,3,5
34003095017,34,003,095017,212,120,1,4,1,1,2,0
34003095018,34,003,095018,52.91,27.12,0.94,0.66,0.09,0.28,0.19,0
34003095019,34,003,095019,587,230,7,1,1,1,0,4
34003095020,34,003,095020,143,100,3,0,1,0,1,0
34003100001,34,003,100001,193.62,440.06,2,2,4.99,0,0,1
34003100002,34,003,100002,234,439.6,3.92,1.96,0.98,0,0.98,0.98
34003100003,34,003,100003,241,451,6,5,1,1,4,1
34003100004,34,003,100004,463.61,842.03,7.32,8.18,1.05,4.99,7.99,0.14
34003100005,34,003,100005,314.08,670.97,7.27,1.22,1.04,0.09,0.04,0
