GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20USSDGID,G20USSRCOL,G20USSISAV,G20USSILIN
230010410001016,8,10,0.3,0.2,0.1,6.1,11.4,0.7,0.3
230010410002049,19.7,24.6,0.8,0.4,0.1,15.1,27.9,1.8,0.7
230010410002081,0,0,0,0,0,0,0,0,0
230010410002056,0,0,0,0,0,0,0,0,0
230010410003036,1.5,1.8,0.1,0,0,1.1,2.1,0.1,0.1
230010410001021,1.1,1.4,0,0,0,0.8,1.6,0.1,0
230010410001002,6.2,7.8,0.2,0.1,0,4.7,8.8,0.6,0.2
230010410001035,1.8,2.3,0.1,0,0,1.4,2.6,0.2,0.1
230010410002033,1.8,2.3,0.1,0,0,1.4,2.6,0.2,0.1
230010410002019,0,0,0,0,0,0,0,0,0
230010410002038,0,0,0,0,0,0,0,0,0
230010108001012,92.7,66.4,3.4,1.5,0.2,76.1,77.6,6.9,2.7
230010107002013,2.4,2.3,0.1,0,0,1.9,2.6,0.2,0.1
230010104001003,83.3,78.1,2.8,1.5,0.7,65.9,89.5,7.7,3.5
230010107002058,5.4,5.1,0.2,0.1,0,4.3,5.9,0.5,0.2
230010107001010,28.8,27,1,0.5,0.2,22.8,30.9,2.7,1.2
230010104002006,67.2,63,2.3,1.2,0.5,53.2,72.2,6.2,2.8
230010107002037,0.9,0.9,0,0,0,0.7,1,0.1,0
230010102003047,25.3,18.1,0.9,0.4,0.1,20.8,21.2,1.9,0.7
230010107002041,0,0,0,0,0,0,0,0,0
230010430001018,5.5,7.5,0.2,0.1,0,4.3,8.4,0.3,0.1
230010440003025,7.9,11.7,0.3,0.3,0,6.7,12.1,0.9,0.4
230010440003000,27.3,40.5,1.1,1,0.1,23.2,42,3.3,1.5
230010440001031,0,0,0,0,0,0,0,0,0
230010440003041,8.8,13,0.4,0.3,0,7.5,13.5,1.1,0.5
230010440001018,0.7,1,0,0,0,0.6,1.1,0.1,0
230010440002013,29.3,43.6,1.2,1.1,0.1,24.9,45.2,3.5,1.7
230010440003002,6.2,9.3,0.3,0.2,0,5.3,9.6,0.8,0.4
230010440001021,3,4.5,0.1,0.1,0,2.6,4.6,0.4,0.2
230010440001026,7.2,10.6,0.3,0.3,0,6.1,11,0.9,0.4
230010440001029,11.3,16.8,0.5,0.4,0,9.6,17.4,1.4,0.6
230010440003044,0,0,0,0,0,0,0,0,0
230010440003075,0,0,0,0,0,0,0,0,0
230010440003001,3.9,5.8,0.2,0.1,0,3.3,6,0.5,0.2
230010415002003,26.6,40.1,1.7,0.9,0.1,20.7,42.9,3.4,2.1
230010415002019,2,3,0.1,0.1,0,1.6,3.2,0.3,0.2
230010460001017,10.7,19.3,0.4,0.3,0,8,21.2,1.1,0.4
230010460001006,0,0,0,0,0,0,0,0,0
230010460003024,0,0,0,0,0,0,0,0,0
230010460003021,12.1,21.8,0.4,0.4,0.1,9,24,1.2,0.5
230010460003002,4.4,7.9,0.2,0.1,0,3.3,8.7,0.4,0.2
230010460001013,0.5,1,0,0,0,0.4,1.1,0.1,0
230010460002019,0,0,0,0,0,0,0,0,0
230010460001019,13.2,23.8,0.5,0.4,0.1,9.9,26.2,1.3,0.5
230010460002027,0,0,0,0,0,0,0,0,0
230010460002021,0,0,0,0,0,0,0,0,0
230010460002022,25.3,45.6,0.9,0.7,0.1,18.9,50.1,2.5,1
230010460002007,1.9,3.5,0.1,0.1,0,1.4,3.8,0.2,0.1
230010420003003,0,0,0,0,0,0,0,0,0
230010420004028,2.7,4.3,0.1,0.1,0,2.1,4.7,0.2,0.1
230010420001024,0,0,0,0,0,0,0,0,0
230010420004004,9.6,15.2,0.4,0.2,0,7.5,16.6,0.8,0.4
230010420004018,1.8,2.8,0.1,0,0,1.4,3.1,0.2,0.1
230010420004063,0,0,0,0,0,0,0,0,0
230010420004057,0,0,0,0,0,0,0,0,0
230010420003001,0,0,0,0,0,0,0,0,0
230010420003016,0,0,0,0,0,0,0,0,0
230010420001020,0,0,0,0,0,0,0,0,0
230010420002035,0,0,0,0,0,0,0,0,0
230010205003020,0.6,0.8,0,0,0,0.4,0.9,0,0
230010302001025,0,0,0,0,0,0,0,0,0
230010302002002,3.3,4.2,0.2,0.1,0,2.6,4.6,0.4,0.2
230010301001049,0,0,0,0,0,0,0,0,0
230010301002018,4.9,6.3,0.3,0.1,0,3.9,6.9,0.6,0.3
230010301002033,20.5,26.5,1.2,0.6,0.1,16.3,29.1,2.4,1.1
230010301001047,0,0,0,0,0,0,0,0,0
230010301001008,0.3,0.4,0,0,0,0.3,0.5,0,0
230010301002046,11.4,14.7,0.7,0.3,0.1,9.1,16.1,1.3,0.6
230010301002003,15.3,19.7,0.9,0.4,0.1,12.2,21.7,1.8,0.8
230010301002015,4.9,6.3,0.3,0.1,0,3.9,6.9,0.6,0.3
230010301001038,3.3,4.2,0.2,0.1,0,2.6,4.6,0.4,0.2
230010301002036,6.8,8.8,0.4,0.2,0,5.4,9.7,0.8,0.4
230010302002008,6.8,8.8,0.4,0.2,0,5.4,9.7,0.8,0.4
230010302002024,20.2,26,1.2,0.6,0.1,16.1,28.6,2.3,1.1
230010302001003,16.3,21,0.9,0.4,0.1,13,23.1,1.9,0.9
230010302001021,4.6,5.9,0.3,0.1,0,3.6,6.5,0.5,0.3
230010102003054,0,0,0,0,0,0,0,0,0
230010105002005,0,0,0,0,0,0,0,0,0
230010103002011,27.4,19.6,1,0.5,0.1,22.5,22.9,2,0.8
230010104001012,11.2,10.5,0.4,0.2,0.1,8.9,12,1,0.5
230010104002020,6.1,5.7,0.2,0.1,0,4.8,6.5,0.6,0.3
230010104002017,6.7,6.2,0.2,0.1,0.1,5.3,7.2,0.6,0.3
230010104002000,0,0,0,0,0,0,0,0,0
230010104002002,5.4,5.1,0.2,0.1,0,4.3,5.9,0.5,0.2
230010101001010,8.2,7.7,0.3,0.1,0.1,6.5,8.8,0.8,0.3
230010101001004,0,0,0,0,0,0,0,0,0
230010101002010,7,6.5,0.2,0.1,0.1,5.5,7.5,0.6,0.3
230010101002007,17,15.9,0.6,0.3,0.1,13.4,18.2,1.6,0.7
230010106002050,0,0,0,0,0,0,0,0,0
230010103002018,7.2,5.1,0.3,0.1,0,5.9,6,0.5,0.2
230010105002012,2.6,2.4,0.1,0.1,0,2.1,2.7,0.3,0.1
230010105001008,0,0,0,0,0,0,0,0,0
230010105002029,13.5,12.2,0.6,0.4,0,10.7,13.9,1.5,0.7
230010103002016,13.1,9.4,0.5,0.2,0,10.7,10.9,1,0.4
230010106001003,10.1,9.1,0.5,0.3,0,8,10.4,1.2,0.5
230010105002032,7.1,6.4,0.3,0.2,0,5.7,7.3,0.8,0.4
230010106002008,0,0,0,0,0,0,0,0,0
230010440002026,8.5,12.7,0.3,0.3,0,7.3,13.2,1,0.5
230010415003001,23.4,35.4,1.5,0.8,0.1,18.3,37.8,3,1.9
230010415003042,5.7,8.6,0.4,0.2,0,4.5,9.2,0.7,0.5
230010415003025,0,0,0,0,0,0,0,0,0
230010415003016,0,0,0,0,0,0,0,0,0
230010415002040,0,0,0,0,0,0,0,0,0
230010415002017,3.7,5.6,0.2,0.1,0,2.9,6,0.5,0.3
230010415003014,14.6,22,0.9,0.5,0,11.4,23.5,1.8,1.2
230010415003030,0,0,0,0,0,0,0,0,0
230010107002003,1.8,1.7,0.1,0,0,1.4,2,0.2,0.1
230010108002008,3.8,2.7,0.1,0.1,0,3.1,3.2,0.3,0.1
230010400002012,0,0,0,0,0,0,0,0,0
230010400002002,22.5,21.9,1,0.4,0.1,17.1,25.8,2.7,0.7
230010400002009,77.8,75.5,3.6,1.5,0.4,59,89,9.3,2.3
230010400001011,0,0,0,0,0,0,0,0,0
230010400002040,0,0,0,0,0,0,0,0,0
230010400001033,0,0,0,0,0,0,0,0,0
230010400002010,0,0,0,0,0,0,0,0,0
230010400002005,4.1,4,0.2,0.1,0,3.1,4.7,0.5,0.1
230010460002001,0.8,1.5,0,0,0,0.6,1.6,0.1,0
230010460002005,0,0,0,0,0,0,0,0,0
230010415002026,0.3,0.4,0,0,0,0.2,0.5,0,0
230010415003011,0,0,0,0,0,0,0,0,0
230010415002001,2.6,3.9,0.2,0.1,0,2,4.1,0.3,0.2
230010415002036,7.7,11.6,0.5,0.3,0,6,12.4,1,0.6
230010415002039,1.7,2.6,0.1,0.1,0,1.3,2.8,0.2,0.1
230010415003038,3.4,5.2,0.2,0.1,0,2.7,5.5,0.4,0.3
230010415003031,0,0,0,0,0,0,0,0,0
230010415003040,1.7,2.6,0.1,0.1,0,1.3,2.8,0.2,0.1
230010415003049,15.7,23.7,1,0.5,0,12.3,25.3,2,1.3
230010415002020,2,3,0.1,0.1,0,1.6,3.2,0.3,0.2
230010415002029,3.7,5.6,0.2,0.1,0,2.9,6,0.5,0.3
230010415003020,12.9,19.4,0.8,0.4,0,10,20.7,1.6,1
230010415002008,4.6,6.9,0.3,0.2,0,3.6,7.4,0.6,0.4
230010450001058,0,0,0,0,0,0,0,0,0
230010450001101,0,0,0,0,0,0,0,0,0
230010450001054,0,0,0,0,0,0,0,0,0
230010209003019,28.3,28.1,1.2,0.5,0.1,21.9,32.9,1.7,1.3
230010206002003,4.3,5.7,0.2,0.1,0,3.4,6.6,0.4,0.2
230010207001000,52.9,52.7,2.2,1,0.2,41,61.6,3.2,2.5
230010209003030,1.8,1.8,0.1,0,0,1.4,2.1,0.1,0.1
230010209003004,5.5,2.5,0.1,0.2,0,4.8,2.9,0.4,0.1
230010209002009,0,0,0,0,0,0,0,0,0
230010209002016,9.9,4.6,0.2,0.3,0,8.7,5.3,0.7,0.2
230010205003015,0,0,0,0,0,0,0,0,0
230010207001015,22.8,22.7,0.9,0.4,0.1,17.7,26.6,1.4,1.1
230010207001028,16.3,16.2,0.7,0.3,0.1,12.6,19,1,0.8
230010209001007,0,0,0,0,0,0,0,0,0
230010207001016,0,0,0,0,0,0,0,0,0
230010420003036,5.4,8.5,0.2,0.1,0,4.2,9.4,0.5,0.3
230010465004010,1.2,2.6,0.1,0,0,0.8,2.8,0.1,0.1
230010465004056,5.1,11.2,0.3,0.1,0.1,3.6,12.5,0.4,0.3
230010465004058,18.7,41.4,1,0.4,0.2,13.1,45.9,1.4,1.1
230010465004024,4.4,9.7,0.2,0.1,0,3.1,10.8,0.3,0.3
230010465004031,0,0,0,0,0,0,0,0,0
230010465004054,0,0,0,0,0,0,0,0,0
230010465004037,0,0,0,0,0,0,0,0,0
230010465004045,0,0,0,0,0,0,0,0,0
230010465004034,2.8,6.1,0.1,0.1,0,1.9,6.8,0.2,0.2
230010106002025,1.5,1.4,0.1,0,0,1.2,1.5,0.2,0.1
230010106002035,52.6,47.4,2.4,1.4,0.1,41.7,54.1,6,2.8
230010440003008,18.7,27.8,0.8,0.7,0.1,15.9,28.8,2.3,1.1
230010440003059,0.7,1,0,0,0,0.6,1.1,0.1,0
230010440003014,0.5,0.7,0,0,0,0.4,0.7,0.1,0
230010440003049,3.9,5.8,0.2,0.1,0,3.3,6,0.5,0.2
230010440001009,0,0,0,0,0,0,0,0,0
230010440003063,0,0,0,0,0,0,0,0,0
230010440001013,8.8,13,0.4,0.3,0,7.5,13.5,1.1,0.5
230010440002012,0,0,0,0,0,0,0,0,0
230010440001025,9.9,14.8,0.4,0.4,0,8.4,15.3,1.2,0.6
230010440001008,8.1,12,0.3,0.3,0,6.9,12.5,1,0.5
230010440002025,3.5,5.1,0.1,0.1,0,2.9,5.3,0.4,0.2
230010440002033,6.5,9.6,0.3,0.2,0,5.5,10,0.8,0.4
230010440003061,0.9,1.4,0,0,0,0.8,1.4,0.1,0.1
230010400001008,52,50.5,2.4,1,0.3,39.4,59.5,6.2,1.5
230010400001024,4.1,4,0.2,0.1,0,3.1,4.7,0.5,0.1
230010400002042,0,0,0,0,0,0,0,0,0
230010400001001,0,0,0,0,0,0,0,0,0
230010400002015,17.9,17.4,0.8,0.4,0.1,13.6,20.5,2.1,0.5
230010400002001,0,0,0,0,0,0,0,0,0
230010460002029,61.8,111.4,2.2,1.8,0.3,46.2,122.6,6.2,2.5
230010460003037,2.5,4.5,0.1,0.1,0,1.8,4.9,0.2,0.1
230010460001008,1.1,2,0,0,0,0.8,2.2,0.1,0
230010460003033,0,0,0,0,0,0,0,0,0
230010410001042,17.9,22.4,0.7,0.3,0.1,13.7,25.3,1.6,0.6
230010410001003,0,0,0,0,0,0,0,0,0
230010410003022,55.9,69.8,2.2,1.1,0.4,42.7,79.1,5,2
230010410002048,0,0,0,0,0,0,0,0,0
230010410003037,5.8,7.3,0.2,0.1,0,4.5,8.3,0.5,0.2
230010410003034,0,0,0,0,0,0,0,0,0
230010410002001,9.1,11.4,0.4,0.2,0.1,7,12.9,0.8,0.3
230010410001020,0,0,0,0,0,0,0,0,0
230010410003012,5.5,6.8,0.2,0.1,0,4.2,7.8,0.5,0.2
230010410003026,0,0,0,0,0,0,0,0,0
230010410002058,0,0,0,0,0,0,0,0,0
230010410002082,0,0,0,0,0,0,0,0,0
230010106002026,2.1,2,0.1,0,0,1.7,2.3,0.2,0.1
230010106002062,0,0,0,0,0,0,0,0,0
230010106002069,2.4,2.3,0.1,0,0,1.9,2.6,0.2,0.1
230010102003021,3.4,2.4,0.1,0.1,0,2.8,2.8,0.3,0.1
230010102002001,6.3,4.5,0.2,0.1,0,5.2,5.3,0.5,0.2
230010102001017,41.7,29.9,1.5,0.7,0.1,34.3,34.9,3.1,1.2
230010102002014,0,0,0,0,0,0,0,0,0
230010102001003,1.7,1.2,0.1,0,0,1.4,1.4,0.1,0
230010102001011,13.5,9.7,0.5,0.2,0,11.1,11.3,1,0.4
230010108001020,7.2,5.1,0.3,0.1,0,5.9,6,0.5,0.2
