GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRFIS,G18USSDRAY,G18USSLSCH,G18GOVRRIC,G18GOVDKRI,G18SOSREVN,G18SOSDDAN,G18TRERMUR,G18ATGRPET,G18AUDRJAN,G18AUDDSKI
3103100011P,31,031,00011P,30.48,1.03,5.06,34.58,3,38.65,0,30.65,30.65,33.65,0
3103100012P,31,031,00012P,24,3,1,20,7,20,3,17,17,19,2
3103100013P,31,031,00013P,49,9,2,49,14,49,7,46,46,45,4
3103100014P,31,031,00014P,72,6,9,73,12,70,7,71,68,67,9
3103100015P,31,031,00015P,14.52,0.97,1.94,17.42,0,19.35,0,19.35,19.35,19.35,0
3103100016P,31,031,00016P,35,2,1,31,7,31,2,29,30,33,3
3103100017P,31,031,00017P,46,2,1,38,12,47,1,44,43,41,1
3103100018P,31,031,00018P,69,8,1,63,12,64,3,64,64,57,10
3103100019P,31,031,00019P,94,9,10,94,21,101,3,99,98,97,9
3103100020P,31,031,00020P,62,0,1,68,0,63,1,61,61,56,2
3103300001P,31,033,00001P,233,28,6,239,30,236,26,247,244,229,31
3103300002P,31,033,00002P,189,34,14,190,46,188,42,203,201,186,43
3103300003P,31,033,00003P,214.87,48.97,5,204.88,62.96,209.88,49.97,230.86,225.87,203.88,51.97
3103300004P,31,033,00004P,198.5,23.08,9.02,200.49,31.12,195.49,28.1,214.53,208.53,192.47,33.13
3103300005P,31,033,00005P,295.64,80.26,8.09,295.3,84.81,306.79,71.3,333.17,333.03,290.16,81.25
3103300006P,31,033,00006P,502,108,14,493,133,510,110,546,537,483,127
3103300007P,31,033,00007P,299.19,102.05,23.01,299.19,124.05,308.2,109.05,355.21,343.21,298.19,111.05
3103300009P,31,033,00009P,227,87,13,217,108,240,83,276,272,225,91
3103300010P,31,033,00010P,406.67,67.61,18.88,395.02,95.02,400.52,84.55,432.09,427.23,380.18,102.57
3103500001P,31,035,00001P,135,32,6,138,33,133,32,151,150,124,34
3103500002P,31,035,00002P,253,106,33,290,103,268,101,328,327,260,99
3103500003P,31,035,00003P,165,39,4,171,39,161,31,169,174,158,31
3103500004P,31,035,00004P,143,34,7,146,36,144,32,146,155,131,35
3103500005P,31,035,00005P,124,29,12,134,30,131,25,141,146,122,30
3103500006P,31,035,00006P,135,32,4,152,24,138,21,141,141,134,26
3103500007P,31,035,00007P,196,63,11,213,55,197,57,227,228,187,65
