GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRSAS,G20USSDJAN,G20USSLSIA
3104500010P,31,045,00010P,378,68,8,361,49,27
3104500011P,31,045,00011P,238,40,4,223,37,19
3104500013P,31,045,00013P,54.78,32.01,3.22,57.36,22.13,6.01
3104700001P,31,047,00001P,147,12,2,144,10,4
3104700002P,31,047,00002P,220,39,8,208,24,20
3104700003P,31,047,00003P,78,15,1,75,12,3
3104700004P,31,047,00004P,219,27,9,215,16,14
3104700005P,31,047,00005P,183,44,7,190,27,10
3104700006P,31,047,00006P,114,27,2,117,17,6
3104700007P,31,047,00007P,126,11,2,103,15,7
3104700008P,31,047,00008P,182,35,4,175,24,14
3104700009P,31,047,00009P,295,78,2,292,51,20
3104700010P,31,047,00010P,214,52,3,208,35,19
3104700011P,31,047,00011P,481,77,6,443,52,48
3104700012P,31,047,00012P,689,202,21,681,131,63
3104700013P,31,047,00013P,728,192,19,741,125,34
3104700015P,31,047,00015P,650,172,9,637,117,41
3104700016P,31,047,00016P,673,168,13,636,126,49
3104700017P,31,047,00017P,110,141,4,114,123,11
3104700018P,31,047,00018P,220,234,9,229,168,25
3104700019P,31,047,00019P,425,304,12,455,233,27
3104700020P,31,047,00020P,511,357,11,537,260,38
3104700021P,31,047,00021P,259,310,13,260,264,26
3104900001P,31,049,00001P,292,56,5,278,40,17
3104900002P,31,049,00002P,276.51,30.74,8.91,256.68,29.74,21.8
3104900003P,31,049,00003P,302.69,54.3,6.09,302.5,34.29,23.21
3105100001P,31,051,00001P,360,95,6,323,91,26
3105100003P,31,051,00003P,215.9,39.98,7,216.9,34.98,10.99
3105100004P,31,051,00004P,205,33,7,190,22,19
3105100005P,31,051,00005P,250,44,16,247,30,21
3105100006P,31,051,00006P,266,53,14,234,45,33
3105100007P,31,051,00007P,103,30,4,90,26,5
3105100008P,31,051,00008P,167,57,7,146,42,16
3105100009P,31,051,00009P,182.94,48.42,9.06,163.41,35.83,25.18
3105100010P,31,051,00010P,173,63,5,167,50,10
3105100011P,31,051,00011P,187.1,58.02,12,180.1,38.02,22.01
3105100012P,31,051,00012P,94.22,50.06,5.01,98.2,38.04,4.03
3105100013P,31,051,00013P,130.84,79.52,4.92,150.39,48.12,13.79
3105300001P,31,053,00001P,343,79,6,325,58,29
3105300002P,31,053,00002P,203,42,3,200,21,14
3105300003P,31,053,00003P,197.99,53,5,191.99,27,20
3105300004P,31,053,00004P,366,100,5,360,55,32
3105300005P,31,053,00005P,476.49,129.86,10.99,479.49,61.93,33.96
3105300006P,31,053,00006P,392,147,8,391,86,35
3105300007P,31,053,00007P,514.92,189.79,12.97,510.93,128.89,50.89
3105300008P,31,053,00008P,180.57,119.33,6.31,192.19,74.43,16.51
3105300009P,31,053,00009P,236.92,90.24,2.75,233.4,44.96,23.43
3105300010P,31,053,00010P,594,288,18,613,173,67
3105300011P,31,053,00011P,220,112,9,228,72,23
3105300012P,31,053,00012P,292,201,7,311,125,42
3105300013P,31,053,00013P,444.18,291.52,27.58,497.37,180.23,52.2
3105300014P,31,053,00014P,382.7,253.23,9.3,434.63,128.45,31.39
3105300015P,31,053,00015P,315.68,227.42,8.03,315.76,170.21,31.06
3105300016P,31,053,00016P,412.6,277.28,10.87,456.13,144.45,42
3105300017P,31,053,00017P,262,191,16,277,117,36
3105300018P,31,053,00018P,212.4,135.72,6.13,233.87,70.55,23
3105300019P,31,053,00019P,199,136,7,206,77,24
3105300020P,31,053,00020P,388,233,20,405,159,48
3105300021P,31,053,00021P,582,280,10,654,124,30
3105300022P,31,053,00022P,617.99,313.76,16.02,696.74,173.37,30.32
3105300023P,31,053,00023P,110.16,117.21,9.38,120.23,74.25,20.79
3105300024P,31,053,00024P,201.84,146.79,10.62,203.77,119.75,22.21
3105300025P,31,053,00025P,287,213,13,298,154,34
3105300026P,31,053,00026P,188,104,11,190,74,22
3105300027P,31,053,00027P,271,172,13,281,118,38
3105300028P,31,053,00028P,382,233,11,392,164,47
3105300029P,31,053,00029P,559.42,295.11,17,557.39,200.05,53.04
3105300030P,31,053,00030P,345.01,131,7,345.01,83,31
3105300031P,31,053,00031P,450,164,19,445,103,41
3105300033P,31,053,00033P,354,77,12,350,46,30
31055001-02,31,055,001-02,777.21,701.81,27.67,821.47,404.34,113.31
31055001-03,31,055,001-03,380,571,12,460,333,45
31055001-04,31,055,001-04,310.11,794.2,26.45,355.62,559.91,59.18
31055001-05,31,055,001-05,421.17,727.12,18.99,450.27,457.59,91.39
31055001-07,31,055,001-07,341,1001,39,403,566,96
31055001-08,31,055,001-08,373,938,26,447,483,91
31055001-09,31,055,001-09,323,628,23,355,416,82
31055001-10,31,055,001-10,265,316,17,291,189,52
31055001-11,31,055,001-11,372,681,37,411,386,78
31055001-12,31,055,001-12,60,57,6,67,36,11
31055001-13,31,055,001-13,598,885,28,714,507,84
31055001-14,31,055,001-14,407,1275,32,554,567,83
31055001-15,31,055,001-15,512,1030,45,570,665,115
31055001-16,31,055,001-16,362,566,17,401,345,74
31055001-17,31,055,001-17,251,999,20,334,507,92
31055001-18,31,055,001-18,508,1190,23,717,470,92
31055001-19,31,055,001-19,471,821,25,590,347,85
31055001-20,31,055,001-20,440.93,687.94,14.19,502.26,402.53,75.77
31055001-21,31,055,001-21,458.92,816.3,26.88,565.44,484.8,76.65
31055001-22,31,055,001-22,456.4,621.02,7.94,556.61,275.78,49.6
31055001-23,31,055,001-23,414.88,674.14,19.54,465.35,435.22,70.47
31055001-24,31,055,001-24,381,659,21,455,395,67
31055001-25,31,055,001-25,284,602,34,357,379,72
31055001-26,31,055,001-26,189,778,16,262,330,47
31055001-27,31,055,001-27,509.08,579.19,19.19,607.4,288.79,60.79
31055001-28,31,055,001-28,485,605,27,529,372,67
31055001-29,31,055,001-29,441,576,35,483,378,69
31055001-30,31,055,001-30,502.88,699.21,27.34,570.52,445.84,82.97
31055001-31,31,055,001-31,559.52,846.2,18.32,664.21,473.49,68.55
31055002-01,31,055,002-01,266.12,595.8,29.32,287.58,415.35,69.04
31055002-02,31,055,002-02,221,689,30,247,504,70
31055002-03,31,055,002-03,302.36,902.12,25.77,340.03,649.33,69.39
31055002-04,31,055,002-04,118.68,623.32,11.98,133.58,477.44,40.78
31055002-05,31,055,002-05,97.21,491.42,16.39,116.55,366.13,44.23
31055002-06,31,055,002-06,133.44,584.56,17.93,148.38,409.29,54.77
31055002-07,31,055,002-07,101,623,11,115,466,36
31055002-08,31,055,002-08,92.45,634.26,10.94,99.41,496.07,49.71
31055002-09,31,055,002-09,52.35,717,12.04,77.4,561.17,25.2
31055002-10,31,055,002-10,86,633,10,104,488,38
31055002-11,31,055,002-11,140,839,12,177,581,57
31055002-12,31,055,002-12,224,851,28,282,630,48
31055002-13,31,055,002-13,54,541,17,67,430,36
31055002-14,31,055,002-14,237,835,28,287,533,81
31055002-15,31,055,002-15,112.41,977.85,19.02,144.54,736.43,55.05
31055002-16,31,055,002-16,109.41,694.24,13.92,151.18,498.3,43.76
31055002-17,31,055,002-17,194,729,21,225,533,59
31055002-18,31,055,002-18,137.62,284.28,6.98,179.51,144.65,17.96
31055002-19,31,055,002-19,113.09,635.63,22.44,145.49,470.7,46.47
31055002-20,31,055,002-20,89,608,8,95,491,43
31055002-21,31,055,002-21,74.65,648,7.96,86.6,468.83,43.8
31055002-22,31,055,002-22,58,590,8,83,446,24
31055002-23,31,055,002-23,231.64,522.88,12.23,247.97,353.67,58.61
31055002-24,31,055,002-24,339,582,26,358,420,71
31055002-25,31,055,002-25,317.89,865.8,34.55,357.38,611.09,90.82
31055003-02,31,055,003-02,261,957,18,345,560,75
31055003-03,31,055,003-03,292,1022,22,357,595,85
31055003-04,31,055,003-04,154,452,11,187,219,46
31055003-05,31,055,003-05,302.1,806.5,27.14,344.55,459.96,89.35
31055003-06,31,055,003-06,223.56,840.62,28.07,280.77,529.61,69.23
31055003-07,31,055,003-07,350,1163,36,464,655,110
31055003-08,31,055,003-08,347,819,27,430,399,81
31055003-09,31,055,003-09,430,988,29,532,519,95
31055003-10,31,055,003-10,215,496,14,272,254,53
31055003-11,31,055,003-11,149,417,12,179,295,36
31055003-12,31,055,003-12,361,645,17,427,332,57
31055003-13,31,055,003-13,310,767,27,381,456,84
31055003-14,31,055,003-14,445,843,32,531,427,93
31055003-15,31,055,003-15,408,940,35,503,477,83
