GEOID,G18GOVRSUN,G18GOVDKEL,G18GOVIJAR,G18GOVOWRI
330019658002044,0,0,0,0
330019658001002,0,0,0,0
330019658002008,0,0,0,0
330019658004005,3.8,1.8,0.1,0
330019658001020,3.8,1.8,0.1,0
330019658004089,11.4,5.4,0.2,0
330019658003022,3.5,1.6,0.1,0
330019658003089,0,0,0,0
330019658003058,3.8,1.8,0.1,0
330019658003051,0,0,0,0
330019661004044,0,0,0,0
330019662003024,0,0,0,0
330019661004074,0,0,0,0
330019661004072,2.9,1.6,0,0
330019662003025,0,0,0,0
330019662003051,0,0,0,0
330019661004039,0,0,0,0
330019661004056,0,0,0,0
330019661002030,0,0,0,0
330019662003000,0,0,0,0
330019660004074,0,0,0,0
330019660004071,0,0,0,0
330019661001016,1.4,1.1,0,0
330019661004068,0,0,0,0
330019659003010,0,0,0,0
330019662002023,0,0,0,0
330019661004066,0,0,0,0
330019661004032,0.4,0.2,0,0
330019652001059,6.6,4.1,0.1,0
330019665004008,4.2,1.6,0,0
330019665001046,0,0,0,0
330019665002034,0,0,0,0
330019665003120,0,0,0,0
330019665003055,12.6,4.9,0.1,0
330019665004079,27.1,10.4,0.2,0
330019657001067,3.9,2.2,0.1,0
330019657001066,0.4,0.2,0,0
330019657002057,0,0,0,0
330019665004130,0,0,0,0
330019665004053,0,0,0,0
330019665003065,0,0,0,0
330019665003067,1.9,0.7,0,0
330019657001002,0,0,0,0
330019657001016,2.9,1.6,0.1,0
330019657001056,5.7,3.2,0.2,0
330019660004067,0,0,0,0
330019660003018,1,0.7,0,0
330019660003043,0.5,0.4,0,0
330019660004018,3.6,1.9,0.1,0
330019660001032,0,0,0,0
330019659003016,0.6,0.4,0,0
330019662003007,18.5,10.4,0.3,0
330019661004012,6.1,3.3,0.1,0
330019659003011,0,0,0,0
330019659003026,0.4,0.3,0,0
330019659004010,0,0,0,0
330019659001019,1.3,0.8,0.1,0
330019659004023,0,0,0,0
330019659003009,0,0,0,0
330019659001003,2.5,1.8,0.1,0
330019661003013,9.9,5.5,0.1,0
330019661002039,12.7,7.2,0.2,0
330019661002035,5.3,3,0.1,0
330019665004004,0.5,0.2,0,0
330019665004011,0.9,0.4,0,0
330019665001042,0,0,0,0
330019665001037,4.7,1.8,0,0
330019665003009,0,0,0,0
330019665003069,14.5,5.6,0.1,0
330019665003010,0.9,0.4,0,0
330019665003046,0,0,0,0
330019665002044,8.4,3.2,0.1,0
330019665004034,2.3,0.9,0,0
330019665004104,1.4,0.5,0,0
330019665004131,0,0,0,0
330019665004052,0.9,0.4,0,0
330019665004032,0,0,0,0
330019656003008,0,0,0,0
330019656001034,0,0,0,0
330019656003013,29.3,15.6,0.7,0
330019656003072,3.4,1.8,0.1,0
330019656002020,0,0,0,0
330019656002036,1.1,0.6,0,0
330019656002038,0,0,0,0
330019656002044,0,0,0,0
330019656003038,0.8,0.4,0,0
330019656002004,0.8,0.4,0,0
330019659004020,22.5,14.6,1,0
330019660003038,6.4,4.6,0.2,0
330019660003025,0,0,0,0
330019662003040,11.5,6.5,0.2,0
330019662003011,0,0,0,0
330019659001027,0,0,0,0
330019659001028,9.4,6.8,0.3,0
330019659003025,0,0,0,0
330019660004030,0,0,0,0
330019660004025,0,0,0,0
330019654002000,0.8,0.5,0,0
330019654002099,0,0,0,0
330019654001042,0,0,0,0
330019655982031,7.4,5,0.2,0
330019655983015,0,0,0,0
330019655983012,0,0,0,0
330019655983042,38,25.6,1,0.1
330019655982010,0,0,0,0
330019655983076,2.5,1.7,0.1,0
330019655982037,31.9,21.6,0.8,0.1
330019655983055,0.3,0.2,0,0
330019655983060,1.6,1.1,0,0
330019655983061,0,0,0,0
330019654002107,0,0,0,0
330019651001061,0,0,0,0
330019651001040,0,0,0,0
330019664011043,0,0,0,0
330019664021023,1.2,0.8,0,0
330019664022009,0,0,0,0
330019664011118,3.7,2.3,0.1,0
330019664022008,0.8,0.5,0,0
330019664023017,0.8,0.5,0,0
330019664011026,4.1,2.5,0.1,0
330019664011073,0,0,0,0
330019664011145,12.8,7.8,0.2,0
330019664011058,0,0,0,0
330019664022042,0,0,0,0
330019664024011,0,0,0,0
330019664023016,4.1,2.5,0.1,0
330019664011163,0,0,0,0
330019664023024,115.9,70.5,1.7,0.1
330019664011084,21.9,13.3,0.3,0
330019651003003,0.4,0.3,0,0
330019651003081,14.5,10,0.5,0
330019651002111,0,0,0,0
330019651003075,2,1.4,0.1,0
330019651003044,0,0,0,0
330019651003118,0,0,0,0
330019651002085,1.2,0.8,0,0
330019651003133,0,0,0,0
330019651002029,6.2,4.3,0.2,0
330019651002073,2.7,1.9,0.1,0
330019651003024,0,0,0,0
330019651002072,0,0,0,0
330019651002107,0.8,0.5,0,0
330019654002037,0,0,0,0
330019654001055,0,0,0,0
330019651003102,0,0,0,0
330019651002054,24.6,17.1,0.8,0.1
330019658002056,0.6,0.3,0,0
330019658003031,5.4,2.5,0.1,0
330019658004072,10.4,4.9,0.2,0
330019658001011,0,0,0,0
330019658003074,1.6,0.7,0,0
330019658004027,2.2,1,0,0
330019658004091,0,0,0,0
330019658004057,0,0,0,0
330019658002060,0.6,0.3,0,0
330019658004029,0,0,0,0
330019658001023,0,0,0,0
330019658004061,0,0,0,0
330019658001035,0,0,0,0
330019651001068,0,0,0,0
330019651001062,2.1,1.2,0.1,0
330019651001037,0,0,0,0
330019651001078,0,0,0,0
330019651001024,0,0,0,0
330019651001014,12,7.2,0.4,0
330019651001043,0,0,0,0
330019651001046,0,0,0,0
330019653003012,0.8,0.5,0,0
330019652002002,3.1,1.9,0.1,0
330019653001017,25.3,15.5,0.5,0
330019652002039,12.4,7.7,0.3,0
330019653001026,0,0,0,0
