GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREOFUE,G20PREOKIN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSRERN,G20USSDGRE,G20USSLSTE,G20USSOHER,G20USSOWRI
19027027018,19,027,027018,238.85,105.76,3.97,0,0,0,0,0,0,0.44,230.04,101.36,10.14,3.08,0
19027027019,19,027,027019,308.76,135.94,5.15,0,0,0,0,0,0,0.56,297.06,130.54,13.14,4.03,0
19027027020,19,027,027020,259.04,59.25,1.38,0,0,0.69,0,0,0,1.38,243.88,66.83,4.82,0.69,0
19027027021,19,027,027021,276,82,0,0,1,0,0,0,0,0,260,88,7,0,0
19027027022,19,027,027022,689,285,7,0,0,1,0,1,0,4,635,299,16,15,2
19029029001,19,029,029001,134.52,52.92,1.18,0.3,0.15,0,0,0.44,0,0.59,126.24,57.21,2.66,1.18,0.15
19029029002,19,029,029002,121.2,47.68,1.07,0.27,0.13,0,0,0.4,0,0.53,113.74,51.54,2.4,1.07,0.13
19029029003,19,029,029003,110.91,49.74,2.86,0.34,0.17,0.17,0,0.17,0.17,0.17,103.35,52.93,4.37,1.85,0
19029029004,19,029,029004,267.33,119.9,6.89,0.81,0.41,0.41,0,0.41,0.41,0.41,249.11,127.59,10.53,4.46,0
19029029005,19,029,029005,66.35,29.76,1.71,0.2,0.1,0.1,0,0.1,0.1,0.1,61.83,31.67,2.61,1.11,0
19029029006,19,029,029006,215.41,96.61,5.55,0.65,0.33,0.33,0,0.33,0.33,0.33,200.72,102.81,8.49,3.59,0
19029029007,19,029,029007,131.44,51.72,1.16,0.29,0.14,0,0,0.43,0,0.58,123.35,55.91,2.6,1.16,0.14
19029029008,19,029,029008,131.52,51.74,1.16,0.29,0.14,0,0,0.43,0,0.58,123.43,55.93,2.6,1.16,0.14
19029029009,19,029,029009,2293.32,1185.94,27.44,2.86,6.43,1,0,5.29,0,5.72,2182.24,1182.41,63.74,23.44,5.43
19029029010,19,029,029010,258.95,89.47,2.18,0,0,0,0.73,0,0,0,249.49,90.92,2.18,2.18,0
19029029011,19,029,029011,97.05,33.53,0.82,0,0,0,0.27,0,0,0,93.51,34.08,0.82,0.82,0
19029029012,19,029,029012,181,47,1,0,0,0,0,1,0,0,173,53,1,2,0
19029029013,19,029,029013,88.97,36.16,0.41,0.81,0.41,0,0,0,0,0,78,43.47,1.63,1.63,0.41
19029029014,19,029,029014,130.03,52.84,0.59,1.19,0.59,0,0,0,0,0,114,63.53,2.37,2.37,0.59
19029029015,19,029,029015,49.96,16.32,0,0,0,0,0,0,0,0,50.45,14.84,0.49,0,0
19029029016,19,029,029016,51.04,16.68,0,0,0,0,0,0,0,0,51.55,15.16,0.51,0,0
19029029017,19,029,029017,175.31,61.08,1.92,0,0.27,0.27,0,0.82,0,0.27,172.84,61.91,3.01,1.64,0
19029029018,19,029,029018,464.69,161.92,5.08,0,0.73,0.73,0,2.18,0,0.73,458.16,164.09,7.99,4.36,0
19031031001,19,031,031001,269.76,167.71,5.87,0,0.39,0,0,0,0.39,1.18,257.24,166.14,11.35,1.96,0
19031031002,19,031,031002,217.94,121.97,4.83,1.21,0,0,0,0,0,0.6,204.66,123.17,7.85,3.62,0.6
19031031003,19,031,031003,373.59,231.28,8.14,0.07,0.52,0,0,0,0.52,1.61,356.05,229.26,15.65,2.83,0.04
19031031004,19,031,031004,312.22,150.35,5.76,2.3,0,0.58,0,1.15,0,0.58,293.21,154.96,13.83,2.88,0
19031031005,19,031,031005,189.58,90.58,1.01,0.34,0.34,0,0,0.34,0,1.35,179.48,92.26,5.05,2.36,0.34
19031031006,19,031,031006,240.65,114.98,1.28,0.43,0.43,0,0,0.43,0,1.71,227.82,117.12,6.41,2.99,0.43
