GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRREY,G18GOVDHUB,G18GOVLPOR,G18GOVOSIE,G18GOVOWRI,G18ATGDMIL,G18ATGLBAT,G18ATGOWRI,G18SOSRPAT,G18SOSDDEJ,G18SOSLOFE,G18SOSOWRI,G18TRERDAV,G18TREDFIT,G18TRELHIR,G18TREOWRI,G18AUDRMOS,G18AUDDSAN,G18AUDLPER,G18AUDOWRI,G18AGRRNAI,G18AGRDGAN,G18AGRLSTE,G18AGROWRI
19047047019,19,047,047019,202.8,147.2,4.8,2.22,0.05,219.47,65.94,2.17,195.72,135.8,10.89,0,160.25,172.3,7.61,0,184.93,138.26,14.2,0,191.53,133.83,14.71,0
19047047020,19,047,047020,50.13,22.44,1.81,0.3,0,43.98,15.38,0.29,48.13,20.97,1.56,0.09,37.24,31.85,1.83,0,43.69,24.55,2.02,0.09,46.19,22.81,2.33,0
19047047021,19,047,047021,865.93,588.37,23.37,9.06,0.39,924.72,255.63,7.72,828.15,541.07,36.93,0,666.24,720.67,28.68,0,814.01,547.1,46.61,0,807.9,547.93,51.99,1
19047047022,19,047,047022,65.59,29.43,2.41,0.38,0,57.6,20.17,0.38,62.93,27.53,2.03,0.13,48.72,41.74,2.41,0,57.09,32.22,2.66,0.13,60.39,29.94,3.04,0
19047047023,19,047,047023,162.38,72.87,5.97,0.94,0,142.59,49.94,0.94,155.78,68.16,5.03,0.31,120.61,103.33,5.97,0,141.34,79.78,6.6,0.31,149.5,74.12,7.54,0
19047047024,19,047,047024,239.97,107.68,8.82,1.39,0,210.73,73.8,1.39,230.22,100.72,7.43,0.46,178.24,152.71,8.82,0,208.87,117.9,9.75,0.46,220.94,109.54,11.14,0
19047047025,19,047,047025,109.41,45.32,0.29,0.58,0,85.45,32.91,0,99.59,43.01,2.6,0,87.47,58.89,2.6,0,93.24,44.75,4.91,0,97.28,45.61,3.46,0
19047047026,19,047,047026,82.59,34.21,0.22,0.44,0,64.51,24.84,0,75.18,32.47,1.96,0,66.03,44.46,1.96,0,70.39,33.78,3.7,0,73.44,34.43,2.62,0
19047047027,19,047,047027,20.81,8.62,0.05,0.11,0,16.25,6.26,0,18.94,8.18,0.49,0,16.64,11.2,0.49,0,17.73,8.51,0.93,0,18.5,8.68,0.66,0
19047047028,19,047,047028,83.06,34.41,0.22,0.44,0,64.87,24.98,0,75.61,32.66,1.97,0,66.41,44.71,1.97,0,70.79,33.97,3.73,0,73.86,34.63,2.63,0
19047047029,19,047,047029,28.49,11.8,0.08,0.15,0,22.25,8.57,0,25.94,11.2,0.68,0,22.78,15.34,0.68,0,24.28,11.65,1.28,0,25.33,11.88,0.9,0
19049049001,19,049,049001,107.83,104.84,4.49,1,0,152.76,50.42,1,116.32,95.35,3.99,0,87.86,121.31,5.49,0,99.35,110.83,6.49,0,104.34,104.34,6.99,0
