GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,cd_1990,cd_2000,ndv,nrv
21035010300,21,035,0103,7082,6095,490,83,7,293,4,3,107,6472,5578,442,74,7,277,3,2,89,NA,54642,92480,00870,1,5,NA,NA
21035010400,21,035,0104,2375,1939,279,78,7,34,1,3,34,1866,1564,202,44,4,28,1,2,21,NA,54642,92480,00870,1,5,NA,NA
21035010500,21,035,0105,3311,2997,190,64,4,20,1,1,34,2690,2471,142,44,2,16,1,0,14,NA,54642,92480,04380,1,5,NA,NA
21035010600,21,035,0106,6260,5946,115,59,9,79,0,8,44,5088,4861,86,37,9,73,0,3,19,NA,54642,92480,04380,1,5,NA,NA
21035010700,21,035,0107,3306,3217,47,22,5,3,0,1,11,2524,2459,36,17,4,3,0,0,5,NA,35380,90504,00870,1,5,NA,NA
21035010800,21,035,0108,3444,3371,7,44,5,4,0,3,10,2706,2661,2,30,5,4,0,1,3,NA,NA,92512,00870,1,5,NA,NA
21037050100,21,037,0501,2512,1877,502,63,3,9,0,12,46,1645,1285,295,41,3,8,0,0,13,NA,55884,92544,04440,4,2,NA,NA
21037050200,21,037,0502,1130,882,133,57,12,6,0,0,40,827,656,103,42,7,3,0,0,16,NA,55884,92544,04440,4,2,NA,NA
21037050300,21,037,0503,1181,1114,30,19,1,3,1,2,11,953,906,22,16,1,3,1,0,4,NA,55884,92544,04440,4,2,NA,NA
21037050400,21,037,0504,2261,2078,78,64,3,6,0,2,30,1740,1613,49,49,3,6,0,0,20,NA,55884,92544,04440,4,2,NA,NA
21037050500,21,037,0505,2717,2575,72,23,2,1,0,10,34,1867,1787,47,15,2,1,0,0,15,NA,55884,92544,04440,4,2,NA,NA
21037050600,21,037,0506,2001,1868,65,22,10,0,0,3,33,1432,1348,38,17,4,0,0,0,25,NA,55884,92544,04440,4,2,NA,NA
21037051101,21,037,051101,2655,2618,5,13,7,0,0,1,11,1870,1848,3,6,5,0,0,0,8,NA,20350,92544,01530,4,2,NA,NA
21037051102,21,037,051102,1472,1445,0,4,0,7,0,2,14,1130,1104,0,3,0,7,0,2,14,NA,20350,92544,01530,4,2,NA,NA
21037051200,21,037,0512,1584,1535,22,16,1,0,1,1,8,1106,1072,19,6,1,0,1,0,7,NA,20350,92544,01530,4,2,NA,NA
21037051300,21,037,0513,4516,4430,14,26,6,10,0,3,27,3268,3213,12,16,5,9,0,1,12,NA,28594,92544,02040,4,2,NA,NA
21037051901,21,037,051901,5005,4934,2,21,2,25,0,0,21,3392,3349,2,14,2,13,0,0,12,NA,00802,90040,00900,4,2,NA,NA
21037051903,21,037,051903,5055,4984,0,41,3,14,0,0,13,3716,3663,0,31,2,8,0,0,12,NA,00802,90040,00900,4,2,NA,NA
21037051904,21,037,051904,3593,3542,7,19,1,11,0,1,12,2566,2536,2,12,1,8,0,0,7,NA,15166,90040,00900,4,2,NA,NA
21037052001,21,037,052001,4465,4411,3,12,8,9,0,3,19,3238,3205,2,6,8,5,0,1,11,NA,15166,91448,00900,4,2,NA,NA
21037052002,21,037,052002,2712,2665,5,18,0,2,4,0,18,1876,1850,4,10,0,1,1,0,10,NA,11872,91448,00900,4,2,NA,NA
21037052100,21,037,0521,3941,3831,9,49,18,14,0,3,17,2881,2812,6,32,9,9,0,1,12,NA,05446,92544,00420,4,2,NA,NA
21037052200,21,037,0522,2435,2398,5,8,3,8,0,0,13,1891,1864,3,6,3,7,0,0,8,NA,05446,92544,00420,4,2,NA,NA
21037052301,21,037,052301,4680,4514,45,30,7,62,0,8,14,3703,3574,38,22,5,46,0,5,13,NA,28594,92544,04440,4,2,NA,NA
21037052302,21,037,052302,4853,4728,14,43,6,21,0,0,41,3555,3470,10,28,4,16,0,0,27,NA,28594,92544,02040,4,2,NA,NA
21037052400,21,037,0524,2814,2697,27,42,4,31,0,0,13,2149,2073,16,32,2,21,0,0,5,NA,55884,92544,04440,4,2,NA,NA
21037052500,21,037,0525,4974,4766,73,26,8,33,0,12,56,3712,3584,46,18,7,26,0,3,28,NA,55884,92544,04440,4,2,NA,NA
21037052600,21,037,0526,153,151,0,2,0,0,0,0,0,111,110,0,1,0,0,0,0,0,NA,83172,92544,00900,4,2,NA,NA
21037052800,21,037,0528,3755,3620,50,18,9,22,0,5,31,2909,2801,50,14,4,16,0,3,21,NA,28594,92544,02040,4,2,NA,NA
21037052900,21,037,0529,5590,5485,14,19,8,35,1,4,24,4222,4160,7,13,5,23,1,0,13,NA,16372,92544,00900,4,2,NA,NA
21037053000,21,037,0530,7851,7379,204,69,10,125,0,6,58,6661,6283,179,52,9,98,0,3,37,NA,36604,92544,00900,4,2,NA,NA
21037053100,21,037,0531,4711,4618,9,41,9,16,0,0,18,3479,3422,5,27,6,9,0,0,10,NA,16372,92544,00900,4,2,NA,NA
21039960100,21,039,9601,1628,1595,1,5,15,0,0,0,12,1221,1203,1,3,7,0,0,0,7,NA,NA,90968,00960,1,5,NA,NA
21039960200,21,039,9602,1976,1903,26,27,5,2,0,0,13,1545,1500,19,11,5,1,0,0,9,NA,03664,90160,00960,1,5,NA,NA
21039960300,21,039,9603,1747,1706,24,12,0,2,0,0,3,1334,1309,12,9,0,2,0,0,2,NA,02044,90080,00960,1,5,NA,NA
21041950100,21,041,9501,2490,2352,50,68,3,1,0,1,15,1792,1697,42,39,3,1,0,0,10,NA,30808,90608,00990,4,2,NA,NA
21041950200,21,041,9502,5600,5153,138,228,7,12,0,4,58,4241,3947,101,152,4,8,0,2,27,NA,13024,90608,00990,4,2,NA,NA
21041950300,21,041,9503,2065,1982,8,34,12,4,5,1,19,1552,1487,6,25,12,2,5,1,14,NA,62958,92840,00990,4,2,NA,NA
21043960100,21,043,9601,3370,3324,4,20,6,0,0,0,16,2520,2484,0,17,6,0,0,0,13,NA,NA,93552,01020,4,2,NA,NA
21043960200,21,043,9602,4334,4266,4,25,20,0,0,0,19,3249,3204,4,14,11,0,0,0,16,NA,57918,92608,01020,4,2,NA,NA
21043960300,21,043,9603,3080,3029,2,30,3,2,0,0,14,2347,2303,2,25,3,2,0,0,12,NA,57918,91440,01020,4,2,NA,NA
21043960400,21,043,9604,1743,1731,0,4,3,0,0,0,5,1346,1335,0,3,3,0,0,0,5,NA,NA,90616,01020,4,2,NA,NA
21043960500,21,043,9605,4136,4054,13,23,14,5,0,2,25,3215,3155,13,17,9,4,0,1,16,NA,32572,91480,01020,4,2,NA,NA
21043960600,21,043,9606,5863,5786,9,25,11,17,1,0,14,4440,4389,5,16,6,13,1,0,10,NA,32572,91480,01020,4,2,NA,NA
21043960700,21,043,9607,4363,4304,2,31,9,5,0,0,12,3189,3151,0,17,7,4,0,0,10,NA,NA,93704,01020,4,2,NA,NA
21045950100,21,045,9501,1251,1206,1,18,4,1,0,2,19,946,912,0,15,4,1,0,2,12,NA,NA,93280,01050,2,5,NA,NA
21045950200,21,045,9502,2326,2249,8,46,11,2,0,0,10,1725,1674,4,29,10,2,0,0,6,NA,NA,90736,01050,2,5,NA,NA
21045950300,21,045,9503,6211,6093,16,59,5,3,0,1,34,4775,4684,12,39,5,3,0,0,32,NA,46072,92040,01050,2,5,NA,NA
21045950400,21,045,9504,3164,3089,5,46,5,1,0,0,18,2406,2352,4,36,2,1,0,0,11,NA,NA,92296,01050,2,5,NA,NA
21045950500,21,045,9505,2495,2420,21,29,10,3,1,0,11,1809,1770,6,15,8,3,1,0,6,NA,NA,91088,01050,2,5,NA,NA
21047200100,21,047,2001,4400,1680,2581,77,5,8,0,9,40,3161,1296,1778,51,5,7,0,4,20,NA,37918,91768,01150,1,5,NA,NA
21047200200,21,047,2002,3389,2018,1237,46,8,7,1,9,63,2477,1635,771,30,7,5,1,1,27,NA,37918,91768,01150,1,5,NA,NA
21047200300,21,047,2003,3876,2115,1607,57,4,19,10,2,62,2736,1617,1039,31,3,17,5,0,24,NA,37918,91768,01150,1,5,NA,NA
21047200400,21,047,2004,2940,588,2242,41,5,14,2,2,46,2073,472,1535,28,5,10,2,1,20,NA,37918,91768,01150,1,5,NA,NA
21047200500,21,047,2005,3624,3047,346,98,17,61,8,9,38,2761,2386,224,66,10,46,5,2,22,NA,37918,91768,01150,1,5,NA,NA
21047200600,21,047,2006,4183,3633,366,73,10,63,2,0,36,3142,2794,236,43,8,41,2,0,18,NA,37918,91768,01150,1,5,NA,NA
21047200700,21,047,2007,5766,5293,294,93,6,43,2,5,30,4575,4266,194,56,5,34,2,0,18,NA,37918,91768,01150,1,5,NA,NA
21047200800,21,047,2008,2764,1319,1349,21,11,7,6,1,50,1866,1012,810,16,5,5,1,0,17,NA,37918,91768,01150,1,5,NA,NA
21047200900,21,047,2009,5219,4711,368,64,15,23,1,1,36,3864,3503,274,37,11,17,1,0,21,NA,37918,91768,01150,1,5,NA,NA
21047201000,21,047,2010,1987,1921,30,10,2,6,3,0,15,1503,1458,25,7,1,4,1,0,7,NA,20224,90928,01150,1,5,NA,NA
