GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,school,ssd,cd_1990,cd_2000,ndv,nrv
3105300026P,NE,053,26P,1434,39,1325,46,4,14,1,0,5,1155,28,1061,44,3,14,1,0,4,NA,17670,17670,NA,NA,70710,15,2,3,233.19261628821647,301.9995804709214
3105300027P,NE,053,27P,1175,35,1129,5,3,1,0,0,2,894,18,870,2,1,1,0,0,2,NA,17670,17670,NA,NA,70710,15,2,3,180.49714195815199,233.75551942944045
3105300028P,NE,053,28P,1121,11,1089,2,7,4,0,0,8,899,7,883,2,3,1,0,0,3,NA,17670,17670,NA,NA,70710,15,2,3,181.5066338035555,235.06287692065658
3105300029P,NE,053,29P,1594,49,1498,8,2,9,4,0,24,1143,27,1085,4,1,7,4,0,15,NA,17670,17670,NA,NA,70710,15,2,3,230.769835859248,298.86192249200275
3105300030P,NE,053,30P,827,8,813,1,0,2,0,0,3,646,5,636,1,0,2,0,0,2,NA,23025,23060,NA,NA,00115,15,2,3,254,381
3105300031P,NE,053,31P,1213,10,1197,1,2,1,0,0,2,885,4,875,1,2,1,0,0,2,NA,34720,34720,NA,NA,00114,15,2,3,244,236
3105300032P,NE,053,32P,200,2,196,0,1,1,0,0,0,130,1,128,0,1,0,0,0,0,NA,NA,39485,68352,76450,00114,23,2,3,43,38
3105300033P,NE,053,33P,971,9,954,3,1,0,0,0,4,745,7,737,1,0,0,0,0,0,NA,44280,44280,NA,NA,00076,15,2,3,144,251
3105500001P,NE,055,1P,1297,10,1259,3,14,1,0,0,10,989,7,966,3,9,1,0,0,3,NA,50020,92395,25440,NA,78030,21,3,1,121.11982378854626,230.04052863436124
3105500002P,NE,055,2P,1788,32,1714,10,8,6,1,5,12,1281,14,1247,4,5,4,1,2,4,NA,50020,92395,25440,NA,78030,21,3,1,156.88017621145374,297.95947136563876
3105500003P,NE,055,3P,569,15,540,9,0,2,0,0,3,409,8,395,3,0,0,0,0,3,NA,51665,93360,38790,NA,78360,21,3,1,80.97763048146375,100.58965553958367
3105500004P,NE,055,4P,459,12,445,0,0,0,0,0,2,330,7,323,0,0,0,0,0,0,NA,51665,93360,NA,NA,78360,21,3,1,65.33647447159666,81.16035777032423
3105500005P,NE,055,5P,1035,11,1015,0,1,2,0,1,5,809,6,797,0,1,0,0,0,5,NA,NA,93360,NA,NA,78030,21,3,1,160.1733571137021,198.96584677634033
3105500006P,NE,055,6P,979,3,962,0,1,2,1,1,9,713,1,706,0,0,2,1,0,3,NA,15080,90505,NA,NA,70110,21,3,1,141.1663827219649,175.35556087951872
3105500007P,NE,055,7P,981,7,961,3,1,3,1,0,5,723,4,709,3,0,3,1,0,3,NA,NA,90875,38790,NA,70110,21,3,1,143.14627588777086,177.81496566043762
3105500008P,NE,055,8P,2243,87,2108,10,10,12,0,0,16,1472,46,1399,5,8,6,0,0,8,NA,15080,90505,38790,NA,70110,39,3,1,291.4402740066372,362.02438375126445
3105500009P,NE,055,9P,1174,29,1125,3,0,5,0,3,9,739,16,711,2,0,5,0,0,5,NA,15080,90505,NA,NA,70110,39,3,1,146.3141049530604,181.7500133099079
3105500010P,NE,055,10P,1339,19,1312,4,0,2,0,0,2,993,10,978,2,0,2,0,0,1,NA,15080,90505,NA,NA,70110,39,3,1,196.60339136453177,244.21889474524838
3105500011P,NE,055,11P,1865,13,1837,1,2,8,0,0,4,1281,9,1261,1,2,5,0,0,3,NA,15080,90505,NA,NA,70110,39,3,1,253.62431453974338,315.0497524357131
3105500012P,NE,055,12P,1406,13,1374,1,8,5,0,0,5,941,6,927,1,4,3,0,0,0,NA,15080,90505,NA,NA,70110,39,3,1,186.30794690234077,231.42998988447002
3105500013P,NE,055,13P,159,0,158,0,1,0,0,0,0,115,0,114,0,1,0,0,0,0,NA,15080,90505,NA,NA,70110,21,3,1,22.768771406768533,28.283154980567534
3105500014P,NE,055,14P,831,18,797,9,0,7,0,0,0,620,8,601,6,0,5,0,0,0,NA,04405,91535,NA,NA,03990,39,3,1,122.75337627996947,152.48309641697278
3105500015P,NE,055,15P,957,14,928,2,0,6,0,0,7,660,6,648,0,0,2,0,0,4,NA,04405,91535,NA,NA,03990,39,3,1,130.67294894319332,162.32071554064845
3105500016P,NE,055,16P,2804,62,2568,55,2,83,1,0,33,2200,40,2036,41,2,62,0,0,19,NA,37000,91880,NA,NA,74820,39,3,1,435.576496477311,541.0690518021615
3105500017P,NE,055,17P,1431,17,1351,27,2,25,0,0,9,1040,13,987,17,2,18,0,0,3,NA,NA,91880,NA,NA,74820,39,3,1,205.90888924381974,255.77809721556724
3105500018P,NE,055,18P,1099,14,1022,22,1,23,0,3,14,724,6,677,14,1,18,0,2,6,NA,37000,91880,NA,NA,74820,39,3,1,143.34426520435144,178.0609061385295
3105500019P,NE,055,19P,1551,24,1396,21,2,73,0,1,34,1100,19,998,17,2,50,0,1,13,NA,37000,91880,NA,NA,74820,4,3,1,217.7882482386555,270.53452590108077
3105500020P,NE,055,20P,1101,24,1038,16,0,19,0,0,4,722,10,688,10,0,13,0,0,1,NA,37000,91880,NA,NA,74820,4,3,1,142.94828657119027,177.56902518234574
3105500021P,NE,055,21P,1540,3,1450,21,4,47,0,0,15,961,2,906,14,4,28,0,0,7,NA,37000,91880,NA,NA,74820,4,3,1,190.2677332339527,236.34879944630785
3105500022P,NE,055,22P,2042,41,1851,47,4,84,0,1,14,1218,19,1101,36,1,58,0,0,3,NA,37000,92237,NA,NA,74820,39,3,1,241.15098759516582,299.55550231592395
3105500023P,NE,055,23P,1069,25,961,18,5,52,2,0,6,850,21,768,16,3,36,2,0,4,NA,37000,92237,NA,NA,74820,39,3,1,168.29091909350652,209.04940637810785
3105500024P,NE,055,24P,1423,23,1284,49,10,26,0,0,31,977,16,895,33,8,19,0,0,6,NA,37000,92237,NA,NA,74820,39,3,1,193.43556229924224,240.2838470957781
3105500025P,NE,055,25P,1633,43,1482,44,13,30,1,2,18,1105,25,1020,24,5,22,1,0,8,NA,37000,92237,NA,NA,74820,39,3,1,218.7781948215585,271.7642282915402
3105500026P,NE,055,26P,1287,16,1184,39,2,28,0,0,18,1047,11,981,24,2,19,0,0,10,NA,37000,92237,NA,NA,74820,39,3,1,207.29481445988392,257.4996805622105
3105500027P,NE,055,27P,1725,19,1584,79,3,21,0,4,15,1247,11,1167,48,1,13,0,0,7,NA,37000,92237,NA,NA,74820,39,3,1,246.8926777760031,306.6877761805888
3105500028P,NE,055,28P,1242,20,1161,32,7,21,1,0,0,936,11,883,20,5,16,1,0,0,NA,37000,92237,NA,NA,74820,10,3,1,185.3180003194378,230.20028749401055
3105500029P,NE,055,29P,434,2,393,33,0,1,1,0,4,326,2,299,22,0,1,1,0,1,NA,37000,92237,NA,NA,74820,39,3,1,64.54451720527427,80.17659585795666
3105500030P,NE,055,30P,1363,42,1097,131,4,36,0,4,49,1195,35,987,106,3,32,0,2,30,NA,37000,92237,NA,NA,74820,39,3,1,236.59723331381213,293.89887131981044
3105500031P,NE,055,31P,1792,30,1233,464,6,8,0,8,43,1107,14,835,228,4,8,0,1,17,NA,37000,92237,NA,NA,74820,39,3,1,219.1741734547197,272.256109247724
3105500032P,NE,055,32P,1119,38,968,82,2,17,0,0,12,804,24,712,52,2,10,0,0,4,NA,37000,92237,NA,NA,74820,39,3,1,159.1834105307991,197.73614438588083
3105500033P,NE,055,33P,3773,97,3257,258,23,69,1,16,52,2516,54,2220,163,10,46,1,3,19,NA,37000,93240,NA,NA,74820,10,3,1,498.1411205167794,618.7862428791993
3105500034P,NE,055,34P,1188,50,954,132,2,32,0,1,17,891,26,736,95,2,26,0,1,5,NA,37000,92237,NA,NA,74820,10,3,1,176.40848107331098,219.13296597987542
3105500035P,NE,055,35P,998,23,870,77,1,16,1,0,10,773,13,682,60,1,12,1,0,4,NA,37000,92237,NA,NA,74820,10,3,1,153.04574171680068,190.11198956503222
3105500036P,NE,055,36P,696,9,662,13,0,8,0,0,4,527,5,504,12,0,4,0,0,2,NA,37000,91880,NA,NA,74820,4,3,1,104.34036983797407,129.61063195442688
3105500037P,NE,055,37P,2281,92,1675,337,10,108,7,2,50,1741,53,1347,219,7,90,2,1,22,NA,37000,92237,NA,NA,74820,39,3,1,344.6994001668175,428.1823723579833
3105500038P,NE,055,38P,870,16,819,8,1,12,0,0,14,557,8,533,3,1,6,0,0,6,NA,37000,92237,NA,NA,73740,4,3,1,110.28004933539192,136.9888462971836
3105500039P,NE,055,39P,409,5,394,3,0,7,0,0,0,326,2,315,3,0,6,0,0,0,NA,37000,92237,NA,NA,74820,4,3,1,64.54451720527427,80.17659585795666
3105500040P,NE,055,40P,1146,30,1024,44,2,36,0,2,8,808,12,740,26,1,25,0,1,3,NA,37000,92237,NA,NA,74820,39,3,1,159.9753677971215,198.7199062982484
3105500041P,NE,055,41P,1446,36,1258,58,1,77,0,0,16,1120,25,977,45,1,66,0,0,6,NA,37000,92237,NA,NA,74820,39,3,1,221.74803457026744,275.4533354629186
3105500042P,NE,055,42P,690,13,626,17,1,23,0,1,9,478,12,430,12,1,16,0,1,6,NA,37000,91880,NA,NA,74820,39,3,1,94.63889332552485,117.55954852792418
3105500043P,NE,055,43P,406,9,384,6,0,2,0,0,5,314,9,296,6,0,2,0,0,1,NA,37000,92237,NA,NA,74820,6,3,1,62.16864540630712,77.22531012085396
3105500044P,NE,055,44P,490,9,432,11,1,32,0,0,5,335,7,297,8,1,20,0,0,2,NA,37000,91880,NA,NA,74820,4,3,1,66.32642105449965,82.39006016078369
3105500045P,NE,055,45P,779,13,679,39,5,32,1,0,10,595,8,544,18,2,18,1,0,4,NA,37000,91880,NA,NA,74820,6,3,1,117.80364336545458,146.33458446467552
3105500046P,NE,055,46P,1581,50,1320,109,5,65,0,3,29,1236,36,1059,76,4,48,0,1,12,NA,37000,92237,NA,NA,74820,39,3,1,244.71479529361656,303.98243092157804
3105500047P,NE,055,47P,4,1,1,0,0,2,0,0,0,4,1,1,0,0,2,0,0,0,NA,37000,91880,NA,NA,74820,39,3,1,0.7919572663223837,0.9837619123675664
3105500048P,NE,055,48P,3059,30,2952,19,8,34,0,0,16,2135,16,2073,12,3,24,0,0,7,NA,37000,91990,NA,NA,70110,39,3,1,422.7071908995723,525.0829207261886
3105500049P,NE,055,49P,2838,29,2699,22,0,61,0,7,20,1653,15,1583,10,0,34,0,4,7,NA,37000,91990,NA,NA,73740,39,3,1,327.27634030772504,406.5396102858968
3105500050P,NE,055,50P,746,10,716,2,0,16,0,2,0,517,5,502,1,0,8,0,1,0,NA,37000,92237,NA,NA,70110,39,3,1,102.36047667216809,127.15122717350795
3105500051P,NE,055,51P,2551,39,2440,13,2,44,0,2,11,1478,17,1430,5,1,22,0,0,3,NA,37000,91990,NA,NA,73740,39,3,1,292.6282099061208,363.5000266198158
3105500052P,NE,055,52P,1266,22,1216,4,1,14,0,0,9,774,13,744,2,1,12,0,0,2,NA,37000,92237,NA,NA,73740,39,3,1,153.24373103338127,190.3579300431241
3105500053P,NE,055,53P,1566,23,1485,6,1,46,0,0,5,990,12,940,6,1,31,0,0,0,NA,37000,91880,NA,NA,73740,31,3,1,196.00942341478998,243.4810733109727
3105500054P,NE,055,54P,1811,28,1715,5,8,44,0,0,11,1010,19,952,4,2,27,0,0,6,NA,37000,92237,NA,NA,73740,39,3,1,199.9692097464019,248.3998828728105
3105500055P,NE,055,55P,1065,16,981,16,0,35,0,1,16,665,6,617,13,0,23,0,0,6,NA,37000,92237,NA,NA,73740,39,3,1,131.6628955260963,163.55041793110792
3105500056P,NE,055,56P,587,0,574,4,0,6,0,0,3,402,0,395,2,0,2,0,0,3,NA,37000,92237,NA,NA,73740,31,3,1,79.59170526539955,98.86807219294042
3105500057P,NE,055,57P,1754,33,1644,38,13,15,0,0,11,1052,12,1013,18,0,7,0,0,2,NA,37000,92237,NA,NA,73740,31,3,1,208.28476104278693,258.72938295267
3105500058P,NE,055,58P,624,5,576,16,0,14,0,2,11,375,2,348,11,0,9,0,0,5,NA,37000,92237,NA,NA,73740,31,3,1,74.245993717723465,92.22767928445934
3105500059P,NE,055,59P,684,9,663,5,0,2,0,0,5,488,6,474,4,0,2,0,0,2,NA,37000,92237,NA,NA,73740,31,3,1,96.61878649133081,120.0189533088431
3105500060P,NE,055,60P,714,21,676,2,1,11,1,0,2,489,13,467,1,1,5,1,0,1,NA,37000,92237,NA,NA,73740,31,3,1,96.81677580791141,120.26489378693499
3105500061P,NE,055,61P,1271,20,1204,17,3,14,0,0,13,910,11,868,12,3,12,0,0,4,NA,37000,92237,NA,NA,73740,31,3,1,180.1702780883423,223.80583506362137
3105500062P,NE,055,62P,1151,19,1093,18,2,14,0,0,5,819,8,787,12,1,11,0,0,0,NA,37000,92237,NA,NA,73740,31,3,1,162.15325027950806,201.42525155725923
3105500063P,NE,055,63P,1984,38,1883,21,3,14,0,2,23,1471,30,1408,14,1,11,0,0,7,NA,37000,92237,NA,NA,73740,31,3,1,291.24228469005664,361.77844327317257
3105500064P,NE,055,64P,1720,11,1657,8,1,35,3,0,5,1175,8,1134,3,1,26,1,0,2,NA,37000,92237,NA,NA,73740,31,3,1,232.6374469822002,288.98006175797263
3105500065P,NE,055,65P,1735,16,1664,2,1,35,0,0,17,1083,7,1049,2,0,21,0,0,4,NA,37000,92237,NA,NA,73740,31,3,1,214.4224298567854,266.3535377735186
3105500066P,NE,055,66P,902,9,847,1,2,31,1,0,11,572,8,537,1,1,20,1,0,4,NA,37000,92237,NA,NA,73740,31,3,1,113.24988908410087,140.677953468562
3105500067P,NE,055,67P,1205,12,1180,1,0,7,0,1,4,792,6,778,1,0,4,0,1,2,NA,37000,91990,NA,NA,73740,31,3,1,156.80753873183195,194.78485864877814
3105500068P,NE,055,68P,451,1,440,0,1,7,0,0,2,246,1,241,0,1,2,0,0,1,NA,37000,92237,NA,NA,73740,31,3,1,48.7053718788266,60.50135761060533
3105500069P,NE,055,69P,1042,18,979,1,0,37,0,0,7,644,8,606,1,0,25,0,0,4,NA,NA,91990,NA,NA,73740,31,3,1,127.50511987790378,158.3856678911782
3105500070P,NE,055,70P,1686,28,1599,3,5,39,0,5,7,961,14,914,2,3,23,0,3,2,NA,37000,91990,NA,NA,73740,31,3,1,190.2677332339527,236.34879944630785
3105500071P,NE,055,71P,1275,37,1168,11,4,26,5,3,21,886,20,824,11,3,19,4,0,5,NA,08640,91990,NA,NA,73740,31,3,1,175.418534490408,217.90326358941599
3105500072P,NE,055,72P,1616,32,1540,16,0,18,0,0,10,1132,19,1088,8,0,11,0,0,6,NA,37000,92237,NA,NA,73740,31,3,1,224.1239063692346,278.4046212000213
3105500073P,NE,055,73P,985,27,913,20,0,22,0,1,2,633,14,591,11,0,15,0,1,1,NA,37000,91880,NA,NA,73740,4,3,1,125.32723739551722,155.6803226321674
3105500074P,NE,055,74P,1120,21,1064,2,2,16,3,0,12,701,15,667,2,2,8,3,0,4,NA,37000,91880,NA,NA,73740,4,3,1,138.79051092299773,172.404275142416
3105500075P,NE,055,75P,1601,29,1504,23,1,31,2,0,11,1147,15,1089,16,1,19,2,0,5,NA,37000,92237,NA,NA,73740,4,3,1,227.0937461179435,282.09372837139966
3105500076P,NE,055,76P,1425,16,1359,22,2,24,0,0,2,1001,10,964,10,2,14,0,0,1,NA,37000,92237,NA,NA,73740,4,3,1,198.18730589717651,246.1864185699835
3105500077P,NE,055,77P,1346,22,1302,6,0,14,0,0,2,846,16,816,4,0,9,0,0,1,NA,37000,91880,NA,NA,73740,4,3,1,167.49896182718416,208.0656444657403
3105500078P,NE,055,78P,806,62,515,167,9,4,0,4,45,173,6,129,35,1,0,0,0,2,NA,06015,91880,NA,NA,73740,4,3,1,34.25215176844309,42.547702709897244
3105500079P,NE,055,79P,712,5,692,0,0,2,3,0,10,481,5,473,0,0,1,1,0,1,NA,37000,92237,NA,NA,73740,4,3,1,95.23286127526664,118.29736996219985
3105500080P,NE,055,80P,1454,23,1351,26,10,34,0,0,10,986,14,918,23,5,24,0,0,2,NA,37000,91880,NA,NA,73740,4,3,1,195.2174661484676,242.49731139860515
3105500081P,NE,055,81P,1862,14,1729,42,1,67,0,0,9,1210,5,1125,30,1,46,0,0,3,NA,37000,92237,NA,NA,73740,4,3,1,239.56707306252108,297.58797849118884
3105500082P,NE,055,82P,593,3,570,8,0,9,0,1,2,412,2,398,5,0,6,0,0,1,NA,37000,92237,NA,NA,74820,4,3,1,81.57159843120552,101.32747697385933
3105500083P,NE,055,83P,770,7,714,19,0,19,0,1,10,628,6,583,17,0,14,0,1,7,NA,37000,92237,NA,NA,74820,6,3,1,124.33729081261424,154.45062024170792
3105500084P,NE,055,84P,935,10,861,22,3,25,1,0,13,779,7,723,20,1,17,1,0,10,NA,37000,92237,NA,NA,74820,4,3,1,154.2336776162842,191.58763243358354
3105500085P,NE,055,85P,1226,8,1189,5,1,13,0,0,10,971,7,946,4,1,8,0,0,5,NA,37000,92237,NA,NA,74820,4,3,1,192.24762639975864,238.80820422722675
3105500086P,NE,055,86P,1321,32,1183,31,1,62,0,1,11,1035,20,940,21,1,47,0,1,5,NA,37000,92237,NA,NA,74820,4,3,1,204.9189426609168,254.5483948251078
3105500087P,NE,055,87P,1175,24,1040,58,2,35,0,0,16,1010,16,921,34,2,28,0,0,9,NA,37000,92237,NA,NA,74820,6,3,1,199.9692097464019,248.3998828728105
3105500088P,NE,055,88P,192,8,149,14,0,15,0,0,6,181,8,141,14,0,13,0,0,5,NA,37000,91880,NA,NA,74820,6,3,1,35.83606630108786,44.515226534632376
3105500089P,NE,055,89P,4434,162,3751,223,6,211,6,8,67,3908,125,3376,170,5,178,6,3,45,NA,37000,92237,NA,NA,74820,6,3,1,773.7422491969689,961.1353883831124
3105500090P,NE,055,90P,1226,35,1118,30,4,32,0,0,7,964,20,892,20,4,24,0,0,4,NA,37000,92237,NA,NA,74820,6,3,1,190.8617011836945,237.08662088058352
3105500091P,NE,055,91P,658,9,625,0,1,19,0,0,4,533,3,514,0,1,15,0,0,0,NA,37000,92237,NA,NA,78660,20,3,1,105.52830573745763,131.08627482297823
3105500092P,NE,055,92P,1052,24,956,36,1,12,3,0,20,862,13,804,27,1,9,1,0,7,NA,37000,92237,NA,NA,74820,12,3,1,170.6667908924737,212.00069211521057
3105500093P,NE,055,93P,1361,53,1221,21,6,47,0,1,12,1101,30,1010,15,4,35,0,1,6,NA,37000,92237,NA,NA,74820,4,3,1,217.9862375552361,270.78046637917265
3105500094P,NE,055,94P,802,16,744,12,13,4,0,1,12,570,9,551,2,1,4,0,0,3,NA,37000,92237,NA,NA,74820,4,3,1,112.85391045093968,140.18607251237822
3105500095P,NE,055,95P,829,17,784,8,0,4,0,0,16,628,9,604,6,0,3,0,0,6,NA,37000,92237,NA,NA,74820,4,3,1,124.33729081261424,154.45062024170792
3105500096P,NE,055,96P,603,1,586,3,1,11,0,0,1,454,1,443,3,1,6,0,0,0,NA,37000,92237,NA,NA,74820,4,3,1,89.88714972759054,111.65697705371878
3105500097P,NE,055,97P,1667,17,1602,13,3,21,1,0,10,1193,10,1153,10,2,14,1,0,3,NA,37000,92237,NA,NA,73740,4,3,1,236.20125468065095,293.4069903636267
3105500098P,NE,055,98P,988,13,949,12,1,2,0,0,11,733,5,715,8,1,1,0,0,3,NA,37000,92237,NA,NA,74820,4,3,1,145.1261690535768,180.27437044135655
3105500099P,NE,055,99P,997,6,975,0,0,13,0,0,3,796,3,781,0,0,9,0,0,3,NA,37000,92237,NA,NA,73740,4,3,1,157.59949599815437,195.76862056114572
3105500100P,NE,055,100P,1427,68,1273,29,3,24,4,0,26,1190,46,1076,25,2,20,4,0,17,NA,37000,92237,NA,NA,73740,4,3,1,235.60728673090915,292.66916892935103
3105500101P,NE,055,101P,913,13,872,6,1,10,0,0,11,725,7,703,4,0,7,0,0,4,NA,37000,92237,NA,NA,74820,4,3,1,143.54225452093206,178.3068466166214
3105500102P,NE,055,102P,772,32,719,11,1,4,0,0,5,618,16,584,9,1,4,0,0,4,NA,37000,92237,NA,NA,74820,4,3,1,122.35739764680828,151.99121546078902
3105500103P,NE,055,103P,810,14,745,24,0,16,0,0,11,602,6,572,10,0,9,0,0,5,NA,37000,92237,NA,NA,74820,4,3,1,119.18956858151874,148.05616781131874
3105500104P,NE,055,104P,1160,28,1105,6,0,18,0,0,3,837,17,804,6,0,8,0,0,2,NA,37000,92237,NA,NA,73740,4,3,1,165.71705797795877,205.85218016291327
3105500105P,NE,055,105P,1025,18,966,5,2,29,1,0,4,660,10,624,3,2,19,1,0,1,NA,37000,92237,NA,NA,73740,4,3,1,130.67294894319332,162.32071554064845
3105500106P,NE,055,106P,1144,10,1104,2,4,12,5,2,5,727,3,706,2,2,8,4,1,1,NA,37000,91990,NA,NA,73740,4,3,1,143.93823315409324,178.79872757280518
3105500107P,NE,055,107P,1286,33,1205,17,1,13,0,0,17,1034,26,975,14,0,10,0,0,9,NA,37000,92237,NA,NA,78660,12,3,1,204.72095334433618,254.3024543470159
3105500108P,NE,055,108P,1186,7,1147,14,2,12,0,0,4,839,5,822,5,0,6,0,0,1,NA,37000,92237,NA,NA,78660,12,3,1,166.11303661111998,206.34406111909706
3105500109P,NE,055,109P,752,11,724,4,2,8,0,0,3,592,8,571,1,2,8,0,0,2,NA,37000,92237,NA,NA,78660,20,3,1,117.2096754157128,145.59676303039984
3105500110P,NE,055,110P,637,5,619,1,0,7,0,0,5,468,2,456,1,0,6,0,0,3,NA,37000,92237,NA,NA,78660,20,3,1,92.6590001597189,115.10014374700528
3105500111P,NE,055,111P,2034,81,1773,99,4,25,4,4,44,1390,48,1263,46,3,19,2,2,7,NA,37000,92237,NA,NA,73740,31,3,1,275.2051500470283,341.8572645477293
3105500112P,NE,055,112P,1137,45,1034,21,6,22,0,0,9,883,32,818,14,3,12,0,0,4,NA,37000,92237,NA,NA,73740,31,3,1,174.8245665406662,217.1654421551403
3105500113P,NE,055,113P,1304,31,1213,15,2,24,0,0,19,920,21,859,10,2,18,0,0,10,NA,37000,92237,NA,NA,73740,31,3,1,182.15017125414826,226.26523984454028
3105500114P,NE,055,114P,1445,51,1336,13,12,23,0,2,8,1168,39,1082,9,11,19,0,2,6,NA,37000,92237,NA,NA,74820,31,3,1,231.25152176613605,287.2584784113294
3105500115P,NE,055,115P,951,23,906,8,0,9,0,0,5,705,12,682,6,0,3,0,0,2,NA,37000,92237,NA,NA,74820,31,3,1,139.5824681893201,173.38803705478355
3105500116P,NE,055,116P,1065,28,997,14,1,14,0,0,11,683,18,641,9,0,10,0,0,5,NA,37000,91990,NA,NA,73740,31,3,1,135.22670322454704,167.97734653676198
3105500117P,NE,055,117P,873,18,829,9,3,1,0,0,13,660,14,634,5,1,0,0,0,6,NA,37000,92237,NA,NA,73740,31,3,1,130.67294894319332,162.32071554064845
3105500118P,NE,055,118P,1599,14,1563,4,2,4,0,1,11,1242,10,1221,2,2,2,0,0,5,NA,37000,92237,NA,NA,73740,31,3,1,245.90273119310015,305.4580737901294
3105500119P,NE,055,119P,1239,23,1155,11,1,35,0,3,11,771,16,724,9,1,18,0,0,3,NA,37000,91990,NA,NA,73740,31,3,1,152.64976308363947,189.62010860884843
3105500120P,NE,055,120P,1334,32,1254,10,4,27,0,0,7,946,18,892,10,4,19,0,0,3,NA,37000,91990,NA,NA,73740,31,3,1,187.29789348524375,232.65969227492945
3105500121P,NE,055,121P,1533,51,1443,7,1,14,0,0,17,1112,25,1065,4,0,10,0,0,8,NA,37000,92237,NA,NA,73740,31,3,1,220.1641200376227,273.48581163818346
3105500122P,NE,055,122P,1463,34,1377,18,6,3,0,1,24,1070,21,1025,10,4,3,0,0,7,NA,37000,92237,NA,NA,73740,31,3,1,211.84856874123764,263.15631155832403
3105500123P,NE,055,123P,1231,47,1116,39,4,11,0,3,11,902,33,837,15,2,7,0,1,7,NA,37000,92237,NA,NA,73740,39,3,1,178.58636355569755,221.83831123888623
3105500124P,NE,055,124P,1222,33,1130,33,1,13,0,0,12,817,22,764,15,1,11,0,0,4,NA,37000,92237,NA,NA,73740,39,3,1,161.75727164634688,200.93337060107544
3105500125P,NE,055,125P,626,19,574,1,3,17,0,1,11,424,13,390,1,0,15,0,1,4,NA,37000,92237,NA,NA,73740,39,3,1,83.94747023017268,104.27876271096204
3105500126P,NE,055,126P,1441,56,1290,29,8,27,1,1,29,1004,34,922,15,4,21,1,1,6,NA,37000,92237,NA,NA,73740,39,3,1,198.7812738469183,246.92424000425916
3105500127P,NE,055,127P,836,21,799,7,0,2,0,2,5,651,6,635,6,0,2,0,0,2,NA,37000,92237,NA,NA,73740,39,3,1,128.89104509396796,160.10725123782143
3105500128P,NE,055,128P,1102,22,1065,12,0,2,0,0,1,791,13,770,6,0,2,0,0,0,NA,37000,92237,NA,NA,73740,31,3,1,156.60954941525137,194.53891817068626
3105500129P,NE,055,129P,1049,31,976,10,0,16,0,3,13,754,19,711,6,0,12,0,2,4,NA,37000,92237,NA,NA,73740,31,3,1,149.28394470176934,185.4391204812863
3105500130P,NE,055,130P,861,14,823,9,4,2,0,0,9,650,9,631,6,0,2,0,0,2,NA,37000,92237,NA,NA,73740,12,3,1,128.69305577738734,159.86131075972955
3105500131P,NE,055,131P,784,18,750,5,0,5,2,0,4,637,11,616,3,0,4,1,0,2,NA,37000,92237,NA,NA,73740,12,3,1,126.11919466183961,156.66408454453494
3105500132P,NE,055,132P,681,13,654,7,0,4,0,0,3,569,6,555,5,0,3,0,0,0,NA,37000,92237,NA,NA,73740,12,3,1,112.65592113435909,139.94013203428634
3105500133P,NE,055,133P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,37000,92237,NA,NA,73740,12,3,1,0,0
3105500134P,NE,055,134P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,37000,92237,NA,NA,73740,12,3,1,0,0
3105500135P,NE,055,135P,1874,75,1705,16,3,56,4,0,15,1285,47,1171,12,2,44,2,0,7,NA,37000,91990,NA,NA,73740,12,3,1,254.41627180606577,316.0335143480807
3105500136P,NE,055,136P,1985,69,1804,41,4,47,2,2,16,1453,44,1332,33,4,34,1,1,4,NA,37000,92237,NA,NA,73740,12,3,1,287.67847699160586,357.3515146675185
3105500137P,NE,055,137P,1551,9,1488,8,1,30,1,2,12,1030,8,994,6,1,18,1,0,2,NA,37000,92237,NA,NA,73740,12,3,1,203.9289960780138,253.31869243464834
3105500138P,NE,055,138P,1487,59,1378,7,4,25,0,4,10,1089,28,1034,5,3,16,0,0,3,NA,37000,92237,NA,NA,73740,12,3,1,215.61036575626895,267.82918064206996
3105500139P,NE,055,139P,2393,146,2043,70,11,84,4,5,30,2099,109,1829,60,9,69,4,2,17,NA,37000,92237,NA,NA,75900,12,3,1,415.5795755026708,516.2290635148804
3105500140P,NE,055,140P,1814,180,1417,75,3,96,0,3,40,1543,121,1254,60,3,79,0,3,23,NA,37000,92237,NA,NA,75900,12,3,1,305.4975154838595,379.48615769578873
3105500141P,NE,055,141P,793,37,723,10,1,21,0,0,1,585,21,542,9,1,12,0,0,0,NA,37000,92237,NA,NA,75900,12,3,1,115.82375019964863,143.87517968375658
3105500142P,NE,055,142P,938,47,845,20,1,19,0,0,6,680,37,614,16,1,11,0,0,1,NA,37000,92237,NA,NA,75900,12,3,1,134.63273527480524,167.2395251024863
3105500143P,NE,055,143P,1227,45,1066,48,9,35,0,0,24,973,31,863,39,5,27,0,0,8,NA,37000,92237,NA,NA,75900,12,3,1,192.64360503291985,239.30008518341054
