GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
46047994100,46,047,9941,2767,2557,8,37,113,1,2,0,49,2175,2058,2,19,70,1,2,0,23,NA,NA,NA,NA,NA,NA,NA,1,1,13.239130434782608,29.12608695652174
46047994200,46,047,9942,4686,4099,16,93,335,16,2,0,125,3575,3214,7,52,211,14,2,0,75,NA,NA,NA,NA,NA,NA,NA,1,1,21.76086956521739,47.87391304347826
46049981100,46,049,9811,2640,2620,2,6,4,1,0,0,7,1939,1924,2,5,3,1,0,0,4,NA,NA,NA,NA,NA,NA,NA,1,1,68,68
46051940600,46,051,9406,256,251,0,0,5,0,0,0,0,168,166,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,50.22199062011464,68.40229286086503
46051953100,46,051,9531,5634,5567,1,16,16,17,0,0,17,4192,4159,0,7,10,8,0,0,8,NA,NA,NA,NA,NA,NA,NA,1,1,1253.1582421400035,1706.8000694806321
46051953200,46,051,9532,1957,1911,0,27,13,1,0,0,5,1397,1376,0,13,5,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,1,1,417.6197672398819,568.7976376585027
46053971100,46,053,9711,2275,2158,0,24,69,8,0,2,14,1754,1683,0,9,43,8,0,2,9,NA,NA,NA,NA,NA,NA,NA,1,1,510.0523704520397,725.6764057331864
46053971200,46,053,9712,2517,2274,2,17,198,3,0,0,23,1874,1730,1,8,121,2,0,0,12,NA,NA,NA,NA,NA,NA,NA,1,1,544.9476295479603,775.3235942668136
46055990100,46,055,9901,2196,2105,0,13,55,2,0,0,21,1632,1586,0,8,26,2,0,0,10,NA,NA,NA,NA,NA,NA,NA,1,1,392,917
46057955100,46,057,9551,2668,2598,5,24,16,7,0,0,18,1971,1928,4,9,11,5,0,0,14,NA,NA,NA,NA,NA,NA,NA,1,1,48,37
