GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,cd_1990,cd_2000,ndv,nrv
12009062105,12,009,062105,12705,10099,1606,588,74,100,22,21,195,9484,7413,1347,443,59,90,15,6,111,NA,NA,NA,NA,NA,18,24,1161.8252542299952,1962.94645751359
12009062200,12,009,0622,1652,1504,22,68,13,21,0,5,19,1367,1255,17,47,13,18,0,4,13,NA,NA,NA,NA,NA,18,19,167.46258145639004,282.9341846711385
12009062300,12,009,0623,6985,4156,2232,353,43,54,5,16,126,4990,3308,1312,220,33,48,4,4,61,NA,NA,NA,NA,NA,18,19,611.2935489885782,1032.802912588867
12009062400,12,009,0624,6361,4972,778,397,37,49,7,19,102,4630,3790,455,243,27,44,6,8,57,NA,NA,NA,NA,NA,18,24,567.1922107849933,958.2920812197302
12009062500,12,009,0625,3945,2078,1753,50,10,9,1,1,43,3058,1769,1218,30,8,8,1,0,24,NA,NA,NA,NA,NA,18,24,374.61636729600644,632.9281175745
12009062600,12,009,0626,3530,623,2689,120,16,9,2,6,65,2362,489,1735,82,15,6,1,4,30,NA,NA,NA,NA,NA,18,19,289.35378010240913,488.87384359416905
12009062700,12,009,0627,1080,781,237,29,6,11,1,0,15,970,718,204,24,5,9,1,0,9,NA,NA,NA,NA,NA,18,19,118.82860571521461,200.7652956335072
12009062800,12,009,0628,3804,3532,90,100,11,35,0,1,35,3167,2963,67,74,11,33,0,1,18,NA,NA,NA,NA,NA,18,19,387.96927247431404,655.488341516822
12009062900,12,009,0629,4834,3003,1513,179,5,74,4,7,49,3680,2431,1026,128,4,60,3,2,26,NA,NA,NA,NA,NA,18,19,450.8136794144224,761.6662762178418
12009063000,12,009,0630,3194,2699,327,60,12,44,6,10,36,2323,2017,195,41,8,33,5,5,19,NA,NA,NA,NA,NA,18,19,284.57613513035415,480.8018368625126
12009063101,12,009,063101,10401,8476,1142,364,25,201,13,24,156,7715,6407,793,243,21,157,10,11,73,NA,NA,NA,NA,NA,18,19,945.1161784462687,1596.8085111469156
12009063102,12,009,063102,2072,1842,90,76,2,33,2,4,23,1850,1668,73,62,2,27,2,2,14,NA,NA,NA,NA,NA,18,19,226.63187687953297,382.9028834247302
12009063103,12,009,063103,8624,7680,268,381,13,174,4,11,93,6942,6302,152,280,11,145,2,4,46,NA,NA,NA,NA,NA,18,19,850.4208050257935,1436.8171982348526
12009064101,12,009,064101,12750,11326,312,573,33,350,8,11,137,10129,9145,224,399,29,254,8,5,65,NA,NA,NA,NA,NA,18,19,1041.8911945123193,1765.1886262981066
12009064102,12,009,064102,5152,4505,133,284,9,136,0,9,76,3570,3146,101,189,7,97,0,3,27,NA,NA,NA,NA,NA,18,19,367.21804367745875,622.1466478313989
12009064121,12,009,064121,8026,7014,279,399,23,179,5,12,115,6162,5453,180,293,14,146,2,6,68,NA,NA,NA,NA,NA,18,19,633.8368585827734,1073.8564828955407
12009064122,12,009,064122,10676,9235,332,572,38,247,8,30,214,8560,7524,242,415,31,209,8,10,121,NA,NA,NA,NA,NA,18,19,880.5004072490328,1491.757788637752
12009064200,12,009,0642,5583,4946,187,271,20,69,10,7,73,4698,4232,130,200,14,58,7,2,55,NA,NA,NA,NA,NA,18,19,483.24660201588273,818.7240760537569
