GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
51011000502,VA,011,502,793,1,534,252,0,0,0,2,4,609,1,414,191,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,6,5,121.71739972873475,161.01152877349352
51013000001,VA,013,1,9006,3747,2572,1432,23,831,9,32,360,6822,2537,2233,1075,20,657,4,23,273,NA,NA,NA,NA,NA,NA,NA,NA,9,8,1422.6190223368349,961.8513785126473
51013000002,VA,013,2,3401,334,2696,90,8,200,1,14,58,2833,262,2276,61,7,180,1,13,33,NA,NA,NA,NA,NA,NA,NA,NA,9,8,590.7768528701631,399.43197820673265
51013000003,VA,013,3,2903,233,2310,119,3,166,1,8,63,2538,182,2056,100,3,142,1,7,47,NA,NA,NA,NA,NA,NA,NA,NA,9,8,529.2593196556562,357.83916720391363
51013000004,VA,013,4,4400,471,3404,109,8,311,0,10,87,3712,353,2933,88,8,272,0,5,53,NA,NA,NA,NA,NA,NA,NA,NA,9,8,774.0782484483042,523.364455737166
51013000005,VA,013,5,4060,1295,1996,326,9,341,3,3,87,3151,944,1658,232,6,255,2,1,53,NA,NA,NA,NA,NA,NA,NA,NA,9,8,657.0906683352928,444.2676185419748
51013000006,VA,013,6,5137,322,3548,416,17,656,7,12,159,4915,297,3449,372,17,620,7,11,142,NA,NA,NA,NA,NA,NA,NA,NA,9,8,1024.9446635569545,692.9785290808651
51013000007,VA,013,7,3542,228,2965,112,6,171,2,3,55,2866,177,2421,93,5,133,2,3,32,NA,NA,NA,NA,NA,NA,NA,NA,9,8,597.6584752297522,404.0847333358616
51013000008,VA,013,8,4049,262,2581,208,9,884,4,7,94,3862,239,2478,200,9,844,4,5,83,NA,NA,NA,NA,NA,NA,NA,NA,9,8,805.3583500827992,544.513342687752
51013000009,VA,013,9,4054,751,1921,940,2,291,1,23,125,3442,543,1789,748,2,244,0,15,101,NA,NA,NA,NA,NA,NA,NA,NA,9,8,717.7740655062131,485.2964592261115
51013000010,VA,013,10,9993,2167,5250,1246,24,878,6,45,377,9007,1676,5047,1139,23,770,6,37,309,NA,NA,NA,NA,NA,NA,NA,NA,9,8,1878.2658361459794,1269.920165092849
51013000011,VA,013,11,2428,144,2034,42,5,140,8,9,46,1943,112,1661,29,3,106,4,4,24,NA,NA,NA,NA,NA,NA,NA,NA,9,8,405.1815831721592,273.94858229992286
51013000012,VA,013,12,3090,112,2780,86,5,58,1,8,40,2670,87,2427,69,5,50,1,5,26,NA,NA,NA,NA,NA,NA,NA,NA,9,8,556.7858090940119,376.4501877204293
51013000013,VA,013,13,9369,4041,2496,1206,22,1209,5,45,345,7118,2909,2154,872,15,934,3,26,205,NA,NA,NA,NA,NA,NA,NA,NA,9,8,1484.3450895622384,1003.5851820951369
51013000014,VA,013,14,5275,287,4006,186,14,608,4,18,152,5086,264,3898,177,11,581,4,18,133,NA,NA,NA,NA,NA,NA,NA,NA,9,8,1060.6039794202788,717.0882602045331
51013000015,VA,013,15,3745,489,2644,141,13,315,2,18,123,3310,372,2431,123,11,263,2,13,95,NA,NA,NA,NA,NA,NA,NA,NA,9,8,690.2475760678574,466.6854387095958
51013000016,VA,013,16,4201,408,3212,133,11,305,5,20,107,3616,314,2813,115,10,262,5,19,78,NA,NA,NA,NA,NA,NA,NA,NA,9,8,754.0589834022275,509.82916808879116
51013000017,VA,013,17,3182,129,2783,50,7,157,1,5,50,2554,93,2250,43,6,136,1,1,24,NA,NA,NA,NA,NA,NA,NA,NA,9,8,532.5958638300024,360.0950484786428
51013000018,VA,013,18,4906,515,3592,223,12,438,0,18,108,4551,412,3439,187,11,399,0,13,90,NA,NA,NA,NA,NA,NA,NA,NA,9,8,949.0382835905798,641.6572300807767
51013000019,VA,013,19,4859,471,3095,256,7,781,2,23,224,4632,424,3008,237,7,731,2,22,201,NA,NA,NA,NA,NA,NA,NA,NA,9,8,965.9295384732071,653.0776290340931
51013000020,VA,013,20,3264,101,2973,44,7,89,0,3,47,2508,71,2306,31,7,68,0,3,22,NA,NA,NA,NA,NA,NA,NA,NA,9,8,523.0032993287573,353.60938981379655
