GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
32003001045,NV,003,1045,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,3,0.16290118604094744,0.12626038213077212
32003001046,NV,003,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,3,0,0
32003001047,NV,003,1047,35,4,30,1,0,0,0,0,0,33,2,30,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,3,2.687869569675633,2.08329630515774
32003001052,NV,003,1052,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,3,0.08145059302047372,0.06313019106538606
32003001053,NV,003,1053,1553,139,1250,47,3,84,1,3,26,1211,96,1000,34,3,56,1,3,18,NA,NA,NA,NA,NA,NA,NA,2,3,98.63666814779369,76.45066138018252
32003001054,NV,003,1054,1061,85,900,21,14,18,1,1,21,813,59,707,12,8,14,1,0,12,NA,NA,NA,NA,NA,NA,NA,1,3,66.21933212564514,51.324845336158866
32003001055,NV,003,1055,1291,64,1149,17,7,22,1,2,29,1031,44,929,12,6,20,1,0,19,NA,NA,NA,NA,NA,NA,NA,1,3,83.9755614041084,65.08722698841302
32003001056,NV,003,1056,2025,189,1561,63,5,153,3,1,50,1525,125,1184,52,5,120,3,1,35,NA,NA,NA,NA,NA,NA,NA,2,3,124.21215435622244,96.27354137471374
32003001057,NV,003,1057,2667,244,2074,87,9,158,10,10,75,2026,166,1596,75,7,127,9,4,42,NA,NA,NA,NA,NA,NA,NA,2,3,165.0189014594798,127.90176709847216
32003001058,NV,003,1058,2473,178,1877,98,11,223,6,3,77,1970,125,1521,83,10,171,5,0,55,NA,NA,NA,NA,NA,NA,NA,2,3,160.45766825033326,124.36647639881055
32003001059,NV,003,1059,1672,183,1272,61,6,109,3,1,37,1238,116,966,48,5,86,2,0,15,NA,NA,NA,NA,NA,NA,NA,2,3,100.83583415934649,78.15517653894796
32003001060,NV,003,1060,809,113,651,18,6,6,0,1,14,631,71,530,11,6,5,0,1,7,NA,NA,NA,NA,NA,NA,NA,2,3,51.395324195918924,39.835150562258605
32003001061,NV,003,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,3,0,0
32003001062,NV,003,1062,28824,4072,19667,1107,125,2735,193,42,883,21533,2645,15220,828,103,2093,128,25,491,NA,NA,NA,NA,NA,NA,NA,2,3,1753.8756195098608,1359.3824042109582
32003001063,NV,003,1063,4214,491,3084,150,8,311,30,4,136,3237,339,2436,116,7,245,20,2,72,NA,NA,NA,NA,NA,NA,NA,2,3,263.6555696072735,204.35242847865467
32003001064,NV,003,1064,4875,564,3610,171,35,276,23,10,186,3886,375,2963,138,31,224,20,6,129,NA,NA,NA,NA,NA,NA,NA,2,3,316.51700447756093,245.32392248009023
32003001065,NV,003,1065,1034,100,879,13,4,19,4,0,15,811,63,697,13,4,17,3,0,14,NA,NA,NA,NA,NA,NA,NA,1,3,66.0564309396042,51.19858495402809
