GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,school,cd_1990,cd_2000,ndv,nrv
06073007400,06,073,0074,6465,5174,105,735,25,145,14,31,236,5475,4487,89,538,21,135,14,29,162,NA,66000,92780,NA,NA,34320,49,53,885.2116792991723,1568.603376165574
06073007501,06,073,007501,4119,3332,62,425,29,49,8,69,145,3687,3044,53,334,26,46,7,66,111,NA,66000,92780,NA,NA,34320,49,53,596.1233719773604,1056.3361914013647
06073007502,06,073,007502,3154,2696,40,262,13,42,9,11,81,2862,2473,36,219,12,39,9,11,63,NA,66000,92780,NA,NA,34320,49,53,462.73531071310157,819.9712991024426
06073007600,06,073,0076,6245,5481,60,389,19,114,14,15,153,5829,5144,56,346,18,107,13,14,131,NA,66000,92780,NA,NA,34320,49,35,942.447283768927,1670.0254026792934
06073007700,06,073,0077,7431,6244,63,651,24,229,14,44,162,6998,5920,63,565,23,224,13,43,147,NA,66000,92780,NA,NA,34320,49,53,1131.4541245179191,2004.9472924943723
06073007800,06,073,0078,6025,3768,264,1482,19,231,16,21,224,4494,3017,163,952,19,187,11,18,127,NA,66000,92780,NA,NA,34320,49,53,726.6011482685808,1287.544031504674
06073007901,06,073,007901,5184,4386,41,448,21,135,13,12,128,4903,4186,39,390,20,131,13,12,112,NA,66000,92780,NA,NA,34320,49,35,792.7292901559528,1404.723717504988
06073007903,06,073,007903,4349,3705,39,358,13,123,14,15,82,4102,3528,39,309,13,118,14,15,66,NA,66000,92780,NA,NA,34320,49,53,663.2216088557451,1175.2348948002164
06073007904,06,073,007904,5837,4551,78,791,17,195,10,56,139,5457,4386,63,631,16,190,10,42,119,NA,66000,92780,NA,NA,34320,49,53,882.3013943261338,1563.4463239699612
06073008001,06,073,008001,6800,5793,35,552,22,176,17,21,184,6222,5370,33,462,18,167,14,19,139,NA,66000,92780,NA,NA,34320,49,35,1005.9885056802649,1782.6210422835072
06073008002,06,073,008002,2499,2201,16,181,10,38,4,11,38,2089,1870,15,136,8,32,3,4,21,NA,66000,92780,NA,NA,34320,49,35,337.7547393709536,598.5045575908464
06073008101,06,073,008101,4079,3466,60,278,13,123,16,21,102,3556,3070,51,228,12,108,9,16,62,NA,66000,92780,NA,NA,34320,49,35,574.9429646735811,1018.8043115332933
06073008102,06,073,008102,3269,2934,19,180,3,84,3,6,40,2575,2306,19,143,3,72,3,3,26,NA,66000,92780,NA,NA,34320,49,35,416.33243364298966,737.7449668723932
06073008200,06,073,0082,3043,2631,13,241,6,73,4,6,69,2833,2488,13,201,6,64,4,6,51,NA,66000,92780,10740,34380,34320,49,35,458.0465182565397,811.6627150095107
06073008301,06,073,008301,3162,2840,16,130,3,120,2,3,48,2731,2469,16,106,2,100,2,3,33,NA,66000,92780,NA,NA,34320,49,35,441.55490340932226,782.4394192343713
06073008303,06,073,008303,3457,2936,19,218,0,172,2,3,107,2903,2506,13,173,0,134,2,2,73,NA,66000,92780,NA,NA,34320,49,35,469.36429315168897,831.7179179924495
06073008305,06,073,008305,7240,3713,96,624,12,2459,10,27,299,6929,3573,87,565,11,2394,10,19,270,NA,66000,92780,NA,NA,34320,49,53,1120.298032121272,1985.1785924111894
06073008306,06,073,008306,3088,2576,20,180,4,233,5,6,64,2501,2121,16,129,3,184,5,4,39,NA,66000,92780,NA,NA,34320,49,35,404.3679287538319,716.5437522904293
06073008307,06,073,008307,3707,3101,23,172,8,268,11,19,105,2958,2506,18,128,8,222,5,11,60,NA,66000,92780,NA,NA,34320,49,35,478.2568305693062,847.4755774790444
