GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
39011040200,39,011,0402,4153,4013,18,50,4,10,5,1,52,3078,3007,10,22,3,7,3,1,25,NA,19400,22722,04498,86,1,7,12,482.85199509480236,943.6373926988019
39011040300,39,011,0403,3659,3570,12,28,9,9,0,1,30,2624,2572,5,16,7,9,0,1,14,NA,80766,22722,04498,86,1,7,12,411.6321101782851,804.4524101499859
39011040400,39,011,0404,6517,6360,10,61,13,25,5,3,40,4899,4793,8,40,11,17,2,1,27,NA,80766,22722,04498,86,1,7,12,768.5158947269126,1501.9101971512123
39011040500,39,011,0405,4924,4822,8,17,11,35,0,2,29,3535,3473,4,9,8,20,0,2,19,NA,09974,44618,04472,85,12,7,12,121,300
39011040600,39,011,0406,4159,4042,9,29,5,18,0,0,56,2911,2835,7,21,5,13,0,0,30,NA,69680,69694,04472,85,12,11,12,492.0338523236613,835.0497758905402
39011040700,39,011,0407,7441,7254,22,33,11,63,1,2,55,5567,5448,16,22,8,44,0,1,28,NA,69680,69694,04472,85,12,11,12,940.9661476763388,1596.9502241094597
39011040900,39,011,0409,3831,3764,1,14,12,15,0,3,22,2620,2584,1,7,5,10,0,2,11,NA,54194,29848,04595,85,12,11,12,421,910
39011041000,39,011,0410,3577,3552,0,4,2,4,0,1,14,2486,2469,0,2,2,3,0,0,10,NA,50918,37674,04594,85,12,11,12,542,923
39011041100,39,011,0411,4366,4274,24,41,3,5,0,3,16,3158,3092,19,29,1,5,0,2,10,NA,54838,81074,04498,85,12,7,12,142,337
39013010100,39,013,0101,4538,4336,122,17,4,6,0,3,50,3567,3434,84,10,4,4,0,0,31,NA,08560,61378,04523,99,20,18,14,1755.924107142857,804.75
39013010200,39,013,0102,4159,3925,176,17,3,9,0,7,22,3289,3136,122,13,3,5,0,2,8,NA,08560,61378,04523,99,20,18,14,692.9073033707865,317.9221744877726
