GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
42003000472,PA,003,472,1303,19,1240,32,0,5,0,3,4,986,13,950,17,0,3,0,2,1,NA,NA,NA,NA,NA,NA,NA,20,18,240.7065667213243,270.84781759975016
42003000481,PA,003,481,1109,5,1091,4,0,5,0,0,4,824,2,813,4,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,20,18,201.1584289841493,226.34746622940582
42003000486,PA,003,486,1064,5,1030,4,1,12,0,4,8,784,2,765,4,1,7,0,0,5,NA,NA,NA,NA,NA,NA,NA,20,18,191.39345670336533,215.3597251503084
42003000493,PA,003,493,1451,3,1423,8,0,14,0,0,3,1088,1,1070,4,0,10,0,0,3,NA,NA,NA,NA,NA,NA,NA,20,18,265.60724603732336,298.8665573514484
42003000501,PA,003,501,1415,5,1396,11,0,1,0,0,2,1146,5,1128,11,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,20,18,279.76645584446004,314.7987819161396
42003000511,PA,003,511,1038,2,1019,5,0,4,0,2,6,876,2,861,4,0,3,0,1,5,NA,NA,NA,NA,NA,NA,NA,20,18,213.85289294916842,240.63152963223237
42003000522,PA,003,522,1161,3,1137,9,1,8,0,1,2,936,2,920,7,1,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,20,18,228.50035137034436,257.1131412508784
42003000530,PA,003,530,1024,12,1007,5,0,0,0,0,0,802,4,795,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,20,18,195.7876942297181,220.30420863590223
42003000540,PA,003,540,987,5,921,34,1,14,1,0,11,781,2,734,27,1,11,1,0,5,NA,NA,NA,NA,NA,NA,NA,20,18,190.66108378230655,214.53564456937613
42003000542,PA,003,542,1867,8,1789,14,0,45,0,0,11,1563,8,1506,9,0,30,0,0,10,NA,NA,NA,NA,NA,NA,NA,20,18,381.5662918716327,429.3459826657297
42003000551,PA,003,551,1447,9,1398,24,0,9,0,1,6,1112,6,1084,14,0,7,0,0,1,NA,NA,NA,NA,NA,NA,NA,20,18,271.4662294057937,305.45920199890685
42003000562,PA,003,562,1335,0,1310,10,0,10,1,0,4,970,0,952,6,0,7,1,0,4,NA,NA,NA,NA,NA,NA,NA,20,18,236.8005778090107,266.45272116811117
42003000565,PA,003,565,991,11,962,0,0,16,1,0,1,714,8,692,0,0,13,1,0,0,NA,NA,NA,NA,NA,NA,NA,20,18,174.30475521199344,196.13117826188804
