GEOID,state,county,county_subdivision,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,cd_1990,cd_2000,ndv,nrv
3301131540,33,011,31540,1657,1605,12,10,13,4,0,6,7,1147,1112,9,6,9,4,0,2,5,2,1,159,325
3301131940,33,011,31940,2224,2167,6,14,4,8,1,0,24,1614,1580,6,8,2,4,1,0,13,2,1,241,496
3301133700,33,011,33700,1739,1706,4,7,5,7,0,0,10,1305,1282,3,6,3,7,0,0,4,2,1,312,549
3301136180,33,011,36180,4928,4786,9,26,21,46,0,3,37,3623,3528,7,19,15,33,0,2,19,2,1,424,1043
3301137140,33,011,37140,7015,6732,29,65,8,116,1,1,63,4937,4771,19,37,7,73,1,0,29,2,1,720,1906
3301137940,33,011,37940,22928,21871,189,356,28,255,13,34,182,16460,15773,130,222,22,182,12,19,100,2,1,2088,4384
3301142260,33,011,42260,7360,7147,35,61,21,42,0,3,51,4904,4775,25,32,14,31,0,3,24,2,1,558,1194
3301144580,33,011,44580,1585,1544,2,26,2,5,0,1,5,1159,1132,2,12,2,5,0,1,5,2,1,155,377
3301145140,33,011,45140,107006,95581,2045,4944,287,2470,31,145,1503,81648,74186,1373,3029,206,1903,26,67,858,1,2,11438,23756
3301146260,33,011,46260,1147,1115,2,11,1,5,5,0,8,868,847,2,5,1,5,3,0,5,2,1,142,289
3301147540,33,011,47540,25119,24035,181,272,44,377,10,32,168,17826,17171,123,149,32,260,6,13,72,1,2,2027,5229
3301148020,33,011,48020,13535,12986,115,158,15,124,1,5,131,9780,9447,76,88,15,96,1,2,55,2,1,1119,3007
3301149140,33,011,49140,2034,1998,3,11,3,4,0,0,15,1430,1405,2,11,1,3,0,0,8,2,1,200,559
3301150260,33,011,50260,86605,74907,1571,5388,220,3339,26,247,907,65251,57482,1124,3293,157,2481,20,159,535,2,1,10513,17874
3301150740,33,011,50740,4138,4042,14,26,3,14,0,5,34,2880,2824,10,16,3,6,0,3,18,2,1,342,845
3301151940,33,011,51940,4289,4202,8,34,3,16,0,2,24,2809,2752,5,24,3,9,0,2,14,2,1,343,913
3301159940,33,011,59940,10914,10544,48,105,23,114,0,8,72,7765,7540,34,58,15,77,0,3,38,2,1,1017,2617
