GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,cd_1990,cd_2000,ndv,nrv
27111000385,MN,111,0385,966,4,951,0,2,1,2,0,6,719,4,706,0,2,1,2,0,4,NA,54340,56320,28230,3,7,146,181
27111000390,MN,111,0390,332,0,321,0,5,1,0,0,5,242,0,238,0,2,1,0,0,1,NA,NA,57382,03300,3,7,98,68
27111000395,MN,111,0395,504,3,483,0,11,0,0,0,7,391,2,382,0,5,0,0,0,2,NA,NA,58864,28170,3,7,94,105
27111000400,MN,111,0400,410,1,408,0,0,0,0,0,1,311,1,309,0,0,0,0,0,1,2285,NA,62554,28170,3,7,67,89
27111000405,MN,111,0405,577,5,563,2,0,2,0,2,3,453,2,442,2,0,2,0,2,3,NA,66172,63688,40830,3,7,130,145
27111000410,MN,111,0410,550,3,540,0,1,1,0,0,5,416,3,408,0,1,1,0,0,3,NA,66172,65218,40830,3,7,119,113
27111000415,MN,111,0415,171,1,168,0,0,1,0,0,1,123,1,120,0,0,1,0,0,1,NA,56014,65524,32460,3,7,15.591549295774648,20.3556338028169
27111000420,MN,111,0420,434,2,427,0,3,2,0,0,0,323,2,318,0,1,2,0,0,0,NA,14626,65686,11880,3,7,80,91
27111000425,MN,111,0425,319,2,315,0,0,1,0,0,1,245,2,242,0,0,1,0,0,0,NA,66172,66172,40830,3,7,84,78
27111000430,MN,111,0430,59,0,59,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,NA,66388,66388,28110,3,7,21,16
27111000435,MN,111,0435,311,3,302,0,1,0,0,0,5,245,1,241,0,1,0,0,0,2,NA,66766,66766,12360,3,7,52,89
27111000440,MN,111,0440,68,0,65,0,0,0,0,0,3,55,0,54,0,0,0,0,0,1,NA,67216,67216,13860,3,7,26,30
27111000445,MN,111,0445,50,0,47,0,0,0,0,0,3,30,0,30,0,0,0,0,0,0,NA,67504,67504,00022,3,7,2,3
27111000450,MN,111,0450,142,0,142,0,0,0,0,0,0,104,0,104,0,0,0,0,0,0,NA,NA,69430,11880,3,7,28,57
27111000455,MN,111,0455,293,0,283,0,6,0,0,0,4,190,0,186,0,4,0,0,0,0,NA,NA,71644,05430,3,7,54,63
27113000005,MN,113,0005,98,0,98,0,0,0,0,0,0,67,0,67,0,0,0,0,0,0,NA,57022,06364,38850,3,7,24,24
27113000010,MN,113,0010,73,0,71,0,0,2,0,0,0,53,0,53,0,0,0,0,0,0,NA,NA,07444,38850,3,7,18,17
27113000015,MN,113,0015,70,0,69,0,1,0,0,0,0,53,0,52,0,1,0,0,0,0,NA,NA,12304,13020,3,7,15,25
27113000020,MN,113,0020,130,0,129,0,0,1,0,0,0,90,0,90,0,0,0,0,0,0,NA,NA,15292,24030,3,7,47,26
27113000025,MN,113,0025,98,2,96,0,0,0,0,0,0,67,2,65,0,0,0,0,0,0,NA,24470,24470,13020,3,7,38,25
27113000030,MN,113,0030,54,2,52,0,0,0,0,0,0,42,1,41,0,0,0,0,0,0,NA,24470,24488,13020,3,7,16,13
27113000035,MN,113,0035,83,2,78,0,3,0,0,0,0,69,2,64,0,3,0,0,0,0,3100,NA,28808,24030,3,7,36,18
