GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT.x,DISTRICT.y,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
45003000069,SC,003,69,4006,56,2812,1075,3,5,1,4,50,3005,35,2173,751,2,3,1,4,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,269.24026680543074,585.1071479256351
45003000070,SC,003,70,2250,49,1354,802,10,7,0,4,24,1691,26,1061,572,6,7,0,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,151.50924830881308,329.25663465632243
45003000071,SC,003,71,8,1,6,1,0,0,0,0,0,6,1,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0.4385095843204824,1.2573766961016584
45003000072,SC,003,72,167,0,127,36,0,0,0,0,4,126,0,94,28,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,11.289275746251006,24.533610861440938
45003000073,SC,003,73,2338,54,1920,319,19,5,1,2,18,1734,34,1460,204,15,5,1,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,155.36193765078764,337.62921614078243
45003000074,SC,003,74,7,0,7,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0.537584559345286,1.16826718387814
45003000075,SC,003,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,0
45005000001,SC,005,1,2246,68,776,1392,0,5,0,0,5,1574,42,649,876,0,3,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,334.22643343051504,236.52065111758986
45005000002,SC,005,2,2020,23,35,1950,0,2,0,0,10,1319,15,34,1265,0,1,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,280.07920310981535,198.20250242954324
45005000003,SC,005,3,2050,10,604,1418,2,4,0,8,4,1736,8,550,1161,2,4,0,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,368.6258503401361,260.8639455782313
45005000004,SC,005,4,1928,21,477,1422,2,1,0,0,5,1405,14,394,993,2,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,298.34062196307093,211.12548590864915
45005000005,SC,005,5,253,5,139,105,0,0,0,0,4,198,3,113,79,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,42.04373177842566,29.752915451895042
45005000006,SC,005,6,731,14,361,351,1,0,0,0,4,543,4,298,237,1,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,115.30174927113704,81.5951166180758
45005000007,SC,005,7,397,6,234,152,2,1,0,0,2,292,3,181,103,2,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,62.003887269193385,43.87803692905733
45005000008,SC,005,8,539,18,241,279,1,0,0,0,0,411,9,194,207,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,87.27259475218659,61.75983965014577
45005000009,SC,005,9,439,6,88,340,2,0,0,0,3,335,6,75,251,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,71.13459669582119,50.3395286686103
45005000010,SC,005,10,328,6,33,287,0,0,0,0,2,218,2,29,185,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,46.290573372206026,32.75826044703596
45005000011,SC,005,11,280,4,42,231,0,0,0,0,3,201,4,29,165,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,42.68075801749271,30.203717201166178
45007000001,SC,007,1,5265,61,4910,233,10,20,3,1,27,3891,46,3644,161,5,16,2,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,259.0699474634707,550.5595714989329
45007000002,SC,007,2,3561,39,3384,100,11,16,0,1,10,2522,23,2404,69,8,12,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,167.91940568051223,356.8520275816779
45007000003,SC,007,3,4944,45,4657,167,18,19,0,5,33,3598,33,3396,131,7,13,0,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,239.56146773928745,509.1013462485634
45007000004,SC,007,4,2741,48,2538,118,5,8,0,0,24,2039,36,1899,83,3,7,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,135.76037596453784,288.50962896076175
45007000005,SC,007,5,1094,0,1027,49,7,0,0,1,10,785,0,743,29,5,0,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,52.26674601871614,111.07408471515352
45007000006,SC,007,6,2048,9,1930,92,9,4,0,0,4,1444,4,1374,52,6,4,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,96.14417993761288,204.319717616155
45007000007,SC,007,7,1472,23,1379,44,4,5,1,0,16,1117,8,1066,25,4,5,1,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,74.37191758331964,158.05064028895092
45007000008,SC,007,8,1922,11,1464,422,2,1,0,1,21,1462,10,1144,296,2,1,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,97.34265309472993,206.866639303891
45007000009,SC,007,9,691,3,569,116,0,1,0,0,2,536,3,440,90,0,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,35.6878673452635,75.84166803480544
45007000010,SC,007,10,822,2,790,22,4,3,1,0,0,626,2,602,16,2,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,41.6802331308488,88.57627647348548
45007000011,SC,007,11,3382,58,2932,364,2,7,0,3,16,2529,37,2205,271,1,5,0,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,168.38547857494666,357.84249712690854
45007000012,SC,007,12,2814,24,2691,74,2,3,0,0,20,2111,20,2028,47,2,2,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,140.55426859300607,298.69731571170576
45007000013,SC,007,13,1461,22,1391,11,12,5,0,1,19,1131,16,1085,6,8,5,0,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,75.30406337218848,160.03157937941225
45007000014,SC,007,14,3858,52,2492,1253,6,15,0,7,33,3052,35,2059,922,4,14,0,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,203.20778197340337,431.84472172057133
45007000015,SC,007,15,458,0,423,22,0,12,0,0,1,357,0,332,12,0,12,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,23.76971761615498,50.513946806764075
45007000016,SC,007,16,1102,4,924,166,1,5,0,1,1,841,4,718,113,1,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,55.995329174191426,118.99784107699885
45007000017,SC,007,17,4016,21,3796,125,4,44,0,2,24,2803,13,2662,88,4,23,0,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,186.62890329995076,396.6123050402233
45007000018,SC,007,18,346,0,318,25,0,0,0,0,3,267,0,247,17,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,17.777351830569696,37.77933836808406
45007000019,SC,007,19,5091,185,4591,256,7,6,0,4,42,3636,123,3316,162,6,6,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,242.0915777376457,514.4781809226728
45007000020,SC,007,20,3095,55,2363,647,10,1,0,2,17,2385,32,1840,504,6,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,158.79769331801018,337.4671236250205
45007000021,SC,007,21,2427,3,2042,349,8,2,1,2,20,1879,3,1598,257,4,2,1,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,125.10728123460844,265.8703250697751
45007000022,SC,007,22,1210,9,1038,154,3,1,0,1,4,912,4,785,117,3,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,60.722639960597604,129.0440321786242
45007000023,SC,007,23,1572,7,1472,66,7,9,0,0,11,1256,6,1183,49,5,7,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,83.62679362994582,177.7185355442456
45007000024,SC,007,24,4752,41,4133,443,4,86,1,2,42,3487,27,3117,273,4,50,1,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,232.17088327039895,493.39532917419143
45007000025,SC,007,25,870,8,786,64,1,2,0,4,5,652,5,601,42,1,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,43.41136102446232,92.25516335577082
45007000026,SC,007,26,2133,20,1923,167,8,0,0,0,15,1547,14,1407,114,4,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,103.00210967000493,218.89376949597766
45007000027,SC,007,27,909,11,826,69,0,0,0,0,3,689,9,635,42,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,45.8748891807585,97.4905023805615
45007000028,SC,007,28,901,2,825,68,2,1,0,0,3,710,1,658,48,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,40.14612452350699,87.96060991105465
45007000029,SC,007,29,1112,12,990,102,4,2,0,0,2,871,9,782,74,4,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,49.249682337992375,107.90660736975858
45007000030,SC,007,30,4454,32,4001,342,9,17,0,3,50,3317,21,3006,238,7,14,0,2,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,220.85197011984894,469.341068790018
45007000031,SC,007,31,3722,37,3399,243,9,13,0,2,19,2785,24,2581,157,4,8,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,185.43043014283367,394.0653833524873
45007000032,SC,007,32,2632,37,2079,436,7,47,0,3,23,2116,28,1709,317,6,38,0,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,140.88717780331635,299.40479395829914
