GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
38089963300,38,089,9633,1431,1412,2,7,7,1,0,0,2,1084,1072,1,6,3,1,0,0,1,NA,66500,21760,18180,15840,36,36,1,1,272.81684959952537,369.35105309997033
38089963400,38,089,9634,2704,2625,2,20,40,8,0,0,9,1941,1888,2,10,29,4,0,0,8,NA,19620,19620,NA,00038,37,37,1,1,488.50323346188077,661.3564520913675
38089963500,38,089,9635,4094,3950,11,44,38,12,2,0,37,3105,3023,2,27,25,8,2,0,18,NA,19620,19620,NA,00038,37,37,1,1,781.4541679026995,1057.9658854939187
38089963600,38,089,9636,2208,2109,13,20,36,5,1,0,24,1816,1751,11,17,19,5,1,0,12,NA,19620,19620,NA,00038,37,37,1,1,457.0437258973598,618.765232868585
38089963700,38,089,9637,3920,3800,8,46,23,6,1,3,33,3035,2962,6,31,14,6,1,0,15,NA,19620,19620,NA,00038,37,37,1,1,763.8368436665678,1034.1148027291604
38089963800,38,089,9638,3808,3669,7,45,50,7,0,6,24,2708,2633,3,23,30,4,0,3,12,NA,19620,19620,NA,00038,36,36,1,1,681.5387718777811,922.6961732423613
38089963900,38,089,9639,2671,2600,0,41,6,6,1,0,17,1901,1857,0,27,4,3,1,0,9,NA,30460,19625,18180,00038,36,36,1,1,478.43619104123405,647.7272619400771
38089964000,38,089,9640,1800,1757,4,13,3,5,0,0,18,1265,1243,3,8,2,3,0,0,6,NA,05820,85130,02840,06210,36,36,1,1,318.3702165529516,431.02313853455945
38091968700,38,091,9687,2258,2220,1,4,14,1,0,1,17,1634,1610,1,1,11,0,0,0,11,NA,38860,05660,NA,06910,23,23,1,1,988,686
38093967000,38,093,9670,2763,2731,1,8,10,4,1,0,8,2025,2014,0,3,5,2,0,0,1,NA,42180,10100,17250,15150,29,29,1,1,65,65
38093967200,38,093,9672,2997,2968,2,9,7,0,1,3,7,2227,2210,2,6,5,0,1,2,1,NA,51860,76180,17250,00021,29,29,1,1,181,301
38093967300,38,093,9673,2217,2074,11,29,75,11,0,0,17,1764,1641,11,25,72,7,0,0,8,NA,40580,40580,NA,00021,48,48,1,1,108,138
38093967400,38,093,9674,6176,5934,25,82,54,37,5,3,36,4945,4779,17,60,37,27,4,3,18,NA,40580,40580,NA,00021,48,48,1,1,1918.7784431137725,2015.9017964071857
38093967500,38,093,9675,3522,3435,5,36,20,9,0,0,17,2537,2484,3,21,13,9,0,0,7,NA,40580,40580,NA,00021,29,29,1,1,163,187
