GEOID,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16USSRTHU,G16USSDWIL,G16PUCRNEL,G16PUCDRED,G16HALRNOE,G16HALDHAW
460039736004136,0,0,0,0,0,0,0,0,0,0
460039736004141,2.6,0.5,0.2,0.1,2.6,0.7,3.2,0.2,2.3,1.1
460039736003169,3.3,0.6,0.2,0.1,3.3,0.9,4,0.3,2.9,1.4
460039736001123,0,0,0,0,0,0,0,0,0,0
460039736004099,0,0,0,0,0,0,0,0,0,0
460039736004120,0,0,0,0,0,0,0,0,0,0
460039736004109,0,0,0,0,0,0,0,0,0,0
460039736004049,0.5,0.2,0,0,0.5,0.2,0.6,0.1,0.4,0.3
460039736004006,3.9,1.4,0.3,0.1,4.3,1.5,4.9,0.8,3.6,2.2
460039736004062,0,0,0,0,0,0,0,0,0,0
460039736004011,0.5,0.2,0,0,0.5,0.2,0.6,0.1,0.4,0.3
460039736004019,3.9,1.4,0.3,0.1,4.3,1.5,4.9,0.8,3.6,2.2
460039736003113,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003134,0,0,0,0,0,0,0,0,0,0
460039736003138,0.6,0.1,0,0,0.6,0.1,0.6,0.1,0.5,0.2
460039736003129,2.2,0.6,0.1,0,2.4,0.6,2.6,0.4,2.2,0.8
460039736003123,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003127,0,0,0,0,0,0,0,0,0,0
460039736001136,1.4,0.7,0.1,0,1.5,0.7,1.7,0.5,1.4,0.8
460039736001051,0.5,0.2,0,0,0.5,0.2,0.6,0.2,0.5,0.3
460039736001062,0,0,0,0,0,0,0,0,0,0
460039736001034,0.9,0.4,0.1,0,1,0.5,1.1,0.3,0.9,0.5
460039736004127,3.4,1.2,0.2,0.1,3.7,1.3,4.3,0.7,3.1,1.9
460039736004128,0,0,0,0,0,0,0,0,0,0
460039736004132,2.5,0.9,0.2,0.1,2.7,0.9,3.1,0.5,2.2,1.3
460039736003002,0,0,0,0,0,0,0,0,0,0
460039736001179,3.3,0.9,0.2,0.1,3.6,0.9,3.9,0.6,3.3,1.2
460039736001210,0,0,0,0,0,0,0,0,0,0
460039736001241,0,0,0,0,0,0,0,0,0,0
460039736001161,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736001099,0,0,0,0,0,0,0,0,0,0
460039736001235,0,0,0,0,0,0,0,0,0,0
460039736001140,2.3,1.1,0.2,0,2.5,1.1,2.8,0.8,2.3,1.4
460039736001141,0.9,0.4,0.1,0,1,0.5,1.1,0.3,0.9,0.5
460039736001157,0.9,0.4,0.1,0,1,0.5,1.1,0.3,0.9,0.5
460039736001087,0,0,0,0,0,0,0,0,0,0
460039736002016,2.8,1.2,0.3,0.1,3.3,1.1,3.6,0.7,2.7,1.7
460039736002026,0.4,0.2,0,0,0.5,0.2,0.5,0.1,0.4,0.2
460039736002041,5.1,2.3,0.6,0.1,6.2,2,6.7,1.3,5.1,3.1
460039736002039,4.7,2.1,0.6,0.1,5.7,1.9,6.2,1.2,4.7,2.9
460039736002061,0,0,0,0,0,0,0,0,0,0
460039736002085,0,0,0,0,0,0,0,0,0,0
460039736002090,5.1,2.3,0.6,0.1,6.2,2,6.7,1.3,5.1,3.1
460039736002097,3.6,1.6,0.4,0.1,4.3,1.4,4.7,0.9,3.5,2.1
460039736002091,1.6,0.7,0.2,0,1.9,0.6,2.1,0.4,1.6,1
460039736002013,1.6,0.7,0.2,0,1.9,0.6,2.1,0.4,1.6,1
460039736002099,1.2,0.5,0.1,0,1.4,0.5,1.6,0.3,1.2,0.7
460039736002077,1.9,0.9,0.2,0,2,0.9,2.2,0.6,1.9,1.1
460039736002074,0,0,0,0,0,0,0,0,0,0
460039736002121,0.5,0.2,0,0,0.5,0.2,0.6,0.2,0.5,0.3
460039736004075,4.9,1.7,0.3,0.1,5.3,1.8,6.1,1,4.4,2.7
460039736004106,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
