GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREUWES,G20PREOOTH,G20USSDHIC,G20USSRGAR,G20USSLDOA,G20USSODOY,G20USSOEVA,G20USSOWRI
08041041187,08,041,041187,625,569,31,5,1,7,7,614,570,35,9,6,0
08041041188,08,041,041188,832,561,41,8,2,6,16,805,603,40,5,6,0
08041041189,08,041,041189,765.06,410.76,32.01,9.03,2.98,6,7,763.99,407.47,31.26,8.03,8.94,0
08041041190,08,041,041190,374,336,27,10,0,5,8,359,342,32,6,12,0
08041041191,08,041,041191,751.82,964.87,41.79,2.06,0.86,1.7,13.6,707.15,985.38,54.95,9.35,7.17,0
08041041192,08,041,041192,699.71,824.13,39.03,8.26,2.12,3.26,4.32,671.73,836.8,51.21,14.26,1.26,0
08041041193,08,041,041193,432,453,14,2,5,3,5,422,447,27,12,7,0
08041041194,08,041,041194,466,276.77,13.18,3.77,1.88,3.77,4.71,436.81,288.07,31.07,3.77,3.77,0
08041041195,08,041,041195,469.35,533.08,31.46,5.07,4.22,3.38,4.3,437.03,545.85,44.19,7.65,6.79,0
08041041196,08,041,041196,139.41,145.3,4.91,9.82,0,0.98,0.98,138.43,138.43,11.78,0,0.98,0
08041041197,08,041,041197,483,415,24,7,1,1,6,452,445,29,7,5,0
08041041198,08,041,041198,410,399,23,6,2,0,2,388,402,23,10,3,0
08041041199,08,041,041199,425,287,12,2,5,6,3,423,282,25,9,4,0
08041041200,08,041,041200,222.86,329.24,23.59,2.93,1.02,0.02,1.17,192.1,341.92,26.46,0.98,7.79,0
08041041201,08,041,041201,642.4,1000.3,17,0.99,2.95,4.92,2.99,566.27,1101.94,10.06,1.05,1.03,0
08041041202,08,041,041202,543.42,880.32,23.79,3.81,2.86,1.9,1.9,493.93,943.13,26.65,0.95,1.9,0
08041041203,08,041,041203,454.6,600.13,21.13,0.78,0.78,2.35,6.26,402.96,665.86,17.21,0.78,2.35,0
08041041204,08,041,041204,654.07,837.28,25.73,0.99,1,2,3.96,599.46,895.96,19.78,4.94,3.95,0
08041041205,08,041,041205,798.08,936.37,47.48,1.11,2.03,5.17,9.82,710.85,1028.96,43.75,6.61,4.26,0
08041041206,08,041,041206,626.33,635.62,22.07,5.35,2.33,5.11,10.44,583.78,691.03,29.24,2.12,0.32,0
08041041207,08,041,041207,934.21,1102.76,43.91,3.61,4.85,2.41,8.82,860.21,1194.44,36.69,6.77,3.42,0.02
08041041208,08,041,041208,542.84,578.18,18.04,3.76,2.26,3.01,2.26,506.75,616.53,23.31,1.5,0.75,0
08041041209,08,041,041209,468.03,948.04,35.93,4.99,1,2,6.99,416.14,1007.92,34.93,2,1,1
08041041210,08,041,041210,486.39,972.35,38.29,0.24,2.02,3.79,5.94,450.39,1017.42,34.59,1.12,1.25,0
08041041211,08,041,041211,468.19,867.62,20.38,2,7.12,0.24,9.37,428.99,913.43,25.14,0.06,2.06,0
08041041212,08,041,041212,550.33,1170.68,29.38,0.14,7.94,8.91,13.38,480.51,1272.11,21.22,4.16,5.11,0
08041041213,08,041,041213,400.03,1029.49,25.09,2.15,2,1.15,7.22,353.47,1090,23.8,4.07,1.07,0
08041041214,08,041,041214,471.33,1362,38.17,4.17,3.17,2.33,5.17,439,1407.33,25.33,8.33,0.17,0
08041041215,08,041,041215,521.27,1163.22,20.28,1.98,2.86,3,9.29,460.29,1233.94,24.6,4.59,2.54,0
08041041216,08,041,041216,1025.25,1598.38,61.74,6.1,2.05,6.18,16.25,930.8,1676.79,59.02,4.05,7.2,0
08041041217,08,041,041217,869.99,1689.95,49.3,2.84,1.87,7.82,6.71,772.6,1819.17,37.65,3.65,3.95,0
08041041218,08,041,041218,386.83,903.47,19.95,7.16,4.83,2.17,3.99,354.26,949.18,21.11,2.5,4.33,0
08041041219,08,041,041219,387,1071,39,2,2,1,2,343,1112,34,2,2,0
08041041220,08,041,041220,887.81,1212.51,48.71,7.31,0.08,2.71,10.01,773.87,1326.7,46.67,3.52,0.22,0
08041041221,08,041,041221,526.43,996.91,37.82,1.89,0,4.72,1.89,479.15,1065.86,18,0.95,3.79,0
08041041222,08,041,041222,762.2,1191.96,37.28,4.68,5.63,1.97,14.16,690,1288.55,31.64,1.01,5.74,0
08041041223,08,041,041223,774.16,1070.72,39.78,3.11,1.97,1.24,9.32,692.42,1171.83,27.77,2.07,2.12,0
08041041224,08,041,041224,590.31,893.74,42.38,2.79,0,4.63,8.3,519.43,976.57,38.69,1.84,2.81,0
08041041225,08,041,041225,1156.98,1622.19,57.55,7.01,4.53,6.44,10.22,1033.62,1749.81,58.72,7.45,3.02,0
08041041226,08,041,041226,396.14,514.01,28.08,4.03,0.14,3.94,4.9,360.03,556.55,25.35,1.01,2.02,0
08041041230,08,041,041230,611.23,1032.79,25.77,4.93,4.22,3.27,10.66,532.31,1160.62,10.88,1.06,2.08,0
08041041231,08,041,041231,634.79,950.26,63.24,4.17,2.06,7.02,9.24,576.23,1051.96,43.71,2.27,1.15,0
08041041232,08,041,041232,492.35,795.04,21.98,0.01,2.74,3.66,9.15,443.87,857.21,18.33,0.92,0.92,0
08041041233,08,041,041233,583.38,855.6,30.29,3.93,1.93,6.84,6.83,512.68,932.45,37.92,2.91,0.05,0
08041041234,08,041,041234,634.4,854.93,20.4,3.89,0,4.86,3.89,565.42,945.28,14.57,0.97,2.91,0
08041041235,08,041,041235,624.74,972.69,39.13,2.15,2.06,2.24,10.25,569.83,1034.01,32.28,5.11,4.04,0
08041041236,08,041,041236,433.15,588.49,19.92,3.98,2.99,4.98,13.94,394.32,642.26,29.87,0,5.97,0
08041041237,08,041,041237,270.31,372.88,11.24,2.35,0.02,2.94,3,256.02,388.97,10.14,0.58,4.11,0
08041041238,08,041,041238,443.96,642.97,26.79,3.83,0.96,0.96,4.78,401.86,686.98,25.83,3.83,2.87,0
08041041239,08,041,041239,619.32,846.77,41.37,5.61,1.53,2.41,8.9,577.84,882.65,42.87,7.53,3.46,0
08041041240,08,041,041240,417.07,670.48,20.36,1.51,3.02,3.02,4.53,392.18,693.86,15.08,2.26,3.77,0
08041041241,08,041,041241,817.77,1194.96,42.96,9.52,4.47,6.74,16.06,745.79,1260.48,62.15,5.97,5.73,0
08041041242,08,041,041242,818.15,1096.52,54.85,2.91,3.38,4.91,12.45,766.23,1152.62,50.08,9.75,4.8,0
08041041243,08,041,041243,592.2,662.98,41.68,3.93,1.57,3.93,6.29,558.39,701.52,34.6,6.29,3.15,0
08041041244,08,041,041244,561.86,856.78,44.03,2.64,2.64,6.16,6.17,539.83,892.01,35.22,1.77,4.4,0
08041041245,08,041,041245,576.97,921.86,30.6,1.1,2.01,2.03,7.13,506.56,992.16,38.62,6.11,1.05,0
08041041246,08,041,041246,563.87,578.38,33.49,5.13,3.06,4.09,10.21,510.95,623.2,43.8,1.08,5.07,1
08041041247,08,041,041247,428,562,24,2,3,6,7,390,613,23,1,1,0
08041041301,08,041,041301,385.21,576.29,19.18,3.13,2.19,1.13,3.29,352.66,617.04,13.39,3.2,1.2,0.01
08041041302,08,041,041302,761.8,1049.87,38.1,5.99,3.08,2.99,11.93,723.07,1081.58,43.25,6.07,6.06,0.98
08041041303,08,041,041303,480.28,930.76,28.89,4.51,3.61,0.9,8.12,442.36,975,27.99,4.51,2.71,0
08041041304,08,041,041304,443.53,838.96,17.65,1.86,3.7,0.93,2.8,408.32,867.69,26.9,4.64,4.64,0
08041041310,08,041,041310,574.22,1136.48,36.65,6.08,2.11,3.04,5.14,528.14,1213.36,21.91,0.15,6.15,0.01
08041041311,08,041,041311,600,1176,25,1,0,2,4,553,1221,22,1,4,0
08041041312,08,041,041312,623.56,1088.95,33.06,4.01,4.01,9,8.01,568.43,1177.05,24.09,4.02,1.02,0
08041041313,08,041,041313,487.07,952.36,36.63,3.96,1.98,5.94,6.93,427.67,1019.67,30.69,1.98,6.93,0
08041041314,08,041,041314,469.93,932.64,19.37,3.04,6.02,1.06,3.07,420.33,994.33,13.31,3.02,0.07,0
08041041315,08,041,041315,482.16,822.28,29.28,1.03,4.02,2.04,3.04,424.63,885.85,26.28,2.07,1.02,0
08041041316,08,041,041316,388.84,911.04,15.62,1,0.05,0.09,1.09,345.51,956.22,19.97,0.05,1.05,0
08041041317,08,041,041317,635,1180,14,4,2,1,8,572,1248,21,3,2,0
08041041318,08,041,041318,601.38,1167.95,29.11,1.13,1.27,2.37,3.42,529.74,1258.75,20.3,1.47,2.15,0
08041041319,08,041,041319,530.78,862.28,28.74,3.06,2.08,3.78,4.21,477.28,919.88,28.69,6.79,2.02,0
08041041320,08,041,041320,410,1088,23,3,1,3,5,376,1150,11,1,2,0
08041041321,08,041,041321,454,1145,36,3,4,1,0,386,1241,20,1,1,0
08041041322,08,041,041322,287.95,879.09,15.92,0.84,0.86,6.67,5.86,266.16,915.93,16.74,1.68,0.84,0
08041041401,08,041,041401,512.52,771.76,35.51,6.04,3.46,3.46,6.91,470.13,812.4,39.82,4.34,1.74,0
08041041402,08,041,041402,785.04,1027.04,57.54,3.79,5.31,5.37,6.83,728.82,1074.17,61.06,10.28,5.15,0
08041041403,08,041,041403,541.77,958.12,32.95,1,1.99,2.99,4.04,503.93,996.01,21.04,2.99,2,0
08041041404,08,041,041404,522.85,706.88,45.76,6.82,0.97,5.84,8.76,503.38,712.72,48.68,1.95,6.82,0
08041041405,08,041,041405,472,752,30,1,3,3,5,441,777,33,4,3,0
08041041406,08,041,041406,694.32,984.91,54.46,2.36,6.36,2.54,9.34,652.3,1027.19,55.2,6.54,5.54,0
08041041407,08,041,041407,630,870,39,1,3,1,7,590,911,30,5,3,0
08041041408,08,041,041408,632.08,892.38,42.38,2.11,2.03,2.91,11.46,596.48,933.62,36.13,2.73,3.08,0
08041041409,08,041,041409,609.96,884.68,30.04,1.35,3.13,5.51,12.85,575.74,932.64,34.21,2.21,5.4,0
08041041410,08,041,041410,627.2,782.35,36.67,3.76,1.88,6.58,11.28,581.12,827.49,38.55,2.82,4.7,0
08041041411,08,041,041411,742.52,906.54,43.22,1.96,5.89,4.91,7.86,686.53,959.58,47.14,5.89,9.82,0
08041041412,08,041,041412,491,662,30,3,3,1,6,446,698,36,2,2,0
08041041413,08,041,041413,461.24,539.45,33.65,2.96,0.11,2.28,3.79,443.42,555.03,35.92,4.49,2.37,0
08041041414,08,041,041414,496.07,652.31,41.14,5.03,4.01,5.01,5.03,481.12,661.3,35.16,11,6.01,0
08041041415,08,041,041415,538.7,616.36,46.2,3.93,0,3.93,4.92,516.09,616.36,49.15,8.85,5.9,0
08041041416,08,041,041416,615.71,739.05,34.81,3.98,3.98,3.98,4.97,573.93,765.9,55.7,5.97,3.98,0
08041041417,08,041,041417,596,678,51,2,3,4,5,555,721,44,7,2,0
08041041418,08,041,041418,452.93,706.51,31.55,5.99,2.99,3.01,6.22,461.12,705.87,34.75,2.15,3.1,0
08041041419,08,041,041419,583.99,652.51,47.1,3.1,0,2.07,7.12,561.43,674,41.17,3.15,8.07,0
08041041420,08,041,041420,1661,2639.93,108.7,8.34,8.46,13.15,23.84,1537.23,2756.61,111.52,10.14,13.83,0
08041041421,08,041,041421,454,541,44,3,0,2,4,414,573,44,3,5,0
08041041422,08,041,041422,421.01,495.9,29.22,3.89,2.92,8.75,8.76,400.55,495.89,42.85,10.7,0.98,0
08041041423,08,041,041423,558.48,781.37,40.79,1.2,2.13,1.17,2.46,505.75,827.28,41.62,3.17,2.1,0
08041041440,08,041,041440,380.76,1209.05,25.92,1.99,6.98,1.99,6.98,341.89,1260.88,20.93,2.99,1.99,0
08041041441,08,041,041441,348.29,1015.68,27.51,5.24,5.41,1.32,6.32,337.53,1043.57,23.35,6.24,2.24,0
08041041442,08,041,041442,493.08,1516.03,40.76,5.96,0.99,2.98,9.94,456.3,1539.89,51.69,7.95,7.95,0
08041041443,08,041,041443,340.75,956.99,59.14,1.37,1.27,4.2,6.6,336.5,986.96,43.66,1.32,1.02,0
08041041444,08,041,041444,439.92,1301.97,46.24,6.04,3.01,4.02,7.06,399.7,1357.11,38.31,3.05,1.05,0
08041041445,08,041,041445,702,919,36,5,4,6,8,657,957,39,6,6,1
08041041446,08,041,041446,711.38,1372.36,62.29,3.96,1.02,2.98,9.88,643.16,1442.65,59.32,4.95,2.98,0
08041041447,08,041,041447,442,830,46,1,1,7,6,413,854,43,3,7,0
08041041448,08,041,041448,356.11,845.17,27.55,4.67,3.74,2.83,7.51,321.61,878.97,33,3.74,0.01,0
08041041449,08,041,041449,393.33,799.89,23.05,0.1,3.17,1.14,4.14,360.18,830.52,24.98,3.1,1.1,1
08041041450,08,041,041450,374.07,857.73,27.45,2.65,4.39,3.52,3.55,343.97,900.14,25.68,2.65,2.65,0
08041041451,08,041,041451,358,952,25,1,5,5,4,337,961,37,4,1,1
08041041452,08,041,041452,357,1050,34,4,1,1,4,341,1048,35,12,6,1
08041041453,08,041,041453,298.23,1073.05,19.08,5.23,4.18,5.31,9.5,290.43,1075.53,28.09,3.29,4.23,0
08041041454,08,041,041454,637.04,1036.41,53.44,5.01,1.02,4.01,7.02,586.46,1079.91,50.46,9.03,6.02,0
08041041500,08,041,041500,60,302,13,0,0,0,1,62,293,18,2,0,0
08041041501,08,041,041501,156.77,754.58,15.11,0,1.89,1.89,3.78,148.27,744.19,24.55,5.67,2.83,0
08041041502,08,041,041502,142.26,713.45,15.46,3.88,2.05,3.02,2.16,141.76,719.64,16.01,5.19,2.11,0
08041041520,08,041,041520,31.09,88.71,3.66,0.91,0,0,0.91,28.35,92.37,0.91,1.83,1.83,0
08041041521,08,041,041521,270,803.11,28.12,2,4,7,4,268.15,794.95,38.08,4.08,3.04,2
08041041522,08,041,041522,228.37,919.86,37.45,0.91,2.74,0.91,5.48,221.97,918.04,32.88,15.53,1.83,0
08041041523,08,041,041523,218,879,21,0,6,2,4,199,889,30,6,3,1
08041041524,08,041,041524,268.96,1232.97,34.43,2.12,4.06,3.09,2.06,254.97,1249.17,28.43,2.15,3.06,0
08041041525,08,041,041525,41.02,165.05,1,1,0,0,1,37.02,170.05,3,0,1,0
08041041554,08,041,041554,38.44,125.04,0.21,1.01,2.04,0.02,0.04,38.47,125.02,2.27,1.04,0.04,0
08041041560,08,041,041560,213.19,1024.09,31.34,1.08,6.21,3.06,6.47,216.56,1020.94,38.85,6.43,5.14,0
08041041601,08,041,041601,569.91,405.01,17.94,3.99,3.97,4.98,3.01,540.03,398.06,36.86,7.97,7.99,0
08041041602,08,041,041602,559.76,568.66,19.78,2.97,0.99,0.99,2.97,531.08,601.3,22.75,5.93,5.93,0
08041041603,08,041,041603,471.59,365.98,26.61,3.23,4.03,4.02,1.63,436.08,395.85,36.27,2.44,3.22,0
08041041604,08,041,041604,592.43,473.35,35.62,3.08,1.05,2.12,3.08,552.7,481.12,41.53,1.14,5.21,0
08041041605,08,041,041605,581.58,423.23,34.55,3.84,1.92,7.68,9.6,574.86,416.51,44.15,7.68,11.52,0
08041041606,08,041,041606,685.4,583.32,26.79,4.96,4.96,1,5.95,640.79,624.95,31.75,7.94,2.98,0
08041041610,08,041,041610,851,604.18,50.33,8.73,1.94,8.71,13.57,828.59,619.63,57.23,5.87,3.98,0
08041041611,08,041,041611,742.88,567.85,39.9,13.91,8.92,3.02,6.02,710.05,589.72,47.88,13.89,5.97,0
08041041612,08,041,041612,768.51,458.74,43.4,5.14,4.09,7.03,13.06,763.17,452.96,60.48,9.14,14.06,0
08041041613,08,041,041613,658.12,679.53,40.54,2.02,3.93,7.82,5.97,652.94,677.63,44.46,13.8,5.95,0
08041041614,08,041,041614,860.16,370.64,38.96,6.99,0,7.99,4,814.2,379.63,61.94,2,10.99,0
08041041615,08,041,041615,447.5,396.58,25.06,3.33,2.27,3.25,7.4,441.97,394.98,29.72,11.77,5.99,0.08
08041041616,08,041,041616,673.21,371.65,18.44,4.61,3.69,3.69,6.46,642.77,364.27,38.73,11.99,12.91,0.92
08041041619,08,041,041619,470,339,29,3,2,2,9,463,350,24,6,3,0
08041041620,08,041,041620,300.72,249.03,15.66,0.78,0,2.35,3.92,278.01,275.66,10.96,2.35,3.13,0
08041041621,08,041,041621,836,569,60,9,10,11,17,803,576,73,19,15,0
08041041622,08,041,041622,835,520,43,6,5,2,16,797,533,64,11,8,0
08041041623,08,041,041623,908.03,630.82,49.96,11.75,6.86,4.9,11.75,902.15,648.45,55.83,6.86,8.82,0.98
08041041624,08,041,041624,764.81,484.51,34.68,8.67,3.85,7.71,6.74,724.35,493.18,45.27,14.45,13.49,0
08041041625,08,041,041625,834.19,593.49,55.32,1.33,2.15,10.29,10.26,803.65,615.82,59.73,7.55,9.51,0
08041041626,08,041,041626,400.33,228.23,34.02,7,0,4,4,375.33,237.24,39.02,6,8,1
08041041627,08,041,041627,510,425,42,1,1,3,3,477,436,42,4,8,0
08041041630,08,041,041630,642.31,756.06,54.3,7,6.03,5.04,9.05,613,767.14,58.4,15.03,17.06,0
08041041631,08,041,041631,243.31,277.66,17.54,1.16,2.17,0.4,2.36,229.48,271.82,22.8,6.57,7.39,0
08041041632,08,041,041632,825.42,964.79,59.26,4.5,0.53,10.22,9.13,777.31,980.88,80.51,9.83,5.43,0
08041041633,08,041,041633,582.01,836.76,54.32,17.14,3.08,8.14,12.53,560.44,846.1,70.65,11.54,9.22,0.06
08041041634,08,041,041634,626.49,849.53,45.6,0.99,4.96,5.95,7.93,584.85,861.42,58.49,6.94,9.91,0
08041041635,08,041,041635,674.57,888.67,52.79,6.84,0,3.91,4.89,619.82,913.11,73.32,8.8,7.82,0
08041041636,08,041,041636,705.63,884.99,51.99,3.03,4.94,5.96,9.6,676.89,893.23,59.14,12.69,9.99,1.94
08041041637,08,041,041637,621.89,825.53,57.85,5.05,3,4.14,10.12,596.15,851.78,60.13,5.14,3.08,0
08041041638,08,041,041638,409.6,538.41,30.07,5.5,1.51,6.64,5.82,393.62,544.75,45.62,5.13,2.6,0
08041041639,08,041,041639,771.46,917.37,50.1,3.04,4.81,5.09,7.73,736.14,911.85,72.2,6.94,7.97,0
08041041640,08,041,041640,456.08,592.5,36.34,1.76,0.88,1.97,4.36,430.23,601.55,38.64,4.26,6.94,0
08041041641,08,041,041641,536.33,742.84,30.34,2.94,0.98,3.91,5.87,513.82,757.52,37.19,1.96,5.87,0
08041041642,08,041,041642,623.04,749.26,48.64,6.56,4.05,5.59,6.73,598.53,756.07,56.89,8.86,4.07,0
08041041643,08,041,041643,691.01,878.32,72.36,3.55,1.29,8.31,7.8,667.11,906.62,57.65,2.77,8.05,0
08041041644,08,041,041644,523.22,576.77,28.23,4.85,4.85,5.84,5.83,508.58,573.9,35.06,9.71,9.71,0
08041041650,08,041,041650,679.59,876.62,69.94,4.43,2.09,5.64,13.07,622.31,901.99,77.53,16.46,5,0.02
08041041651,08,041,041651,971.78,1308.01,82.3,5.07,2,4,9.07,878.61,1351.25,98.09,6.15,12.15,0
08041041652,08,041,041652,610.22,916.87,34.48,4.27,1.15,5.25,8.7,570.75,937.23,42.84,7.72,11.18,0
08041041653,08,041,041653,48.55,148.51,2.86,0,0,0,0,52.36,144.71,1.9,1.9,0.95,0
08041041721,08,041,041721,730.81,726.41,20.62,8.69,2.06,3.01,1.34,669.76,805.77,18.05,4.06,1.1,0
08041041722,08,041,041722,843.92,724.07,21.97,2,2,2,2,786.99,790.99,16.98,1,1,0
08041041723,08,041,041723,849.77,727.61,27.08,1.02,1.01,2.01,3,808.55,748.88,32.06,6.01,1,0
08041041724,08,041,041724,1022.46,698.44,52.33,10.14,4.03,3.05,5.02,974.49,720.7,67.28,9.06,7.02,0
08041041725,08,041,041725,881.25,904.46,34.78,5.2,1.11,7.36,4.46,819.38,962.61,33.26,2.38,6.55,0
08041041726,08,041,041726,647.44,917.52,27.02,2.02,0.01,0.01,5,596.5,982.4,20.11,0.07,1.06,0
08041041727,08,041,041727,760.75,962.01,27.48,2.79,4.98,3.98,2.39,679.11,1066.28,21.84,2.59,3.79,0
08041041728,08,041,041728,690.84,974.37,28.95,1,1,1,4.99,624.95,1068.21,20.96,1,2,0
08041041729,08,041,041729,736,973,31,4,3,3,5,666,1049,30,3,1,0
08041041730,08,041,041730,688.24,806.6,25.02,2,2,3,8,621.27,869.55,31.03,3,6.01,0
08041041740,08,041,041740,852.19,927.68,29.67,5.92,1.98,4.92,3.96,816.52,949.65,38.49,3.95,1.98,0
08041041741,08,041,041741,192.7,290.43,5.02,1,0.01,1,1,189.64,297.39,3.07,0.01,0.99,0
08041041742,08,041,041742,756.77,285.02,26.49,5.89,1.96,2.95,0.99,733.25,301.72,38.22,2.94,2.95,0
08041041743,08,041,041743,763.92,366.04,36.86,8.65,1.94,2,4.76,755.49,363.9,45.64,4.8,4.8,0.95
08041041744,08,041,041744,694.33,458.63,20.37,1.34,0.08,4.06,3.18,664.13,495.39,15.73,4.18,4.18,0.04
08041041745,08,041,041745,128.07,142.61,7.46,0.17,0.04,1.02,0.1,120.06,150.37,7.64,0.1,0.09,0.01
08041041800,08,041,041800,452.84,691.43,89.59,3.9,1.95,6.82,3.9,416.8,672.92,83.75,6.82,11.69,0
08041041801,08,041,041801,353.72,690.48,27.07,5.96,2.04,2.1,10.25,355.88,658.43,43.15,11.15,12.06,0
08041041802,08,041,041802,459.37,632.29,40.91,2.96,6.92,3.99,7.03,458.05,623.71,46.9,11.92,7.94,0.99
08041041803,08,041,041803,541,599,42,0,2,6,12,506,627,49,3,4,0
08041041804,08,041,041804,391,539,40,1,6,5,5,364,575,35,4,3,0
08041041805,08,041,041805,712.79,702.21,47.75,5.37,4.59,4.93,8.48,667.74,731.91,55.35,5.98,14.14,0
08041041806,08,041,041806,360,541,34,4,2,0,5,339,544,39,7,4,0
08041041807,08,041,041807,495.94,534.43,41.26,0.03,1.96,3.84,10.53,469.26,557.22,47.98,7.71,4.83,0.01
08041041808,08,041,041808,533.96,593.74,33.19,2.71,4.46,6.21,9.76,520.18,591.53,43.81,6.25,8.1,0
08041041828,08,041,041828,98.05,333.07,8,1,1,0,0,89.05,332.07,14,2,1,0
08041041839,08,041,041839,302.33,550.62,14.96,1.99,1,0,2.99,305.3,535.69,25.93,1,4.99,0
08041041901,08,041,041901,258,285,20,3,1,4,2,261,276,23,7,5,0
08043043001,08,043,043001,235.1,691,13.14,3.01,3,0.02,3.07,224.79,690.29,23.23,7.97,2.02,0
08043043002,08,043,043002,234.95,777.54,11.95,0,1.99,1,3.98,236.95,747.67,17.92,10.95,1.99,0
08043043003,08,043,043003,232.51,830.82,22.01,3,1.08,0.08,4,238.51,822.82,22.01,5.09,0,0
08043043004,08,043,043004,263.75,626.71,15.17,1.01,1.01,3.06,8.05,267.81,612.55,19.24,7.05,8.03,0.01
08043043005,08,043,043005,241.33,433.4,22.3,2.06,0.06,2.06,2.17,233.28,432.61,17.8,6.17,1.17,0
08043043006,08,043,043006,187.99,435.5,4.72,0.94,0.94,0.94,2.83,187.05,422.28,13.23,2.83,2.83,0
08043043007,08,043,043007,370.11,1038.95,22.85,1.99,1.98,7.94,6.94,378.05,1018.13,32.75,6.94,3.97,1.98
08043043008,08,043,043008,191.16,509.05,13.96,1.97,1.04,0.99,2.09,193.07,506.16,18.9,1.04,1.97,0
08043043009,08,043,043009,209.43,513.19,15.36,1.82,0.9,0.92,4.48,209.43,506.9,16.35,0.02,1.81,0
08043043010,08,043,043010,302.74,810.28,14.99,1,1,1,2,288.75,801.29,21.98,5,2,0
08043043011,08,043,043011,437.6,1064.59,12.96,0,12.96,1.99,1,404.7,1096.48,24.92,5.98,3.99,0
08043043012,08,043,043012,473,834,30,6,4,5,6,471,808,35,10,7,0
08043043013,08,043,043013,316.92,641.84,10.92,2.1,0.06,3.04,1.28,308.94,636.46,15.96,1,0.11,0
08043043014,08,043,043014,231.52,504.15,11.22,4,4.06,3.02,1,225.46,514.25,10.14,4.04,2.02,0
08043043015,08,043,043015,172.48,398.85,10.78,0,2.94,0.98,0,169.54,403.75,6.86,1.96,0.98,0
08043043016,08,043,043016,222,552,11,3,1,2,5,225,552,16,3,5,0
08043043017,08,043,043017,270,497,8,2,4,4,5,264,491,16,5,4,0
08043043018,08,043,043018,332,723,16,4,4,5,6,309,744,18,5,2,1
08043043019,08,043,043019,442,1051,28,5,3,1,3,409,1076,21,16,4,2
08043043020,08,043,043020,318,854,17,3,1,1,8,328,831,21,8,4,0
08043043021,08,043,043021,167.48,408.09,3.1,0.02,0.04,0.03,1.01,153.55,406.13,15.02,2.03,1.99,0
08043043022,08,043,043022,451.11,1083.06,23.51,4.16,0.26,5.09,6.52,445.44,1068.75,40.59,7.2,2.14,0
08043043023,08,043,043023,125.85,251.71,4.49,0.9,1.8,0.9,4.49,120.46,257.1,5.39,1.8,0.9,0
08043043024,08,043,043024,294.78,336.18,4.93,4.93,3.94,0,1.97,288.86,339.14,6.9,0.99,2.96,0
08043043025,08,043,043025,37,122,3,0,1,1,2,35,120,7,0,2,0
08043043026,08,043,043026,145.97,358.42,6.97,0.99,0.02,0,2.95,134.04,367.12,12.05,0.08,1.01,0
08043043027,08,043,043027,55.65,169.48,11.11,1.99,0,1,0.02,56.57,172.49,5.14,0.01,0.01,0
08043043028,08,043,043028,59.35,127.25,0.05,0,0.91,0.9,0.02,59.36,127.12,0.08,0.95,0.01,0
08043043029,08,043,043029,137.36,391.81,5.66,0.11,1.94,0.06,4.05,135.47,393.3,6.66,1.89,0.11,0
08043043030,08,043,043030,211.29,485.13,21.9,0,0.05,0,2.09,201.34,488.15,20.93,1.04,0.99,0
08045045001,08,045,045001,1211.44,265.4,12.01,7.99,3,2.99,6.99,1191.36,287.46,19.01,2,7,0
08045045002,08,045,045002,1235.85,327.96,21,4,0,2,7,1227.85,344.96,18,3,3,0
08045045003,08,045,045003,1156.58,395.2,14.04,3.96,1.06,0.05,2.99,1101.75,439.03,19.23,2.94,4.92,0
08045045004,08,045,045004,1004.08,505.08,11.98,2.05,1.95,0.96,2.02,962.93,537.26,19.79,1.06,2.09,0
08045045005,08,045,045005,907.65,603.26,24.7,3.4,2.13,3.26,6.31,849.22,665.6,17.29,1.41,3.4,0
08045045006,08,045,045006,542.22,286.89,11.14,5.57,1.86,3.71,4.64,519.01,309.18,18.57,5.57,5.57,0
08045045007,08,045,045007,504.16,196.95,7.67,7.43,0.07,1.87,1.05,494.15,201.67,14.97,1.94,0.99,0
08045045008,08,045,045008,550.03,236.9,6.98,4.98,2.98,2,2.99,533.1,249.87,18.9,1.01,2.99,0
08045045009,08,045,045009,765.23,324.43,18.59,4.21,3.05,2.13,1.18,738.1,346.65,19.56,2.24,2.17,0
08045045010,08,045,045010,903.02,600.06,35.45,4.71,0.99,2.82,3.77,881.44,623.43,35.61,5.61,3.76,0
08045045011,08,045,045011,537.53,348.85,10.32,3.56,1.93,1.13,3.94,538.54,353.13,10.02,3.06,2.01,0
08045045012,08,045,045012,691.47,461.94,16.77,10.09,1.02,5.06,3.08,667.02,474.45,28.76,4.12,3.08,0
08045045013,08,045,045013,333.56,379.65,11.94,2.19,6.91,1.21,4.01,327.98,380.98,21.25,5.08,2.07,0
08045045014,08,045,045014,706.8,749.18,24.65,5.87,0.09,6.84,1.04,691.84,752.43,40.27,2.97,2.02,0
08045045015,08,045,045015,741.38,658.24,22.77,1.98,2.97,1.98,2.97,709.71,688.92,20.79,0.99,5.94,0
08045045016,08,045,045016,536.35,894.92,28.97,3,2,4.99,4,533.36,892.92,36.96,4.99,2,0
08045045017,08,045,045017,290.65,919.08,8.03,1,3,2.01,5,275.64,927.08,19.04,4.01,2,0
08045045018,08,045,045018,193,454,10,1,1,1,0,186,461,13,2,1,0
08045045019,08,045,045019,417,928,13,3,0,2,5,393,936,17,4,3,0
