GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,G20PRESKEN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSDSMI,G20USSRLEW,G20USSMOCO,G20USSCSTE,G20USSOWRI
27089000250,27,089,000250,15.11,63.11,0.99,0,0.99,0,0,1,0,0,17.1,54.1,8.97,1.02,0
27089000255,27,089,000255,5,22,0,0,0,0,0,0,0,0,5,21,1,1,0
27089000260,27,089,000260,12,26,2,0,0,0,0,0,0,0,13,24,2,0,0
27089000265,27,089,000265,25.39,77.01,2.2,0,0.03,0,0,0,0.03,0,22.42,71.74,5.3,2.03,1
27089000270,27,089,000270,15,29,0,0,0,0,0,0,0,0,16,27,1,0,0
27089000275,27,089,000275,203.34,605.93,2,2,2,0,0,4,3,3,222.51,529.69,47.06,10.99,0
27089000285,27,089,000285,5.58,52.12,0,0,0,0,0,0,0,0,7.45,49.33,0.93,0,0
27089000290,27,089,000290,12.98,59.89,1,0,2,0,0,0,0,1,15.97,55.9,2,0,0
27089000295,27,089,000295,7.32,19.23,0,0,0,0,0,0.92,0,0,8.24,17.4,0,1.83,0
27089000300,27,089,000300,14,41,2,0,1,0,0,0,0,0,16,40,1,0,0
27091000005,27,091,000005,34,90,6,0,0,0,0,0,0,0,40,88,1,0,0
27091000010,27,091,000010,19.92,92.37,0,0,0,0,0,0,0,0,24.45,86.94,0.91,0.91,0
27091000015,27,091,000015,51,116,3,0,2,0,0,0,0,1,49,98,15,6,0
27091000020,27,091,000020,21.93,69.94,0.62,0.16,0,0,0,1.96,0,0.16,21.57,55.26,13.54,1.29,0
27091000025,27,091,000025,35,143,0,0,0,0,0,1,0,1,41,131,3,2,0
27091000030,27,091,000030,44,62,2,2,0,0,0,0,0,0,46,60,2,0,0
27091000035,27,091,000035,210.88,434.44,1.95,0,0,0,0,0,0,0.98,207.95,398.31,22.45,8.79,0
27091000040,27,091,000040,326.11,550.27,3,1,1,0,0,5,2,4,320.12,513.24,31.01,11.01,0
27091000050,27,091,000050,269.8,401.69,2.01,3,0,0,0,6,1,8,264.77,361.53,45.13,11.04,1
27091000055,27,091,000055,267.93,573.86,2,0,2,0,0,3,1,3,270.93,532.87,30.99,13,0
27091000065,27,091,000065,209,276,8,0,3,0,0,2,1,0,193,232,50,17,0
27091000070,27,091,000070,213,340,5,2,0,0,1,2,2,0,214,289,39,16,0
27091000080,27,091,000080,184.68,412.81,4.07,1.01,3,0,0,2.01,1.01,0.05,170.64,357.79,57.61,13.25,1
27091000085,27,091,000085,174.82,351.24,3.19,5.06,1,0,0,1.06,1,0.07,150.38,298.26,59.8,20.35,1
27091000095,27,091,000095,47.01,132.34,1.87,0.01,0,0,0,0,0,0,52.58,116.36,5.7,2.84,0
27091000100,27,091,000100,45.38,111.99,4.81,0.01,0,0,0,0,0,0.96,54.98,101.38,4.86,1.94,0
27091000105,27,091,000105,30,136,1,0,0,0,0,0,0,0,29,128,4,2,0
27091000110,27,091,000110,39.56,90.01,1.98,0,0,0,0,0,0,0,45.5,79.13,3.96,2.97,0
27091000115,27,091,000115,43.08,109.63,3,1,0,0,0,0,1,0,41.55,97.06,12.09,5.09,0
27091000120,27,091,000120,39.3,137.35,2.08,0.06,0.03,0,0.03,0.03,1.06,2.99,38.71,131.7,8.96,2.33,1
27091000125,27,091,000125,26.01,85.03,0,0,0,0,0,0,1,0,30.01,69.03,9,3,0
27091000130,27,091,000130,18.07,66.06,3.38,0.84,0,0,0,0.04,0,0.84,21.43,60.74,4.46,1.71,0
27091000135,27,091,000135,61,158.99,4,0,0,0,0,0,1,2,64,149.99,10,4,0
27091000140,27,091,000140,27,94,0,0,1,0,0,0,0,0,27,93,2,0,0
27091000145,27,091,000145,35,88.26,3.02,0.02,1,0,0,0.02,0,0.02,36.03,85.01,4.13,1.05,0
27091000150,27,091,000150,8,22,1,0,0,0,0,0,1,0,9,22,0,1,0
27091000155,27,091,000155,28,108,3,0,0,1,0,0,1,0,33,97,9,2,0
27091000160,27,091,000160,49.55,105.26,1.97,0,0.98,0,0,0,0.99,0.98,46.59,96.24,8.99,2.98,0
27091000165,27,091,000165,54.2,177.01,0.9,0.9,0,0,0,0.9,0,0.9,56,163.46,7.24,2.71,0
27091000170,27,091,000170,139.7,404.65,2.92,1.94,0.97,0,0.97,0.97,1.94,0.01,152.29,352.3,31.04,10.67,0
27091000175,27,091,000175,71,243,1,0,0,0,0,0,0,0,77,228,4,1,0
27091000180,27,091,000180,34,113,4,0,0,0,0,0,0,0,45,100,3,2,0
27091000185,27,091,000185,112.18,267.38,6.01,3.99,2,0,1,1,0,1,110.25,244.31,26.98,10.01,0
27091000195,27,091,000195,158,421,7,1,0,1,0,0,1,2,178,365,36,8,2
27091000200,27,091,000200,38,76,2,0,0,0,0,0,0,0,43,69,1,1,0
27091000205,27,091,000205,107.88,281.42,2.21,0,0.01,0,0,1,1,0.05,105.26,235.09,36.13,9.07,0
27091000210,27,091,000210,31,138,0,0,0,0,0,1,0,0,38,121,9,2,0
27093000005,27,093,000005,78.58,157.36,0.02,1.01,1,0,0,1.01,0,0.01,79.61,145.27,10.07,5.02,0
27093000010,27,093,000010,9.13,23.62,1.01,0.98,0,0,0,0,0.01,0.01,6.29,21.54,5.88,1,0
27093000015,27,093,000015,60.87,196.39,5.99,1.03,0,0,0,0,0.99,0.99,69.72,176.47,10.12,5,0
27093000020,27,093,000020,195.65,570.97,5.99,1,1,1,0,1,1,2.99,192.65,545.02,22.96,10.98,0
27093000025,27,093,000025,73,148,4,0,0,0,0,1,1,2,73,123,24,5,0
27093000030,27,093,000030,30,87,2,1,0,0,0,0,1,0,34,73,8,3,0
27093000035,27,093,000035,44,117,4,0,1,0,0,3,1,1,57,104,6,2,0
27093000040,27,093,000040,52.84,139.59,3.99,1,1,0,0,1,0,1.99,49.85,124.63,22.93,2.99,1
27093000045,27,093,000045,128.56,308.98,1.01,0,1.99,0,0,0,1,0.01,130.54,290.02,12.01,2.99,0
27093000050,27,093,000050,238.8,609.96,18.64,3.11,1.33,0,0,4.15,2,3.04,242.66,573.62,37.23,17.07,0.14
27093000055,27,093,000055,258.53,719.99,4.37,2.89,4.67,0,0,3.85,1,1.96,258.66,686.29,32.81,8.95,1.86
27093000060,27,093,000060,55,191.01,2,1,0,0,0,0,0,0,53,153.01,26,8,0
27093000065,27,093,000065,168.96,452.89,1,1,2,0,0,2,1,2,166.96,429.89,19,8,1
27093000070,27,093,000070,106.4,310.95,3,1,0.01,0,0,1,2,0,107.4,294.9,9.04,9.01,0
27093000075,27,093,000075,125.37,429.41,2.96,0.99,0,0,0,0.99,1.97,0,140.18,377.07,27.65,11.85,0
27093000080,27,093,000080,164.15,328.61,4.15,1.05,0.03,0,0,2.05,2,3.05,167.32,316.97,15.49,4.15,0
27093000085,27,093,000085,74.96,200.05,4.02,0,0.03,0,0,1,0,1.05,72.04,174.8,21.28,8,0
