GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRNEW,G18USSDKLO,G18USSMSCH,G18USSGOVE,G18USSOWRI,G18GOVRJOH,G18GOVDWAL,G18GOVMWRI,G18GOVLWEL,G18GOVOWRI,G18SOSRHOW,G18SOSDSIM,G18SOSIDEN,G18SOSOWRI,G18AUDRMYH,G18AUDDBLA,G18AUDMFOR,G18AUDLDOC,G18AUDOWRI,G18ATGRWAR,G18ATGDELL,G18ATGMJOH,G18ATGOWRI
27145000070,27,145,000070,445.2,337.6,7,4,0,512.8,264,10,6,0,541.5,215.3,26.1,0,512.6,232.2,18.1,16,0,534.5,210.2,36.1,0
27145000075,27,145,000075,92.1,80.6,4,2,0,105.4,65.3,6,3,0,104.6,62,9.1,0,94.5,67.1,13.1,3.1,0,106.6,56,12.2,0
27145000080,27,145,000080,54.6,40.8,1,0,0,73.5,18.9,2,1,0,69.5,17.9,6,0,71.5,18.9,2,2,0,71.6,22.8,1,0
27145000085,27,145,000085,452.6,324.4,16.7,4.4,0,508.2,253.7,26.6,8.4,0,526.7,238.4,24.6,0,501.8,227.1,39.2,16.1,0,530.8,225.3,37.5,1.1
27145000090,27,145,000090,286.6,142.6,4,3,1,336.7,95.5,4,2,0,341.7,85.5,8,0,327.7,85.5,12,7,0,344.7,80.4,12.1,0
27145000095,27,145,000095,180.7,91.3,2,2,1,214.2,59.6,3,2,0,200.4,57.5,14.8,0,201.4,53.6,10.9,4,0,203.5,56.5,12.9,1
27145000100,27,145,000100,108.4,43.4,0,0.2,0,121.7,26,2.1,1.2,0,117.3,27,1.5,0,117,26.3,4.2,2.4,0,122.7,21.6,5.5,0
27145000105,27,145,000105,65.4,30.2,1,0,0,78.5,18.1,0,0,0,75.5,16.1,4,0,74.5,13.2,5,2,0,81.5,12.1,2,0
27145000110,27,145,000110,110.6,59,0,2.6,0,134.6,33.1,1.9,2.6,0,126.7,33,8,0,121.5,38.4,2.8,6,0,134.6,27,8.8,0
27145000115,27,145,000115,362.6,192.6,8.8,2.9,0,419.6,133.3,3.4,4.8,0,424.1,118.4,17.5,0,404.2,126.3,17.6,10.6,0,420.7,126.3,14.9,0
27145000120,27,145,000120,227.4,115.4,9.2,1.1,0,245.4,88.7,12.6,3.2,0,261.9,70.6,14.5,0,236.8,79.7,17.4,7.4,0,248.3,79.7,18.1,0
27145000125,27,145,000125,112.3,106.7,10.3,1.6,0,140,79.9,9.5,1.6,0,145.5,72.7,9.5,0,123.4,75.9,18.2,4.7,0,140.8,67.2,15,0
