GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREACAR,G20PRESLAR,G20USSDDUR,G20USSRCUR,G20USSIWIL,G20USSLMAL,G20USSGBLA
17031800063,17,031,800063,351,236,3,0,0,0,349,201,15,4,3
17031800064,17,031,800064,288.08,330.04,0,4,0,0,295.08,276.03,24,5,4
17031800065,17,031,800065,263.51,226.27,5.59,3.72,0.93,1.86,257,216.96,15.83,4.66,0.93
17031800066,17,031,800066,209.13,160.78,4.01,1.01,0,1,190.14,159.67,14.06,4.02,3.02
17031800067,17,031,800067,565.49,532.73,8.41,1.28,0.07,0.14,500,540.04,36.17,15.34,7.07
17031800068,17,031,800068,323,191,5,6,3,0,303,178,15,10,9
17031800069,17,031,800069,423.09,426.16,4.11,3.04,1.02,0.02,421.71,372.55,23.25,10.25,2.14
17031800070,17,031,800070,541,370,5,2,3,0,538,307,23,6,10
17031800071,17,031,800071,246,181,1,0,0,0,245,141,10,5,4
17031800072,17,031,800072,324,319,5,3,0,1,308,291,28,6,9
17031800073,17,031,800073,147,179,1,1,0,0,149,146,12,2,1
17031800074,17,031,800074,423,242,4,3,1,1,394,233,29,6,0
17031800075,17,031,800075,334,322,6,2,0,0,334,277,23,5,4
17031800076,17,031,800076,267,190,3,2,2,0,264,165,10,7,4
17031800077,17,031,800077,684.57,478.7,6,7.99,2,0,665.58,435.72,34.98,8.99,12.99
17031800078,17,031,800078,467,291,1,1,1,0,458,227,17,8,4
17031800079,17,031,800079,495,207,3,1,0,1,484,169,14,8,11
17031800080,17,031,800080,339,300,7,5,1,0,334,258,30,8,5
17031800081,17,031,800081,302,302,3,1,0,0,311,247,9,3,2
17031800082,17,031,800082,411.03,292.09,7.06,5.04,2.02,0,397.89,271.81,29.25,8.07,4.06
17031800083,17,031,800083,278,265,4,1,2,0,266,261,14,4,0
17031800084,17,031,800084,251,246,1,1,1,0,252,208,8,6,7
17031800085,17,031,800085,242,181,1,4,2,0,229,168,21,2,1
17031800086,17,031,800086,381.92,200.96,4,2,0,0,374.92,160.97,21,7,5
17031800087,17,031,800087,284,173,1,5,0,0,256,179,19,1,6
17031800088,17,031,800088,212.13,239.88,5.95,0.99,1.98,0.99,189.33,255.74,2.97,5.95,3.96
17031800089,17,031,800089,306.29,253.58,1.99,2.98,0.99,0.99,304.3,210.82,8.95,3.98,4.97
17031800090,17,031,800090,249.75,299.09,2.09,0.09,0.03,1,254.88,253.09,11.47,6.16,4.25
17031800091,17,031,800091,618.44,469.54,9.93,5.96,2.98,0,596.6,428.84,38.71,10.92,8.93
17031800092,17,031,800092,344.65,343.12,10.05,4.02,0,1.01,325.37,284.8,17.23,11.15,7.12
17031810001,17,031,810001,1037.67,222.71,13.98,3,1,1,936.8,327.58,13.98,4.99,6.99
17031810002,17,031,810002,1066.33,217.29,24.02,4,1,0,996.2,289.42,9.02,11.01,7.01
17031810003,17,031,810003,629.29,160.78,5.92,3.95,0,0,598.71,174.58,14.8,3.95,5.92
17031810004,17,031,810004,812.23,197.12,13.59,1.98,0.01,0.01,727.75,272.56,16.56,3.93,4.9
17031810005,17,031,810005,530,141,12,2,0,0,496,168,6,6,7
17031810006,17,031,810006,465.97,113.99,6,0,0,1,421.97,154.99,6,4,3
17031810007,17,031,810007,632,213,10,4,0,0,566,271,10,7,3
17031810008,17,031,810008,484,236,9,2,0,2,401,311,6,7,4
17031810009,17,031,810009,670.23,274.09,14.38,4.19,0,0,563.66,382.64,15.24,4.29,4.24
17031810010,17,031,810010,564,241,12,1,0,0,472,337,6,8,6
17031810011,17,031,810011,720.59,309.22,15.79,7.43,0,0,590.59,450.37,15.79,8.36,3.71
17031810012,17,031,810012,683,291,23,4,1,0,569,401,14,11,8
